,ts_code,name,industry,COL_WEIGHT_RISE_EFFICIENCY,COL_WEIGHT_MIN_INDEX,COL_WEIGHT_MAX_INDEX,COL_CURRENT_PRICE,circ_mv
2642,600614.SH,鹏起科技,综合类,5.42,28.0,16.0,6.38,964329.1258
1668,300279.SZ,和晶科技,元器件,5.37,29.0,9.0,6.76,211295.1636
1414,300023.SZ,宝德股份,专用机械,5.33,28.0,16.0,7.58,109461.9038
226,000670.SZ,盈方微,元器件,5.33,28.0,5.0,5.71,342381.0421
2418,600331.SH,宏达股份,铅锌,5.31,28.0,9.0,4.11,835152.0
436,000971.SZ,高升控股,互联网,5.28,30.0,7.0,5.01,296379.0985
1434,300043.SZ,星辉娱乐,文教休闲,5.25,29.0,5.0,6.28,566899.0402
938,002477.SZ,雏鹰农牧,农业综合,5.25,28.0,5.0,2.52,496610.5037
1924,300538.SZ,同益股份,批发业,5.22,29.0,9.0,35.53,85259.7315
848,002387.SZ,维信诺,元器件,5.18,30.0,17.0,13.25,1414851.0974
1745,300356.SZ,光一科技,电气设备,5.1,30.0,5.0,10.05,370616.1334
2573,600536.SH,中国软件,软件服务,5.07,29.0,0.0,51.4,2542052.6995
794,002333.SZ,罗普斯金,铝,5.03,28.0,9.0,9.26,449081.9607
1565,300175.SZ,朗源股份,食品,5.02,29.0,7.0,6.75,311586.939
113,000518.SZ,四环生物,生物制药,5.02,28.0,9.0,4.34,446818.4908
1930,300545.SZ,联得装备,专用机械,4.97,29.0,9.0,33.23,159924.0006
898,002437.SZ,誉衡药业,化学制药,4.95,29.0,5.0,5.71,1237400.6786
3323,603363.SH,傲农生物,饲料,4.93,28.0,6.0,13.73,252622.3121
2557,600518.SH,康美药业,中成药,4.92,29.0,10.0,10.98,4834704.7787
1529,300139.SZ,晓程科技,元器件,4.92,29.0,4.0,12.68,269336.6421
2249,600135.SH,乐凯胶片,化工原料,4.9,29.0,16.0,8.25,307718.1814
375,000890.SZ,法尔胜,钢加工,4.88,28.0,17.0,6.81,258523.8432
53,000070.SZ,特发信息,通信设备,4.86,28.0,9.0,14.83,890254.7308
2341,600240.SH,华业资本,全国地产,4.85,28.0,9.0,3.39,482821.9704
1149,002689.SZ,远大智能,运输设备,4.84,29.0,9.0,5.43,565165.5364
3166,603032.SH,德新交运,公路,4.83,28.0,9.0,40.55,317944.44
3506,603822.SH,嘉澳环保,环境保护,4.83,30.0,25.0,30.65,124454.1258
1976,300593.SZ,新雷能,电气设备,4.83,29.0,19.0,19.59,131077.3051
1717,300328.SZ,宜安科技,铝,4.77,30.0,16.0,9.93,457060.4232
3470,603729.SH,龙韵股份,广告包装,4.76,29.0,5.0,23.13,215890.794
1970,300587.SZ,天铁股份,橡胶,4.76,30.0,17.0,23.55,99295.928
911,002450.SZ,ST康得新,化工原料,4.75,28.0,9.0,6.82,2205428.618
1424,300033.SZ,同花顺,软件服务,4.73,30.0,5.0,88.48,2338547.2282
2453,600375.SH,华菱星马,汽车整车,4.73,28.0,5.0,6.54,363454.3504
2320,600218.SH,全柴动力,农用机械,4.7,27.0,9.0,12.38,456518.69
30,000037.SZ,深南电A,火力发电,4.7,26.0,0.0,11.09,375833.4593
2976,601099.SH,太平洋,证券,4.68,29.0,9.0,4.33,2805327.4882
2019,300638.SZ,广和通,通信设备,4.67,29.0,0.0,61.34,244746.6
423,000957.SZ,中通客车,汽车整车,4.65,29.0,15.0,7.96,471942.5924
557,002095.SZ,生意宝,互联网,4.62,29.0,9.0,28.88,726730.8068
3349,603477.SH,振静股份,纺织,4.54,29.0,20.0,8.83,100220.5
1833,300446.SZ,乐凯新材,化工原料,4.51,29.0,5.0,27.97,331140.7654
986,002526.SZ,山东矿机,工程机械,4.5,29.0,10.0,3.1,503735.346
990,002530.SZ,金财互联,专用机械,4.5,29.0,5.0,10.81,403965.7068
1309,002862.SZ,实丰文化,文教休闲,4.48,28.0,6.0,29.52,91984.32
3023,601311.SH,骆驼股份,电气设备,4.46,28.0,5.0,16.02,1359133.2307
3232,603165.SH,荣晟环保,造纸,4.45,30.0,21.0,20.38,90389.376
1469,300079.SZ,数码科技,通信设备,4.45,29.0,5.0,6.49,784698.9012
1515,300125.SZ,易世达,电气设备,4.43,29.0,8.0,15.31,403843.0341
1750,300362.SZ,天翔环境,环境保护,4.41,29.0,9.0,6.06,190704.9088
2867,600864.SH,哈投股份,证券,4.39,29.0,6.0,7.53,1188472.9668
322,000806.SZ,银河生物,生物制药,4.39,29.0,4.0,6.32,441419.3262
2771,600756.SH,浪潮软件,软件服务,4.38,30.0,7.0,27.43,889002.8795
2022,300641.SZ,正丹股份,化工原料,4.37,28.0,21.0,6.12,136708.56
1858,300471.SZ,厚普股份,专用机械,4.36,29.0,0.0,12.45,340224.2625
1385,002945.SZ,华林证券,证券,4.34,29.0,9.0,15.51,418770.0
539,002077.SZ,大港股份,区域地产,4.33,29.0,5.0,6.8,361566.8304
1753,300365.SZ,恒华科技,软件服务,4.3,18.0,6.0,27.8,607639.9234
1879,300492.SZ,山鼎设计,建筑施工,4.29,30.0,16.0,25.1,73661.9113
1711,300322.SZ,硕贝德,通信设备,4.29,29.0,17.0,14.8,543920.5661
820,002359.SZ,北讯集团,通信设备,4.28,29.0,7.0,11.33,802240.1535
2191,600072.SH,中船科技,船舶,4.28,19.0,0.0,13.04,783415.5161
949,002488.SZ,金固股份,汽车配件,4.25,28.0,5.0,11.08,851839.6396
1560,300170.SZ,汉得信息,软件服务,4.25,30.0,6.0,17.3,1211122.6397
583,002121.SZ,科陆电子,电器仪表,4.24,29.0,5.0,6.45,584123.1985
651,002189.SZ,利达光电,元器件,4.21,30.0,5.0,22.89,450239.6161
1448,300057.SZ,万顺股份,广告包装,4.19,28.0,19.0,7.7,293042.8563
714,002252.SZ,上海莱士,生物制药,4.19,25.0,6.0,10.1,5022314.99
980,002519.SZ,银河电子,通信设备,4.18,29.0,8.0,4.87,404963.8005
3258,603220.SH,贝通信,通信设备,4.18,28.0,17.0,34.91,294780.04
973,002512.SZ,达华智能,元器件,4.18,29.0,5.0,6.12,540552.0624
2602,600571.SH,信雅达,软件服务,4.17,29.0,9.0,11.14,480257.7743
2687,600666.SH,奥瑞德,元器件,4.16,29.0,9.0,3.86,310211.0354
1676,300287.SZ,飞利信,软件服务,4.16,28.0,7.0,5.37,600850.1597
1756,300368.SZ,汇金股份,专用机械,4.15,28.0,9.0,9.1,423076.5548
1130,002670.SZ,国盛金控,证券,4.15,29.0,9.0,13.25,831670.6311
562,002100.SZ,天康生物,饲料,4.14,28.0,5.0,8.54,822747.8777
912,002451.SZ,摩恩电气,电气设备,4.13,28.0,17.0,12.88,536322.8136
325,000810.SZ,创维数字,家用电器,4.13,28.0,8.0,10.23,992757.6229
2352,600255.SH,梦舟股份,铜,4.12,28.0,9.0,2.61,461863.9179
1764,300377.SZ,赢时胜,软件服务,4.12,28.0,9.0,14.6,748523.1689
1901,300514.SZ,友讯达,通信设备,4.12,28.0,5.0,16.09,145324.88
2250,600136.SH,当代明诚,影视音像,4.12,29.0,5.0,13.13,588980.9104
672,002210.SZ,飞马国际,仓储物流,4.11,29.0,9.0,4.15,676466.1236
2667,600643.SH,爱建集团,多元金融,4.11,30.0,15.0,12.05,1728040.5841
593,002131.SZ,利欧股份,互联网,4.1,29.0,5.0,2.23,889076.3647
580,002118.SZ,紫鑫药业,中成药,4.1,29.0,8.0,8.49,870421.4314
2039,300659.SZ,中孚信息,软件服务,4.07,28.0,6.0,30.04,195143.2916
2382,600290.SH,华仪电气,电气设备,4.06,29.0,2.0,8.09,614761.9404
2981,601108.SH,财通证券,证券,4.03,30.0,6.0,12.89,3102226.8207
2767,600751.SH,海航科技,水运,4.01,28.0,9.0,4.23,1088458.969
68,000159.SZ,国际实业,石油贸易,3.99,29.0,0.0,8.8,423003.6738
1742,300353.SZ,东土科技,通信设备,3.99,29.0,9.0,12.38,434653.5611
2210,600093.SH,易见股份,仓储物流,3.98,29.0,8.0,12.52,1405304.27
1699,300310.SZ,宜通世纪,通信设备,3.97,28.0,9.0,6.9,469973.1574
1737,300348.SZ,长亮科技,软件服务,3.95,29.0,6.0,25.18,556119.4242
3281,603289.SH,泰瑞机器,专用机械,3.95,28.0,9.0,11.6,157497.3551
3130,601990.SH,南京证券,证券,3.92,29.0,9.0,14.57,400704.14
258,000711.SZ,京蓝科技,软件服务,3.91,28.0,6.0,7.44,302271.6839
1639,300250.SZ,初灵信息,软件服务,3.91,30.0,10.0,16.66,231564.5604
3184,603063.SH,禾望电气,电气设备,3.91,29.0,6.0,11.29,288233.7
2363,600268.SH,国电南自,电气设备,3.9,29.0,1.0,8.56,543770.9475
3339,603396.SH,金辰股份,专用机械,3.88,28.0,5.0,43.99,138872.792
1542,300152.SZ,科融环境,环境保护,3.88,29.0,9.0,3.04,216668.1036
3020,601258.SH,庞大集团,汽车服务,3.87,28.0,9.0,1.79,1170387.634
585,002123.SZ,梦网集团,互联网,3.87,29.0,10.0,12.15,784207.2769
51,000068.SZ,华控赛格,元器件,3.87,29.0,5.0,6.41,645276.4084
804,002343.SZ,慈文传媒,影视音像,3.85,24.0,6.0,10.97,441190.691
1786,300399.SZ,京天利,互联网,3.84,29.0,6.0,13.77,184594.0972
3455,603707.SH,健友股份,化学制药,3.84,28.0,1.0,34.92,993837.3775
3355,603501.SH,韦尔股份,半导体,3.83,29.0,6.0,49.37,693823.2402
1766,300379.SZ,东方通,软件服务,3.82,30.0,9.0,23.99,461233.0187
2659,600635.SH,大众公用,供气供热,3.82,28.0,5.0,7.3,1765717.9228
887,002426.SZ,胜利精密,元器件,3.79,29.0,9.0,3.7,798379.5727
452,000993.SZ,闽东电力,水力发电,3.78,30.0,0.0,9.47,353231.0
2788,600775.SH,南京熊猫,通信设备,3.77,30.0,9.0,11.9,799487.8495
605,002143.SZ,印纪传媒,影视音像,3.77,29.0,8.0,4.16,405235.5387
222,000666.SZ,经纬纺机,纺织机械,3.74,29.0,15.0,14.16,415622.5727
3201,603098.SH,森特股份,装修装饰,3.74,29.0,20.0,13.9,104266.68
574,002112.SZ,三变科技,电气设备,3.73,18.0,6.0,8.22,151085.7051
693,002231.SZ,奥维通信,通信设备,3.73,29.0,10.0,7.5,229409.4
1720,300331.SZ,苏大维格,元器件,3.72,29.0,6.0,18.36,244334.1933
1117,002657.SZ,中科金财,软件服务,3.72,29.0,6.0,19.71,556749.7359
1116,002656.SZ,摩登大道,服饰,3.71,28.0,12.0,6.57,309913.9082
2124,300749.SZ,顶固集创,家居用品,3.71,30.0,15.0,38.64,110124.0
1524,300134.SZ,大富科技,通信设备,3.71,29.0,6.0,15.39,1096409.0027
3343,603421.SH,鼎信通讯,通信设备,3.7,14.0,6.0,27.99,155331.5154
646,002184.SZ,海得控制,软件服务,3.7,29.0,9.0,12.4,168475.3652
1811,300424.SZ,航新科技,航空,3.7,29.0,11.0,20.42,322101.7005
1506,300116.SZ,坚瑞沃能,电气设备,3.69,29.0,6.0,2.29,296354.1663
802,002341.SZ,新纶科技,化工原料,3.68,30.0,24.0,11.68,730253.1827
2211,600094.SH,大名城,区域地产,3.68,29.0,1.0,6.8,1548091.3742
1450,300059.SZ,东方财富,证券,3.68,30.0,10.0,19.87,8253033.2519
1190,002733.SZ,雄韬股份,电气设备,3.68,28.0,15.0,24.2,791916.6812
2047,300667.SZ,必创科技,电器仪表,3.67,19.0,5.0,30.92,212284.2531
2480,600406.SH,国电南瑞,软件服务,3.67,13.0,5.0,21.86,5581306.8601
1225,002771.SZ,真视通,软件服务,3.66,29.0,9.0,16.15,147789.9097
3053,601598.SH,中国外运,仓储物流,3.66,28.0,8.0,6.2,838015.0832
2614,600584.SH,长电科技,半导体,3.66,29.0,7.0,14.13,1463747.6279
2181,600061.SH,国投资本,证券,3.65,29.0,9.0,14.2,5926841.3349
1480,300090.SZ,盛运环保,环境保护,3.65,29.0,9.0,2.72,310628.7407
1616,300227.SZ,光韵达,元器件,3.65,28.0,8.0,13.13,199289.2657
1505,300115.SZ,长盈精密,元器件,3.64,30.0,6.0,12.72,1151907.6841
1008,002548.SZ,金新农,饲料,3.64,29.0,6.0,11.18,349444.8918
881,002420.SZ,毅昌股份,塑料,3.64,29.0,9.0,4.39,171963.957
478,002016.SZ,世荣兆业,区域地产,3.62,29.0,21.0,10.79,741106.4369
2243,600128.SH,弘业股份,商贸代理,3.6,28.0,8.0,9.87,243559.5225
1787,300400.SZ,劲拓股份,专用机械,3.59,28.0,10.0,20.48,326292.8712
1962,300579.SZ,数字认证,软件服务,3.59,29.0,3.0,40.16,192872.0827
1112,002652.SZ,扬子新材,其他建材,3.58,28.0,17.0,5.1,259858.566
161,000576.SZ,广东甘化,造纸,3.58,28.0,10.0,10.33,428863.3046
2569,600531.SH,豫光金铅,铅锌,3.58,29.0,9.0,5.24,571287.1402
2700,600682.SH,南京新百,百货,3.58,29.0,9.0,14.98,1501140.933
416,000948.SZ,南天信息,软件服务,3.57,29.0,5.0,17.1,421519.1861
2846,600839.SH,四川长虹,家用电器,3.56,29.0,8.0,3.62,1670373.1791
993,002533.SZ,金杯电工,电气设备,3.56,19.0,5.0,6.07,314336.8894
85,000416.SZ,民生控股,多元金融,3.55,29.0,16.0,5.53,293997.5272
2713,600695.SH,绿庭投资,多元金融,3.54,28.0,0.0,8.72,319559.3565
1012,002552.SZ,宝鼎科技,机械基件,3.53,29.0,9.0,7.34,146909.3249
2780,600766.SH,园城黄金,黄金,3.52,28.0,9.0,10.09,225947.4606
444,000981.SZ,银亿股份,汽车配件,3.52,28.0,3.0,4.62,1189333.8072
1380,002939.SZ,长城证券,证券,3.52,29.0,9.0,14.92,463028.0797
3069,601668.SH,中国建筑,建筑施工,3.51,18.0,16.0,6.25,25713171.9025
846,002385.SZ,大北农,饲料,3.51,29.0,6.0,5.1,1364462.2717
2544,600503.SH,华丽家族,区域地产,3.5,29.0,9.0,4.77,764292.33
2603,600572.SH,康恩贝,中成药,3.49,30.0,8.0,9.58,2548834.0564
2043,300663.SZ,科蓝软件,软件服务,3.49,29.0,0.0,28.35,349087.4188
1207,002751.SZ,易尚展示,家居用品,3.48,28.0,7.0,27.75,242670.2813
2675,600652.SH,游久游戏,互联网,3.47,28.0,5.0,4.77,397199.5685
2995,601162.SH,天风证券,证券,3.47,29.0,9.0,11.35,587930.0
1740,300351.SZ,永贵电器,元器件,3.47,28.0,10.0,10.77,257876.7734
1561,300171.SZ,东富龙,医疗保健,3.46,29.0,10.0,11.03,367990.549
391,000911.SZ,南宁糖业,食品,3.46,29.0,5.0,8.68,281302.2533
2564,600526.SH,菲达环保,环境保护,3.45,29.0,7.0,5.85,320231.7331
2380,600288.SH,大恒科技,软件服务,3.44,29.0,9.0,10.18,444662.4
1868,300481.SZ,濮阳惠成,化工原料,3.44,29.0,7.0,19.32,491394.7332
3009,601212.SH,白银有色,铜,3.44,29.0,6.0,4.56,895891.8388
2492,600425.SH,青松建化,水泥,3.44,29.0,8.0,5.4,744546.6464
1810,300423.SZ,鲁亿通,电气设备,3.44,29.0,7.0,28.35,308722.9043
1818,300431.SZ,暴风集团,互联网,3.42,29.0,7.0,10.99,275441.6567
451,000990.SZ,诚志股份,化工原料,3.42,29.0,0.0,23.01,892057.9939
54,000078.SZ,海王生物,生物制药,3.41,29.0,10.0,4.48,831781.3002
2724,600707.SH,彩虹股份,元器件,3.4,28.0,9.0,6.23,802403.1108
412,000936.SZ,华西股份,化纤,3.4,29.0,5.0,10.51,930528.7456
1728,300339.SZ,润和软件,软件服务,3.4,29.0,6.0,13.4,956270.7968
2489,600421.SH,ST仰帆,机械基件,3.39,14.0,1.0,12.18,238240.8
782,002321.SZ,华英农业,农业综合,3.39,29.0,5.0,8.28,439709.1218
2238,600122.SH,宏图高科,其他商业,3.39,29.0,8.0,4.69,543223.1662
1820,300433.SZ,蓝思科技,元器件,3.39,28.0,10.0,8.68,3394178.1337
3103,601881.SH,中国银河,证券,3.38,30.0,9.0,11.58,1422638.7637
1264,002813.SZ,路畅科技,汽车配件,3.38,29.0,5.0,32.78,98340.0
195,000622.SZ,恒立实业,汽车配件,3.38,28.0,9.0,7.62,324022.212
2190,600071.SH,凤凰光学,元器件,3.37,28.0,9.0,11.9,282592.2226
584,002122.SZ,*ST天马,机械基件,3.37,28.0,0.0,3.11,368301.9522
1925,300539.SZ,横河模具,塑料,3.37,28.0,2.0,12.23,74436.8139
441,000977.SZ,浪潮信息,电脑设备,3.37,30.0,9.0,24.95,3216684.1666
537,002075.SZ,沙钢股份,特种钢,3.35,29.0,9.0,10.47,2310488.9459
1852,300465.SZ,高伟达,软件服务,3.35,28.0,9.0,8.5,362684.8
3439,603679.SH,华体科技,电气设备,3.35,30.0,5.0,39.28,157847.3046
890,002429.SZ,兆驰股份,家用电器,3.35,29.0,6.0,3.14,1247500.5343
1007,002547.SZ,春兴精工,通信设备,3.35,30.0,10.0,8.28,660477.7301
2843,600836.SH,界龙实业,广告包装,3.34,28.0,5.0,5.62,372467.2265
3194,603083.SH,剑桥科技,通信设备,3.33,28.0,8.0,32.42,179124.037
626,002164.SZ,宁波东力,电气设备,3.33,29.0,9.0,4.1,180376.7969
2971,601068.SH,中铝国际,建筑施工,3.32,29.0,8.0,7.57,224001.3469
2071,300691.SZ,联合光电,元器件,3.32,28.0,9.0,31.6,192123.9552
351,000851.SZ,高鸿股份,软件服务,3.32,28.0,9.0,6.86,587786.9756
978,002517.SZ,恺英网络,互联网,3.32,29.0,6.0,4.96,1051253.1813
1393,300002.SZ,神州泰岳,软件服务,3.32,30.0,6.0,4.97,699059.4189
1321,002875.SZ,安奈儿,服饰,3.31,30.0,9.0,21.13,82146.0445
363,000876.SZ,新希望,饲料,3.31,28.0,6.0,12.37,5165000.3551
3083,601789.SH,宁波建工,建筑施工,3.3,29.0,8.0,4.65,453877.2
1102,002642.SZ,荣之联,软件服务,3.29,28.0,6.0,8.02,413606.8674
292,000760.SZ,斯太尔,汽车配件,3.29,28.0,9.0,3.65,238872.1578
123,000530.SZ,大冷股份,机械基件,3.29,29.0,5.0,5.02,300069.4845
2064,300684.SZ,中石科技,化工原料,3.27,28.0,16.0,39.06,239539.3951
3538,603888.SH,新华网,互联网,3.27,30.0,5.0,23.77,419469.1425
1605,300216.SZ,千山药机,医疗保健,3.27,28.0,9.0,4.63,130394.0751
1219,002765.SZ,蓝黛传动,汽车配件,3.26,28.0,5.0,8.46,215640.1125
1289,002840.SZ,华统股份,食品,3.26,28.0,6.0,19.38,284374.5192
1473,300083.SZ,劲胜智能,元器件,3.26,30.0,5.0,3.97,495777.7133
631,002169.SZ,智光电气,电气设备,3.25,29.0,5.0,5.84,438507.5217
1586,300197.SZ,铁汉生态,环境保护,3.25,29.0,10.0,4.79,796007.126
2619,600589.SH,广东榕泰,塑料,3.25,29.0,8.0,5.79,383052.57
2914,600958.SH,东方证券,证券,3.23,30.0,9.0,11.96,6790123.2058
2624,600595.SH,中孚实业,铝,3.23,28.0,8.0,2.92,508529.7977
2826,600818.SH,中路股份,文教休闲,3.23,29.0,2.0,16.42,390726.8882
1980,300598.SZ,诚迈科技,软件服务,3.22,29.0,7.0,30.02,145196.0529
1734,300345.SZ,红宇新材,钢加工,3.22,28.0,6.0,4.95,182475.4863
1367,002925.SZ,盈趣科技,元器件,3.21,30.0,19.0,54.58,908869.2438
132,000540.SZ,中天金融,多元金融,3.21,29.0,9.0,4.84,3148676.8283
1159,002699.SZ,美盛文化,服饰,3.21,28.0,6.0,7.05,557357.134
1169,002711.SZ,欧浦智网,仓储物流,3.2,29.0,8.0,4.61,484126.9769
1587,300198.SZ,纳川股份,塑料,3.2,28.0,0.0,4.78,357786.9167
347,000838.SZ,财信发展,区域地产,3.19,28.0,10.0,4.16,262983.4147
348,000839.SZ,中信国安,综合类,3.19,30.0,0.0,6.43,2519921.6309
1866,300479.SZ,神思电子,软件服务,3.19,29.0,9.0,17.41,278560.0
2703,600685.SH,中船防务,船舶,3.18,28.0,1.0,17.98,1476940.4554
525,002063.SZ,远光软件,软件服务,3.17,30.0,5.0,10.76,819310.6656
3061,601615.SH,明阳智能,机械基件,3.17,29.0,5.0,15.31,422402.9
2897,600895.SH,张江高科,园区开发,3.16,28.0,3.0,24.75,3833006.6363
11,000014.SZ,沙河股份,全国地产,3.16,29.0,21.0,11.56,233171.1962
229,000673.SZ,当代东方,影视音像,3.15,28.0,5.0,5.81,457433.6492
1462,300072.SZ,三聚环保,环境保护,3.15,29.0,10.0,11.57,2463514.6139
1193,002736.SZ,国信证券,证券,3.14,30.0,6.0,13.39,10979800.0
1069,002609.SZ,捷顺科技,软件服务,3.14,29.0,6.0,8.3,314860.71
3193,603081.SH,大丰实业,专用机械,3.14,28.0,1.0,18.2,141461.775
3590,603996.SH,中新科技,家用电器,3.13,30.0,10.0,11.19,335867.85
2563,600525.SH,长园集团,电气设备,3.13,30.0,6.0,7.0,914042.6064
1239,002786.SZ,银宝山新,专用机械,3.13,27.0,16.0,10.38,395727.12
467,002005.SZ,德豪润达,家用电器,3.13,29.0,8.0,2.9,466585.408
1125,002665.SZ,首航节能,电气设备,3.12,29.0,6.0,3.52,794271.6193
1368,002926.SZ,华西证券,证券,3.12,27.0,9.0,11.82,2101770.2658
1796,300409.SZ,道氏技术,陶瓷,3.12,29.0,2.0,22.0,517004.2152
3101,601878.SH,浙商证券,证券,3.12,29.0,9.0,11.49,1388575.9689
3285,603300.SH,华铁科技,钢加工,3.12,28.0,5.0,7.24,329091.556
2599,600568.SH,中珠医疗,区域地产,3.11,28.0,9.0,2.96,463224.6932
753,002292.SZ,奥飞娱乐,影视音像,3.11,29.0,0.0,9.31,757324.8212
2327,600226.SH,瀚叶股份,农药化肥,3.11,29.0,2.0,4.33,862912.2796
979,002518.SZ,科士达,电器仪表,3.11,29.0,9.0,12.14,677352.5456
1651,300262.SZ,巴安水务,环境保护,3.11,29.0,11.0,8.19,341405.7503
1712,300323.SZ,华灿光电,半导体,3.11,29.0,6.0,9.29,652542.2493
798,002337.SZ,赛象科技,化工机械,3.1,28.0,5.0,5.41,317887.78
1028,002568.SZ,百润股份,红黄药酒,3.1,29.0,10.0,13.93,519251.0108
2406,600318.SH,新力金融,多元金融,3.1,28.0,9.0,9.73,470932.0
3446,603690.SH,至纯科技,专用机械,3.1,29.0,6.0,22.7,209239.52
166,000586.SZ,汇源通信,通信设备,3.1,30.0,17.0,11.43,221101.92
