,ts_code,symbol,name,industry,COL_CHG,COL_ODDS,COL_DELTA_ODDS,COL_CIRC_MV
88,300769.SZ,300769,德方纳米,化工原料,14.02,1.49,-1.8419768831168832,87.18
89,300736.SZ,300736,百邦科技,通信设备,18.26,2.03,-1.838865454545454,15.92
90,300578.SZ,300578,会畅通讯,通信设备,13.52,1.9,-1.8358023376623374,41.11
91,002304.SZ,002304,洋河股份,白酒,3.38,-0.75,-1.8155800000000002,2729.57
92,300802.SZ,300802,矩子科技,IT设备,3.76,-0.62,-1.8149236363636367,27.67
93,002957.SZ,002957,科瑞技术,专用机械,25.55,1.18,-1.805617402597402,35.32
94,002568.SZ,002568,百润股份,红黄酒,-0.17,-1.11,-1.80151012987013,422.42
95,002812.SZ,002812,恩捷股份,塑料,14.7,-0.22,-1.8007974025974023,1034.1
96,300679.SZ,300679,电连技术,元器件,2.09,-0.69,-1.756194545454545,82.84
97,600773.SH,600773,西藏城投,区域地产,-4.25,-2.45,-1.689261558441558,90.73
98,002145.SZ,002145,中核钛白,化工原料,1.17,-0.4,-1.6881742857142854,205.88
99,300618.SZ,300618,寒锐钴业,小金属,9.57,0.48,-1.6818885714285712,179.19
100,603931.SH,603931,格林达,化工原料,13.75,-0.22,-1.6595953246753243,11.21
101,002326.SZ,002326,永太科技,化工原料,35.21,3.88,-1.6312036363636362,98.3
102,000913.SZ,000913,钱江摩托,摩托车,9.23,-0.34,-1.6233641558441554,89.62
103,000762.SZ,000762,西藏矿业,小金属,-4.39,-3.02,-1.6057342857142864,116.71
104,603906.SH,603906,龙蟠科技,化工原料,15.0,1.39,-1.578965454545454,144.53
105,300613.SZ,300613,富瀚微,半导体,18.99,2.46,-1.5587451948051947,116.92
106,600071.SH,600071,凤凰光学,元器件,5.05,0.42,-1.540638441558441,37.52
107,002169.SZ,002169,智光电气,电气设备,28.45,3.1,-1.53827038961039,79.63
108,300097.SZ,300097,智云股份,电器仪表,6.48,0.43,-1.5337561038961036,21.24
109,300408.SZ,300408,三环集团,元器件,2.08,-0.28,-1.5244563636363635,653.22
110,300223.SZ,300223,北京君正,半导体,28.32,0.25,-1.4902607792207792,282.62
111,300201.SZ,300201,海伦哲,专用机械,6.6,0.6,-1.465671948051948,29.05
112,300568.SZ,300568,星源材质,化工原料,15.81,0.13,-1.464682857142857,168.35
113,300487.SZ,300487,蓝晓科技,化工原料,4.51,-0.27,-1.4544976623376626,84.76
114,002723.SZ,002723,金莱特,家用电器,35.14,1.23,-1.4519161038961035,34.96
115,300790.SZ,300790,宇瞳光学,电器仪表,-2.04,-1.44,-1.4474883116883117,30.12
116,300496.SZ,300496,中科创达,软件服务,-1.22,-1.0,-1.4444462337662336,440.52
117,603299.SH,603299,苏盐井神,化工原料,5.84,0.35,-1.4273584415584417,45.65
118,300709.SZ,300709,精研科技,元器件,24.24,2.66,-1.4249296103896105,41.31
119,002074.SZ,002074,国轩高科,电气设备,8.63,0.3,-1.4229935064935064,433.26
120,600132.SH,600132,重庆啤酒,啤酒,-0.43,-0.46,-1.4116301298701295,820.33
121,000858.SZ,000858,五粮液,白酒,-4.45,-1.38,-1.4102989610389607,11564.7
122,600520.SH,600520,文一科技,机械基件,10.91,1.19,-1.4008155844155847,12.56
123,300322.SZ,300322,硕贝德,通信设备,16.22,1.8,-1.3583496103896107,46.63
124,002886.SZ,002886,沃特股份,塑料,0.22,-0.39,-1.3280851948051948,23.77
125,000920.SZ,000920,南方汇通,环境保护,10.76,0.78,-1.3246257142857139,32.14
126,300054.SZ,300054,鼎龙股份,化工原料,5.18,-0.71,-1.3153298701298701,122.71
127,600363.SH,600363,联创光电,元器件,7.62,0.84,-1.3014831168831165,112.07
128,000969.SZ,000969,安泰科技,钢加工,6.21,0.06,-1.289185714285714,80.07
129,300650.SZ,300650,太龙照明,电气设备,7.17,0.18,-1.2801566233766233,10.59
130,300689.SZ,300689,澄天伟业,元器件,11.52,0.47,-1.2785072727272724,22.93
131,300082.SZ,300082,奥克股份,化工原料,21.88,2.18,-1.25550077922078,86.46
132,300458.SZ,300458,全志科技,元器件,30.39,2.38,-1.2541005194805197,152.11
133,600478.SH,600478,科力远,元器件,14.29,1.68,-1.2522036363636362,71.87
134,300376.SZ,300376,易事特,电气设备,8.69,1.11,-1.2366636363636365,158.82
135,003026.SZ,003026,中晶科技,半导体,5.51,-0.45,-1.2364283116883117,20.78
136,000729.SZ,000729,燕京啤酒,啤酒,6.71,0.85,-1.2271272727272726,203.53
137,300637.SZ,300637,扬帆新材,化工原料,13.57,-0.02,-1.210764675324675,21.76
138,300671.SZ,300671,富满电子,半导体,40.38,4.03,-1.1991093506493495,143.12
139,300876.SZ,300876,蒙泰高新,化纤,0.16,-0.37,-1.188381818181818,7.41
140,603993.SH,603993,洛阳钼业,小金属,-2.86,-1.18,-1.1759506493506495,959.25
141,603986.SH,603986,兆易创新,半导体,8.17,0.32,-1.1672005194805193,862.28
142,600584.SH,600584,长电科技,半导体,8.74,0.61,-1.1655506493506493,487.5
143,002965.SZ,002965,祥鑫科技,汽车配件,1.84,-0.01,-1.1600683116883117,18.26
144,002442.SZ,002442,龙星化工,化工原料,9.2,0.57,-1.1528657142857142,29.54
145,002805.SZ,002805,丰元股份,化工原料,24.72,2.28,-1.1526002597402596,21.44
146,002409.SZ,002409,雅克科技,化工原料,12.68,-0.03,-1.1496184415584416,172.8
147,002436.SZ,002436,兴森科技,元器件,12.54,0.09,-1.149133766233766,127.86
148,600206.SH,600206,有研新材,半导体,10.3,0.26,-1.1484836363636362,112.09
149,002036.SZ,002036,联创电子,元器件,0.42,-0.59,-1.1369683116883116,125.4
150,300317.SZ,300317,珈伟新能,半导体,11.42,0.76,-1.136350129870129,46.53
151,300327.SZ,300327,中颖电子,半导体,16.97,0.81,-1.1338766233766235,167.42
152,300811.SZ,300811,铂科新材,元器件,7.93,0.38,-1.1121353246753243,19.78
153,300739.SZ,300739,明阳电路,元器件,6.22,0.5,-1.1084799999999997,40.86
154,300373.SZ,300373,扬杰科技,半导体,8.22,0.6,-1.1050361038961038,215.59
155,002585.SZ,002585,双星新材,塑料,15.52,0.59,-1.1047288311688312,140.77
156,603690.SH,603690,至纯科技,专用机械,20.22,0.91,-1.0896932467532467,99.73
157,002056.SZ,002056,横店东磁,元器件,-3.13,-1.19,-1.0843867532467533,206.09
158,600496.SH,600496,精工钢构,钢加工,-0.73,-0.63,-1.0835981818181817,81.92
159,600160.SH,600160,巨化股份,化工原料,6.3,0.45,-1.0819485714285713,278.07
160,300346.SZ,300346,南大光电,元器件,28.23,1.51,-1.0735062337662336,134.87
161,002738.SZ,002738,中矿资源,小金属,9.87,0.96,-1.0688490909090909,109.64
162,002733.SZ,002733,雄韬股份,电气设备,5.76,0.08,-1.0645205194805194,60.27
163,300766.SZ,300766,每日互动,互联网,7.19,0.69,-1.0490384415584417,43.36
164,002741.SZ,002741,光华科技,化工原料,8.64,0.7,-1.0325153246753245,50.56
165,600519.SH,600519,贵州茅台,白酒,-1.22,-0.55,-1.0317070129870127,27523.3
166,603328.SH,603328,依顿电子,元器件,14.08,2.06,-1.0301283116883115,78.48
167,000049.SZ,000049,德赛电池,电气设备,5.78,0.6,-1.0297872727272723,132.97
168,002949.SZ,002949,华阳国际,建筑工程,-1.36,-0.73,-1.026481038961039,16.32
169,300077.SZ,300077,国民技术,半导体,67.95,5.17,-1.0130815584415576,68.84
170,002241.SZ,002241,歌尔股份,元器件,-1.6,-1.13,-1.0118477922077922,1097.7
171,002156.SZ,002156,通富微电,半导体,15.77,2.06,-1.0087929870129866,287.83
172,603083.SH,603083,剑桥科技,通信设备,5.68,0.32,-0.9980841558441558,41.79
173,600114.SH,600114,东睦股份,机械基件,4.07,-0.12,-0.994551688311688,48.94
174,300316.SZ,300316,晶盛机电,专用机械,3.46,-0.23,-0.9846932467532467,509.6
175,600850.SH,600850,华东电脑,软件服务,5.97,0.17,-0.9844368831168827,117.51
176,002119.SZ,002119,康强电子,半导体,9.56,0.57,-0.9844163636363635,43.81
177,300384.SZ,300384,三联虹普,纺织机械,12.24,0.86,-0.9823522077922073,43.77
178,300450.SZ,300450,先导智能,专用机械,8.06,0.11,-0.9748527272727268,832.01
179,002922.SZ,002922,伊戈尔,电气设备,-0.29,-0.81,-0.9743898701298701,28.33
180,300566.SZ,300566,激智科技,元器件,4.22,0.15,-0.9729701298701299,58.81
181,002045.SZ,002045,国光电器,元器件,5.7,-0.16,-0.9728654545454547,47.65
182,002236.SZ,002236,大华股份,电器仪表,-3.07,-1.25,-0.963365454545454,420.06
183,300366.SZ,300366,创意信息,软件服务,7.71,1.04,-0.9604940259740253,29.78
184,300506.SZ,300506,名家汇,建筑工程,1.65,-0.22,-0.9581363636363636,24.53
185,300672.SZ,300672,国科微,半导体,1.16,-0.66,-0.9579132467532467,130.63
186,002786.SZ,002786,银宝山新,专用机械,5.2,0.23,-0.9454932467532468,26.89
187,603396.SH,603396,金辰股份,专用机械,12.72,-0.4,-0.9412794805194807,39.92
188,300953.SZ,300953,震裕科技,机械基件,10.97,0.39,-0.9411651948051942,18.24
189,300293.SZ,300293,蓝英装备,专用机械,2.34,-0.62,-0.9393924675324673,37.83
190,300429.SZ,300429,强力新材,化工原料,7.53,-0.37,-0.9302958441558444,38.0
191,300842.SZ,300842,帝科股份,半导体,3.73,-0.06,-0.92789012987013,11.39
192,603324.SH,603324,盛剑环境,环境保护,5.36,-0.37,-0.923252727272727,10.35
193,300721.SZ,300721,怡达股份,化工原料,7.38,0.46,-0.9040187012987011,23.83
194,002792.SZ,002792,通宇通讯,通信设备,-0.59,-0.56,-0.9012057142857142,27.79
195,600590.SH,600590,泰豪科技,电气设备,8.31,0.17,-0.8880916883116882,59.48
196,002993.SZ,002993,奥海科技,元器件,1.93,-0.22,-0.8852212987012987,22.29
197,300731.SZ,300731,科创新源,橡胶,5.95,0.61,-0.8754820779220778,32.2
198,002745.SZ,002745,木林森,电气设备,3.3,0.2,-0.8737361038961037,137.81
199,000576.SZ,000576,甘化科工,综合类,2.87,-0.07,-0.8649158441558439,47.92
200,300687.SZ,300687,赛意信息,软件服务,4.89,0.4,-0.8640049350649355,48.84
201,300604.SZ,300604,长川科技,专用机械,49.74,3.49,-0.8626659740259739,113.74
202,002542.SZ,002542,中化岩土,建筑工程,2.76,0.01,-0.857433766233766,43.35
203,300288.SZ,300288,朗玛信息,软件服务,6.63,0.25,-0.8527716883116881,25.97
204,000155.SZ,000155,川能动力,新型电力,-2.61,-1.52,-0.8480140259740258,175.01
205,600499.SH,600499,科达制造,专用机械,2.3,-1.1,-0.8399950649350643,217.5
206,600731.SH,600731,湖南海利,农药化肥,9.59,0.68,-0.818675844155844,37.39
207,002428.SZ,002428,云南锗业,小金属,1.81,-0.27,-0.8185470129870132,72.36
208,603005.SH,603005,晶方科技,半导体,4.18,0.29,-0.7933864935064933,204.35
209,002584.SZ,002584,西陇科学,化工原料,5.81,-0.12,-0.7909111688311689,23.68
210,300297.SZ,300297,蓝盾股份,软件服务,9.63,1.43,-0.7875735064935072,39.61
211,002245.SZ,002245,蔚蓝锂芯,仓储物流,3.28,-0.49,-0.7834161038961036,134.11
212,605358.SH,605358,立昂微,半导体,22.49,1.33,-0.7781706493506493,37.33
213,300448.SZ,300448,浩云科技,软件服务,7.66,1.29,-0.7745067532467524,32.97
214,300812.SZ,300812,易天股份,专用机械,4.65,-0.11,-0.774237142857143,13.62
215,600458.SH,600458,时代新材,塑料,3.85,0.21,-0.7716075324675324,71.45
216,300409.SZ,300409,道氏技术,陶瓷,8.29,0.39,-0.7659735064935066,47.17
217,002185.SZ,002185,华天科技,半导体,3.79,0.52,-0.7630610389610385,359.93
218,002824.SZ,002824,和胜股份,铝,1.1,-1.27,-0.7625464935064936,33.61
219,300560.SZ,300560,中富通,通信设备,10.57,1.41,-0.7602810389610395,14.83
220,300182.SZ,300182,捷成股份,软件服务,3.12,0.03,-0.7485875324675324,78.06
221,603010.SH,603010,万盛股份,化工原料,7.78,0.16,-0.7432007792207792,110.58
222,300520.SZ,300520,科大国创,软件服务,5.18,-0.02,-0.7394823376623377,39.09
223,300567.SZ,300567,精测电子,电器仪表,4.25,-0.04,-0.7376451948051946,92.73
224,300433.SZ,300433,蓝思科技,元器件,0.29,-0.55,-0.7254080519480519,1227.91
225,002183.SZ,002183,怡亚通,仓储物流,11.48,0.81,-0.7250028571428571,127.74
226,300706.SZ,300706,阿石创,元器件,5.84,0.01,-0.7213153246753247,17.48
227,000063.SZ,000063,中兴通讯,通信设备,11.63,0.92,-0.7203563636363636,1281.42
228,603078.SH,603078,江化微,化工原料,13.95,0.22,-0.7176963636363636,43.86
229,000973.SZ,000973,佛塑科技,塑料,3.54,-0.01,-0.7170464935064935,42.47
230,002725.SZ,002725,跃岭股份,汽车配件,5.94,0.72,-0.7162672727272722,14.98
231,000733.SZ,000733,振华科技,元器件,4.84,-0.04,-0.706390909090909,284.33
232,300598.SZ,300598,诚迈科技,软件服务,21.91,3.94,-0.7040306493506474,114.08
233,000158.SZ,000158,常山北明,纺织,18.67,0.82,-0.702533766233766,160.02
234,002273.SZ,002273,水晶光电,元器件,3.54,-0.11,-0.7010719480519478,158.72
235,600330.SH,600330,天通股份,元器件,5.99,0.25,-0.698823896103896,89.89
236,002632.SZ,002632,道明光学,化工原料,5.78,0.09,-0.6941496103896104,39.75
237,600360.SH,600360,华微电子,半导体,7.46,1.03,-0.6881885714285714,74.71
238,002947.SZ,002947,恒铭达,元器件,7.58,0.63,-0.6873314285714283,15.89
239,002171.SZ,002171,楚江新材,铜,7.06,0.57,-0.68706987012987,103.35
240,300394.SZ,300394,天孚通信,通信设备,9.73,0.7,-0.6867400000000001,86.83
241,000408.SZ,000408,藏格控股,农药化肥,21.94,3.08,-0.6808132467532473,103.93
242,600641.SH,600641,万业企业,区域地产,6.45,0.35,-0.6787693506493506,153.27
243,603160.SH,603160,汇顶科技,元器件,10.04,0.44,-0.6774355844155844,594.33
244,603938.SH,603938,三孚股份,化工原料,1.28,-0.16,-0.6752971428571428,43.34
245,002263.SZ,002263,大东南,塑料,3.96,0.46,-0.6654044155844157,54.28
246,002180.SZ,002180,纳思达,IT设备,3.43,-0.12,-0.6632420779220779,264.13
247,603893.SH,603893,瑞芯微,半导体,26.15,2.79,-0.6610646753246758,192.51
248,300353.SZ,300353,东土科技,通信设备,6.52,0.93,-0.6601007792207793,28.68
249,300712.SZ,300712,永福股份,建筑工程,15.42,2.65,-0.6583342857142851,84.1
250,603959.SH,603959,百利科技,建筑工程,9.31,0.27,-0.6571301298701298,54.67
251,300379.SZ,300379,东方通,软件服务,10.88,1.77,-0.6554724675324675,112.44
252,603290.SH,603290,斯达半导,半导体,4.36,-0.08,-0.6552036363636363,181.7
253,000413.SZ,000413,东旭光电,元器件,7.14,0.81,-0.6530449350649351,102.15
254,600096.SH,600096,云天化,农药化肥,14.86,2.19,-0.6438587012987007,159.94
255,002449.SZ,002449,国星光电,半导体,3.49,0.03,-0.6437844155844156,56.18
256,605111.SH,605111,新洁能,半导体,2.06,-0.41,-0.641284935064935,45.06
257,300398.SZ,300398,飞凯材料,染料涂料,12.39,0.45,-0.6394641558441561,84.41
258,600884.SH,600884,杉杉股份,综合类,23.93,2.88,-0.631011948051948,325.44
259,603985.SH,603985,恒润股份,机械基件,-2.02,-0.82,-0.6253994805194805,43.48
260,002338.SZ,002338,奥普光电,电器仪表,5.44,0.42,-0.6163542857142856,46.94
261,300310.SZ,300310,宜通世纪,通信设备,10.36,1.48,-0.6117064935064931,31.68
262,002268.SZ,002268,卫士通,软件服务,14.67,0.36,-0.6093374025974025,166.09
263,000062.SZ,000062,深圳华强,批发业,2.45,-0.43,-0.6018355844155844,166.08
264,300663.SZ,300663,科蓝软件,软件服务,12.36,2.0,-0.588406753246753,60.25
265,600600.SH,600600,青岛啤酒,啤酒,9.75,1.53,-0.5872322077922081,766.83
266,300536.SZ,300536,农尚环境,建筑工程,3.65,0.28,-0.5804072727272728,29.21
267,002006.SZ,002006,精功科技,专用机械,2.27,-0.28,-0.580273766233766,30.72
268,000839.SZ,000839,中信国安,综合类,-1.36,-0.61,-0.5800181818181819,85.45
269,300510.SZ,300510,金冠股份,电气设备,2.07,-0.43,-0.5790163636363637,48.59
270,300323.SZ,300323,华灿光电,半导体,5.84,0.26,-0.5756872727272728,105.05
271,300307.SZ,300307,慈星股份,纺织机械,-2.5,-0.96,-0.5701815584415586,54.18
272,603386.SH,603386,广东骏亚,元器件,2.29,-0.4,-0.5600311688311688,37.67
273,300395.SZ,300395,菲利华,玻璃,3.3,-0.53,-0.5600241558441558,133.34
274,000570.SZ,000570,苏常柴A,机械基件,3.51,0.1,-0.5548075324675324,23.08
275,000066.SZ,000066,中国长城,IT设备,3.78,0.07,-0.5507610389610387,435.06
276,300260.SZ,300260,新莱应材,机械基件,13.35,0.89,-0.5484999999999998,26.93
277,300466.SZ,300466,赛摩智能,电器仪表,6.18,0.22,-0.5475049350649348,20.76
278,600770.SH,600770,综艺股份,综合类,9.6,1.77,-0.545621038961039,74.23
279,002463.SZ,002463,沪电股份,元器件,3.69,0.34,-0.5448727272727272,263.71
280,002138.SZ,002138,顺络电子,元器件,8.51,0.87,-0.5422524675324673,233.05
281,002729.SZ,002729,好利来,元器件,6.04,0.57,-0.5403690909090911,31.84
282,300656.SZ,300656,民德电子,IT设备,14.13,2.03,-0.5392501298701298,22.43
283,002279.SZ,002279,久其软件,软件服务,2.83,0.09,-0.5372841558441558,32.65
284,603501.SH,603501,韦尔股份,半导体,-2.44,-1.09,-0.5371000000000001,2190.15
285,002662.SZ,002662,京威股份,汽车配件,2.06,-0.06,-0.5335387012987012,51.9
286,000559.SZ,000559,万向钱潮,汽车配件,-0.4,-0.34,-0.5326883116883117,137.38
287,000930.SZ,000930,中粮科技,农业综合,0.83,-0.35,-0.528005974025974,93.55
288,600405.SH,600405,动力源,电气设备,9.09,0.81,-0.5249851948051948,37.18
289,000050.SZ,000050,深天马A,元器件,2.06,0.03,-0.5243,289.91
290,300870.SZ,300870,欧陆通,元器件,5.26,0.52,-0.5200584415584416,13.32
291,300116.SZ,300116,保力新,电气设备,0.0,-0.31,-0.5181592207792207,74.01
292,002160.SZ,002160,常铝股份,铝,-1.18,-0.7,-0.5034781818181817,30.47
293,002106.SZ,002106,莱宝高科,元器件,1.98,0.07,-0.5026984415584415,83.58
294,000581.SZ,000581,威孚高科,汽车配件,3.85,0.24,-0.49913064935064944,200.4
295,002288.SZ,002288,超华科技,元器件,10.9,1.41,-0.49838259740259727,69.98
296,300770.SZ,300770,新媒股份,影视音像,-0.29,-0.59,-0.49600129870129867,73.27
297,000557.SZ,000557,西部创业,铁路,1.92,0.24,-0.49456519480519473,54.09
298,300080.SZ,300080,易成新能,电气设备,2.73,0.07,-0.4943220779220777,53.5
299,002371.SZ,002371,北方华创,半导体,24.17,1.83,-0.4927631168831166,994.86
300,003043.SZ,003043,华亚智能,专用机械,-0.62,-1.39,-0.4925745454545447,10.66
301,300021.SZ,300021,大禹节水,农业综合,-0.81,-0.63,-0.489457922077922,31.58
302,603728.SH,603728,鸣志电器,电气设备,-1.24,-0.9,-0.48471142857142885,69.14
303,300623.SZ,300623,捷捷微电,半导体,10.29,1.17,-0.4821849350649352,199.09
304,300660.SZ,300660,江苏雷利,电气设备,4.91,0.33,-0.4799857142857142,25.44
305,600467.SH,600467,好当家,渔业,-0.75,-0.46,-0.4762802597402597,38.42
306,000936.SZ,000936,华西股份,化纤,5.75,0.35,-0.4702927272727272,58.61
307,002430.SZ,002430,杭氧股份,化工机械,-0.92,-0.54,-0.4673228571428571,310.14
308,600183.SH,600183,生益科技,元器件,1.35,-0.15,-0.46687999999999985,517.85
309,002751.SZ,002751,易尚展示,家居用品,5.67,0.65,-0.4665885714285716,26.12
