,ts_code,symbol,name,industry,COL_LASTPRICE,COL_RECENT_LIMIT_COUNT_15,COL_RECENT_LIMIT_COUNT_3,COL_CONTINUOUS_LIMIT_COUNT,COL_CIRC_MV,COL_FLOAT_HOLDERS,COL_HOLDERS_COUNT,COL_HAS_MINGHONG
10,603330.SH,603330,上海天洋,塑料,25.4,1.0,0.0,0.0,38.83,上海明汯投资管理有限公司-明汯价值成长1期私募投资基金,1.0,True
11,603283.SH,603283,赛腾股份,专用机械,48.83,0.0,0.0,0.0,23.94,"全国社保基金四零一组合
中国银行-南方高增长股票型开放式证券投资基金
中国建设银行-上投摩根成长先锋股票型证券投资基金
交通银行-中海优质成长证券投资基金
香港中央结算有限公司(陆股通)
中国工商银行-易方达价值成长混合型证券投资基金
上海明汯投资管理有限公司-明汯价值成长1期私募投资基金
交通银行-中海优质成长证券投资基金)",8.0,True
12,603185.SH,603185,上机数控,机床制造,81.75,2.0,0.0,0.0,47.58,"全国社保基金五零二组合
中国建设银行股份有限公司-富国低碳新经济混合型证券投资基金
兴业银行股份有限公司-中银顺兴回报一年持有期混合型证券投资基金
香港中央结算有限公司(陆股通)
中国农业银行股份有限公司-富国创业板两年定期开放混合型证券投资基金
上海明汯投资管理有限公司-明汯价值成长1期私募投资基金
中国建设银行股份有限公司-富国国家安全主题混合型证券投资基金",7.0,True
13,603136.SH,603136,天目湖,旅游景点,26.72,0.0,0.0,0.0,31.0,"中国民生银行股份有限公司-工银瑞信新得利混合型证券投资基金
中国建设银行股份有限公司-华夏创新前沿股票型证券投资基金
中国农业银行-华夏平稳增长混合型证券投资基金
华夏基金华益3号股票型养老金产品-中国建设银行股份有限公司
上海蠡慧投资管理合伙企业(有限合伙)-蠡慧阿尔法契约型私募投资基金
中国工商银行股份有限公司-华夏领先股票型证券投资基金
上海明汯投资管理有限公司-明汯价值成长1期私募投资基金
全国社保基金四零三组合",8.0,True
14,603106.SH,603106,恒银科技,IT设备,8.22,0.0,0.0,0.0,32.91,上海明汯投资管理有限公司-明汯价值成长1期私募投资基金,1.0,True
15,603090.SH,603090,宏盛股份,专用机械,16.81,0.0,0.0,0.0,16.81,上海明汯投资管理有限公司-明汯价值成长1期私募投资基金,1.0,True
16,603059.SH,603059,倍加洁,家居用品,32.0,0.0,0.0,0.0,8.0,上海明汯投资管理有限公司-明汯价值成长1期私募投资基金,1.0,True
17,600589.SH,600589,广东榕泰,塑料,3.89,0.0,0.0,0.0,27.39,上海明汯投资管理有限公司-明汯价值成长1期私募投资基金,1.0,True
18,600573.SH,600573,惠泉啤酒,啤酒,8.14,2.0,1.0,0.0,20.35,"上海明汯投资管理有限公司-明汯价值成长1期私募投资基金
上海昀启投资有限公司-昀启投资-私募学院菁英69号基金
上海谦荣投资有限公司-光华9234捕鱼私募基金二期",3.0,True
19,600361.SH,600361,华联综超,超市连锁,4.31,0.0,0.0,0.0,28.7,"上海明汯投资管理有限公司-明汯价值成长1期私募投资基金
中国工商银行股份有限公司-南方大数据100指数证券投资基金",2.0,True
20,600197.SH,600197,伊力特,白酒,18.77,0.0,0.0,0.0,81.58,"中国银行股份有限公司-招商中证白酒指数分级证券投资基金
全国社保基金五零二组合
中国工商银行股份有限公司-易方达价值精选混合型证券投资基金
中国工商银行股份有限公司-东方红启元三年持有期混合型证券投资基金
中国工商银行股份有限公司—东方红启元三年持有期混合型证券投资基金
香港中央结算有限公司(陆股通)
上海明汯投资管理有限公司-明汯价值成长1期私募投资基金",7.0,True
21,603893.SH,603893,瑞芯微,半导体,71.05,0.0,0.0,0.0,29.84,"交通银行股份有限公司-万家行业优选混合型证券投资基金(LOF)
招商银行股份有限公司-万家经济新动能混合型证券投资基金
中国工商银行股份有限公司-万家自主创新混合型证券投资基金
中国农业银行股份有限公司-万家科技创新混合型证券投资基金
上海明汯投资管理有限公司-明汯价值成长1期私募投资基金",5.0,True
22,603903.SH,603903,中持股份,环境保护,11.2,0.0,0.0,0.0,22.61,上海明汯投资管理有限公司-明汯价值成长1期私募投资基金,1.0,True
23,300875.SZ,300875,捷强装备,专用机械,122.47,1.0,0.0,0.0,23.51,"北京汐合精英投资有限公司-汐合量化1号私募证券投资基金
上海明汯投资管理有限公司-明汯朱庇特2号私募证券投资基金
中信信托有限责任公司-中信信托锐进43期高毅庆瑞投资集合资金信托计划
上海高毅资产管理合伙企业(有限合伙)-高毅庆瑞6号瑞行基金",4.0,True
24,603917.SH,603917,合力科技,汽车配件,11.46,0.0,0.0,0.0,9.2,上海明汯投资管理有限公司-明汯价值成长1期私募投资基金,1.0,True
25,688398.SH,688398,赛特新材,矿物制品,55.15,0.0,0.0,0.0,10.48,"上海明汯投资管理有限公司-明汯价值成长1期私募投资基金
九坤投资(北京)有限公司-九坤私享33号私募证券投资基金
上海明汯投资管理有限公司-明汯朱庇特2号私募证券投资基金",3.0,True
26,688357.SH,688357,建龙微纳,化工原料,79.12,0.0,0.0,0.0,10.87,"中国工商银行-广发聚丰混合型证券投资基金
招商银行股份有限公司-广发新经济混合型发起式证券投资基金
上海明汯投资管理有限公司-明汯朱庇特2号私募证券投资基金
中国国际金融香港资产管理有限公司-客户资金2
中国银行股份有限公司-广发优势增长股票型证券投资基金
上海明汯投资管理有限公司-明汯价值成长1期私募投资基金
招商银行股份有限公司-富国科创板两年定期开放混合型证券投资基金",7.0,True
27,688288.SH,688288,鸿泉物联,汽车配件,40.81,0.0,0.0,0.0,8.67,"中国建设银行股份有限公司-华安科技动力混合型证券投资基金
中国建设银行股份有限公司-中欧电子信息产业沪港深股票型证券投资基金
中国建设银行股份有限公司-银河蓝筹精选混合型证券投资基金
中国建设银行股份有限公司-上投摩根卓越制造股票型证券投资基金
中信银行股份有限公司-金鹰策略配置混合型证券投资基金
中国工商银行股份有限公司-中欧可转债债券型证券投资基金
招商银行股份有限公司-中欧科创主题3年封闭运作灵活配置混合型证券投资基金
上海明汯投资管理有限公司-明汯价值成长1期私募投资基金",8.0,True
28,688218.SH,688218,江苏北人,专用机械,24.53,0.0,0.0,0.0,6.53,上海明汯投资管理有限公司-明汯朱庇特2号私募证券投资基金,1.0,True
29,688186.SH,688186,广大特材,特种钢,35.0,0.0,0.0,0.0,14.1,上海明汯投资管理有限公司-明汯价值成长1期私募投资基金,1.0,True
30,688178.SH,688178,万德斯,环境保护,37.67,0.0,0.0,0.0,7.6,"九坤投资(北京)有限公司-九坤私享33号私募证券投资基金
上海明汯投资管理有限公司-明汯朱庇特2号私募证券投资基金",2.0,True
31,688159.SH,688159,有方科技,通信设备,37.42,0.0,0.0,0.0,7.58,"上海明汯投资管理有限公司-明汯朱庇特2号私募证券投资基金
九坤投资(北京)有限公司-九坤私享33号私募证券投资基金
中国建设银行股份有限公司-华夏优势增长混合型证券投资基金",3.0,True
32,688128.SH,688128,中国电研,专用机械,19.9,0.0,0.0,0.0,9.66,上海明汯投资管理有限公司-明汯朱庇特2号私募证券投资基金,1.0,True
33,688085.SH,688085,三友医疗,医疗保健,53.6,0.0,0.0,0.0,23.84,"大成价值增长证券投资基金
中国工商银行股份有限公司-中欧医疗健康混合型证券投资基金
交通银行股份有限公司-万家行业优选混合型证券投资基金(LOF)
中国银行股份有限公司-博时医疗保健行业混合型证券投资基金
招商银行股份有限公司-万家经济新动能混合型证券投资基金
上海明汯投资管理有限公司-明汯价值成长1期私募投资基金
中国邮政储蓄银行有限责任公司-中欧中小盘股票型证券投资基金(LOF)
中国建设银行股份有限公司-南方医药保健灵活配置混合型证券投资基金
兴业银行股份有限公司-新疆前海联合价值优选混合型证券投资基金
全国社保基金一零七组合
中国农业银行股份有限公司-大成积极成长混合型证券投资基金
大家资产-工商银行-大家资产-蓝筹精选5号集合资产管理产品
中国银行股份有限公司-广发医疗保健股票型证券投资基金",13.0,True
34,688081.SH,688081,兴图新科,软件服务,37.7,0.0,0.0,0.0,6.69,"上海青沣资产管理中心(普通合伙)-青沣有和2期私募证券投资基金
上海明汯投资管理有限公司-明汯朱庇特2号私募证券投资基金",2.0,True
35,688033.SH,688033,天宜上佳,运输设备,18.05,0.0,0.0,0.0,54.99,"九坤投资(北京)有限公司-九坤私享33号私募证券投资基金
上海明汯投资管理有限公司-明汯朱庇特2号私募证券投资基金",2.0,True
36,688028.SH,688028,沃尔德,专用机械,46.77,0.0,0.0,0.0,17.85,"九坤投资(北京)有限公司-九坤私享33号私募证券投资基金
上海明汯投资管理有限公司-明汯朱庇特2号私募证券投资基金",2.0,True
37,688011.SH,688011,新光光电,元器件,48.97,0.0,0.0,0.0,19.97,"上海明汯投资管理有限公司-明汯朱庇特2号私募证券投资基金
中国银行股份有限公司-宝盈核心优势灵活配置混合型证券投资基金
中国工商银行股份有限公司-交银施罗德趋势优先混合型证券投资基金
中国农业银行股份有限公司-宝盈转型动力灵活配置混合型证券投资基金
黑龙江龙财盘实高新技术创业股权投资基金管理有限公司-黑龙江龙财盘实高新技术创业股权投资基金企业(有限合伙)
北京国科瑞华战略性新兴产业投资基金(有限合伙)",6.0,True
38,688010.SH,688010,福光股份,电器仪表,36.29,0.0,0.0,0.0,22.28,上海明汯投资管理有限公司-明汯朱庇特2号私募证券投资基金,1.0,True
39,603991.SH,603991,至正股份,塑料,36.15,0.0,0.0,0.0,26.94,"上海纳华资产管理有限公司
上海明汯投资管理有限公司-明汯价值成长1期私募投资基金",2.0,True
40,603988.SH,603988,中电电机,电气设备,13.7,0.0,0.0,0.0,32.22,上海明汯投资管理有限公司-明汯价值成长1期私募投资基金,1.0,True
41,603919.SH,603919,金徽酒,白酒,27.44,2.0,1.0,0.0,134.81,"中国银行股份有限公司-招商中证白酒指数分级证券投资基金
中央企业贫困地区产业投资基金股份有限公司
甘肃长城兴陇丝路基金管理有限公司-甘肃长城兴陇丝路基金(有限合伙)
贫困地区产业发展基金有限公司
上海明汯投资管理有限公司-明汯价值成长1期私募投资基金",5.0,True
42,300895.SZ,300895,铜牛信息,软件服务,72.35,2.0,1.0,0.0,16.64,上海明汯投资管理有限公司-明汯朱庇特2号私募证券投资基金,1.0,True
43,300848.SZ,300848,美瑞新材,化工原料,55.99,0.0,0.0,0.0,9.33,上海明汯投资管理有限公司-明汯价值成长1期私募投资基金,1.0,True
44,300852.SZ,300852,四会富仕,元器件,96.8,0.0,0.0,0.0,13.71,"中国国际金融香港资产管理有限公司-客户资金2
上海明汯投资管理有限公司-明汯价值成长1期私募投资基金",2.0,True
45,300632.SZ,300632,光莆股份,半导体,21.73,0.0,0.0,0.0,28.46,"上海明汯投资管理有限公司-明汯价值成长1期私募投资基金
中国农业银行股份有限公司-信诚四季红混合型证券投资基金",2.0,True
46,300547.SZ,300547,川环科技,橡胶,13.35,2.0,0.0,0.0,19.33,上海明汯投资管理有限公司-明汯价值成长1期私募投资基金,1.0,True
47,300519.SZ,300519,新光药业,中成药,24.18,2.0,0.0,0.0,27.59,上海明汯投资管理有限公司-明汯价值成长1期私募投资基金,1.0,True
48,300508.SZ,300508,维宏股份,软件服务,32.78,0.0,0.0,0.0,13.75,上海明汯投资管理有限公司-明汯价值成长1期私募投资基金,1.0,True
49,300504.SZ,300504,天邑股份,通信设备,21.27,0.0,0.0,0.0,22.42,"中国工商银行股份有限公司-国泰中证全指通信设备交易型开放式指数证券投资基金
上海明汯投资管理有限公司-明汯价值成长1期私募投资基金
中国工商银行股份有限公司-新华趋势领航混合型证券投资基金
香港中央结算有限公司(陆股通)",4.0,True
50,300399.SZ,300399,京天利,互联网,22.9,1.0,0.0,0.0,34.34,上海明汯投资管理有限公司-明汯价值成长1期私募投资基金,1.0,True
51,300389.SZ,300389,艾比森,半导体,11.74,0.0,0.0,0.0,19.24,"上海明汯投资管理有限公司-明汯价值成长1期私募投资基金
中央汇金资产管理有限责任公司",2.0,True
52,300387.SZ,300387,富邦股份,化工原料,9.78,0.0,0.0,0.0,28.27,上海明汯投资管理有限公司-明汯价值成长1期私募投资基金,1.0,True
53,300330.SZ,300330,华虹计通,软件服务,13.12,0.0,0.0,0.0,22.04,上海明汯投资管理有限公司-明汯价值成长1期私募投资基金,1.0,True
54,300246.SZ,300246,宝莱特,医疗保健,35.1,0.0,0.0,0.0,37.82,"中国工商银行股份有限公司-融通健康产业灵活配置混合型证券投资基金
上海明汯投资管理有限公司-明汯价值成长1期私募投资基金
中国工商银行股份有限公司-南方大数据100指数证券投资基金
中央汇金资产管理有限责任公司",4.0,True
55,003007.SZ,003007,直真科技,软件服务,34.68,0.0,0.0,0.0,6.94,上海明汯投资管理有限公司-明汯朱庇特2号私募证券投资基金,1.0,True
56,003002.SZ,003002,壶化股份,化工原料,14.03,1.0,0.0,0.0,7.01,"上海明汯投资管理有限公司-明汯朱庇特2号私募证券投资基金
上海明汯投资管理有限公司-明汯中性添利13号私募证券投资基金",2.0,True
57,002980.SZ,002980,华盛昌,电器仪表,55.25,0.0,0.0,0.0,18.42,上海明汯投资管理有限公司-明汯价值成长1期私募投资基金,1.0,True
58,002978.SZ,002978,安宁股份,小金属,37.32,0.0,0.0,0.0,15.15,上海明汯投资管理有限公司-明汯价值成长1期私募投资基金,1.0,True
59,002923.SZ,002923,润都股份,化学制药,20.29,0.0,0.0,0.0,12.55,"上海明汯投资管理有限公司-明汯价值成长1期私募投资基金
广东中科白云新兴产业创业投资基金有限公司",2.0,True
60,002913.SZ,002913,奥士康,元器件,64.45,1.0,0.0,0.0,23.69,"华宝信托有限责任公司-“辉煌”98号单一资金信托
上海明汯投资管理有限公司-明汯价值成长1期私募投资基金
香港中央结算有限公司(陆股通)
陕西省国际信托股份有限公司-陕国投·奥士康第二期员工持股证券投资集合资金信托计划",4.0,True
61,002908.SZ,002908,德生科技,元器件,13.6,0.0,0.0,0.0,19.47,上海明汯投资管理有限公司-明汯价值成长1期私募投资基金,1.0,True
62,002881.SZ,002881,美格智能,通信设备,21.67,1.0,0.0,0.0,23.29,"上海明汯投资管理有限公司-明汯价值成长1期私募投资基金
中国银行股份有限公司-国泰CES半导体行业交易型开放式指数证券投资基金",2.0,True
63,300599.SZ,300599,雄塑科技,塑料,13.08,0.0,0.0,0.0,19.63,"上海明汯投资管理有限公司-明汯价值成长1期私募投资基金
中国银行-海富通收益增长证券投资基金",2.0,True
64,300673.SZ,300673,佩蒂股份,饲料,36.19,0.0,0.0,0.0,30.7,"中国工商银行-广发聚丰混合型证券投资基金
招商银行股份有限公司-广发新经济混合型发起式证券投资基金
华安基金-兴业银行-华安基金-新纪元1号资产管理计划
中国农业银行股份有限公司-景顺长城中小板创业板精选股票型证券投资基金
建信基金-建设银行-中国人寿-中国人寿委托建信基金股票型组合
上海明汯投资管理有限公司-明汯价值成长1期私募投资基金
全国社保基金六零二组合",7.0,True
65,002809.SZ,002809,红墙股份,化工原料,12.17,0.0,0.0,0.0,15.97,"上海明汯投资管理有限公司-明汯价值成长1期私募投资基金
中银国际证券-中银理财-智富(封闭式)2019年01期-中银证券-中银理财3号单一资产管理计划
中国光大银行股份有限公司-汇安核心资产混合型证券投资基金",3.0,True
66,300675.SZ,300675,建科院,建筑工程,24.83,3.0,0.0,0.0,36.42,"上海明汯投资管理有限公司-明汯价值成长1期私募投资基金
广东万有道资产管理有限公司-万有道无始门私募证券投资基金
全国社会保障基金理事会转持一户",3.0,True
67,300845.SZ,300845,捷安高科,软件服务,43.27,0.0,0.0,0.0,9.99,上海明汯投资管理有限公司-明汯价值成长1期私募投资基金,1.0,True
68,300837.SZ,300837,浙矿股份,专用机械,59.13,0.0,0.0,0.0,14.78,"深圳德威资本投资管理有限公司-德威资本劲松1号私募基金
上海明汯投资管理有限公司-明汯价值成长1期私募投资基金
中国农业银行股份有限公司-大成一带一路灵活配置混合型证券投资基金
全国社保基金五零一组合",4.0,True
69,300823.SZ,300823,建科机械,专用机械,33.37,0.0,0.0,0.0,7.81,"中国工商银行股份有限公司-交银施罗德趋势优先混合型证券投资基金
上海明汯投资管理有限公司-明汯价值成长1期私募投资基金
博时基金-上海银行-博时基金阳光增利集合资产管理计划
中国农业银行股份有限公司-交银施罗德科锐科技创新混合型证券投资基金",4.0,True
70,300822.SZ,300822,贝仕达克,元器件,54.55,0.0,0.0,0.0,14.55,"上海明汯投资管理有限公司-明汯价值成长1期私募投资基金
上海高毅资产管理合伙企业(有限合伙)-高毅庆瑞6号瑞行基金",2.0,True
71,300819.SZ,300819,聚杰微纤,化纤,52.18,3.0,0.0,0.0,12.98,"上海明汯投资管理有限公司-明汯量化中小盘增强1号私募证券投资基金
上海明汯投资管理有限公司-明汯价值成长1期私募投资基金
上海明汯投资管理有限公司-明汯股票中性专享1号私募证券投资基金",3.0,True
72,300818.SZ,300818,耐普矿机,专用机械,39.77,0.0,0.0,0.0,6.96,"深圳市诚和昌投资发展有限公司-诚和昌鸿基成长1号私募证券投资基金
上海明汯投资管理有限公司-明汯价值成长1期私募投资基金",2.0,True
73,300806.SZ,300806,斯迪克,塑料,53.74,0.0,0.0,0.0,15.7,"珠海市孚悦中诚资产管理有限公司-悦诚同心共享10号私募证券投资基金
中国建设银行股份有限公司-博时回报灵活配置混合型证券投资基金
广发证券股份有限公司-大成睿景灵活配置混合型证券投资基金
中国工商银行股份有限公司-博时产业新动力灵活配置混合型发起式证券投资基金
中国工商银行股份有限公司-博时科技创新混合型证券投资基金
中国银行-海富通收益增长证券投资基金
上海明汯投资管理有限公司-明汯价值成长1期私募投资基金",7.0,True
74,300795.SZ,300795,米奥会展,综合类,26.23,0.0,0.0,0.0,9.68,上海明汯投资管理有限公司-明汯价值成长1期私募投资基金,1.0,True
75,300793.SZ,300793,佳禾智能,IT设备,22.64,0.0,0.0,0.0,23.07,"上海华元恒道资产管理有限公司
上海明汯投资管理有限公司-明汯价值成长1期私募投资基金
中国建设银行股份有限公司-南方现代教育股票型证券投资基金
香港中央结算有限公司(陆股通)",4.0,True
76,300781.SZ,300781,因赛集团,广告包装,57.99,3.0,0.0,0.0,15.97,"安徽科讯创业投资基金合伙企业(有限合伙)
上海明汯投资管理有限公司-明汯价值成长1期私募投资基金
上海景商投资管理有限公司-景商金牛6号私募证券投资基金",3.0,True
77,300739.SZ,300739,明阳电路,元器件,26.08,0.0,0.0,0.0,18.31,"中国国际金融香港资产管理有限公司-客户资金2
上海明汯投资管理有限公司-明汯价值成长1期私募投资基金
中国建设银行股份有限公司-长城量化小盘股票型证券投资基金",3.0,True
78,300732.SZ,300732,设研院,建筑工程,17.87,0.0,0.0,0.0,25.8,上海明汯投资管理有限公司-明汯价值成长1期私募投资基金,1.0,True
79,300729.SZ,300729,乐歌股份,家居用品,72.15,1.0,0.0,0.0,27.49,"中国农业银行股份有限公司-交银施罗德数据产业灵活配置混合型证券投资基金
中国银行股份有限公司-大成中小盘混合型证券投资基金(LOF)
上海明汯投资管理有限公司-明-汯价值成长1期私募投资基金
康策略优选灵活配置混合型证券投资基金
中国工商银行股份有限公司-泰康策略优选灵活配置混合型证券投资基金
上海明汯投资管理有限公司-明汯价值成长1期私募投资基金
全国社保基金四一一组合",7.0,True
80,300722.SZ,300722,新余国科,专用机械,67.67,6.0,0.0,0.0,24.63,"中国国际金融香港资产管理有限公司-客户资金2
上海明汯投资管理有限公司-明汯价值成长1期私募投资基金
中国建设银行股份有限公司-富国中证军工指数分级证券投资基金
中国建设银行股份有限公司-国泰中证军工交易型开放式指数证券投资基金",4.0,True
81,300705.SZ,300705,九典制药,化学制药,22.69,0.0,0.0,0.0,30.25,"中国银行股份有限公司-国泰融安多策略灵活配置混合型证券投资基金
招商银行股份有限公司-国泰聚优价值灵活配置混合型证券投资基金
广发银行股份有限公司-国泰聚信价值优势灵活配置混合型证券投资基金
国泰基金管理有限公司-社保基金四二一组合
中国农业银行股份有限公司-国泰金牛创新成长混合型证券投资基金
上海明汯投资管理有限公司-明汯价值成长1期私募投资基金
中国工商银行股份有限公司-国泰鑫睿混合型证券投资基金",7.0,True
82,300688.SZ,300688,创业黑马,综合类,25.96,1.0,0.0,0.0,18.89,上海明汯投资管理有限公司-明汯价值成长1期私募投资基金,1.0,True
83,300686.SZ,300686,智动力,元器件,22.28,0.0,0.0,0.0,30.13,"基本养老保险基金九零三组合
中融鼎(深圳)投资有限公司-中融鼎秋天对冲私募基金
上海明汯投资管理有限公司-明汯价值成长1期私募投资基金
中国银行股份有限公司-信达澳银科技创新一年定期开放混合型证券投资基金
中国建设银行股份有限公司-信达澳银新能源产业股票型证券投资基金",5.0,True
84,688598.SH,688598,金博股份,矿物制品,114.5,1.0,0.0,0.0,20.94,"深圳市明达资产管理有限公司-明达12期私募投资基金
中国建设银行股份有限公司-景顺长城环保优势股票型证券投资基金
中国对外经济贸易信托有限公司-明达7期证券投资集合资金信托计划
招商银行股份有限公司-景顺长城成长领航混合型证券投资基金
华润深国投信托有限公司-明达证券投资集合资金信托
中国银行股份有限公司-景顺长城优选混合型证券投资基金
中国工商银行-东吴嘉禾优势精选混合型开放式证券投资基金
上海浦东发展银行股份有限公司-景顺长城电子信息产业股票型证券投资基金
上海明汯投资管理有限公司-明汯价值成长1期私募投资基金
招商银行股份有限公司-富国科创板两年定期开放混合型证券投资基金",10.0,True
