,ts_code,symbol,name,industry,COL_CHG,COL_PROBABILITY,COL_ACCUMULATE_PROBABILITY,COL_CIRC_MV
81,002077.SZ,002077,大港股份,区域地产,31.64,0.56,7.22,46.43
82,002280.SZ,002280,联络互动,软件服务,67.0,0.56,7.22,117.66
83,600210.SH,600210,紫江企业,广告包装,2.2,0.11,7.22,77.35
84,300252.SZ,300252,金信诺,通信设备,10.68,0.56,7.22,31.97
85,600725.SH,600725,云维股份,焦炭加工,10.93,0.11,7.22,33.77
86,300538.SZ,300538,同益股份,批发业,1.81,0.11,7.22,15.23
87,603800.SH,603800,道森股份,专用机械,4.26,0.33,7.22,18.84
88,002536.SZ,002536,飞龙股份,汽车配件,19.79,0.11,7.22,38.49
89,603189.SH,603189,网达软件,软件服务,6.18,0.33,7.22,39.85
90,603090.SH,603090,宏盛股份,专用机械,8.14,0.56,7.22,13.42
91,600577.SH,600577,精达股份,电气设备,11.65,0.33,7.11,106.83
92,603813.SH,603813,原尚股份,仓储物流,2.62,0.33,7.11,12.18
93,300119.SZ,300119,瑞普生物,农业综合,18.88,0.33,7.11,105.17
94,300025.SZ,300025,华星创业,通信设备,13.08,0.33,7.11,17.78
95,300037.SZ,300037,新宙邦,化工原料,10.83,0.56,7.0,266.13
96,002361.SZ,002361,神剑股份,化工原料,3.86,0.11,7.0,32.36
97,002644.SZ,002644,佛慈制药,中成药,7.78,0.33,7.0,43.87
98,002013.SZ,002013,中航机电,航空,2.15,0.33,6.89,405.56
99,605066.SH,605066,天正电气,电气设备,1.08,0.11,6.89,8.73
