,ts_code,name,industry,continuously_up,average_p_change,accumulate_p_change,pre_accumulate_p_change,last_ma20_gap,circ_mv
1069,002608.SZ,江苏国信,火力发电,4.0,1.612,6.429,-2.643,0.06,401519.3123
1191,002733.SZ,雄韬股份,电气设备,4.0,2.022,8.274,-1.904,0.91,346872.5959
1224,002769.SZ,普路通,仓储物流,4.0,1.804,7.32,-1.693,0.57,231273.4729
2949,601019.SH,山东出版,出版业,4.0,2.532,10.489,-2.189,0.38,337251.0
1464,300080.SZ,易成新能,半导体,3.0,2.252,6.88,-3.554,0.13,218364.1797
2884,600896.SH,*ST海投,水运,3.0,2.194,6.648,-3.989,0.02,222194.3851
2548,600523.SH,贵航股份,汽车配件,3.0,2.538,7.726,-3.308,0.61,394347.5491
1435,300050.SZ,世纪鼎利,软件服务,3.0,4.333,13.26,-5.729,0.23,227043.3919
2726,600724.SH,宁波富达,区域地产,2.0,5.141,10.543,-1.262,0.15,499950.1617
2655,600645.SH,中源协和,生物制药,2.0,3.267,6.584,-2.895,0.23,658557.1947
2734,600732.SH,ST新梅,区域地产,2.0,3.376,6.865,-0.228,0.11,208460.8984
2985,601177.SH,杭齿前进,机械基件,2.0,3.577,6.863,-9.434,0.02,348852.32
2774,600775.SH,南京熊猫,通信设备,2.0,6.129,12.484,-0.999,1.93,599279.9679
2628,600614.SH,鹏起科技,综合类,2.0,10.075,21.166,-2.976,0.41,597037.6249
43,000058.SZ,深赛格,元器件,2.0,7.764,16.081,-3.565,0.53,337870.4094
2499,600463.SH,空港股份,园区开发,2.0,10.02,21.045,-2.691,0.85,236400.0
1141,002680.SZ,*ST长生,生物制药,2.0,5.054,10.364,10.185,0.45,159020.5438
99,000498.SZ,山东路桥,建筑施工,2.0,2.574,5.19,-5.293,0.01,232248.9
205,000633.SZ,合金投资,综合类,2.0,6.997,14.388,-3.695,0.27,183695.7399
251,000702.SZ,正虹科技,饲料,2.0,2.603,5.029,0.388,0.04,144782.5748
480,002017.SZ,东信和平,通信设备,2.0,8.686,18.108,4.332,2.71,353396.5087
694,002231.SZ,奥维通信,通信设备,2.0,3.63,6.99,1.594,0.75,229409.4
1036,002575.SZ,群兴玩具,文教休闲,2.0,7.215,14.869,-8.898,1.1,463911.36
1037,002576.SZ,通达动力,电气设备,2.0,4.952,10.135,-2.422,0.27,153995.2853
1265,002813.SZ,路畅科技,汽车配件,2.0,3.82,7.683,-3.082,1.25,78210.0
2084,300711.SZ,广哈通信,通信设备,2.0,10.004,21.008,-3.409,3.79,97647.12
1310,002862.SZ,实丰文化,文教休闲,2.0,6.471,13.237,-9.449,1.93,73039.04
1325,002878.SZ,元隆雅图,文教休闲,2.0,3.882,7.902,-1.548,1.02,95192.3938
1437,300052.SZ,中青宝,互联网,2.0,3.377,6.702,-2.083,0.55,260821.2805
1482,300098.SZ,高新兴,通信设备,2.0,4.588,9.375,-3.323,0.66,884728.7386
1773,300392.SZ,腾信股份,互联网,2.0,3.928,8.005,-6.158,0.8,212814.5044
1885,300504.SZ,天邑股份,通信设备,2.0,2.651,5.358,-7.135,2.34,178762.248
1927,300548.SZ,博创科技,元器件,2.0,3.134,6.345,-4.354,2.66,131494.05
1735,300352.SZ,北信源,软件服务,2.0,3.401,6.918,-6.745,0.12,371812.202
