,ts_code,symbol,name,industry,COL_LIMIT_PERIOD,COL_LAST_PCT_CHG,COL_LASTPRICE
97,000732.SZ,000732,泰禾集团,区域地产,1.0,8.3524,18.94
98,002809.SZ,002809,红墙股份,化工原料,1.0,9.9855,22.8
99,002851.SZ,002851,麦格米特,电气设备,1.0,9.9754,35.83
100,002865.SZ,002865,钧达股份,汽车配件,1.0,9.9807,22.81
101,002867.SZ,002867,周大生,服饰,1.0,10.0063,35.07
102,000722.SZ,000722,湖南发展,水力发电,1.0,9.9877,8.92
103,002174.SZ,002174,游族网络,互联网,1.0,8.7254,23.8
104,000686.SZ,000686,东北证券,证券,1.0,10.0541,10.18
105,000599.SZ,000599,青岛双星,汽车配件,1.0,9.9323,4.87
106,300006.SZ,300006,莱美药业,化学制药,1.0,9.9485,6.41
107,002157.SZ,002157,正邦科技,饲料,1.0,7.8094,16.29
108,300085.SZ,300085,银之杰,软件服务,1.0,10.0249,17.67
109,600990.SH,600990,四创电子,通信设备,0.0,8.2268,52.49
110,002032.SZ,002032,苏泊尔,家用电器,0.0,8.7391,75.03
111,600909.SH,600909,华安证券,证券,0.0,7.1964,7.15
112,000906.SZ,000906,浙商中拓,批发业,0.0,7.3333,6.44
113,600958.SH,600958,东方证券,证券,0.0,7.0018,11.92
114,601099.SH,601099,太平洋,证券,0.0,7.0886,4.23
115,002012.SZ,002012,凯恩股份,造纸,0.0,8.0082,5.26
116,600971.SH,600971,恒源煤电,煤炭开采,0.0,7.1724,7.77
117,601111.SH,601111,中国国航,空运,0.0,7.9681,10.84
118,300205.SZ,300205,天喻信息,元器件,0.0,7.0313,12.33
119,601155.SH,601155,新城控股,区域地产,0.0,7.7052,45.15
120,601162.SH,601162,天风证券,证券,0.0,8.2178,10.93
121,000046.SZ,000046,泛海控股,全国地产,0.0,7.3206,7.33
122,000402.SZ,000402,金融街,全国地产,0.0,8.6076,8.58
123,000560.SZ,000560,我爱我家,房产服务,0.0,7.3746,7.28
124,603605.SH,603605,珀莱雅,日用化工,0.0,9.0552,69.37
125,603363.SH,603363,傲农生物,饲料,0.0,7.9511,14.12
126,000712.SZ,000712,锦龙股份,证券,0.0,9.0701,14.31
127,000728.SZ,000728,国元证券,证券,0.0,7.5103,10.45
128,601989.SH,601989,中国重工,船舶,0.0,7.156,5.84
129,601878.SH,601878,浙商证券,证券,0.0,8.3022,11.61
130,601860.SH,601860,紫金银行,银行,0.0,7.8853,9.03
131,000750.SZ,000750,国海证券,证券,0.0,7.8809,6.16
132,000783.SZ,000783,长江证券,证券,0.0,7.1124,7.53
133,601377.SH,601377,兴业证券,证券,0.0,7.2485,7.25
134,601211.SH,601211,国泰君安,证券,0.0,7.1809,20.15
135,601177.SH,601177,杭齿前进,机械基件,0.0,7.7039,14.26
136,601628.SH,601628,中国人寿,保险,0.0,7.3541,28.32
137,600599.SH,600599,熊猫金控,多元金融,0.0,7.3485,14.17
138,002095.SZ,002095,生意宝,互联网,0.0,7.0777,29.35
139,002926.SZ,002926,华西证券,证券,0.0,7.6856,12.33
140,002736.SZ,002736,国信证券,证券,0.0,8.755,13.54
141,300609.SZ,300609,汇纳科技,互联网,0.0,8.096,43.26
142,002797.SZ,002797,第一创业,证券,0.0,7.377,7.86
143,300593.SZ,300593,新雷能,电气设备,0.0,8.5776,20.0
144,300562.SZ,300562,乐心医疗,医疗保健,0.0,9.6563,13.4
145,002920.SZ,002920,德赛西威,汽车配件,0.0,7.2781,28.89
146,002939.SZ,002939,长城证券,证券,0.0,9.2395,15.37
147,600109.SH,600109,国金证券,证券,0.0,8.9249,10.74
148,002945.SZ,002945,华林证券,证券,0.0,8.9145,15.15
149,300391.SZ,300391,康跃科技,机械基件,0.0,9.4783,14.9
150,300368.SZ,300368,汇金股份,专用机械,0.0,7.8089,9.25
151,300014.SZ,300014,亿纬锂能,电气设备,0.0,8.5485,24.38
152,300059.SZ,300059,东方财富,证券,0.0,7.6069,19.38
153,300159.SZ,300159,新研股份,农用机械,0.0,7.04,6.69
154,600030.SH,600030,中信证券,证券,0.0,8.5414,24.78
155,600151.SH,600151,航天机电,半导体,0.0,7.9602,6.51
156,002104.SZ,002104,恒宝股份,元器件,0.0,7.4627,7.92
157,002304.SZ,002304,洋河股份,白酒,0.0,9.8736,130.42
158,600742.SH,600742,一汽富维,汽车配件,0.0,7.8968,13.8
159,002162.SZ,002162,悦心健康,医疗保健,0.0,8.2902,4.18
160,002171.SZ,002171,楚江新材,铜,0.0,8.1731,6.75
161,600657.SH,600657,信达地产,全国地产,0.0,8.3333,5.59
162,600622.SH,600622,光大嘉宝,区域地产,0.0,8.396,8.65
163,600570.SH,600570,恒生电子,软件服务,0.0,7.8325,87.56
164,600523.SH,600523,贵航股份,汽车配件,0.0,7.464,11.95
165,002544.SZ,002544,杰赛科技,软件服务,0.0,8.6316,15.48
166,002381.SZ,002381,双箭股份,橡胶,0.0,9.8446,10.6
167,002432.SZ,002432,九安医疗,医疗保健,0.0,7.4018,7.11
168,600369.SH,600369,西南证券,证券,0.0,7.5875,5.53
169,002457.SZ,002457,青龙管业,塑料,0.0,7.1291,11.12
170,600239.SH,600239,云南城投,区域地产,0.0,7.4169,4.2
171,002478.SZ,002478,常宝股份,钢加工,0.0,8.0617,6.3
172,300347.SZ,300347,泰格医药,医疗保健,0.0,7.7874,66.3
