,ts_code,name,industry,continuously_up,average_p_change,average_turnover_rate
1174,002716.SZ,金贵银业,小金属,3.0,4.498,9.528
611,002149.SZ,西部材料,小金属,3.0,4.491,2.563
2292,600198.SH,*ST大唐,通信设备,4.0,4.478,1.56
3059,601688.SH,华泰证券,证券,3.0,4.473,0.884
2915,600975.SH,新五丰,农业综合,3.0,4.443,0.704
43,000058.SZ,深赛格,元器件,3.0,4.376,6.474
327,000812.SZ,陕西金叶,广告包装,3.0,4.338,2.439
2306,600215.SH,长春经开,园区开发,3.0,4.329,0.586
737,002276.SZ,万马股份,电气设备,3.0,4.272,1.767
2886,600895.SH,张江高科,园区开发,5.0,4.252,3.427
1838,300456.SZ,耐威科技,元器件,4.0,4.229,4.578
2288,600193.SH,*ST创兴,装修装饰,3.0,4.225,1.429
2620,600602.SH,云赛智联,软件服务,3.0,4.224,0.832
3452,603728.SH,鸣志电器,电气设备,3.0,4.214,1.724
3086,601878.SH,浙商证券,证券,3.0,4.197,3.728
1499,300114.SZ,中航电测,元器件,3.0,4.178,1.165
152,000564.SZ,供销大集,百货,3.0,4.178,1.521
1230,002776.SZ,柏堡龙,服饰,3.0,4.175,1.528
1271,002821.SZ,凯莱英,生物制药,4.0,4.171,0.953
2525,600495.SH,晋西车轴,运输设备,3.0,4.106,1.968
2989,601179.SH,中国西电,电气设备,3.0,4.098,0.38
2983,601162.SH,天风证券,证券,5.0,4.079,33.018
454,000996.SZ,中国中期,汽车服务,3.0,4.056,3.54
3122,603000.SH,人民网,互联网,3.0,4.053,0.58
892,002431.SZ,棕榈股份,建筑施工,3.0,4.043,1.149
428,000962.SZ,东方钽业,小金属,3.0,4.034,1.788
1337,002891.SZ,中宠股份,饲料,4.0,4.017,1.049
2659,600647.SH,同达创业,综合类,3.0,4.009,0.667
1420,300034.SZ,钢研高纳,小金属,3.0,3.975,0.988
3099,601919.SH,中远海控,水运,3.0,3.958,0.276
1040,002580.SZ,圣阳股份,电气设备,3.0,3.947,4.576
2514,600481.SH,双良节能,环境保护,3.0,3.947,0.404
1419,300033.SZ,同花顺,软件服务,3.0,3.921,1.279
2358,600276.SH,恒瑞医药,化学制药,3.0,3.911,0.441
931,002470.SZ,金正大,农药化肥,4.0,3.907,0.282
2268,600171.SH,上海贝岭,半导体,3.0,3.904,2.921
2833,600837.SH,海通证券,证券,3.0,3.893,0.62
3152,603033.SH,三维股份,橡胶,4.0,3.882,1.809
426,000960.SZ,锡业股份,小金属,3.0,3.879,1.022
1013,002553.SZ,南方轴承,汽车配件,3.0,3.851,2.231
2764,600760.SH,中航沈飞,航空,3.0,3.84,1.314
2721,600716.SH,凤凰股份,区域地产,3.0,3.815,0.359
1244,002791.SZ,坚朗五金,其他建材,3.0,3.796,1.907
1546,300161.SZ,华中数控,机床制造,3.0,3.78,1.901
2930,600992.SH,贵绳股份,钢加工,3.0,3.772,0.772
2249,600150.SH,*ST船舶,船舶,4.0,3.77,0.428
145,000555.SZ,神州信息,软件服务,4.0,3.759,2.463
2264,600167.SH,联美控股,供气供热,3.0,3.758,0.333
2238,600135.SH,乐凯胶片,化工原料,3.0,3.719,1.977
313,000795.SZ,英洛华,矿物制品,3.0,3.712,1.572
1237,002783.SZ,凯龙股份,化工原料,3.0,3.706,1.257
1127,002667.SZ,鞍重股份,工程机械,3.0,3.693,4.206
2214,600109.SH,国金证券,证券,3.0,3.69,0.925
3343,603508.SH,思维列控,软件服务,3.0,3.667,0.562
2489,600439.SH,瑞贝卡,服饰,3.0,3.666,0.747
685,002223.SZ,鱼跃医疗,医疗保健,4.0,3.659,0.655
980,002519.SZ,银河电子,通信设备,3.0,3.64,1.688
1737,300353.SZ,东土科技,通信设备,4.0,3.638,9.709
486,002024.SZ,苏宁易购,电器连锁,3.0,3.627,0.518
2952,601019.SH,山东出版,出版业,4.0,3.616,1.688
0,000001.SZ,平安银行,银行,3.0,3.605,0.461
2294,600200.SH,江苏吴中,综合类,3.0,3.605,0.754
970,002509.SZ,天广中茂,专用机械,3.0,3.56,2.003
2186,600078.SH,澄星股份,化工原料,3.0,3.556,1.024
2981,601155.SH,新城控股,区域地产,3.0,3.549,0.362
1027,002567.SZ,唐人神,饲料,4.0,3.539,1.184
2202,600096.SH,云天化,农药化肥,3.0,3.517,0.4
3190,603103.SH,横店影视,影视音像,4.0,3.503,5.445
3519,603886.SH,元祖股份,食品,3.0,3.499,1.274
1736,300352.SZ,北信源,软件服务,4.0,3.486,2.871
2649,600636.SH,三爱富,化工原料,3.0,3.486,0.584
3389,603611.SH,诺力股份,运输设备,3.0,3.479,0.567
1836,300454.SZ,深信服,软件服务,4.0,3.479,3.033
2172,600063.SH,皖维高新,化纤,3.0,3.474,0.429
2398,600321.SH,*ST正源,其他建材,3.0,3.468,0.186
1431,300045.SZ,华力创通,电脑设备,4.0,3.463,2.429
435,000970.SZ,中科三环,元器件,3.0,3.448,0.928
1478,300093.SZ,金刚玻璃,玻璃,3.0,3.435,1.231
213,000652.SZ,泰达股份,批发业,3.0,3.427,1.224
1368,002926.SZ,华西证券,证券,3.0,3.419,4.084
1380,002939.SZ,长城证券,证券,3.0,3.402,18.275
961,002500.SZ,山西证券,证券,3.0,3.397,1.018
3171,603067.SH,振华股份,化工原料,3.0,3.391,2.77
261,000715.SZ,中兴商业,百货,3.0,3.388,0.36
935,002474.SZ,榕基软件,软件服务,3.0,3.386,2.2
1631,300247.SZ,融捷健康,医疗保健,3.0,3.383,1.617
2029,300654.SZ,世纪天鸿,出版业,5.0,3.372,3.078
1434,300048.SZ,合康新能,电气设备,3.0,3.371,2.391
3044,601606.SH,长城军工,专用机械,5.0,3.361,26.155
3383,603603.SH,博天环境,环境保护,3.0,3.355,2.459
715,002253.SZ,川大智胜,软件服务,3.0,3.352,2.513
1070,002610.SZ,爱康科技,电气设备,3.0,3.349,1.329
2791,600791.SH,京能置业,全国地产,3.0,3.344,1.305
2999,601218.SH,吉鑫科技,机械基件,3.0,3.339,0.98
3188,603100.SH,川仪股份,电器仪表,3.0,3.338,0.684
1635,300251.SZ,光线传媒,影视音像,7.0,3.318,1.28
2887,600896.SH,*ST海投,水运,3.0,3.301,0.38
799,002338.SZ,奥普光电,电器仪表,3.0,3.297,1.169
3115,601990.SH,南京证券,证券,3.0,3.287,15.119
2558,600531.SH,豫光金铅,铅锌,3.0,3.275,1.37
1505,300120.SZ,经纬辉开,电气设备,4.0,3.256,2.266
1720,300336.SZ,新文化,影视音像,4.0,3.242,3.638
304,000783.SZ,长江证券,证券,3.0,3.235,0.639
1965,300587.SZ,天铁股份,橡胶,4.0,3.235,4.123
573,002111.SZ,威海广泰,航空,3.0,3.211,1.048
2953,601020.SH,华钰矿业,铅锌,3.0,3.209,2.452
863,002402.SZ,和而泰,元器件,3.0,3.207,2.788
2719,600714.SH,金瑞矿业,煤炭开采,3.0,3.207,0.517
91,000422.SZ,*ST宜化,农药化肥,3.0,3.201,1.386
2969,601108.SH,财通证券,证券,3.0,3.187,2.172
1484,300099.SZ,精准信息,电器仪表,3.0,3.185,2.865
1681,300297.SZ,蓝盾股份,软件服务,3.0,3.184,2.471
1017,002557.SZ,洽洽食品,食品,4.0,3.17,1.072
3016,601333.SH,广深铁路,铁路,4.0,3.165,0.527
932,002471.SZ,中超控股,电气设备,3.0,3.14,1.746
2406,600330.SH,天通股份,元器件,3.0,3.137,1.153
2769,600766.SH,园城黄金,黄金,3.0,3.133,13.745
2513,600480.SH,凌云股份,汽车配件,3.0,3.123,0.953
2584,600563.SH,法拉电子,元器件,4.0,3.112,0.636
246,000695.SZ,滨海能源,供气供热,3.0,3.109,0.423
2317,600227.SH,圣济堂,农药化肥,3.0,3.078,0.616
2850,600858.SH,银座股份,百货,4.0,3.059,1.268
2248,600149.SH,ST坊展,综合类,3.0,3.058,0.56
930,002469.SZ,三维工程,建筑施工,3.0,3.057,0.551
26,000032.SZ,深桑达A,元器件,3.0,3.057,1.258
3503,603859.SH,能科股份,软件服务,3.0,3.03,3.461
3382,603602.SH,纵横通信,通信设备,4.0,3.026,12.642
922,002461.SZ,珠江啤酒,啤酒,3.0,3.017,0.325
3490,603823.SH,百合花,染料涂料,3.0,3.01,3.151
355,000859.SZ,国风塑业,塑料,3.0,2.994,0.698
212,000651.SZ,格力电器,家用电器,3.0,2.974,0.884
2429,600360.SH,华微电子,半导体,3.0,2.97,1.918
2653,600640.SH,号百控股,酒店餐饮,4.0,2.968,1.258
1592,300208.SZ,恒顺众昇,电气设备,3.0,2.958,0.738
252,000703.SZ,恒逸石化,化纤,3.0,2.957,0.548
493,002031.SZ,巨轮智能,汽车配件,3.0,2.956,0.901
2506,600469.SH,风神股份,汽车配件,3.0,2.954,0.587
1393,300007.SZ,汉威科技,电器仪表,3.0,2.947,3.348
2291,600197.SH,伊力特,白酒,3.0,2.945,2.37
291,000759.SZ,中百集团,超市连锁,3.0,2.945,0.719
262,000716.SZ,黑芝麻,食品,3.0,2.944,1.175
1765,300383.SZ,光环新网,电信运营,4.0,2.941,1.171
20,000026.SZ,飞亚达A,其他商业,3.0,2.934,0.747
753,002292.SZ,奥飞娱乐,影视音像,3.0,2.92,1.282
382,000900.SZ,现代投资,路桥,3.0,2.916,0.485
2804,600805.SH,悦达投资,综合类,3.0,2.903,0.439
641,002179.SZ,中航光电,元器件,3.0,2.896,0.545
298,000776.SZ,广发证券,证券,3.0,2.893,0.413
1437,300051.SZ,三五互联,互联网,3.0,2.889,1.53
1477,300092.SZ,科新机电,专用机械,3.0,2.888,3.18
2722,600717.SH,天津港,港口,3.0,2.887,0.453
1777,300395.SZ,菲利华,玻璃,3.0,2.874,0.651
2305,600213.SH,亚星客车,汽车整车,3.0,2.859,2.904
713,002251.SZ,步步高,超市连锁,3.0,2.858,0.548
256,000709.SZ,河钢股份,普钢,3.0,2.855,0.363
694,002232.SZ,启明信息,软件服务,3.0,2.853,1.217
2497,600458.SH,时代新材,塑料,3.0,2.84,0.54
1861,300479.SZ,神思电子,软件服务,3.0,2.84,3.116
3489,603822.SH,嘉澳环保,环境保护,4.0,2.838,1.857
2772,600769.SH,祥龙电业,建筑施工,3.0,2.833,0.469
2156,600038.SH,中直股份,航空,3.0,2.832,0.64
3161,603043.SH,广州酒家,食品,4.0,2.827,1.37
157,000570.SZ,苏常柴A,机械基件,3.0,2.804,0.504
3057,601677.SH,明泰铝业,铝,3.0,2.804,0.253
490,002028.SZ,思源电气,电气设备,3.0,2.798,1.837
2376,600297.SH,广汇汽车,汽车服务,3.0,2.796,0.206
197,000625.SZ,长安汽车,汽车整车,7.0,2.776,1.028
2380,600301.SH,ST南化,化工原料,3.0,2.743,0.544
995,002535.SZ,林州重机,工程机械,3.0,2.74,0.926
1275,002825.SZ,纳尔股份,化工原料,3.0,2.718,3.043
559,002097.SZ,山河智能,工程机械,3.0,2.696,0.868
3109,601968.SH,宝钢包装,广告包装,3.0,2.688,0.541
32,000039.SZ,中集集团,轻工机械,3.0,2.659,0.511
2535,600506.SH,香梨股份,种植业,4.0,2.649,1.724
3372,603587.SH,地素时尚,服饰,4.0,2.644,6.022
2957,601058.SH,赛轮轮胎,汽车配件,3.0,2.639,0.483
77,000404.SZ,长虹华意,专用机械,3.0,2.617,0.583
743,002282.SZ,博深工具,轻工机械,3.0,2.615,1.511
2527,600497.SH,驰宏锌锗,铅锌,3.0,2.614,0.568
738,002277.SZ,友阿股份,百货,3.0,2.613,0.524
2563,600537.SH,亿晶光电,半导体,3.0,2.612,0.809
2717,600712.SH,南宁百货,百货,3.0,2.588,0.755
2452,600386.SH,北巴传媒,公共交通,3.0,2.585,0.906
476,002014.SZ,永新股份,塑料,5.0,2.584,0.399
993,002533.SZ,金杯电工,电气设备,3.0,2.57,0.897
2354,600271.SH,航天信息,电脑设备,4.0,2.556,0.747
1872,300490.SZ,华自科技,电气设备,3.0,2.552,6.267
280,000737.SZ,*ST南风,日用化工,3.0,2.539,0.418
2160,600051.SH,宁波联合,综合类,3.0,2.537,0.632
675,002213.SZ,特尔佳,汽车配件,3.0,2.537,6.284
2920,600980.SH,北矿科技,元器件,3.0,2.535,0.981
2473,600415.SH,小商品城,商品城,3.0,2.528,0.266
2037,300662.SZ,科锐国际,综合类,3.0,2.518,1.461
1752,300369.SZ,绿盟科技,软件服务,4.0,2.516,0.758
2430,600361.SH,华联综超,超市连锁,3.0,2.513,0.498
2861,600869.SH,智慧能源,电气设备,4.0,2.504,1.013
2867,600875.SH,东方电气,电气设备,3.0,2.49,0.614
757,002296.SZ,辉煌科技,通信设备,3.0,2.486,2.435
612,002150.SZ,通润装备,机械基件,3.0,2.483,0.859
2675,600665.SH,天地源,全国地产,3.0,2.476,0.233
3064,601718.SH,际华集团,服饰,3.0,2.458,0.356
316,000798.SZ,中水渔业,渔业,3.0,2.441,0.424
1181,002724.SZ,海洋王,半导体,3.0,2.435,0.518
2026,300651.SZ,金陵体育,文教休闲,3.0,2.426,3.095
205,000633.SZ,合金投资,综合类,3.0,2.415,3.794
36,000045.SZ,深纺织A,纺织,3.0,2.411,1.114
3075,601811.SH,新华文轩,出版业,3.0,2.408,2.948
3107,601965.SH,中国汽研,汽车服务,7.0,2.401,0.29
2585,600565.SH,迪马股份,全国地产,3.0,2.396,0.392
1953,300575.SZ,中旗股份,农药化肥,4.0,2.394,2.896
460,001896.SZ,豫能控股,火力发电,3.0,2.389,0.428
334,000821.SZ,京山轻机,轻工机械,3.0,2.387,2.176
2244,600143.SH,金发科技,塑料,4.0,2.385,0.558
1898,300516.SZ,久之洋,电器仪表,3.0,2.379,0.603
2538,600509.SH,天富能源,火力发电,3.0,2.373,0.483
805,002344.SZ,海宁皮城,商品城,3.0,2.37,0.45
2845,600853.SH,龙建股份,建筑施工,3.0,2.37,0.724
914,002453.SZ,华软科技,化工原料,5.0,2.368,0.87
976,002515.SZ,金字火腿,食品,3.0,2.365,1.173
3124,603002.SH,宏昌电子,化工原料,3.0,2.364,0.66
350,000850.SZ,华茂股份,纺织,3.0,2.362,0.491
425,000959.SZ,首钢股份,普钢,3.0,2.361,0.173
2582,600561.SH,江西长运,公共交通,3.0,2.361,0.625
1532,300147.SZ,香雪制药,中成药,3.0,2.352,0.485
2657,600644.SH,乐山电力,水力发电,3.0,2.351,0.341
365,000878.SZ,云南铜业,铜,3.0,2.341,0.594
2179,600071.SH,凤凰光学,元器件,3.0,2.341,0.713
458,001696.SZ,宗申动力,摩托车,3.0,2.337,0.739
2574,600551.SH,时代出版,出版业,4.0,2.335,0.55
214,000655.SZ,*ST金岭,普钢,3.0,2.333,0.427
1467,300082.SZ,奥克股份,化工原料,4.0,2.329,0.576
2798,600798.SH,宁波海运,水运,3.0,2.326,0.473
2223,600118.SH,中国卫星,航空,4.0,2.326,0.862
915,002454.SZ,松芝股份,汽车配件,3.0,2.32,0.467
1101,002641.SZ,永高股份,塑料,3.0,2.316,0.266
1617,300233.SZ,金城医药,化学制药,4.0,2.315,0.272
2257,600159.SH,大龙地产,区域地产,3.0,2.312,0.383
2724,600719.SH,大连热电,供气供热,3.0,2.312,0.75
37,000046.SZ,泛海控股,全国地产,3.0,2.31,0.067
3038,601588.SH,北辰实业,区域地产,3.0,2.307,0.354
2155,600037.SH,歌华有线,影视音像,3.0,2.293,0.396
1449,300064.SZ,豫金刚石,矿物制品,3.0,2.291,1.279
2878,600887.SH,伊利股份,乳制品,3.0,2.274,0.588
2343,600257.SH,大湖股份,渔业,3.0,2.258,0.884
2509,600476.SH,湘邮科技,软件服务,3.0,2.256,1.831
2771,600768.SH,宁波富邦,铝,3.0,2.253,0.477
899,002438.SZ,江苏神通,机械基件,3.0,2.25,0.77
811,002350.SZ,北京科锐,电气设备,3.0,2.249,1.603
2782,600780.SH,通宝能源,火力发电,3.0,2.226,0.251
1638,300254.SZ,仟源医药,化学制药,3.0,2.218,1.074
3076,601818.SH,光大银行,银行,3.0,2.211,0.146
3557,603969.SH,银龙股份,其他建材,3.0,2.21,1.861
1880,300498.SZ,温氏股份,农业综合,4.0,2.21,0.493
2368,600287.SH,江苏舜天,商贸代理,3.0,2.2,0.432
1893,300511.SZ,雪榕生物,种植业,3.0,2.19,1.39
1430,300044.SZ,赛为智能,软件服务,4.0,2.185,4.059
512,002050.SZ,三花智控,机械基件,3.0,2.171,0.478
1566,300181.SZ,佐力药业,中成药,4.0,2.17,4.97
45,000060.SZ,中金岭南,铅锌,3.0,2.148,0.621
3121,601999.SH,出版传媒,出版业,3.0,2.147,0.475
2710,600704.SH,物产中大,商贸代理,3.0,2.142,0.162
122,000529.SZ,广弘控股,食品,3.0,2.142,0.357
2944,601008.SH,连云港,港口,3.0,2.14,0.695
160,000573.SZ,粤宏远A,区域地产,3.0,2.14,0.375
3203,603127.SH,昭衍新药,医疗保健,3.0,2.116,0.984
1561,300176.SZ,鸿特科技,汽车配件,3.0,2.11,0.341
2254,600156.SH,华升股份,纺织,4.0,2.107,1.824
1842,300460.SZ,惠伦晶体,元器件,3.0,2.099,0.627
2801,600802.SH,福建水泥,水泥,3.0,2.094,1.463
2278,600183.SH,生益科技,元器件,7.0,2.092,0.699
519,002057.SZ,中钢天源,元器件,3.0,2.091,0.559
1482,300097.SZ,智云股份,电器仪表,3.0,2.087,2.354
1582,300198.SZ,纳川股份,塑料,3.0,2.085,2.854
2605,600586.SH,金晶科技,玻璃,3.0,2.084,0.599
1021,002561.SZ,徐家汇,百货,3.0,2.083,0.264
1131,002671.SZ,龙泉股份,其他建材,3.0,2.081,0.744
3142,603022.SH,新通联,广告包装,3.0,2.079,0.432
2742,600737.SH,中粮糖业,食品,4.0,2.075,0.407
2231,600127.SH,金健米业,农业综合,3.0,2.071,0.43
1312,002865.SZ,钧达股份,汽车配件,3.0,2.069,15.753
3033,601558.SH,ST锐电,电气设备,3.0,2.066,0.452
3464,603773.SH,沃格光电,元器件,3.0,2.058,5.799
1648,300264.SZ,佳创视讯,通信设备,4.0,2.058,1.231
766,002305.SZ,南国置业,区域地产,3.0,2.027,3.001
251,000702.SZ,正虹科技,饲料,4.0,2.026,1.033
3360,603559.SH,中通国脉,通信设备,4.0,2.023,11.269
1533,300148.SZ,天舟文化,出版业,4.0,2.02,7.104
1284,002835.SZ,同为股份,元器件,3.0,2.02,1.898
2581,600560.SH,金自天正,电气设备,4.0,2.019,5.712
2001,300625.SZ,三雄极光,半导体,4.0,2.018,1.442
3102,601933.SH,永辉超市,超市连锁,4.0,2.013,0.412
1873,300491.SZ,通合科技,电气设备,3.0,2.011,11.555
2450,600383.SH,金地集团,全国地产,3.0,2.006,0.32
362,000875.SZ,吉电股份,火力发电,3.0,2.001,0.97
3031,601519.SH,大智慧,软件服务,3.0,1.997,0.448
2642,600626.SH,申达股份,纺织,3.0,1.992,0.499
1619,300235.SZ,方直科技,软件服务,3.0,1.99,1.692
1410,300024.SZ,机器人,专用机械,3.0,1.99,0.582
3401,603636.SH,南威软件,软件服务,5.0,1.985,2.141
1772,300390.SZ,天华超净,元器件,3.0,1.982,2.56
3500,603855.SH,华荣股份,专用机械,3.0,1.98,0.261
233,000679.SZ,大连友谊,百货,3.0,1.977,0.502
2397,600320.SH,振华重工,工程机械,3.0,1.973,0.162
462,001979.SZ,招商蛇口,全国地产,3.0,1.972,0.771
1623,300239.SZ,东宝生物,生物制药,3.0,1.957,0.484
2968,601107.SH,四川成渝,路桥,4.0,1.949,0.225
954,002493.SZ,荣盛石化,化纤,4.0,1.946,0.087
1149,002689.SZ,远大智能,运输设备,3.0,1.941,0.264
2654,600641.SH,万业企业,区域地产,4.0,1.932,0.423
254,000707.SZ,*ST双环,化工原料,3.0,1.93,1.298
2361,600279.SH,重庆港九,港口,3.0,1.929,0.531
2880,600889.SH,南京化纤,化纤,3.0,1.929,0.814
545,002083.SZ,孚日股份,纺织,3.0,1.928,0.367
2185,600077.SH,宋都股份,全国地产,3.0,1.926,0.557
238,000685.SZ,中山公用,水务,3.0,1.925,0.277
2790,600790.SH,轻纺城,商品城,3.0,1.922,0.654
568,002106.SZ,莱宝高科,元器件,4.0,1.914,1.964
3053,601636.SH,旗滨集团,玻璃,3.0,1.895,0.997
2195,600088.SH,中视传媒,影视音像,4.0,1.894,0.461
266,000720.SZ,*ST新能,火力发电,3.0,1.892,0.465
2286,600191.SH,华资实业,食品,3.0,1.891,1.153
2919,600979.SH,广安爱众,水力发电,3.0,1.89,0.252
1937,300557.SZ,理工光科,电器仪表,4.0,1.888,1.441
442,000978.SZ,桂林旅游,旅游景点,3.0,1.887,0.552
203,000631.SZ,顺发恒业,区域地产,3.0,1.873,0.221
260,000713.SZ,丰乐种业,种植业,3.0,1.863,0.901
363,000876.SZ,新希望,饲料,4.0,1.861,0.456
2346,600260.SH,凯乐科技,通信设备,3.0,1.859,2.525
604,002142.SZ,宁波银行,银行,4.0,1.855,0.212
78,000407.SZ,胜利股份,供气供热,3.0,1.853,0.985
3184,603090.SH,宏盛股份,专用机械,3.0,1.85,1.527
329,000815.SZ,美利云,造纸,3.0,1.848,0.775
2922,600982.SH,宁波热电,供气供热,4.0,1.844,0.411
2860,600868.SH,梅雁吉祥,水力发电,3.0,1.841,0.751
2646,600633.SH,浙数文化,互联网,3.0,1.839,0.338
3002,601226.SH,华电重工,专用机械,3.0,1.827,0.339
1738,300354.SZ,东华测试,电器仪表,3.0,1.826,1.562
2281,600186.SH,莲花健康,食品,3.0,1.818,1.267
1094,002634.SZ,棒杰股份,服饰,4.0,1.816,1.27
10,000012.SZ,南玻A,玻璃,3.0,1.808,0.365
2462,600397.SH,*ST安煤,煤炭开采,3.0,1.805,0.5
387,000906.SZ,浙商中拓,批发业,3.0,1.765,0.233
2955,601028.SH,玉龙股份,钢加工,3.0,1.758,0.374
3262,603278.SH,大业股份,钢加工,4.0,1.752,1.787
2379,600300.SH,维维股份,软饮料,3.0,1.746,0.383
896,002435.SZ,长江润发,化学制药,3.0,1.739,0.993
1743,300359.SZ,全通教育,文教休闲,3.0,1.737,1.371
