,ts_code,name,industry,COL_LASTPRICE,COL_MA_20_SLOPE,COL_ACCUMULATE,COL_CONTINUOUS_COUNT
38,603226.SH,菲林格尔,家居用品,30.79,2.13,1.94,38.0
39,002938.SZ,鹏鼎控股,元器件,45.74,2.88,1.9,36.0
40,603566.SH,普莱柯,生物制药,23.5,3.41,1.88,12.0
41,300089.SZ,文化长城,文教休闲,5.83,2.39,1.87,2.0
42,600984.SH,建设机械,工程机械,9.98,2.18,1.86,39.0
43,300093.SZ,金刚玻璃,玻璃,11.54,2.17,1.85,36.0
44,002653.SZ,海思科,化学制药,20.88,2.33,1.84,35.0
45,002600.SZ,领益智造,元器件,10.2,2.67,1.83,12.0
46,002351.SZ,漫步者,IT设备,11.35,4.35,1.75,8.0
47,603658.SH,安图生物,医疗保健,103.07,2.54,1.74,35.0
48,600093.SH,易见股份,仓储物流,18.92,3.85,1.72,2.0
49,002045.SZ,国光电器,元器件,9.65,3.7,1.71,11.0
50,600223.SH,鲁商发展,区域地产,6.15,3.08,1.69,4.0
51,002901.SZ,大博医疗,医疗保健,54.55,2.92,1.69,26.0
52,603456.SH,九洲药业,化学制药,14.18,3.01,1.67,12.0
53,600052.SH,浙江广厦,影视音像,4.6,2.03,1.65,10.0
54,300462.SZ,华铭智能,专用机械,25.97,2.09,1.65,20.0
55,603022.SH,新通联,广告包装,14.0,3.38,1.64,7.0
56,300613.SZ,富瀚微,半导体,165.22,3.44,1.62,10.0
57,603477.SH,振静股份,纺织,12.58,2.94,1.61,6.0
58,300202.SZ,聚龙股份,专用机械,13.65,4.09,1.59,7.0
59,300433.SZ,蓝思科技,元器件,13.6,3.75,1.58,10.0
60,002655.SZ,共达电声,元器件,13.75,3.22,1.58,9.0
61,002100.SZ,天康生物,饲料,13.91,2.83,1.56,4.0
62,601808.SH,中海油服,石油开采,14.82,2.48,1.55,11.0
63,300551.SZ,古鳌科技,专用机械,24.05,2.79,1.55,2.0
64,600208.SH,新湖中宝,全国地产,4.66,2.67,1.54,3.0
65,300379.SZ,东方通,软件服务,33.6,2.45,1.53,9.0
66,000066.SZ,中国长城,IT设备,15.08,2.72,1.53,10.0
67,002458.SZ,益生股份,农业综合,34.0,3.06,1.52,4.0
68,603377.SH,东方时尚,汽车服务,25.0,2.35,1.5,8.0
69,300468.SZ,四方精创,软件服务,27.17,3.0,1.48,9.0
70,002705.SZ,新宝股份,家用电器,17.9,3.69,1.47,8.0
71,300136.SZ,信维通信,通信设备,41.15,2.92,1.46,12.0
72,300256.SZ,星星科技,元器件,5.88,3.02,1.45,8.0
73,300685.SZ,艾德生物,生物制药,72.82,2.16,1.44,11.0
74,300192.SZ,科斯伍德,文教休闲,14.21,2.51,1.43,8.0
75,300502.SZ,新易盛,通信设备,36.81,2.21,1.41,12.0
76,000708.SZ,中信特钢,特种钢,20.3,2.63,1.4,9.0
77,300566.SZ,激智科技,元器件,23.76,2.07,1.39,9.0
78,603986.SH,兆易创新,半导体,159.84,3.48,1.39,10.0
79,600276.SH,恒瑞医药,化学制药,92.5,2.13,1.38,12.0
80,603129.SH,春风动力,摩托车,29.55,2.06,1.38,10.0
81,300326.SZ,凯利泰,医疗保健,14.83,2.6,1.38,9.0
82,603811.SH,诚意药业,化学制药,28.99,2.23,1.37,28.0
83,002706.SZ,良信电器,电气设备,8.19,2.03,1.37,12.0
84,002785.SZ,万里石,其他建材,15.1,2.4,1.37,9.0
85,002850.SZ,科达利,机械基件,30.55,2.11,1.37,12.0
86,300759.SZ,康龙化成,化学制药,56.55,2.89,1.37,11.0
87,300548.SZ,博创科技,元器件,52.6,2.2,1.37,9.0
88,002861.SZ,瀛通通讯,通信设备,33.46,2.97,1.36,7.0
89,300214.SZ,日科化学,化工原料,9.27,2.46,1.35,8.0
90,002626.SZ,金达威,食品,19.61,2.67,1.34,7.0
91,000868.SZ,*ST安凯,汽车整车,4.41,2.8,1.34,7.0
92,300319.SZ,麦捷科技,元器件,10.15,2.25,1.33,7.0
93,002475.SZ,立讯精密,元器件,32.81,2.29,1.32,7.0
94,002557.SZ,洽洽食品,食品,33.66,2.19,1.32,11.0
95,603520.SH,司太立,化学制药,44.72,2.32,1.32,4.0
96,300363.SZ,博腾股份,化学制药,14.05,2.54,1.32,13.0
97,300639.SZ,凯普生物,医疗保健,23.76,2.96,1.31,7.0
98,000526.SZ,紫光学大,文教休闲,33.16,2.64,1.31,9.0
99,603208.SH,江山欧派,家居用品,47.3,2.08,1.31,8.0
100,300346.SZ,南大光电,元器件,14.45,2.43,1.3,9.0
101,300655.SZ,晶瑞股份,化工原料,22.48,2.02,1.29,10.0
102,300525.SZ,博思软件,软件服务,37.89,3.62,1.28,5.0
103,300416.SZ,苏试试验,电器仪表,26.62,2.08,1.28,8.0
104,002396.SZ,星网锐捷,通信设备,32.5,2.19,1.27,9.0
105,603737.SH,三棵树,染料涂料,80.15,2.43,1.26,6.0
106,002916.SZ,深南电路,元器件,148.46,2.58,1.25,11.0
107,300558.SZ,贝达药业,化学制药,56.8,2.29,1.24,12.0
108,600615.SH,丰华股份,小金属,10.29,2.01,1.22,6.0
109,603118.SH,共进股份,通信设备,13.08,2.04,1.21,9.0
110,300602.SZ,飞荣达,元器件,46.4,2.98,1.2,9.0
111,600131.SH,岷江水电,水力发电,21.65,2.21,1.14,7.0
112,300015.SZ,爱尔眼科,医疗保健,41.94,2.07,1.11,2.0
113,300579.SZ,数字认证,软件服务,41.84,2.59,1.09,5.0
114,300735.SZ,光弘科技,通信设备,25.67,2.06,1.04,12.0
115,603068.SH,博通集成,半导体,98.03,2.85,0.77,8.0
