,ts_code,name,industry,average_turnover_rate,average_p_change,accumulate_p_change,circ_mv
1174,002715.SZ,登云股份,汽车配件,8.175,2.619,5.289,158544.7677
403,000925.SZ,众合科技,专用机械,7.881,1.742,3.448,274494.5058
2700,600695.SH,绿庭投资,多元金融,7.793,1.461,2.218,185798.8461
3468,603803.SH,瑞斯康达,通信设备,7.77,0.236,0.455,242869.665
19,000023.SZ,深天地A,其他建材,7.585,1.583,3.114,206746.7976
145,000554.SZ,泰山石油,石油贸易,7.51,4.262,8.704,212875.3804
3436,603717.SH,天域生态,环境保护,7.392,2.762,5.464,124887.2671
2775,600775.SH,南京熊猫,通信设备,7.344,2.458,4.956,483723.7409
880,002418.SZ,康盛股份,机械基件,7.266,2.288,4.624,363306.1959
3129,603013.SH,亚普股份,汽车配件,7.26,0.075,0.109,110400.0
1086,002625.SZ,光启技术,汽车配件,7.207,2.483,5.025,455204.676
1375,002932.SZ,明德生物,医疗保健,7.186,0.856,1.639,77421.8808
2259,600165.SH,新日恒力,钢加工,6.922,1.244,2.154,389698.868
44,000058.SZ,深赛格,元器件,6.918,3.096,6.087,328186.2257
52,000068.SZ,华控赛格,元器件,6.383,10.01,21.023,428842.0437
2462,600399.SH,*ST抚钢,特种钢,6.299,4.249,8.676,268850.2264
3345,603535.SH,嘉诚国际,仓储物流,6.162,2.928,5.907,131499.2
288,000755.SZ,山西路桥,公路,6.073,2.912,5.752,224308.4888
3375,603603.SH,博天环境,环境保护,6.017,8.311,17.283,409543.5462
3323,603458.SH,勘设股份,建筑施工,5.927,2.807,5.687,290176.6088
1052,002591.SZ,恒大高新,化工原料,5.552,0.571,0.79,140232.9
1224,002769.SZ,普路通,仓储物流,5.397,1.838,3.046,227561.9628
3158,603050.SH,科林电气,电气设备,5.394,0.689,1.382,94289.223
1241,002787.SZ,华源控股,广告包装,5.351,1.851,3.405,83905.3463
515,002052.SZ,同洲电子,通信设备,5.253,2.318,4.688,299873.1924
3334,603507.SH,振江股份,钢加工,4.96,5.55,11.407,140567.7638
3200,603131.SH,上海沪工,专用机械,4.741,1.73,3.481,81750.0
11,000014.SZ,沙河股份,全国地产,4.714,0.309,0.578,210580.2152
1273,002822.SZ,中装建设,装修装饰,4.581,2.045,3.894,179657.22
126,000532.SZ,华金资本,元器件,4.545,0.513,0.858,363405.4859
3481,603825.SH,华扬联众,互联网,4.493,0.512,0.98,142735.4136
954,002492.SZ,恒基达鑫,仓储物流,4.391,1.035,1.99,244851.0213
873,002411.SZ,延安必康,化学制药,4.341,3.63,6.985,753843.1091
2838,600846.SH,同济科技,综合类,4.286,2.126,4.038,482940.6519
3279,603323.SH,吴江银行,银行,4.086,0.444,0.88,417566.4303
3390,603630.SH,拉芳家化,日用化工,3.996,1.477,2.943,121771.7947
2329,600242.SH,中昌数据,软件服务,3.95,6.422,13.128,492069.7771
2575,600556.SH,ST慧球,软件服务,3.868,4.999,10.247,246351.2738
2522,600493.SH,凤竹纺织,纺织,3.846,4.761,9.677,184960.0
3493,603859.SH,能科股份,软件服务,3.613,2.27,4.298,99281.1
1237,002782.SZ,可立克,电气设备,3.589,0.114,0.084,127267.5
3247,603239.SH,浙江仙通,汽车配件,3.519,0.948,1.832,110950.56
1125,002664.SZ,长鹰信质,汽车配件,3.505,0.743,1.148,462652.4411
1053,002592.SZ,八菱科技,汽车配件,3.468,1.904,3.189,460782.1746
1302,002853.SZ,皮阿诺,家居用品,3.45,1.109,2.054,109562.0466
1261,002809.SZ,红墙股份,化工原料,3.44,1.574,3.14,101641.345
3453,603768.SH,常青股份,汽车配件,3.429,2.203,4.389,85061.625
3520,603901.SH,永创智能,专用机械,3.424,1.862,3.587,132848.0
3463,603797.SH,联泰环保,环境保护,3.406,1.599,3.216,68488.56
2689,600684.SH,珠江实业,全国地产,3.395,3.68,7.09,373815.7967
3319,603421.SH,鼎信通讯,通信设备,3.359,1.713,3.384,98898.1578
1081,002620.SZ,瑞和股份,装修装饰,3.349,1.786,3.571,211297.2828
296,000766.SZ,通化金马,中成药,3.328,5.489,11.247,521874.8526
1123,002662.SZ,京威股份,汽车配件,3.277,1.061,2.133,628816.5441
3457,603778.SH,乾景园林,建筑施工,3.257,3.523,6.762,117852.3325
1191,002733.SZ,雄韬股份,电气设备,3.249,1.715,3.125,323965.915
3538,603938.SH,三孚股份,化工原料,3.246,0.214,0.428,95428.0214
2221,600119.SH,长江投资,仓储物流,3.237,0.274,0.479,258216.0
3321,603444.SH,吉比特,互联网,3.216,0.264,0.529,634397.4698
767,002305.SZ,南国置业,区域地产,3.204,3.411,6.897,503223.7229
3082,601878.SH,浙商证券,证券,3.143,0.132,0.248,977683.167
107,000507.SZ,珠海港,港口,3.083,1.792,3.606,576791.4022
2896,600929.SH,湖南盐业,食品,3.074,0.25,0.48,125550.0
182,000605.SZ,渤海股份,水务,3.016,0.379,0.729,263978.9048
2393,600318.SH,新力金融,多元金融,2.996,0.708,1.011,386716.0
1043,002582.SZ,好想你,食品,2.951,2.324,4.637,218239.1571
3393,603637.SH,镇海股份,建筑施工,2.949,1.45,2.921,63971.4416
2889,600901.SH,江苏租赁,多元金融,2.917,0.459,0.816,395519.8146
3491,603856.SH,东宏股份,塑料,2.888,0.208,0.415,132663.479
719,002256.SZ,兆新股份,染料涂料,2.762,0.936,1.858,410269.3566
1209,002752.SZ,昇兴股份,广告包装,2.732,0.692,1.389,124274.846
1148,002687.SZ,乔治白,服饰,2.724,0.23,0.32,200277.594
3252,603268.SH,松发股份,陶瓷,2.588,4.576,9.361,237907.4208
876,002414.SZ,高德红外,电器仪表,2.561,0.7,1.33,979335.5278
529,002066.SZ,瑞泰科技,其他建材,2.547,0.925,1.772,185724.0
3384,603616.SH,韩建河山,其他建材,2.522,0.269,0.476,371393.76
1121,002660.SZ,茂硕电源,电气设备,2.444,1.083,1.893,136490.7864
2426,600359.SH,新农开发,农业综合,2.441,0.222,0.44,174351.3587
3161,603058.SH,永吉股份,广告包装,2.423,2.03,4.098,243346.422
3206,603157.SH,拉夏贝尔,服饰,2.419,0.794,1.592,139533.4968
484,002021.SZ,中捷资源,纺织机械,2.412,1.564,3.0,212428.2424
543,002080.SZ,中材科技,化纤,2.407,3.587,7.27,576000.0
2181,600076.SH,康欣新材,其他建材,2.393,0.327,0.646,483001.3482
81,000409.SZ,*ST地矿,综合类,2.364,0.391,0.681,239728.0652
3277,603321.SH,梅轮电梯,运输设备,2.326,0.886,1.771,86726.7
2723,600720.SH,祁连山,水泥,2.305,0.3,0.575,543313.8809
479,002016.SZ,世荣兆业,区域地产,2.302,2.172,4.33,695087.7796
16,000020.SZ,深华发A,元器件,2.252,1.687,3.298,232616.362
108,000509.SZ,华塑控股,其他建材,2.191,0.582,0.99,252596.8411
206,000633.SZ,合金投资,综合类,2.169,1.364,2.018,175223.3997
2697,600692.SH,亚通股份,房产服务,2.152,0.102,0.147,173662.1621
2490,600448.SH,华纺股份,纺织,2.145,1.772,3.571,223893.3838
808,002346.SZ,柘中股份,电气设备,2.131,2.64,4.807,478978.1743
2645,600634.SH,*ST富控,互联网,2.127,5.012,10.274,185385.7301
402,000923.SZ,河北宣工,铜,2.047,0.49,0.915,283734.0
3423,603696.SH,安记食品,食品,2.037,1.927,3.856,194544.0
2625,600610.SH,*ST毅达,建筑施工,2.033,0.92,1.667,68730.15
565,002102.SZ,ST冠福,化学制药,2.016,0.872,1.587,382374.1031
652,002189.SZ,利达光电,元器件,2.016,0.341,0.506,234462.9194
3357,603577.SH,汇金通,钢加工,2.001,0.518,0.991,71081.6502
498,002035.SZ,华帝股份,家用电器,1.968,0.206,0.412,762368.8069
2637,600622.SH,光大嘉宝,区域地产,1.965,3.31,6.656,584953.7157
3396,603648.SH,畅联股份,仓储物流,1.933,1.915,3.85,324273.2135
1201,002743.SZ,富煌钢构,钢加工,1.927,0.257,0.475,210463.1979
1267,002816.SZ,和科达,专用机械,1.927,0.419,0.837,89669.2477
86,000416.SZ,民生控股,多元金融,1.902,0.562,1.106,242959.9818
3435,603716.SH,塞力斯,医药商业,1.857,0.353,0.654,177604.8268
2554,600529.SH,山东药玻,医疗保健,1.856,0.203,0.313,693999.7305
376,000890.SZ,法尔胜,钢加工,1.846,0.132,0.208,182599.0728
2574,600555.SH,海航创新,旅游服务,1.846,0.656,1.311,300811.5
1117,002656.SZ,摩登大道,服饰,1.837,0.224,0.383,494824.4897
2,000004.SZ,国农科技,生物制药,1.79,1.632,2.991,145771.1511
3391,603633.SH,徕木股份,元器件,1.769,1.571,3.164,116153.0616
2974,601127.SH,小康股份,汽车配件,1.747,1.078,2.167,365814.8181
3476,603817.SH,海峡环保,环境保护,1.742,0.461,0.901,120960.0
1231,002776.SZ,柏堡龙,服饰,1.729,1.517,3.038,334884.5801
521,002058.SZ,威尔泰,电器仪表,1.712,0.358,0.521,166113.1685
924,002462.SZ,嘉事堂,医药商业,1.671,0.167,0.267,373976.754
651,002188.SZ,*ST巴士,广告包装,1.66,0.134,0.249,88549.0304
757,002295.SZ,精艺股份,铜,1.652,4.582,9.318,208452.0025
3105,601968.SH,宝钢包装,广告包装,1.582,2.412,4.866,359166.6523
3540,603955.SH,大千生态,环境保护,1.547,2.162,4.302,114112.3408
818,002356.SZ,赫美集团,其他商业,1.534,0.496,0.859,394756.7884
3272,603315.SH,福鞍股份,机械基件,1.528,1.509,3.04,275818.4299
883,002421.SZ,达实智能,软件服务,1.495,1.016,2.025,599590.0447
3132,603017.SH,中衡设计,建筑施工,1.473,3.402,6.485,311704.9868
47,000061.SZ,农产品,农业综合,1.439,5.801,11.871,942422.8211
1200,002742.SZ,三圣股份,其他建材,1.43,0.06,0.121,222380.8394
1230,002775.SZ,文科园林,建筑施工,1.411,0.887,1.713,283069.7196
1111,002650.SZ,加加食品,食品,1.41,0.94,1.799,375049.327
2159,600053.SH,九鼎投资,多元金融,1.401,3.099,5.82,859277.8656
432,000966.SZ,长源电力,火力发电,1.388,1.005,1.829,370166.8827
957,002495.SZ,佳隆股份,食品,1.358,0.201,0.299,228487.5718
657,002194.SZ,*ST凡谷,通信设备,1.343,0.661,1.299,330946.5363
2803,600807.SH,*ST天业,区域地产,1.329,2.234,4.438,277817.5178
3392,603636.SH,南威软件,软件服务,1.295,1.75,3.351,499710.607
1255,002802.SZ,洪汇新材,化工原料,1.288,0.65,1.27,84273.5657
860,002398.SZ,建研集团,其他建材,1.275,0.53,0.99,267969.7559
2856,600866.SH,星湖科技,食品,1.274,0.321,0.588,220724.565
679,002216.SZ,三全食品,食品,1.251,1.71,3.443,395364.2184
3297,603359.SH,东珠生态,建筑施工,1.245,0.49,0.96,257415.3212
234,000679.SZ,大连友谊,百货,1.238,0.426,0.465,153943.4687
2346,600265.SH,ST景谷,林业,1.23,2.722,5.466,365646.6
786,002324.SZ,普利特,塑料,1.215,1.2,2.395,240849.5643
1006,002545.SZ,东方铁塔,钢加工,1.204,0.861,1.639,383438.7117
331,000816.SZ,*ST慧业,农用机械,1.195,0.333,0.641,209795.5631
2751,600748.SH,上实发展,全国地产,1.167,0.21,0.344,822495.1668
3309,603385.SH,惠达卫浴,家居用品,1.16,0.563,1.117,238672.8689
3026,601500.SH,通用股份,汽车配件,1.121,0.485,0.971,127341.0939
851,002389.SZ,航天彩虹,元器件,1.11,0.892,1.771,855199.3699
139,000547.SZ,航天发展,通信设备,1.109,0.813,1.576,813405.2657
1236,002781.SZ,奇信股份,装修装饰,1.108,0.868,1.733,144850.5363
2176,600071.SH,凤凰光学,元器件,1.094,0.179,0.344,207550.9265
3437,603718.SH,海利生物,生物制药,1.093,2.203,4.403,900956.0
97,000429.SZ,粤高速A,路桥,1.055,0.107,0.128,365706.9179
2315,600228.SH,ST昌九,化工原料,1.043,0.432,0.861,197882.4
975,002513.SZ,蓝丰生化,农药化肥,1.024,0.171,0.28,182159.9013
2817,600822.SH,上海物贸,商贸代理,1.011,0.164,0.313,380698.1396
3133,603018.SH,中设集团,建筑施工,1.01,0.846,1.666,565561.4973
2358,600278.SH,东方创业,商贸代理,1.007,0.287,0.548,478895.6747
3001,601228.SH,广州港,港口,1.006,1.073,2.153,616237.86
725,002263.SZ,*ST东南,塑料,1.002,1.264,2.41,319321.217
18,000022.SZ,深赤湾A,港口,0.999,1.209,2.417,827449.554
1047,002586.SZ,围海股份,建筑施工,0.992,0.113,0.197,352373.1393
161,000573.SZ,粤宏远A,区域地产,0.959,1.446,2.761,208428.6334
218,000659.SZ,珠海中富,广告包装,0.955,0.954,1.914,547709.2735
1206,002749.SZ,国光股份,农药化肥,0.943,3.105,6.302,268818.8545
2672,600664.SH,哈药股份,化学制药,0.938,2.625,5.319,992754.2101
2919,600981.SH,汇鸿集团,商贸代理,0.932,0.173,0.257,285032.3506
560,002097.SZ,山河智能,工程机械,0.928,0.79,1.541,499194.9744
2521,600491.SH,龙元建设,建筑施工,0.918,0.064,0.127,746708.8
675,002212.SZ,南洋股份,电气设备,0.915,2.089,4.178,752957.6772
1019,002558.SZ,巨人网络,互联网,0.897,0.227,0.415,827310.8303
2355,600275.SH,ST昌鱼,农业综合,0.827,0.174,0.327,156213.0321
2257,600162.SH,香江控股,全国地产,0.817,1.74,3.493,704790.9695
3394,603638.SH,艾迪精密,专用机械,0.771,1.619,3.256,218317.7689
2305,600217.SH,中再资环,环境保护,0.761,2.324,4.575,633077.1725
141,000550.SZ,江铃汽车,汽车整车,0.744,1.013,2.034,624186.3006
3150,603037.SH,凯众股份,汽车配件,0.743,0.062,0.111,110798.8833
3305,603377.SH,东方时尚,汽车服务,0.726,1.56,3.125,223053.8888
3032,601566.SH,九牧王,服饰,0.676,1.404,2.825,794723.1785
935,002473.SZ,*ST圣莱,家用电器,0.67,0.775,1.541,105440.0
179,000600.SZ,建投能源,火力发电,0.666,0.099,0.193,565732.9014
688,002225.SZ,濮耐股份,其他建材,0.658,0.153,0.203,348634.0
580,002117.SZ,东港股份,广告包装,0.641,0.207,0.413,530944.7169
2308,600220.SH,江苏阳光,纺织,0.639,0.22,0.44,406601.5943
3351,603558.SH,健盛集团,纺织,0.632,0.822,1.647,325447.7309
1062,002601.SZ,龙蟒佰利,化工原料,0.609,0.499,0.94,908723.3458
2277,600185.SH,格力地产,区域地产,0.582,1.784,3.535,844649.3123
3232,603203.SH,快克股份,专用机械,0.581,0.471,0.925,109425.8693
1213,002757.SZ,南兴装备,家居用品,0.578,1.503,3.002,292990.3616
2549,600523.SH,贵航股份,汽车配件,0.568,0.587,1.1,371317.0058
706,002243.SZ,通产丽星,塑料,0.565,10.019,21.042,424070.6869
629,002166.SZ,莱茵生物,中成药,0.559,0.699,1.347,239636.841
3559,603990.SH,麦迪科技,软件服务,0.559,1.035,2.07,196125.088
2642,600629.SH,华建集团,建筑施工,0.54,1.708,3.396,454160.1751
763,002301.SZ,齐心集团,文教休闲,0.532,0.129,0.243,527734.4322
450,000987.SZ,越秀金控,多元金融,0.5,0.254,0.37,437681.4687
823,002361.SZ,神剑股份,化工原料,0.499,0.675,1.333,234447.81
2867,600877.SH,ST嘉陵,摩托车,0.46,0.76,1.525,320273.4306
77,000403.SZ,振兴生化,生物制药,0.442,1.714,3.175,715483.5538
3180,603096.SH,新经典,出版业,0.432,0.216,0.43,314449.776
2503,600468.SH,百利电气,电气设备,0.43,0.109,0.182,439935.4617
2488,600444.SH,国机通用,塑料,0.425,0.05,0.099,147739.7294
3086,601886.SH,江河集团,装修装饰,0.399,0.211,0.408,851688.9
3104,601966.SH,玲珑轮胎,汽车配件,0.399,0.075,0.143,553347.4385
2886,600897.SH,厦门空港,机场,0.34,0.268,0.509,647438.94
2492,600452.SH,涪陵电力,水力发电,0.34,0.069,0.119,376096.0
2903,600961.SH,株冶集团,铅锌,0.338,1.52,2.839,420383.9575
525,002062.SZ,宏润建设,建筑施工,0.326,0.244,0.487,395904.157
2482,600429.SH,三元股份,乳制品,0.306,1.089,2.183,455775.0
2218,600116.SH,三峡水利,水力发电,0.265,0.191,0.382,783481.3411
2476,600421.SH,ST仰帆,机械基件,0.25,1.22,2.433,156480.0
3490,603855.SH,华荣股份,专用机械,0.245,0.122,0.242,166875.12
204,000631.SZ,顺发恒业,区域地产,0.209,0.336,0.656,746783.3846
3016,601339.SH,百隆东方,纺织,0.199,1.191,2.377,840000.0
3267,603306.SH,华懋科技,汽车配件,0.177,0.179,0.336,458994.4605
2989,601188.SH,龙江交通,路桥,0.169,0.656,1.29,413185.8713
128,000534.SZ,万泽股份,区域地产,0.161,0.246,0.486,507580.452
2465,600403.SH,大有能源,煤炭开采,0.104,0.391,0.779,927635.212
874,002412.SZ,汉森制药,中成药,0.078,0.034,0.069,418785.375
