,ts_code,symbol,name,industry,COL_CONTINUOUS_LIMIT,COL_LAST_PCT_CHG,COL_LASTPRICE,concept
43,002135.SZ,002135,东南网架,建筑施工,1.0,9.9715,7.72,"业绩预增, 大基建, 装配式建筑, 雄安-建材, PPP, 雄安新区, "
44,002157.SZ,002157,正邦科技,饲料,1.0,10.0,22.33,"阿里巴巴概念股, 饲料, 养猪, 土地流转, "
45,002197.SZ,002197,证通电子,电器仪表,1.0,10.0372,8.88,"回购, 网络安全, 互联网金融, 新能源汽车, 移动支付, 云计算, 智慧城市, 国资入股, LED, 充电桩, 无人银行, "
46,002417.SZ,002417,深南股份,多元金融,1.0,10.0228,9.66,"供应链金融, 互联网金融, 大数据, 云计算, "
47,002512.SZ,002512,达华智能,元器件,1.0,9.9156,5.21,"互联网金融, 移动支付, 无人商店, 智慧城市, 股权转让, 国资入股, 资产重组, "
48,300421.SZ,300421,力星股份,机械基件,1.0,10.0216,10.21,"回购, 高送转, "
49,002567.SZ,002567,唐人神,饲料,1.0,9.901,16.65,"回购, 饲料, 养猪, 股权转让, 国资入股, "
50,002592.SZ,002592,八菱科技,汽车配件,1.0,10.0115,19.12,"回购, 汽车零部件, 燃料电池, 广西, 股权转让, "
51,002674.SZ,002674,兴业科技,纺织,1.0,9.9869,16.85,"业绩预增, 纺织服装, 恒大概念股, 壳公司, "
52,002692.SZ,002692,远程股份,电气设备,1.0,10.0,4.07,"特高压, 军工, 军民融合, "
53,002763.SZ,002763,汇洁股份,服饰,1.0,10.0541,10.18,"纺织服装, 化妆品, "
54,002840.SZ,002840,华统股份,食品,1.0,10.0,19.03,"养猪, "
55,002893.SZ,002893,华通热力,供气供热,1.0,9.9873,17.29,"高送转-预期, "
56,300123.SZ,300123,亚光科技,船舶,1.0,9.9665,13.13,"5G, 回购, 业绩预增, 军工, 军民融合, 半导体, 股权转让, 国产芯片, 智慧安防, "
57,300176.SZ,300176,派生科技,汽车配件,1.0,10.0219,20.09,"特斯拉, 供应链金融, 汽车零部件, 宁德时代概念股, 互联网金融, 举牌股, 高送转, 股权转让, "
58,300317.SZ,300317,珈伟新能,半导体,1.0,10.0346,6.36,"光伏, 高质押率, 锂电池, 新能源汽车, 石墨烯, 共享经济, LED, "
59,000523.SZ,000523,广州浪奇,日用化工,1.0,10.0733,6.01,"社保重仓, 粤港澳大湾区, 食品, 白糖, "
60,603988.SH,603988,中电电机,电气设备,1.0,10.0096,11.43,"特高压, 股权转让, 手游, "
