,ts_code,symbol,name,industry,COL_CHG,COL_ODDS,COL_DELTA_ODDS,COL_MA_20_SLOPE,COL_CIRC_MV
20,000650.SZ,000650,仁和药业,中成药,-1.5,-1.78,-5.344265974025973,1.29,142.92
21,002269.SZ,002269,美邦服饰,服饰,22.54,0.86,-5.327723376623376,2.02,106.53
22,601279.SH,601279,英利汽车,汽车配件,2.17,-1.93,-4.769154025974026,0.38,18.26
23,600321.SH,600321,正源股份,其他建材,13.11,-1.59,-4.7662581818181815,0.44,35.2
24,605305.SH,605305,中际联合,专用机械,34.24,2.46,-4.693989350649349,1.13,14.9
25,300274.SZ,300274,阳光电源,电气设备,-3.47,-2.28,-4.687075844155844,0.03,901.64
26,600620.SH,600620,天宸股份,综合类,14.16,-0.58,-4.656358961038961,0.87,51.5
27,300490.SZ,300490,华自科技,电气设备,15.89,0.41,-4.608374545454545,1.53,29.44
28,300715.SZ,300715,凯伦股份,其他建材,12.47,-0.18,-4.547766753246753,0.28,70.31
29,002802.SZ,002802,洪汇新材,化工原料,20.57,0.02,-4.542157402597404,1.59,33.79
30,002667.SZ,002667,鞍重股份,工程机械,21.97,0.42,-4.4646579220779214,2.64,35.79
31,300777.SZ,300777,中简科技,化纤,18.28,0.24,-4.437748311688312,1.31,116.42
32,300191.SZ,300191,潜能恒信,石油开采,24.8,1.89,-4.409210129870129,1.1,46.23
33,600156.SH,600156,华升股份,纺织,-0.5,-1.02,-4.394649090909091,0.52,15.88
34,300792.SZ,300792,壹网壹创,互联网,8.55,-0.71,-4.3668602597402595,0.63,52.86
35,603987.SH,603987,康德莱,医疗保健,22.79,1.03,-4.331578441558442,1.59,127.66
36,600076.SH,600076,康欣新材,其他建材,18.67,0.41,-4.20121974025974,1.46,49.95
37,300457.SZ,300457,赢合科技,专用机械,14.51,0.04,-4.18355922077922,0.98,90.06
38,600865.SH,600865,百大集团,百货,-0.69,-1.2,-4.170081298701299,0.35,32.32
39,300724.SZ,300724,捷佳伟创,专用机械,18.8,0.18,-4.152286753246754,0.69,189.14
40,002292.SZ,002292,奥飞娱乐,影视音像,3.95,-0.73,-4.053948051948051,0.16,51.37
41,600556.SH,600556,天下秀,互联网,-0.57,-1.12,-3.920927012987013,0.39,49.51
42,300655.SZ,300655,晶瑞股份,化工原料,31.77,1.33,-3.8875932467532466,1.95,77.78
43,601567.SH,601567,三星医疗,电器仪表,3.9,-1.82,-3.8531387012987017,1.99,219.08
44,601689.SH,601689,拓普集团,汽车配件,11.25,-0.26,-3.8389916883116886,0.94,390.35
45,600663.SH,600663,陆家嘴,园区开发,21.93,1.7,-3.8313262337662333,1.34,384.87
46,605080.SH,605080,浙江自然,纺织,27.07,2.47,-3.7941153246753245,0.31,11.89
47,605136.SH,605136,丽人丽妆,其他商业,8.0,-0.78,-3.791687012987013,0.4,14.7
48,002459.SZ,002459,晶澳科技,电气设备,10.08,-0.14,-3.7130690909090904,1.28,209.4
49,600958.SH,600958,东方证券,证券,4.6,-0.53,-3.6851051948051943,0.53,561.04
50,300720.SZ,300720,海川智能,电器仪表,8.2,-0.76,-3.6782755844155846,0.6,13.83
51,300014.SZ,300014,亿纬锂能,电气设备,-0.97,-1.57,-3.651925194805195,0.5,1812.15
52,002893.SZ,002893,华通热力,供气供热,-1.39,-1.97,-3.6335418181818184,0.26,11.7
53,000415.SZ,000415,渤海租赁,多元金融,14.67,0.52,-3.5846823376623367,0.42,91.52
54,000668.SZ,000668,荣丰控股,区域地产,4.28,-1.36,-3.5670109090909086,0.5,27.14
55,300230.SZ,300230,永利股份,塑料,22.87,1.85,-3.546688051948051,1.07,30.37
56,600137.SH,600137,浪莎股份,服饰,12.87,1.01,-3.505398441558441,1.5,16.89
57,600848.SH,600848,上海临港,园区开发,-0.38,-0.82,-3.475820519480519,0.46,257.73
58,600827.SH,600827,百联股份,超市连锁,11.25,-0.04,-3.4544644155844146,0.63,348.97
59,603787.SH,603787,新日股份,摩托车,37.52,3.01,-3.448831428571428,2.34,57.1
60,600258.SH,600258,首旅酒店,酒店餐饮,6.07,-0.74,-3.424880519480519,0.51,258.33
61,600630.SH,600630,龙头股份,纺织,7.92,-0.04,-3.4188327272727275,0.56,24.3
62,002900.SZ,002900,哈三联,化学制药,19.96,-0.71,-3.415800259740259,0.89,48.76
63,002616.SZ,002616,长青集团,环境保护,16.83,1.6,-3.368915844155845,0.62,33.95
64,000655.SZ,000655,金岭矿业,普钢,-4.23,-2.44,-3.230290129870129,0.09,60.61
65,000822.SZ,000822,山东海化,化工原料,15.44,0.88,-3.2215527272727265,0.57,70.26
66,600639.SH,600639,浦东金桥,园区开发,9.32,0.25,-3.2173418181818176,0.56,112.74
67,603650.SH,603650,彤程新材,化工原料,44.78,3.84,-3.217137142857141,2.15,60.71
68,300340.SZ,300340,科恒股份,元器件,48.69,2.69,-3.212807792207792,2.76,27.75
69,300658.SZ,300658,延江股份,纺织,7.13,-0.3,-3.1972428571428573,0.33,17.14
70,601865.SH,601865,福莱特,玻璃,0.95,-0.92,-3.1790633766233762,0.57,128.0
71,300523.SZ,300523,辰安科技,软件服务,6.85,-0.28,-3.0738064935064937,0.39,54.39
72,002570.SZ,002570,贝因美,乳制品,14.01,-0.49,-3.07108987012987,0.18,59.92
73,603611.SH,603611,诺力股份,运输设备,14.79,0.62,-3.065665714285714,0.83,39.2
74,601068.SH,601068,中铝国际,建筑工程,8.13,0.33,-3.0631483116883116,0.29,10.62
75,603839.SH,603839,安正时尚,服饰,7.45,-0.01,-3.0517363636363637,0.2,41.57
76,300151.SZ,300151,昌红科技,机械基件,19.1,0.65,-3.042171428571428,0.38,96.72
77,000027.SZ,000027,深圳能源,火力发电,-0.96,-1.94,-3.0110745454545453,0.38,490.01
78,600354.SH,600354,敦煌种业,种植业,18.75,1.38,-3.007191948051948,1.03,29.08
79,300850.SZ,300850,新强联,机械基件,12.51,0.39,-2.9836574025974025,0.59,35.58
80,300961.SZ,300961,深水海纳,环境保护,0.47,-0.9,-2.9829922077922078,0.04,11.78
81,603222.SH,603222,济民制药,化学制药,8.5,0.02,-2.9712815584415577,0.12,55.14
82,600284.SH,600284,浦东建设,建筑工程,8.81,0.2,-2.942687272727272,0.62,65.88
83,605151.SH,605151,西上海,汽车配件,7.66,0.38,-2.9368625974025977,0.27,6.47
84,603939.SH,603939,益丰药房,医药商业,-0.51,-1.11,-2.917749090909091,0.11,441.29
85,600119.SH,600119,长江投资,仓储物流,6.09,0.24,-2.8813415584415583,0.61,26.22
86,600895.SH,600895,张江高科,园区开发,0.42,-0.55,-2.869732987012987,0.69,295.34
87,300901.SZ,300901,中胤时尚,服饰,4.61,-0.25,-2.862662857142857,0.18,10.05
88,300238.SZ,300238,冠昊生物,医疗保健,-0.98,-1.31,-2.861282077922078,0.23,54.55
89,600648.SH,600648,外高桥,园区开发,9.4,0.58,-2.8490493506493504,0.56,142.46
90,600733.SH,600733,北汽蓝谷,汽车整车,-3.77,-1.76,-2.83733974025974,0.24,279.35
91,002502.SZ,002502,鼎龙文化,影视音像,24.29,0.88,-2.8168592207792207,1.65,36.23
92,300962.SZ,300962,中金辐照,综合类,3.16,-0.55,-2.81545948051948,0.15,16.15
93,002788.SZ,002788,鹭燕医药,医药商业,0.54,-0.95,-2.788932207792208,0.25,30.48
94,601969.SH,601969,海南矿业,普钢,9.42,-0.8,-2.78478025974026,0.47,170.26
95,300124.SZ,300124,汇川技术,电器仪表,-2.85,-1.65,-2.771307272727272,0.35,1226.35
96,002314.SZ,002314,南山控股,区域地产,3.93,-0.12,-2.7622446753246748,0.3,46.03
97,300948.SZ,300948,冠中生态,环境保护,-3.08,-1.52,-2.7605968831168823,0.15,8.73
98,300305.SZ,300305,裕兴股份,塑料,14.0,0.56,-2.737497922077921,0.78,26.7
99,002968.SZ,002968,新大正,房产服务,4.08,-0.63,-2.7352311688311692,0.15,32.7
100,000818.SZ,000818,航锦科技,化工原料,28.71,1.8,-2.722705454545454,1.12,187.32
101,601908.SH,601908,京运通,新型电力,4.46,-0.39,-2.6960488311688313,0.5,163.43
102,600480.SH,600480,凌云股份,汽车配件,-3.95,-2.38,-2.6906498701298696,0.1,76.19
103,002931.SZ,002931,锋龙股份,汽车配件,25.24,2.13,-2.6818192207792197,1.37,26.14
104,002094.SZ,002094,青岛金王,日用化工,11.14,0.57,-2.648317662337662,0.75,29.62
105,600708.SH,600708,光明地产,全国地产,1.6,-0.24,-2.637500519480519,0.39,56.52
106,600759.SH,600759,洲际油气,石油开采,4.91,-0.31,-2.630658961038961,0.44,53.07
107,300576.SZ,300576,容大感光,染料涂料,26.81,1.77,-2.5889657142857136,1.55,34.91
108,601375.SH,601375,中原证券,证券,1.85,-0.4,-2.581336363636363,0.63,171.0
109,300860.SZ,300860,锋尚文化,文教休闲,9.08,-0.15,-2.573762337662337,0.54,21.05
110,603308.SH,603308,应流股份,专用机械,5.53,-0.03,-2.5688683116883126,0.63,136.97
111,600834.SH,600834,申通地铁,公共交通,17.44,1.24,-2.5670420779220766,1.19,54.33
112,300475.SZ,300475,聚隆科技,专用机械,3.21,-1.0,-2.5608036363636364,0.23,53.45
113,002481.SZ,002481,双塔食品,食品,1.79,-0.6,-2.5536896103896103,0.16,143.48
114,002158.SZ,002158,汉钟精机,工程机械,16.21,0.46,-2.536978441558441,0.58,139.05
115,600917.SH,600917,重庆燃气,供气供热,-0.5,-1.23,-2.5183438961038958,0.61,155.91
116,600006.SH,600006,东风汽车,汽车整车,9.26,0.53,-2.4974877922077923,0.56,151.0
117,002717.SZ,002717,岭南股份,环境保护,-1.19,-1.19,-2.447964675324675,0.93,37.37
118,300592.SZ,300592,华凯创意,软件服务,17.56,1.42,-2.4280607792207793,0.43,23.99
119,600735.SH,600735,新华锦,商贸代理,-8.26,-3.37,-2.4121425974025974,0.13,26.36
120,603306.SH,603306,华懋科技,汽车配件,23.97,1.37,-2.4023989610389607,1.52,96.86
121,300840.SZ,300840,酷特智能,服饰,4.57,-0.62,-2.393905974025974,0.43,8.51
122,603826.SH,603826,坤彩科技,染料涂料,0.51,-0.7,-2.3774496103896103,0.22,194.83
123,603606.SH,603606,东方电缆,电气设备,5.44,0.24,-2.3729054545454544,0.15,135.07
124,300582.SZ,300582,英飞特,半导体,47.0,3.62,-2.370555324675323,3.13,42.02
125,300035.SZ,300035,中科电气,电气设备,37.52,2.0,-2.365011688311688,2.65,94.83
126,603329.SH,603329,上海雅仕,仓储物流,2.92,-0.14,-2.3626612987012985,0.39,17.2
127,000695.SZ,000695,滨海能源,广告包装,8.81,-0.16,-2.3465096103896106,0.35,13.15
128,603001.SH,603001,奥康国际,服饰,13.31,0.83,-2.337452727272727,0.86,35.69
129,003027.SZ,003027,同兴环保,环境保护,0.4,-0.7,-2.3357493506493507,0.19,9.89
130,603026.SH,603026,石大胜华,化工原料,29.26,2.64,-2.3217903896103884,1.99,224.12
131,300554.SZ,300554,三超新材,矿物制品,4.24,-0.09,-2.310836363636364,0.84,9.59
132,600604.SH,600604,市北高新,园区开发,5.58,0.36,-2.279881558441558,0.35,82.62
133,300145.SZ,300145,中金环境,专用机械,6.76,0.29,-2.2560251948051944,0.67,55.82
134,000890.SZ,000890,法尔胜,钢加工,14.59,0.59,-2.2489425974025963,0.93,22.66
135,300374.SZ,300374,中铁装配,其他建材,10.06,-0.01,-2.2399005194805195,0.32,22.38
136,600751.SH,600751,海航科技,软件服务,64.52,5.93,-2.212443116883118,2.55,104.99
137,603801.SH,603801,志邦家居,家居用品,3.05,-0.35,-2.205513246753246,0.43,110.23
138,600009.SH,600009,上海机场,机场,-1.12,-0.78,-2.202472467532468,0.46,532.63
139,300236.SZ,300236,上海新阳,半导体,17.98,1.07,-2.199117922077922,1.13,124.25
140,002421.SZ,002421,达实智能,软件服务,16.68,1.78,-2.1761470129870126,0.57,70.16
141,603825.SH,603825,华扬联众,互联网,10.05,0.55,-2.1735233766233764,0.63,38.92
142,002117.SZ,002117,东港股份,广告包装,12.42,1.29,-2.16648025974026,0.38,46.91
143,002457.SZ,002457,青龙管业,塑料,-3.4,-1.44,-2.161383896103896,0.57,28.86
144,002316.SZ,002316,亚联发展,软件服务,3.45,-0.36,-2.1531140259740256,0.54,16.7
145,002181.SZ,002181,粤传媒,出版业,-0.89,-0.83,-2.146166753246754,0.22,50.48
146,300887.SZ,300887,谱尼测试,综合类,22.65,1.26,-2.129430129870129,1.78,23.68
147,601187.SH,601187,厦门银行,银行,-1.83,-0.85,-2.123128051948052,0.75,25.49
148,002341.SZ,002341,新纶科技,化工原料,41.4,2.91,-2.1159623376623373,2.2,46.4
149,300326.SZ,300326,凯利泰,医疗保健,-4.91,-1.98,-2.1131012987012983,0.77,91.55
150,002407.SZ,002407,多氟多,化工原料,38.47,3.66,-2.1130288311688314,1.97,201.75
151,000504.SZ,000504,南华生物,生物制药,10.78,0.73,-2.090073506493506,1.08,63.19
152,603963.SH,603963,大理药业,化学制药,-2.8,-1.48,-2.0893732467532464,0.47,18.28
153,603583.SH,603583,捷昌驱动,电气设备,6.19,-0.11,-2.0756992207792213,0.75,117.62
154,300083.SZ,300083,创世纪,元器件,2.79,-0.39,-2.065644675324675,0.44,154.09
155,000635.SZ,000635,英力特,化工原料,18.82,0.15,-2.062283376623377,0.59,33.67
156,600081.SH,600081,东风科技,汽车配件,0.45,-0.54,-2.060428311688311,0.61,41.64
157,300024.SZ,300024,机器人,专用机械,3.31,-0.05,-2.0159823376623374,0.52,151.41
158,603020.SH,603020,爱普股份,食品,12.0,-0.1,-1.9959833766233768,1.9,71.68
159,600748.SH,600748,上实发展,全国地产,-0.41,-0.51,-1.992429090909091,0.2,88.91
160,300919.SZ,300919,中伟股份,化工原料,10.15,-1.09,-1.9696199999999997,1.54,60.18
161,300921.SZ,300921,南凌科技,互联网,2.38,-0.66,-1.9196477922077924,0.42,7.94
162,002660.SZ,002660,茂硕电源,电气设备,11.14,1.06,-1.9175290909090912,0.73,15.8
163,002080.SZ,002080,中材科技,化纤,10.29,0.39,-1.9063906493506488,0.48,379.09
164,603648.SH,603648,畅联股份,仓储物流,3.63,0.27,-1.9039948051948052,0.12,31.56
165,603203.SH,603203,快克股份,专用机械,2.89,-0.51,-1.8979698701298702,1.0,55.77
166,300977.SZ,300977,深圳瑞捷,建筑工程,0.3,-0.91,-1.8950748051948048,0.12,8.43
167,300521.SZ,300521,爱司凯,专用机械,4.73,-0.02,-1.8825540259740263,0.1,28.68
168,300591.SZ,300591,万里马,服饰,2.31,-0.55,-1.879851168831169,0.42,14.62
169,600418.SH,600418,江淮汽车,汽车整车,1.5,-0.47,-1.8505498701298702,0.54,179.11
170,300750.SZ,300750,宁德时代,电气设备,6.12,-0.56,-1.82602,0.51,5529.77
171,300565.SZ,300565,科信技术,通信设备,2.53,-0.68,-1.8143150649350646,0.55,22.99
172,000035.SZ,000035,中国天楹,环境保护,-0.84,-0.91,-1.8099379220779217,0.21,115.55
173,001203.SZ,001203,大中矿业,普钢,-3.45,-3.1,-1.7983714285714283,1.87,46.63
174,300899.SZ,300899,上海凯鑫,环境保护,-0.93,-0.72,-1.7820280519480516,0.21,6.14
175,000632.SZ,000632,三木集团,综合类,9.14,0.54,-1.7782522077922076,0.54,18.34
176,000962.SZ,000962,东方钽业,小金属,22.86,2.52,-1.7582090909090908,0.54,47.39
177,600420.SH,600420,国药现代,化学制药,2.07,-0.35,-1.7383163636363634,0.09,111.32
178,300675.SZ,300675,建科院,建筑工程,-1.73,-0.91,-1.736453246753247,0.12,23.33
179,600031.SH,600031,三一重工,工程机械,1.21,-0.48,-1.7302135064935062,0.1,2559.14
180,603659.SH,603659,璞泰来,化工原料,23.66,1.95,-1.7300524675324673,1.64,756.68
181,600725.SH,600725,云维股份,焦炭加工,17.41,1.69,-1.7286568831168825,2.1,35.74
182,300694.SZ,300694,蠡湖股份,汽车配件,5.56,0.17,-1.7283555844155842,0.42,12.83
183,000925.SZ,000925,众合科技,专用机械,29.17,3.5,-1.7277077922077915,1.41,45.53
184,300636.SZ,300636,同和药业,化学制药,8.82,0.46,-1.7181418181818184,0.18,31.19
185,000786.SZ,000786,北新建材,其他建材,10.15,0.72,-1.708182077922078,0.41,810.46
186,300262.SZ,300262,巴安水务,环境保护,4.11,-0.03,-1.69102,0.29,16.28
187,002626.SZ,002626,金达威,食品,1.11,-0.76,-1.677577922077922,0.43,286.62
188,300858.SZ,300858,科拓生物,食品,10.81,0.52,-1.6690942857142863,1.1,15.18
189,000938.SZ,000938,紫光股份,软件服务,20.34,1.7,-1.6321792207792214,1.14,640.09
190,002999.SZ,002999,天禾股份,批发业,-0.46,-0.61,-1.627525714285714,0.12,7.14
191,603023.SH,603023,威帝股份,汽车配件,8.27,0.29,-1.6223163636363638,0.5,23.55
192,605277.SH,605277,新亚电子,电气设备,5.36,-0.02,-1.6209490909090907,0.19,7.22
193,300947.SZ,300947,德必集团,综合类,1.92,-0.35,-1.6188202597402597,0.19,7.28
194,603116.SH,603116,红蜻蜓,服饰,6.76,0.52,-1.6091581818181813,0.62,39.12
195,002644.SZ,002644,佛慈制药,中成药,11.38,1.01,-1.6065875324675323,1.0,44.99
196,605188.SH,605188,国光连锁,超市连锁,3.23,-0.41,-1.5975514285714283,0.11,4.75
197,603196.SH,603196,日播时尚,服饰,75.55,7.36,-1.5962449350649361,3.52,26.88
198,002957.SZ,002957,科瑞技术,专用机械,24.68,1.39,-1.5957610389610386,1.29,34.9
199,605337.SH,605337,李子园,乳制品,24.34,0.41,-1.593073506493506,2.72,31.53
200,000601.SZ,000601,韶能股份,水力发电,2.9,-0.04,-1.5873799999999998,0.18,61.33
201,605303.SH,605303,园林股份,建筑工程,-0.79,-0.88,-1.5830215584415583,0.05,7.61
202,300918.SZ,300918,南山智尚,纺织,2.47,-0.35,-1.5758327272727268,0.18,9.57
203,002850.SZ,002850,科达利,机械基件,15.52,1.32,-1.5710449350649343,0.51,123.18
204,603110.SH,603110,东方材料,染料涂料,15.19,1.18,-1.5694205194805193,1.25,67.21
205,300935.SZ,300935,盈建科,软件服务,5.36,0.52,-1.5472945454545446,0.65,10.74
206,603716.SH,603716,塞力医疗,医药商业,11.78,1.68,-1.547036363636364,0.15,27.39
207,300757.SZ,300757,罗博特科,专用机械,6.9,0.36,-1.5401784415584416,0.08,20.5
208,002240.SZ,002240,盛新锂能,小金属,13.97,1.58,-1.5270636363636358,0.89,224.44
209,601599.SH,601599,浙文影业,纺织,11.55,0.89,-1.52596051948052,0.63,30.17
210,600369.SH,600369,西南证券,证券,5.45,0.74,-1.523519220779221,0.63,283.95
211,002234.SZ,002234,民和股份,农业综合,3.66,0.16,-1.518722077922078,0.34,30.94
212,300335.SZ,300335,迪森股份,供气供热,4.15,0.18,-1.5064727272727274,0.21,14.18
213,000828.SZ,000828,东莞控股,路桥,13.21,1.08,-1.5024179220779226,0.88,118.5
214,603608.SH,603608,天创时尚,服饰,8.39,1.22,-1.5007361038961036,1.04,31.57
215,000150.SZ,000150,宜华健康,医疗保健,-1.57,-1.75,-1.4805223376623375,0.75,40.38
216,605088.SH,605088,冠盛股份,汽车配件,1.14,-0.35,-1.4770044155844158,0.12,6.74
217,300615.SZ,300615,欣天科技,元器件,33.74,4.97,-1.475676103896105,1.94,12.85
218,002728.SZ,002728,特一药业,中成药,-4.57,-2.8,-1.4754709090909088,0.91,18.84
219,300087.SZ,300087,荃银高科,种植业,6.3,-0.45,-1.471911168831169,0.55,96.33
220,300355.SZ,300355,蒙草生态,环境保护,4.47,0.22,-1.4650231168831165,0.24,55.05
221,600203.SH,600203,福日电子,元器件,8.71,0.91,-1.457526493506494,0.13,37.61
222,002995.SZ,002995,天地在线,互联网,-0.28,-0.54,-1.4545605194805193,0.21,7.38
223,002244.SZ,002244,滨江集团,区域地产,2.54,-0.32,-1.45397974025974,0.23,119.0
224,002395.SZ,002395,双象股份,塑料,1.88,-0.2,-1.4458038961038961,0.25,33.39
225,300015.SZ,300015,爱尔眼科,医疗保健,2.94,-0.23,-1.4396550649350648,0.9,2881.52
226,300266.SZ,300266,兴源环境,环境保护,22.15,3.54,-1.4336563636363628,1.31,56.37
227,603799.SH,603799,华友钴业,小金属,9.8,-0.13,-1.4329122077922076,0.93,1137.84
228,600638.SH,600638,新黄浦,区域地产,0.88,-0.17,-1.4304597402597403,0.18,38.38
229,000793.SZ,000793,华闻集团,出版业,6.75,-0.06,-1.4259428571428572,0.8,52.75
230,002002.SZ,002002,鸿达兴业,化工原料,12.47,0.13,-1.422365714285714,0.48,132.13
231,000029.SZ,000029,深深房A,区域地产,3.12,-0.19,-1.4152431168831172,0.27,67.32
232,300165.SZ,300165,天瑞仪器,电器仪表,3.04,-0.19,-1.4098888311688311,0.43,15.17
233,300769.SZ,300769,德方纳米,化工原料,13.9,1.93,-1.4036044155844158,1.81,87.08
234,000903.SZ,000903,云内动力,机械基件,2.13,-0.3,-1.40236961038961,0.53,75.68
235,300471.SZ,300471,厚普股份,专用机械,22.14,2.7,-1.3995163636363626,1.45,47.44
236,600067.SH,600067,冠城大通,全国地产,1.49,-0.21,-1.3942857142857141,0.3,50.73
237,000620.SZ,000620,新华联,全国地产,-2.17,-1.92,-1.3911735064935067,0.36,51.21
238,600723.SH,600723,首商股份,百货,6.69,0.31,-1.3844867532467533,0.58,60.87
239,300332.SZ,300332,天壕环境,环境保护,0.19,-0.39,-1.3835532467532468,0.6,43.36
240,002984.SZ,002984,森麒麟,汽车配件,3.36,-0.29,-1.3822527272727272,0.48,23.76
241,601155.SH,601155,新城控股,区域地产,-0.94,-1.02,-1.3765862337662338,0.41,1044.23
242,002967.SZ,002967,广电计量,综合类,13.05,1.35,-1.366090389610389,0.61,75.19
243,000501.SZ,000501,鄂武商A,百货,1.84,-0.21,-1.3655831168831174,0.42,93.44
244,300040.SZ,300040,九洲集团,电气设备,10.81,1.58,-1.3549127272727273,0.79,28.13
245,300444.SZ,300444,双杰电气,电气设备,4.95,0.11,-1.3545142857142856,0.41,19.21
246,002291.SZ,002291,星期六,服饰,0.87,-0.69,-1.346529090909091,0.49,128.47
247,603129.SH,603129,春风动力,摩托车,7.28,-0.25,-1.3232431168831162,0.09,187.5
248,300890.SZ,300890,翔丰华,矿物制品,24.1,2.57,-1.3218402597402594,1.44,12.5
249,600713.SH,600713,南京医药,医药商业,11.35,-1.17,-1.3210935064935065,0.81,54.16
250,300172.SZ,300172,中电环保,环境保护,-1.07,-0.87,-1.3175620779220778,0.21,22.82
251,600851.SH,600851,海欣股份,化学制药,13.05,0.45,-1.3065114285714285,0.73,65.85
252,600619.SH,600619,海立股份,机械基件,5.06,0.38,-1.3064249350649346,0.37,48.78
253,600754.SH,600754,锦江酒店,酒店餐饮,3.52,-0.16,-1.30311974025974,0.25,502.09
254,300958.SZ,300958,建工修复,环境保护,0.4,-0.52,-1.3011916883116887,0.12,10.04
255,000012.SZ,000012,南玻A,玻璃,9.71,-0.37,-1.2967750649350647,0.53,194.63
256,603226.SH,603226,菲林格尔,家居用品,2.26,-0.07,-1.2883212987012982,0.15,18.57
257,000530.SZ,000530,冰山冷热,机械基件,6.94,0.38,-1.2862254545454543,0.51,24.9
258,605018.SH,605018,长华股份,汽车配件,2.34,-0.09,-1.2810207792207788,0.22,5.84
259,600621.SH,600621,华鑫股份,证券,1.41,-0.36,-1.2746251948051945,0.59,167.94
260,600860.SH,600860,京城股份,专用机械,19.88,3.38,-1.2737638961038962,0.59,18.84
261,002709.SZ,002709,天赐材料,化工原料,27.13,1.75,-1.2703366233766236,2.08,620.15
262,300073.SZ,300073,当升科技,矿物制品,19.52,1.18,-1.2690046753246749,1.35,253.77
263,601636.SH,601636,旗滨集团,玻璃,10.63,0.78,-1.2671893506493506,0.31,472.51
264,600774.SH,600774,汉商集团,百货,9.66,0.24,-1.2614389610389607,0.43,33.97
265,300863.SZ,300863,卡倍亿,汽车配件,-1.52,-0.59,-1.2581267532467533,0.07,11.35
266,600826.SH,600826,兰生股份,商贸代理,0.37,-0.28,-1.2500423376623373,0.12,34.66
267,002862.SZ,002862,实丰文化,文教休闲,-2.02,-1.57,-1.2466651948051948,0.85,8.35
268,002127.SZ,002127,南极电商,互联网,7.45,-0.32,-1.2461563636363637,0.97,192.41
269,603319.SH,603319,湘油泵,汽车配件,4.26,0.1,-1.2436825974025973,0.44,36.47
270,002290.SZ,002290,禾盛新材,家用电器,28.09,3.84,-1.2420018181818184,1.21,19.74
271,300967.SZ,300967,晓鸣股份,农业综合,4.6,0.04,-1.240530909090909,0.05,8.41
272,600970.SH,600970,中材国际,建筑工程,11.05,0.79,-1.239346493506493,0.67,168.73
273,002397.SZ,002397,梦洁股份,纺织,0.24,-0.34,-1.2389387012987014,0.24,20.33
274,300239.SZ,300239,东宝生物,生物制药,0.75,-0.6,-1.237335844155844,0.29,33.73
275,000011.SZ,000011,深物业A,区域地产,4.75,-0.25,-1.2369407792207787,0.4,67.28
276,600636.SH,600636,国新文化,化工原料,3.9,-0.52,-1.2264589610389611,0.39,47.6
277,600521.SH,600521,华海药业,化学制药,6.84,0.18,-1.2262477922077921,0.44,311.29
278,605068.SH,605068,明新旭腾,汽车配件,2.01,-0.43,-1.2183407792207785,0.38,15.7
279,600111.SH,600111,北方稀土,小金属,15.69,0.86,-1.215187792207792,0.05,814.53
280,300778.SZ,300778,新城市,建筑工程,2.91,0.12,-1.2107999999999997,0.43,11.01
281,000037.SZ,000037,深南电A,火力发电,-1.91,-1.2,-1.201094025974026,0.23,29.59
282,002352.SZ,002352,顺丰控股,仓储物流,6.26,0.48,-1.1991103896103898,0.82,3292.75
283,300512.SZ,300512,中亚股份,专用机械,9.43,1.17,-1.1959288311688312,0.78,29.93
