,ts_code,name,industry,biggest_jump,last_daily_change,circ_mv
3522,603906.SH,龙蟠科技,化工原料,-0.199,0.04,85952.7302
697,002234.SZ,民和股份,农业综合,-0.199,0.09,219636.2436
951,002489.SZ,浙江永强,家居用品,-0.198,0.03,523718.7477
2301,600212.SH,江泉实业,综合类,-0.197,0.03,202632.0963
2412,600339.SH,中油工程,石油加工,-0.197,0.03,613111.3615
185,000608.SZ,阳光股份,区域地产,-0.197,0.11,367402.9109
575,002112.SZ,三变科技,电气设备,-0.197,0.06,122596.3082
816,002354.SZ,天神娱乐,互联网,-0.196,0.04,364907.774
168,000587.SZ,金洲慈航,批发业,-0.196,0.02,309318.0218
3010,601319.SH,中国人保,保险,-0.195,0.02,630002.52
3455,603776.SH,永安行,公共交通,-0.194,0.15,173565.9643
1240,002786.SZ,银宝山新,专用机械,-0.193,0.05,89271.63
2313,600226.SH,瀚叶股份,农药化肥,-0.192,0.03,619782.2609
795,002333.SZ,罗普斯金,铝,-0.192,0.11,301166.1961
1084,002623.SZ,亚玛顿,玻璃,-0.191,0.37,254998.6528
821,002359.SZ,北讯集团,通信设备,-0.191,0.02,617434.6106
183,000606.SZ,顺利办,互联网,-0.19,0.09,360658.848
798,002336.SZ,人人乐,超市连锁,-0.19,0.12,219494.75
889,002427.SZ,*ST尤夫,化纤,-0.19,0.36,525823.4178
2138,600020.SH,中原高速,路桥,-0.19,0.08,845011.8088
1131,002670.SZ,国盛金控,证券,-0.19,0.51,633325.0315
710,002247.SZ,聚力文化,软件服务,-0.189,0.06,270963.5335
2835,600843.SH,上工申贝,纺织机械,-0.189,0.02,217212.4911
323,000806.SZ,银河生物,生物制药,-0.188,0.13,308015.7007
1379,002937.SZ,兴瑞科技,元器件,-0.188,1.09,103638.0
920,002458.SZ,益生股份,农业综合,-0.188,0.2,273303.0141
604,002141.SZ,贤丰控股,元器件,-0.188,0.02,296022.72
1221,002766.SZ,索菱股份,汽车配件,-0.187,0.11,150979.9205
489,002026.SZ,山东威达,机械基件,-0.187,0.11,210256.2325
409,000931.SZ,中关村,生物制药,-0.186,0.15,492867.5654
1148,002687.SZ,乔治白,服饰,-0.185,0.24,200277.594
3223,603187.SH,海容冷链,机械基件,-0.184,0.68,104720.0
2705,600701.SH,*ST工新,综合类,-0.184,0.01,206383.6898
1352,002907.SZ,华森制药,化学制药,-0.183,0.19,155857.42
1153,002692.SZ,睿康股份,电气设备,-0.183,0.05,273992.0337
2230,600129.SH,太极集团,中成药,-0.183,0.12,385912.176
2755,600753.SH,东方银星,批发业,-0.183,0.04,194816.0
2898,600936.SH,广西广电,影视音像,-0.182,0.02,466433.496
1180,002722.SZ,金轮股份,纺织机械,-0.182,0.32,167822.0372
977,002515.SZ,金字火腿,食品,-0.182,0.12,354211.8542
3162,603059.SH,倍加洁,家居用品,-0.181,0.27,66200.0
2643,600630.SH,龙头股份,纺织,-0.181,0.12,310998.689
1248,002795.SZ,永和智控,机械基件,-0.18,0.4,94987.5
39,000048.SZ,*ST康达,饲料,-0.18,0.23,753441.882
518,002055.SZ,得润电子,元器件,-0.179,0.15,439943.6087
1265,002813.SZ,路畅科技,汽车配件,-0.178,0.46,73350.0
3412,603677.SH,奇精机械,机械基件,-0.178,0.09,82614.1903
2629,600614.SH,鹏起科技,综合类,-0.177,0.03,520520.9723
698,002235.SZ,安妮股份,互联网,-0.177,0.04,287703.6466
2550,600525.SH,长园集团,电气设备,-0.177,0.04,758655.3633
2684,600679.SH,上海凤凰,文教休闲,-0.176,0.16,252736.4459
565,002102.SZ,ST冠福,化学制药,-0.176,0.1,382374.1031
641,002178.SZ,延华智能,建筑施工,-0.176,0.04,282575.0791
2771,600770.SH,综艺股份,综合类,-0.176,0.06,657800.0
3421,603690.SH,至纯科技,专用机械,-0.175,0.53,152919.984
1312,002864.SZ,盘龙药业,中成药,-0.175,0.46,160723.253
914,002452.SZ,长高集团,电气设备,-0.174,0.1,157111.3743
52,000068.SZ,华控赛格,元器件,-0.173,0.44,428842.0437
2970,601116.SH,三江购物,超市连锁,-0.173,0.06,457585.3032
108,000509.SZ,华塑控股,其他建材,-0.173,0.16,252596.8411
2650,600639.SH,浦东金桥,园区开发,-0.172,0.15,999028.126
2531,600503.SH,华丽家族,区域地产,-0.172,0.02,523948.83
186,000609.SZ,中迪投资,区域地产,-0.171,0.24,159725.4616
3551,603978.SH,深圳新星,铝,-0.171,0.14,157571.8776
2266,600172.SH,黄河旋风,矿物制品,-0.17,0.03,394105.1852
915,002453.SZ,华软科技,化工原料,-0.17,0.11,283461.829
3332,603505.SH,金石资源,矿物制品,-0.17,0.07,151022.6138
638,002175.SZ,东方网络,电器仪表,-0.17,0.01,176686.4711
774,002312.SZ,三泰控股,电脑设备,-0.17,0.02,316518.4136
2887,600898.SH,国美通讯,通信设备,-0.169,0.11,207827.1039
302,000779.SZ,三毛派神,纺织,-0.169,0.11,164440.9796
162,000576.SZ,广东甘化,造纸,-0.169,0.13,292278.4657
894,002432.SZ,九安医疗,医疗保健,-0.169,0.12,237610.4506
2836,600844.SH,丹化科技,化工原料,-0.169,0.02,283842.0687
452,000989.SZ,九芝堂,中成药,-0.168,0.15,439063.2468
3161,603058.SH,永吉股份,广告包装,-0.168,0.43,243346.422
227,000670.SZ,盈方微,元器件,-0.168,0.03,201471.1561
3418,603686.SH,龙马环卫,专用机械,-0.168,0.12,338462.5287
416,000939.SZ,*ST凯迪,新型电力,-0.167,0.02,364536.8491
1091,002630.SZ,华西能源,专用机械,-0.167,0.06,299862.1791
957,002495.SZ,佳隆股份,食品,-0.167,0.11,228487.5718
432,000966.SZ,长源电力,火力发电,-0.167,0.16,370166.8827
3225,603189.SH,网达软件,软件服务,-0.167,0.03,124633.2
1207,002750.SZ,龙津药业,中成药,-0.167,0.01,226454.3458
2733,600730.SH,中国高科,综合类,-0.166,0.18,282768.193
3211,603165.SH,荣晟环保,造纸,-0.166,0.04,70031.808
2432,600366.SH,宁波韵升,电器仪表,-0.166,0.05,512874.3556
573,002110.SZ,三钢闽光,普钢,-0.166,0.01,844420.1159
934,002472.SZ,双环传动,机械基件,-0.166,0.15,352144.1312
2319,600232.SH,金鹰股份,纺织,-0.166,0.06,189288.9243
2419,600351.SH,亚宝药业,中成药,-0.165,0.02,455697.0059
3302,603367.SH,辰欣药业,化学制药,-0.165,0.08,462876.7982
2816,600821.SH,津劝业,百货,-0.165,0.05,176497.7274
3153,603040.SH,新坐标,机械基件,-0.165,0.03,81245.2417
859,002397.SZ,梦洁股份,纺织,-0.165,0.03,183446.3116
581,002118.SZ,紫鑫药业,中成药,-0.164,0.07,461354.1156
819,002357.SZ,富临运业,公路,-0.164,0.03,183243.0647
708,002245.SZ,澳洋顺昌,仓储物流,-0.164,0.04,382221.2603
2662,600652.SH,游久游戏,互联网,-0.164,0.02,334746.8062
2657,600647.SH,同达创业,综合类,-0.164,0.09,164189.389
456,000996.SZ,中国中期,汽车服务,-0.163,0.16,319125.0
907,002445.SZ,ST中南,影视音像,-0.162,0.04,296131.3866
3404,603661.SH,恒林股份,家居用品,-0.162,0.27,89067.5
1253,002800.SZ,天顺股份,仓储物流,-0.162,0.19,60165.2253
174,000595.SZ,宝塔实业,机械基件,-0.162,0.03,217989.2754
268,000721.SZ,西安饮食,酒店餐饮,-0.162,0.01,178676.1325
3186,603105.SH,芯能科技,电气设备,-0.161,0.38,115632.0
3387,603619.SH,中曼石油,石油开采,-0.161,0.14,75400.1885
3284,603331.SH,百达精工,专用机械,-0.161,0.12,47370.0037
1137,002676.SZ,顺威股份,塑料,-0.161,0.05,231828.6765
2394,600319.SH,亚星化学,化工原料,-0.161,0.13,144226.458
1042,002581.SZ,未名医药,生物制药,-0.16,0.09,279350.446
14,000018.SZ,神州长城,装修装饰,-0.16,0.03,244913.8394
1361,002917.SZ,金奥博,化工原料,-0.16,0.45,77708.7
413,000936.SZ,华西股份,化纤,-0.159,0.19,546276.1523
1237,002782.SZ,可立克,电气设备,-0.159,0.63,127267.5
2451,600387.SH,海越能源,石油贸易,-0.159,0.13,350224.68
1145,002684.SZ,猛狮科技,电气设备,-0.159,0.11,239512.637
1130,002669.SZ,康达新材,化工原料,-0.158,0.17,271272.4896
963,002501.SZ,利源精制,铝,-0.158,0.03,314409.3725
852,002390.SZ,信邦制药,中成药,-0.158,0.04,496196.582
3233,603208.SH,江山欧派,家居用品,-0.157,0.97,80337.471
1376,002933.SZ,新兴装备,航空,-0.157,1.17,120481.75
1208,002751.SZ,易尚展示,家居用品,-0.157,0.07,189676.3388
7,000009.SZ,中国宝安,综合类,-0.156,0.05,987821.7048
3215,603169.SH,兰石重装,专用机械,-0.156,0.05,415293.3059
1167,002707.SZ,众信旅游,旅游服务,-0.156,0.08,329198.3669
2635,600620.SH,天宸股份,综合类,-0.156,0.04,398959.4027
2272,600179.SH,安通控股,仓储物流,-0.156,0.07,443254.7456
3491,603856.SH,东宏股份,塑料,-0.154,0.04,132663.479
671,002208.SZ,合肥城建,区域地产,-0.154,0.06,329170.2032
3110,601990.SH,南京证券,证券,-0.154,0.14,254393.5
1114,002653.SZ,海思科,化学制药,-0.154,0.09,508590.6552
2450,600386.SH,北巴传媒,公共交通,-0.153,0.08,285465.6
723,002261.SZ,拓维信息,互联网,-0.153,0.04,423798.4218
966,002504.SZ,弘高创意,装修装饰,-0.153,0.01,144677.5909
3041,601606.SH,长城军工,专用机械,-0.153,0.36,177600.0
1175,002716.SZ,金贵银业,小金属,-0.153,0.02,351446.3096
1282,002831.SZ,裕同科技,广告包装,-0.152,1.06,490429.6824
1260,002808.SZ,恒久科技,元器件,-0.152,0.01,107759.7076
3286,603335.SH,迪生力,汽车配件,-0.152,0.22,99653.554
909,002447.SZ,晨鑫科技,互联网,-0.152,0.01,392924.5488
2380,600303.SH,曙光股份,汽车整车,-0.151,0.09,250611.0156
44,000058.SZ,深赛格,元器件,-0.15,0.5,328186.2257
2688,600683.SH,京投发展,区域地产,-0.15,0.1,314089.7011
725,002263.SZ,*ST东南,塑料,-0.15,0.09,319321.217
2342,600259.SH,广晟有色,小金属,-0.15,0.08,615988.2181
2736,600733.SH,北汽蓝谷,汽车整车,-0.15,0.02,350859.6
3361,603583.SH,捷昌驱动,电气设备,-0.15,0.74,124333.4
423,000955.SZ,欣龙控股,纺织,-0.149,0.04,229893.0638
2754,600751.SH,海航科技,水运,-0.149,0.01,761663.9594
2607,600590.SH,泰豪科技,电气设备,-0.149,0.09,459664.0893
576,002113.SZ,天润数娱,互联网,-0.149,0.09,363022.707
260,000712.SZ,锦龙股份,证券,-0.148,0.18,870567.4007
1375,002932.SZ,明德生物,医疗保健,-0.148,1.67,77421.8808
172,000592.SZ,平潭发展,林业,-0.147,0.03,532074.4626
689,002226.SZ,江南化工,化工原料,-0.147,0.05,491141.5804
3337,603516.SH,淳中科技,通信设备,-0.147,0.3,71310.7256
2610,600594.SH,益佰制药,中成药,-0.147,0.04,449814.7632
2382,600306.SH,商业城,百货,-0.146,0.09,122409.9509
2830,600836.SH,界龙实业,广告包装,-0.146,0.04,259799.2042
493,002030.SZ,达安基因,生物制药,-0.146,0.06,862342.6427
1103,002642.SZ,荣之联,软件服务,-0.145,0.08,349141.9566
1289,002839.SZ,张家港行,银行,-0.145,0.07,481822.2702
2340,600257.SH,大湖股份,渔业,-0.145,0.03,188756.1
3106,601969.SH,海南矿业,普钢,-0.145,0.04,906990.2257
3339,603518.SH,维格娜丝,服饰,-0.145,0.21,219428.1403
1377,002935.SZ,天奥电子,元器件,-0.145,1.21,109613.7
965,002503.SZ,搜于特,服饰,-0.145,0.01,482687.396
2198,600095.SH,哈高科,区域地产,-0.144,0.01,143421.6353
482,002019.SZ,亿帆医药,化学制药,-0.144,0.04,951495.418
1258,002806.SZ,华锋股份,元器件,-0.144,0.48,107767.9555
3433,603712.SH,七一二,通信设备,-0.144,0.2,163600.0
1370,002927.SZ,泰永长征,电气设备,-0.144,0.37,71243.445
406,000928.SZ,中钢国际,建筑施工,-0.144,0.05,318814.8953
2489,600446.SH,金证股份,软件服务,-0.143,0.07,840854.5665
2821,600826.SH,兰生股份,商贸代理,-0.143,0.04,417697.792
978,002516.SZ,旷达科技,纺织,-0.142,0.03,272447.0282
1366,002922.SZ,伊戈尔,电气设备,-0.142,0.09,53526.0
259,000711.SZ,京蓝科技,软件服务,-0.141,0.11,254283.8699
2806,600810.SH,神马股份,化纤,-0.141,0.1,496680.44
3021,601375.SH,中原证券,证券,-0.141,0.09,802220.4917
1284,002833.SZ,弘亚数控,专用机械,-0.141,0.42,201052.425
748,002286.SZ,保龄宝,食品,-0.141,0.03,191923.4363
3264,603301.SH,振德医疗,医疗保健,-0.141,0.6,81000.0
201,000628.SZ,高新发展,园区开发,-0.141,0.28,187228.4186
3424,603698.SH,航天工程,专用机械,-0.14,0.18,592887.4
2318,600231.SH,凌钢股份,普钢,-0.139,0.02,789758.5818
3047,601619.SH,嘉泽新能,新型电力,-0.139,0.07,224170.8362
1012,002551.SZ,尚荣医疗,医疗保健,-0.139,0.08,196945.2549
2784,600784.SH,鲁银投资,普钢,-0.139,0.04,310225.1039
1328,002881.SZ,美格智能,通信设备,-0.139,0.3,76758.927
892,002430.SZ,杭氧股份,化工机械,-0.139,0.04,928912.0421
577,002114.SZ,罗平锌电,铅锌,-0.139,0.13,235095.4367
903,002441.SZ,众业达,批发业,-0.139,0.06,277692.9169
751,002289.SZ,宇顺电子,元器件,-0.138,0.01,142893.7272
2177,600072.SH,中船科技,船舶,-0.138,0.02,418142.0239
3310,603386.SH,广东骏亚,元器件,-0.138,0.14,99351.275
3378,603607.SH,京华激光,造纸,-0.138,0.37,91485.538
2826,600831.SH,广电网络,影视音像,-0.138,0.1,381447.8895
3438,603721.SH,中广天择,影视音像,-0.138,0.02,70640.3782
290,000757.SZ,浩物股份,汽车配件,-0.138,0.05,233938.9528
5,000007.SZ,全新好,酒店餐饮,-0.138,0.54,265386.3698
1363,002919.SZ,名臣健康,日用化工,-0.138,0.65,46176.48
1113,002652.SZ,扬子新材,其他建材,-0.137,0.03,215529.7518
2795,600797.SH,浙大网新,软件服务,-0.137,0.02,731245.923
191,000615.SZ,京汉股份,全国地产,-0.137,0.04,352177.1597
2661,600651.SH,飞乐音响,电器仪表,-0.137,0.07,340886.1207
1321,002873.SZ,新天药业,中成药,-0.137,0.12,101716.4949
611,002148.SZ,北纬科技,互联网,-0.136,0.11,256899.3397
2325,600238.SH,*ST椰岛,红黄药酒,-0.136,0.07,204255.7252
394,000913.SZ,钱江摩托,摩托车,-0.136,0.07,447635.5905
2670,600662.SH,强生控股,公共交通,-0.135,0.05,446625.569
2391,600316.SH,洪都航空,航空,-0.135,0.23,737193.7183
940,002478.SZ,常宝股份,钢加工,-0.135,0.1,296804.8775
1203,002746.SZ,仙坛股份,农业综合,-0.135,0.01,338522.2847
3151,603038.SH,华立股份,装修装饰,-0.135,0.47,68012.2132
3439,603722.SH,阿科力,化工原料,-0.135,0.58,96122.8
663,002200.SZ,云投生态,环境保护,-0.135,0.03,78707.6262
1333,002886.SZ,沃特股份,塑料,-0.134,0.31,88353.6522
3398,603655.SH,朗博科技,汽车配件,-0.134,0.23,43062.5
3564,603998.SH,方盛制药,中成药,-0.134,0.01,213448.7534
2852,600862.SH,中航高科,航空,-0.134,0.17,817719.8258
3536,603936.SH,博敏电子,元器件,-0.134,0.04,236465.55
2555,600530.SH,交大昂立,医疗保健,-0.134,0.06,378300.0
557,002094.SZ,青岛金王,日用化工,-0.134,0.02,328832.3676
3505,603881.SH,数据港,电信运营,-0.133,0.25,324085.9545
1188,002730.SZ,电光科技,电气设备,-0.133,0.05,194634.33
3356,603569.SH,长久物流,仓储物流,-0.133,0.09,93429.258
12,000016.SZ,深康佳A,家用电器,-0.133,0.04,569977.0251
3203,603138.SH,海量数据,软件服务,-0.133,0.22,84625.8868
217,000657.SZ,中钨高新,小金属,-0.133,0.01,256812.5854
1349,002903.SZ,宇环数控,机床制造,-0.133,0.17,118272.0
742,002280.SZ,联络互动,软件服务,-0.133,0.03,703579.288
2361,600281.SH,太化股份,化工原料,-0.133,0.06,190328.7493
1205,002748.SZ,世龙实业,化工原料,-0.132,0.07,178800.0
829,002367.SZ,康力电梯,运输设备,-0.132,0.17,296198.4436
2841,600850.SH,华东电脑,软件服务,-0.132,0.1,709094.5871
3444,603729.SH,龙韵股份,广告包装,-0.132,0.05,146073.97
930,002468.SZ,申通快递,仓储物流,-0.132,0.33,560369.664
2812,600817.SH,ST宏盛,多元金融,-0.132,0.02,123609.1848
807,002345.SZ,潮宏基,服饰,-0.132,0.03,417382.1271
2632,600617.SH,国新能源,供气供热,-0.132,0.04,494281.5724
1066,002605.SZ,姚记扑克,文教休闲,-0.132,0.09,205868.9133
961,002499.SZ,科林环保,环境保护,-0.132,0.06,152321.2451
3565,603999.SH,读者传媒,出版业,-0.132,0.02,298368.0
345,000835.SZ,长城动漫,影视音像,-0.132,0.11,151447.5
508,002045.SZ,国光电器,元器件,-0.132,0.08,219482.0892
387,000905.SZ,厦门港务,港口,-0.132,0.05,343557.0
401,000922.SZ,佳电股份,电气设备,-0.132,0.16,328064.7732
2803,600807.SH,*ST天业,区域地产,-0.131,0.16,277817.5178
3191,603113.SH,金能科技,化工原料,-0.131,0.18,390937.2704
3514,603895.SH,天永智能,专用机械,-0.131,0.54,70360.08
3513,603890.SH,春秋电子,机械基件,-0.131,0.07,122913.14
2718,600715.SH,文投控股,影视音像,-0.131,0.05,675488.9896
3206,603157.SH,拉夏贝尔,服饰,-0.131,0.1,139533.4968
3534,603929.SH,亚翔集成,装修装饰,-0.131,0.3,147350.56
1118,002657.SZ,中科金财,软件服务,-0.131,0.05,360142.8375
2885,600896.SH,*ST海投,水运,-0.131,0.03,221617.2568
2405,600331.SH,宏达股份,铅锌,-0.131,0.01,459232.0
2474,600419.SH,天润乳业,乳制品,-0.13,0.03,287474.8122
1341,002895.SZ,川恒股份,化工原料,-0.13,0.15,106850.4
2838,600846.SH,同济科技,综合类,-0.13,0.57,482940.6519
2488,600444.SH,国机通用,塑料,-0.13,0.01,147739.7294
2425,600358.SH,国旅联合,旅游服务,-0.13,0.03,159408.0
2676,600668.SH,尖峰集团,水泥,-0.13,0.04,413932.8451
2579,600560.SH,金自天正,电气设备,-0.13,0.06,173548.908
1252,002799.SZ,环球印务,广告包装,-0.13,0.41,95171.25
258,000710.SZ,贝瑞基因,医疗保健,-0.13,0.43,204818.014
2957,601068.SH,中铝国际,建筑施工,-0.129,0.25,175176.7469
1280,002829.SZ,星网宇达,通信设备,-0.129,0.24,109804.6391
380,000897.SZ,津滨发展,区域地产,-0.129,0.02,402693.9139
3400,603657.SH,春光科技,塑料,-0.129,1.35,75336.0
1046,002585.SZ,双星新材,塑料,-0.128,0.1,439731.1814
3407,603666.SH,亿嘉和,专用机械,-0.128,0.7,114824.8255
893,002431.SZ,棕榈股份,建筑施工,-0.128,0.14,531386.0258
3527,603917.SH,合力科技,汽车配件,-0.128,0.32,102890.6432
506,002043.SZ,兔宝宝,其他建材,-0.128,0.03,371819.6184
2250,600155.SH,华创阳安,证券,-0.128,0.27,915004.4185
199,000626.SZ,远大控股,商贸代理,-0.128,0.18,282811.905
2594,600577.SH,精达股份,电气设备,-0.127,0.04,592463.2465
3479,603822.SH,嘉澳环保,环境保护,-0.127,0.13,92697.9435
3131,603016.SH,新宏泰,电气设备,-0.127,0.3,118372.8
2611,600595.SH,中孚实业,铝,-0.127,0.03,358757.323
3147,603033.SH,三维股份,橡胶,-0.127,0.09,59968.86
2598,600581.SH,八一钢铁,普钢,-0.127,0.04,600895.965
2235,600135.SH,乐凯胶片,化工原料,-0.126,0.04,222676.0658
2945,601011.SH,宝泰隆,焦炭加工,-0.126,0.06,924349.2739
343,000831.SZ,五矿稀土,小金属,-0.126,0.07,880838.3049
2291,600200.SH,江苏吴中,综合类,-0.126,0.07,442756.3732
2959,601086.SH,国芳集团,百货,-0.126,0.04,87316.0
