,ts_code,symbol,name,industry,COL_LASTPRICE,COL_PCT_CHG,COL_CONTINUOUS_LIMIT_COUNT,COL_CIRC_MV,COL_FLOAT_HOLDERS,COL_HOLDERS_COUNT
42,002055.SZ,002055,得润电子,元器件,19.22,10.0172,1.0,83.35,"深圳市投控资本有限公司-深圳投控中证信赢股权投资基金合伙企业(有限合伙)
深圳市得胜资产管理有限公司",2.0
43,002066.SZ,002066,瑞泰科技,其他建材,12.23,9.982,1.0,28.25,中央汇金资产管理有限责任公司,1.0
44,002235.SZ,002235,安妮股份,互联网,10.46,9.9895,1.0,55.47,,0.0
45,002272.SZ,002272,川润股份,机械基件,5.37,10.041,1.0,17.58,"云南国际信托有限公司-川润股份第一期员工持股计划集合资金信托计划
芜湖长元股权投资基金(有限合伙)",2.0
46,002315.SZ,002315,焦点科技,互联网,17.95,9.9877,1.0,29.81,"中央汇金资产管理有限责任公司
中国工商银行股份有限公司-南方大数据100指数证券投资基金",2.0
47,002726.SZ,002726,龙大肉食,食品,14.41,10.0,1.0,141.35,"香港中央结算有限公司(陆股通)
中央汇金资产管理有限责任公司
中国银行股份有限公司-易方达均衡成长股票型证券投资基金
招商银行股份有限公司-汇添富绝对收益策略定期开放混合型发起式证券投资基金",4.0
48,002851.SZ,002851,麦格米特,电气设备,30.5,9.9892,1.0,108.28,"中国银行股份有限公司-华夏中证新能源汽车交易型开放式指数证券投资基金
全国社保基金四零四组合
香港中央结算有限公司(陆股通)
招商银行股份有限公司-鹏华新兴产业混合型证券投资基金
上海复星创泓股权投资基金合伙企业(有限合伙)",5.0
49,002956.SZ,002956,西麦食品,食品,51.98,10.0106,1.0,36.3,"上海塔基资产管理有限公司-上海塔基新范式私募投资基金
上海明汯投资管理有限公司-明汯价值成长1期私募投资基金
西藏源乘投资管理有限公司-源乘十三号私募证券投资基金
上海塔基资产管理有限公司-塔基综合策略私募证券投资基金",4.0
50,002991.SZ,002991,甘源食品,食品,138.67,10.0032,1.0,32.32,,0.0
51,300107.SZ,300107,建新股份,化工原料,6.92,9.8413,1.0,23.18,中央汇金资产管理有限责任公司,1.0
52,300129.SZ,300129,泰胜风能,电气设备,5.59,10.6931,1.0,31.6,"广发证券股份有限公司-中庚小盘价值股票型证券投资基金
中央汇金资产管理有限责任公司",2.0
53,300153.SZ,300153,科泰电源,电气设备,6.57,11.3559,1.0,20.85,中央汇金资产管理有限责任公司,1.0
54,300221.SZ,300221,银禧科技,塑料,6.51,10.339,1.0,27.5,,0.0
55,300228.SZ,300228,富瑞特装,化工机械,6.08,11.3553,1.0,25.54,广东粤财信托有限公司-粤财信托·粤中3号集合资金信托计划,1.0
56,300230.SZ,300230,永利股份,塑料,6.18,17.7143,1.0,34.29,"天风证券-光大银行-天风证券天旭1号集合资产管理计划
中央汇金资产管理有限责任公司",2.0
57,300256.SZ,300256,星星科技,元器件,8.4,11.2583,1.0,68.77,"中国建设银行股份有限公司-华夏盛世精选混合型证券投资基金
中央汇金资产管理有限责任公司",2.0
58,000534.SZ,000534,万泽股份,生物制药,15.07,10.0,1.0,74.07,"云南国际信托有限公司-聚信5号集合资金信托计划
华润深国投信托有限公司-润之信13期集合资金信托计划
九泰基金-浦发银行-九泰基金-恒胜新动力分级1号资产管理计划",3.0
59,300320.SZ,300320,海达股份,橡胶,6.92,11.0754,1.0,32.11,"中信银行股份有限公司-九泰锐益定增灵活配置混合型证券投资基金
财通证券资管-宁波银行-财通证券资管通鼎16号集合资产管理计划",2.0
60,688508.SH,688508,芯朋微,半导体,114.0,12.4371,1.0,29.25,,0.0
