,ts_code,symbol,name,industry,COL_MA,COL_LASTPRICE,COL_MA_CLOSE_GAP,COL_MA_10,COL_MA_20,COL_MA_GAP,concept
33,002238.SZ,002238,天威视讯,影视音像,10.07,10.14,0.7,10.32,10.07,2.48,"广电, 深圳本地股/深汕合作, "
34,600984.SH,600984,建设机械,工程机械,7.02,7.07,0.71,7.11,7.02,1.28,"业绩预增, 恒大概念股, 机械, 举牌股, "
35,000506.SZ,000506,中润资源,区域地产,4.02,4.05,0.75,4.2,4.02,4.48,"房地产, 资产重组, 手游, 黄金, "
36,002549.SZ,002549,凯美特气,环境保护,7.58,7.64,0.79,7.72,7.58,1.85,"业绩预增, 碳交易, "
37,002656.SZ,002656,摩登大道,服饰,7.19,7.25,0.83,7.51,7.19,4.45,"纺织服装, 定增破发, 高质押率, 股权转让, VR&AR, 资产重组, "
38,600600.SH,600600,青岛啤酒,啤酒,48.18,48.59,0.85,48.84,48.18,1.37,"啤酒, MSCI, 大消费, 新零售, 山东国企改革, "
39,300375.SZ,300375,鹏翎股份,汽车配件,8.23,8.3,0.85,8.51,8.23,3.4,"社保重仓, 汽车零部件, 资产重组, "
40,002355.SZ,002355,兴民智通,汽车配件,10.44,10.53,0.86,11.15,10.44,6.8,"北汽新能源, 回购, 汽车零部件, 物联网, 无人驾驶, 3D打印, 智能制造, 大数据, 股权转让, "
41,000695.SZ,000695,滨海能源,供气供热,11.93,12.04,0.92,12.62,11.93,5.78,"天津国企改革, 资产重组, "
42,600459.SH,600459,贵研铂业,小金属,18.85,19.03,0.95,20.86,18.85,10.66,"特斯拉, 燃料电池, "
43,600301.SH,600301,ST南化,化工原料,7.28,7.35,0.96,7.42,7.28,1.92,"烧碱, 广西, ST股, "
44,300396.SZ,300396,迪瑞医疗,医疗保健,18.16,18.34,0.99,18.63,18.16,2.59,"回购, 医疗器械, 体外诊断, "
45,002870.SZ,002870,香山股份,电器仪表,23.66,23.9,1.01,23.74,23.66,0.34,"OLED, 物联网, 强势人气股, "
46,002522.SZ,002522,浙江众成,塑料,6.63,6.7,1.06,6.76,6.63,1.96,"定增破发, 新能源汽车, 包装印刷, 充电桩, "
47,000858.SZ,000858,五粮液,白酒,101.2,102.27,1.06,102.22,101.2,1.01,"高价股, 白马股, MSCI, 大消费, 白酒, "
48,601318.SH,601318,中国平安,保险,82.23,83.11,1.07,84.5,82.23,2.76,"AH溢价股, 保险, 白马股, MSCI, 中字头, 回购, 信托, 互联网金融, 区块链, 智慧城市, 独角兽, "
49,300489.SZ,300489,中飞股份,铝,17.13,17.32,1.11,18.58,17.13,8.46,"有色-铝, 核电, 有色金属, 军工, 军民融合, "
50,603908.SH,603908,牧高笛,纺织,28.48,28.8,1.12,29.07,28.48,2.07,"纺织服装, 体育产业, "
51,603333.SH,603333,尚纬股份,电气设备,8.95,9.05,1.12,9.09,8.95,1.56,"核电, 业绩预增, "
52,300115.SZ,300115,长盈精密,元器件,13.4,13.56,1.19,13.94,13.4,4.03,"华为产业链, 社保重仓, 宁德时代概念股, 小米概念股, 智能制造, 苹果产业链, 国产芯片, 独角兽, 机器人, "
53,002778.SZ,002778,高科石化,石油加工,21.58,21.84,1.2,22.17,21.58,2.73,"石油化工, 工业自动化, 智能制造, 股权转让, 资产重组, "
54,300511.SZ,300511,雪榕生物,种植业,9.18,9.29,1.2,9.61,9.18,4.68,"海底捞概念股, 农业种植, 独角兽, "
55,300461.SZ,300461,田中精机,专用机械,27.74,28.08,1.23,28.24,27.74,1.8,"工业自动化, 智能制造, 无线充电, 3D玻璃, "
56,300493.SZ,300493,润欣科技,通信设备,11.37,11.51,1.23,11.45,11.37,0.7,"5G, 移动支付, 高送转, 半导体, 智慧城市, 共享经济, 智慧安防, "
57,600691.SH,600691,阳煤化工,农药化肥,3.24,3.28,1.23,3.27,3.24,0.93,"甲醇, 煤化工, 化肥, 山西国企改革, "
58,300529.SZ,300529,健帆生物,医疗保健,60.04,60.81,1.28,60.1,60.04,0.1,"新进指数成份股, 社保重仓, 医疗器械, "
59,600523.SH,600523,贵航股份,汽车配件,14.13,14.32,1.34,15.05,14.13,6.51,"央企改革, 军工研究所, 大飞机, 军工, 汽车零部件, "
60,000409.SZ,000409,*ST地矿,综合类,6.72,6.81,1.34,6.96,6.72,3.57,"山东国企改革, 雄安新区, 雄安-工程基建, 股权转让, 国资入股, 资产重组, ST股, "
61,603968.SH,603968,醋化股份,化工原料,17.23,17.47,1.39,17.73,17.23,2.9,
62,300205.SZ,300205,天喻信息,元器件,14.35,14.55,1.39,14.56,14.35,1.46,"教育, 物联网, 网络安全, 移动支付, 国产软件, 高校系, "
63,300046.SZ,300046,台基股份,半导体,17.94,18.19,1.39,18.61,17.94,3.73,"半导体, 影视, "
64,002475.SZ,002475,立讯精密,元器件,25.7,26.06,1.4,26.24,25.7,2.1,"5G, 白马股, MSCI, 华为产业链, 蔚来汽车概念股, 业绩预增, 无线充电, 苹果产业链, "
65,002649.SZ,002649,博彦科技,软件服务,9.98,10.12,1.4,10.03,9.98,0.5,"大数据, 人工智能, 区块链, "
66,000048.SZ,000048,*ST康达,饲料,22.15,22.47,1.44,22.88,22.15,3.3,"饲料, 养猪, 房地产, 土地流转, ST股, "
67,002905.SZ,002905,金逸影视,影视音像,20.39,20.69,1.47,20.8,20.39,2.01,"影视, "
68,600738.SH,600738,兰州民百,百货,8.8,8.93,1.48,9.24,8.8,5.0,"回购, 业绩预增, "
69,603117.SH,603117,万林物流,仓储物流,5.38,5.46,1.49,5.64,5.38,4.83,"快递物流, "
70,300206.SZ,300206,理邦仪器,医疗保健,8.0,8.12,1.5,8.68,8.0,8.5,"二胎, 回购, 业绩预增, 医疗器械, 体外诊断, "
71,002498.SZ,002498,汉缆股份,电气设备,3.3,3.35,1.52,3.43,3.3,3.94,"特高压, "
72,000851.SZ,000851,高鸿股份,软件服务,7.78,7.9,1.54,7.96,7.78,2.31,"阿里巴巴概念股, 央企改革, 物联网, 无人驾驶, 数字中国, 移动支付, 大数据, 云计算, 人工智能, 无人商店, 彩票, 滴滴出行概念股, 独角兽, 创投, "
73,603329.SH,603329,上海雅仕,仓储物流,22.52,22.88,1.6,24.13,22.52,7.15,"快递物流, 自贸区, 自由贸易港, 上海自由贸易港, "
74,000836.SZ,000836,富通鑫茂,通信设备,4.98,5.06,1.61,5.16,4.98,3.61,"5G, 光通信, 无人驾驶, 股权转让, 智慧安防, 独角兽, "
75,000686.SZ,000686,东北证券,证券,10.57,10.74,1.61,10.58,10.57,0.09,"MSCI, 券商, "
76,600183.SH,600183,生益科技,元器件,13.56,13.78,1.62,13.93,13.56,2.73,"MSCI, PCB板, 华为产业链, 举牌股, "
77,300698.SZ,300698,万马科技,通信设备,19.6,19.93,1.68,21.32,19.6,8.78,"5G, 光通信, 物联网, 量子通信, 医疗器械, 互联网医疗, "
78,000780.SZ,000780,平庄能源,煤炭开采,4.11,4.18,1.7,4.23,4.11,2.92,"煤炭, 内蒙古, 电改, 央企改革, 破净股, ST摘帽, "
79,000885.SZ,000885,城发环境,公路,9.82,9.99,1.73,10.06,9.82,2.44,"高速公路, 固废处理, 河南自贸区, PPP, 环保, 自贸区, "
80,603042.SH,603042,华脉科技,通信设备,16.19,16.47,1.73,16.81,16.19,3.83,"5G, 光通信, "
81,002139.SZ,002139,拓邦股份,元器件,6.35,6.46,1.73,6.58,6.35,3.62,"阿里巴巴概念股, 回购, 物联网, 锂电池, 智能制造, 新能源汽车, 区块链, 智慧安防, 机器人, "
82,603309.SH,603309,维力医疗,医疗保健,18.55,18.88,1.78,20.15,18.55,8.63,"医疗器械, "
83,600182.SH,600182,S佳通,汽车配件,19.29,19.64,1.81,20.31,19.29,5.29,"轮胎, "
84,002641.SZ,002641,永高股份,塑料,4.37,4.45,1.83,4.59,4.37,5.03,
85,300640.SZ,300640,德艺文创,文教休闲,12.6,12.83,1.83,12.98,12.6,3.02,"人民币贬值受益, 家具家居, "
86,300032.SZ,300032,金龙机电,元器件,3.82,3.89,1.83,3.94,3.82,3.14,"小米概念股, 智能制造, 共享经济, 机器人, "
87,600708.SH,600708,光明地产,全国地产,5.93,6.04,1.85,6.23,5.93,5.06,"万达系, 房地产, 冷链, 上海国企改革, 进口博览会, 自贸区, 自由贸易港, 上海自由贸易港, "
88,300262.SZ,300262,巴安水务,环境保护,9.02,9.19,1.88,9.27,9.02,2.77,"水务, 社保重仓, 兜底式增持, PPP, "
89,000566.SZ,000566,海南海药,化学制药,7.97,8.12,1.88,8.07,7.97,1.25,"业绩预增, 医药, 创新药, 化学药, 海南自由贸易港, 医疗器械, 自贸区, 互联网医疗, 自由贸易港, 国资入股, 资产重组, 独角兽, 海南, 科创板概念股, "
90,300220.SZ,300220,金运激光,元器件,26.72,27.23,1.91,27.49,26.72,2.88,"3D打印, 智能制造, "
91,600644.SH,600644,乐山电力,水力发电,7.14,7.28,1.96,7.64,7.14,7.0,"水电, 业绩预增, 举牌股, "
92,601628.SH,601628,中国人寿,保险,29.49,30.08,2.0,29.96,29.49,1.59,"保险, MSCI, 中字头, 金改, 混改, 滴滴出行概念股, 独角兽, 蚂蚁金服概念股, "
93,600745.SH,600745,闻泰科技,通信设备,35.88,36.6,2.01,36.28,35.88,1.11,"5G, 华为产业链, 社保重仓, 无人驾驶, 半导体, VR&AR, 资产重组, 手势识别, "
94,002207.SZ,002207,ST准油,石油开采,7.34,7.49,2.04,7.52,7.34,2.45,"油气改革, 一带一路, 可燃冰, 页岩气, 新疆, ST股, 壳公司, "
95,002796.SZ,002796,世嘉科技,专用机械,36.2,36.94,2.04,38.31,36.2,5.83,"5G, 业绩预增, 高送转-填权, "
96,300075.SZ,300075,数字政通,软件服务,13.58,13.86,2.06,13.64,13.58,0.44,"雄安-智慧城市, 定增破发, 海南自由贸易港, 数字中国, 雄安新区, 雄安-工程基建, 京津冀, 大数据, 自贸区, 智慧城市, 国产软件, 自由贸易港, "
97,300207.SZ,300207,欣旺达,元器件,13.53,13.81,2.07,13.96,13.53,3.18,"华为产业链, 回购, 业绩预增, 锂电池, 小米概念股, 无线充电, 新能源汽车, 石墨烯, VR&AR, 苹果产业链, 国资入股, "
98,300444.SZ,300444,双杰电气,电气设备,9.56,9.76,2.09,9.98,9.56,4.39,"业绩预增, 锂电池, 新能源汽车, "
99,300282.SZ,300282,三盛教育,文教休闲,14.69,15.0,2.11,15.28,14.69,4.02,"教育, 定增破发, "
100,300308.SZ,300308,中际旭创,通信设备,54.33,55.48,2.12,54.36,54.33,0.06,"5G, 光通信, "
101,002303.SZ,002303,美盈森,造纸,6.54,6.68,2.14,6.78,6.54,3.67,"军工, 军民融合, 工业自动化, 智能制造, 包装印刷, "
102,002727.SZ,002727,一心堂,医药商业,27.02,27.6,2.15,28.08,27.02,3.92,"医药商业, 医药, 医疗信息化, "
103,603718.SH,603718,海利生物,生物制药,13.69,13.99,2.19,13.96,13.69,1.97,"医药, 疫苗, 基因测序, 医疗器械, 举牌股, 动物保健, 体外诊断, "
104,300392.SZ,300392,腾信股份,互联网,9.14,9.34,2.19,9.59,9.14,4.92,"股权转让, 国资入股, 独角兽, "
105,000906.SZ,000906,浙商中拓,批发业,7.18,7.34,2.23,7.66,7.18,6.69,"业绩预增, 浙江国企改革, "
106,002102.SZ,002102,ST冠福,化学制药,2.21,2.26,2.26,2.31,2.21,4.52,"破净股, 医药, 化学药, 维生素, 低价股, 股权转让, ST股, "
107,603811.SH,603811,诚意药业,化学制药,20.34,20.8,2.26,20.68,20.34,1.67,"医药, 化学药, "
108,600239.SH,600239,云南城投,区域地产,4.8,4.91,2.29,4.94,4.8,2.92,"旅游, 业绩预增, 供应链金融, 养老产业, 房地产, 互联网金融, 移动支付, 资产重组, "
109,000957.SZ,000957,中通客车,汽车整车,9.09,9.3,2.31,9.85,9.09,8.36,"新能源整车, 汽车整车, 山东国企改革, 燃料电池, 新能源汽车, "
110,600792.SH,600792,云煤能源,焦炭加工,4.25,4.35,2.35,4.52,4.25,6.35,"煤炭, 石墨电极, 甲醇, "
111,300217.SZ,300217,东方电热,电器仪表,3.35,3.43,2.39,3.48,3.35,3.88,"5G, 油服, 业绩预增, 光伏, 3D玻璃, "
112,300376.SZ,300376,易事特,电气设备,5.81,5.95,2.41,5.95,5.81,2.41,"光伏, 储能, 工业自动化, 高质押率, 燃料电池, 智能制造, 新能源汽车, 股权转让, 充电桩, "
113,000529.SZ,000529,广弘控股,食品,7.34,7.52,2.45,7.86,7.34,7.08,"养猪, 宝能系, 粤港澳大湾区, 养鸡, 冷链, "
114,300679.SZ,300679,电连技术,元器件,40.39,41.4,2.5,43.33,40.39,7.28,"5G, 华为产业链, 小米概念股, "
115,603128.SH,603128,华贸物流,仓储物流,9.93,10.18,2.52,10.44,9.93,5.14,"央企改革, 回购, 快递物流, 自贸区, 自由贸易港, 上海自由贸易港, "
116,002477.SZ,002477,*ST雏鹰,农业综合,2.66,2.73,2.63,2.81,2.66,5.64,"养猪, 低价股, 电竞, 国资入股, "
117,002288.SZ,002288,超华科技,元器件,5.64,5.79,2.66,5.72,5.64,1.42,"PCB板, 半导体, 智慧城市, 智慧安防, 独角兽, "
118,000723.SZ,000723,美锦能源,焦炭加工,15.61,16.06,2.88,17.96,15.61,15.05,"煤炭, 油服, 新能源整车, 新进指数成份股, 石墨电极, 业绩预增, 高质押率, 燃料电池, 智能制造, 新能源汽车, 资产重组, 机器人, "
119,600736.SH,600736,苏州高新,园区开发,8.57,8.82,2.92,8.89,8.57,3.73,"特色小镇, 房地产, 独角兽, 创投, "
120,300338.SZ,300338,开元股份,文教休闲,11.17,11.5,2.95,11.43,11.17,2.33,"教育, 社保重仓, 智能仪表, "
121,002666.SZ,002666,德联集团,化工原料,5.4,5.56,2.96,5.63,5.4,4.26,"蔚来汽车概念股, "
122,002759.SZ,002759,天际股份,家用电器,10.42,10.73,2.98,10.86,10.42,4.22,"业绩预增, 小家电, 高质押率, 家电, 锂电池, 新能源汽车, "
123,600519.SH,600519,贵州茅台,白酒,917.67,945.0,2.98,948.85,917.67,3.4,"高价股, 白马股, MSCI, 大消费, 白酒, 大数据, "
124,002319.SZ,002319,乐通股份,染料涂料,13.01,13.4,3.0,13.18,13.01,1.31,"石墨烯, 资产重组, "
125,002459.SZ,002459,天业通联,工程机械,12.64,13.02,3.01,13.06,12.64,3.32,"光伏, 机械, 雄安新区, 雄安-工程基建, 移动支付, 高铁轨交, 资产重组, "
126,600105.SH,600105,永鼎股份,通信设备,6.23,6.42,3.05,6.63,6.23,6.42,"5G, 光通信, 汽车零部件, 装配式建筑, 大数据, "
127,600265.SH,600265,ST景谷,林业,27.41,28.25,3.06,27.77,27.41,1.31,"林业, 股权转让, ST股, "
128,000626.SZ,000626,远大控股,商贸代理,10.04,10.35,3.09,10.74,10.04,6.97,
129,002788.SZ,002788,鹭燕医药,医药商业,16.39,16.9,3.11,16.73,16.39,2.07,"医药商业, 医药, 中药, 医疗器械, "
130,600966.SH,600966,博汇纸业,造纸,3.86,3.98,3.11,3.92,3.86,1.55,"破净股, 造纸, "
131,002837.SZ,002837,英维克,专用机械,20.45,21.1,3.18,20.78,20.45,1.61,"5G, 军工, 军民融合, 新能源汽车, 腾讯概念股, 充电桩, "
132,600620.SH,600620,天宸股份,综合类,9.4,9.7,3.19,10.18,9.4,8.3,
133,300483.SZ,300483,沃施股份,专用机械,36.66,37.84,3.22,37.66,36.66,2.73,"天然气, 资产重组, "
134,002849.SZ,002849,威星智能,电器仪表,16.99,17.54,3.24,17.06,16.99,0.41,"物联网, 智能仪表, "
135,300384.SZ,300384,三联虹普,纺织机械,17.68,18.26,3.28,18.02,17.68,1.92,"锦纶（尼龙）, 工业自动化, 智能制造, 互联网金融, 大数据, "
136,002679.SZ,002679,福建金森,林业,24.73,25.54,3.28,24.86,24.73,0.53,"土地流转, 林业, "
137,600303.SH,600303,曙光股份,汽车整车,5.15,5.32,3.3,5.41,5.15,5.05,"新能源整车, 振兴东北, 汽车整车, 汽车零部件, 新能源汽车, 股权转让, "
138,300593.SZ,300593,新雷能,电气设备,20.3,20.97,3.3,20.8,20.3,2.46,"5G, 高送转-预期, 军工, 军民融合, "
139,000668.SZ,000668,荣丰控股,区域地产,15.75,16.28,3.37,16.8,15.75,6.67,"房地产, "
140,000958.SZ,000958,东方能源,火力发电,7.11,7.35,3.38,8.51,7.11,19.69,"火电, 电改, 央企改革, 风电, 光伏, 雄安-公共服务, 雄安新区, 京津冀, 复牌股, "
141,002524.SZ,002524,光正集团,医疗保健,5.87,6.07,3.41,6.08,5.87,3.58,"一带一路, 民营医院, 装配式建筑, 新疆, 眼科, 壳公司, 创投, "
142,603266.SH,603266,天龙股份,塑料,22.79,23.57,3.42,23.83,22.79,4.56,
143,000651.SZ,000651,格力电器,家用电器,54.3,56.18,3.46,59.29,54.3,9.19,"高股息, 白马股, MSCI, 大消费, 宝能系, 汽车零部件, 小家电, 工业自动化, 白色家电, 家电, 智能制造, 工业互联网, 股权转让, 复牌股, 国产芯片, 机器人, "
144,300417.SZ,300417,南华仪器,电器仪表,19.47,20.15,3.49,19.88,19.47,2.11,"智能仪表, "
145,600593.SH,600593,大连圣亚,旅游服务,42.6,44.1,3.52,43.22,42.6,1.46,"主题公园, 旅游, "
146,603505.SH,603505,金石资源,矿物制品,18.75,19.42,3.57,19.35,18.75,3.2,"业绩预增, "
147,002436.SZ,002436,兴森科技,元器件,5.58,5.78,3.58,5.7,5.58,2.15,"PCB板, 互联网金融, 半导体, 国资入股, "
148,002321.SZ,002321,华英农业,农业综合,8.06,8.35,3.6,8.45,8.06,4.84,"养鸡, 土地流转, 股权转让, 国资入股, "
149,300056.SZ,300056,三维丝,环境保护,6.91,7.16,3.62,7.0,6.91,1.3,"兜底式增持, 大气治理, 环保, 举牌股, 股权争夺, "
150,300427.SZ,300427,红相股份,电气设备,15.76,16.33,3.62,16.64,15.76,5.58,"电改, 业绩预增, 军工, 军民融合, 股权转让, "
151,300369.SZ,300369,绿盟科技,软件服务,13.73,14.23,3.64,13.74,13.73,0.07,"社保重仓, 网络安全, 云计算, 工业互联网, 国产软件, 国产操作系统, 独角兽, "
152,002122.SZ,002122,*ST天马,机械基件,3.26,3.38,3.68,3.32,3.26,1.84,"破净股, 智慧停车, 大数据, ST股, 创投, "
153,600996.SH,600996,贵广网络,影视音像,10.83,11.23,3.69,10.9,10.83,0.65,"物联网, 大数据, 云计算, 广电, "
154,000551.SZ,000551,创元科技,专用机械,8.07,8.37,3.72,8.28,8.07,2.6,"大气治理, 北斗导航, 环保, "
155,000534.SZ,000534,万泽股份,生物制药,10.99,11.4,3.73,11.26,10.99,2.46,"社保重仓, 大飞机, 军工, 军民融合, 互联网金融, 股权转让, 资产重组, "
156,002821.SZ,002821,凯莱英,生物制药,90.22,93.6,3.75,91.36,90.22,1.26,"社保重仓, 医药, 创新药, "
157,600009.SH,600009,上海机场,机场,63.69,66.08,3.75,65.54,63.69,2.9,"机场, 白马股, MSCI, 大消费, 上海国企改革, 自贸区, 自由贸易港, 上海自由贸易港, "
158,603300.SH,603300,华铁科技,钢加工,9.5,9.86,3.79,10.43,9.5,9.79,"雄安新区, 雄安-工程基建, 举牌股, 国资入股, "
159,600217.SH,600217,中再资环,环境保护,6.54,6.79,3.82,6.87,6.54,5.05,"固废处理, 环保, 资产重组, "
160,600712.SH,600712,南宁百货,百货,5.35,5.56,3.93,5.62,5.35,5.05,"东盟博览会, 教育, 新零售, 宝能系, 广西, "
161,300441.SZ,300441,鲍斯股份,机床制造,8.91,9.26,3.93,9.36,8.91,5.05,"新零售, 工业自动化, 智能制造, 资产重组, "
162,002665.SZ,002665,首航节能,电气设备,5.08,5.28,3.94,5.49,5.08,8.07,"回购, 储能, 定增破发, 雄安-公共服务, 雄安新区, 股权转让, 资产重组, "
163,601888.SH,601888,中国国旅,旅游服务,74.36,77.3,3.95,77.15,74.36,3.75,"MSCI, 中字头, 人民币升值受益, 阿里巴巴概念股, 大消费, 央企改革, 旅游, 中韩自贸区, 海南自由贸易港, 自贸区, 自由贸易港, 股权转让, "
164,000868.SZ,000868,*ST安凯,汽车整车,3.76,3.91,3.99,3.91,3.76,3.99,"新能源整车, 汽车整车, 安徽国企改革, 无人驾驶, 定增破发, PPP, 新能源汽车, "
165,300551.SZ,300551,古鳌科技,专用机械,15.97,16.61,4.01,16.74,15.97,4.82,"互联网金融, 无人银行, "
166,601789.SH,601789,宁波建工,建筑施工,4.73,4.92,4.02,4.76,4.73,0.63,"装配式建筑, 环杭州湾大湾区, 云计算, "
167,002454.SZ,002454,松芝股份,汽车配件,5.9,6.14,4.07,6.2,5.9,5.08,"社保重仓, 汽车零部件, "
168,002559.SZ,002559,亚威股份,机床制造,8.54,8.89,4.1,8.55,8.54,0.12,"回购, 工业自动化, 燃料电池, 智能制造, 工业互联网, 机器人, "
169,603568.SH,603568,伟明环保,环境保护,26.88,28.01,4.2,27.42,26.88,2.01,"固废处理, 环保, "
170,601949.SH,601949,中国出版,出版业,6.63,6.91,4.22,7.28,6.63,9.8,"中字头, 央企改革, "
171,600759.SH,600759,洲际油气,石油开采,4.01,4.18,4.24,4.49,4.01,11.97,"油服, 油气改革, 海南自由贸易港, 互联网金融, 自贸区, 自由贸易港, 资产重组, 海南, "
172,600882.SH,600882,妙可蓝多,乳制品,11.06,11.53,4.25,11.32,11.06,2.35,"回购, 食品, 乳业（奶粉）, "
173,000004.SZ,000004,国农科技,生物制药,21.27,22.18,4.28,21.42,21.27,0.71,"网络安全, 资产重组, 游戏, 壳公司, "
174,603878.SH,603878,武进不锈,钢加工,15.06,15.71,4.32,15.12,15.06,0.4,"钢铁, 业绩预增, "
175,603803.SH,603803,瑞斯康达,通信设备,12.9,13.46,4.34,12.96,12.9,0.47,"5G, 光通信, 物联网, 工业互联网, "
176,300463.SZ,300463,迈克生物,医疗保健,21.27,22.2,4.37,21.4,21.27,0.61,"基因测序, 医疗器械, 体外诊断, "
177,600289.SH,600289,*ST信通,软件服务,3.19,3.33,4.39,3.28,3.19,2.82,"5G, 网络安全, 大数据, 智慧城市, ST股, "
178,300288.SZ,300288,朗玛信息,软件服务,16.62,17.35,4.39,16.84,16.62,1.32,"民营医院, 大数据, 互联网医疗, "
179,600696.SH,600696,ST岩石,区域地产,6.5,6.79,4.46,6.64,6.5,2.15,"ST股, 壳公司, "
180,002678.SZ,002678,珠江钢琴,文教休闲,7.6,7.94,4.47,7.65,7.6,0.66,"二胎, 教育, "
