,ts_code,name,industry,average_turnover_rate,continuously_up,average_p_change,accumulate_p_change,pre_accumulate_p_change,circ_mv
60,000099.SZ,中信海直,空运,0.775,3.0,1.692,5.119,-3.46,373339.3787
1338,002891.SZ,中宠股份,饲料,0.726,3.0,1.923,5.862,-5.621,181873.4545
1323,002876.SZ,三利谱,元器件,0.892,3.0,1.729,5.21,-5.063,187749.8088
1314,002866.SZ,传艺科技,电脑设备,3.758,3.0,1.793,5.468,-4.174,91751.6938
1278,002827.SZ,高争民爆,化工原料,3.338,3.0,1.655,5.038,-2.987,94782.8965
1251,002798.SZ,帝欧家居,家居用品,3.414,3.0,2.027,5.951,1.324,142616.0149
1245,002791.SZ,坚朗五金,其他建材,1.539,3.0,1.787,5.429,-1.869,88986.195
1208,002751.SZ,易尚展示,家居用品,4.708,3.0,4.354,13.371,-12.772,195010.7125
1191,002733.SZ,雄韬股份,电气设备,1.81,3.0,2.183,6.667,-2.703,314148.7661
286,000752.SZ,西藏发展,啤酒,3.847,3.0,2.894,8.929,-2.674,209156.2916
1138,002677.SZ,浙江美大,家用电器,2.504,3.0,2.179,6.543,-3.578,308683.2316
1125,002664.SZ,长鹰信质,汽车配件,3.049,3.0,2.398,7.307,-6.738,457402.9807
1114,002653.SZ,海思科,化学制药,0.546,3.0,1.823,5.53,-17.927,520407.775
1089,002628.SZ,成都路桥,建筑施工,3.886,3.0,3.699,11.205,-1.663,381534.7212
1081,002620.SZ,瑞和股份,装修装饰,4.838,3.0,2.344,7.006,-1.258,204011.1696
1006,002545.SZ,东方铁塔,钢加工,1.135,3.0,1.841,5.536,-0.858,377254.2164
1004,002543.SZ,万和电气,家用电器,0.484,3.0,3.101,9.574,-0.892,649764.5794
975,002513.SZ,蓝丰生化,农药化肥,1.058,3.0,2.935,8.676,-8.112,181651.0748
100,000498.SZ,山东路桥,建筑施工,3.96,2.0,5.4,10.883,-2.209,237978.0
62,000150.SZ,宜华健康,医疗保健,2.565,2.0,3.339,6.757,-0.937,909617.5593
3505,603882.SH,金域医学,医疗保健,0.986,2.0,3.877,7.884,-4.781,642890.907
123,000529.SZ,广弘控股,食品,0.791,2.0,3.597,7.296,-2.917,284942.1885
769,002307.SZ,北新路桥,建筑施工,3.866,2.0,4.012,8.127,-2.749,545727.0225
3337,603517.SH,绝味食品,食品,1.629,2.0,2.885,5.849,-2.995,583599.056
3334,603508.SH,思维列控,软件服务,2.834,2.0,3.122,6.26,0.531,288836.0
441,000976.SZ,华铁股份,运输设备,4.955,2.0,5.271,10.603,-3.992,312033.3237
498,002035.SZ,华帝股份,家用电器,2.549,2.0,4.713,9.594,-2.1,759241.14
3199,603131.SH,上海沪工,专用机械,3.206,2.0,2.843,5.686,-0.993,79000.0
3034,601579.SH,会稽山,红黄药酒,0.307,2.0,2.919,5.915,-0.885,379600.0
956,002494.SZ,华斯股份,服饰,3.308,2.0,3.73,7.509,-3.02,173176.7623
1041,002580.SZ,圣阳股份,电气设备,4.989,2.0,2.551,5.16,-4.584,176299.9181
1100,002639.SZ,雪人股份,专用机械,2.557,2.0,3.281,6.667,-3.141,305593.3511
2311,600225.SH,天津松江,区域地产,0.97,2.0,3.378,6.811,-3.869,321814.4599
3562,603997.SH,继峰股份,汽车配件,1.139,2.0,4.017,8.087,-2.625,530460.0
