,ts_code,name,industry,COL_DEEP_INDEX,COL_FALL_P_CHANGE,circ_mv
2873,600875.SH,东方电气,电气设备,2.0,-3.12,1982922.0654
3200,603105.SH,芯能科技,电气设备,2.0,-3.11,142296.0
3194,603096.SH,新经典,出版业,9.0,-3.11,357961.602
1381,002940.SZ,昂利康,化学制药,2.0,-3.09,93127.5
2951,601009.SH,南京银行,银行,2.0,-3.08,6208976.2004
91,000422.SZ,*ST宜化,农药化肥,2.0,-3.08,316030.1704
2050,300673.SZ,佩蒂股份,饲料,2.0,-3.04,165466.29
832,002371.SZ,北方华创,专用机械,4.0,-3.03,1875735.1258
1121,002661.SZ,克明面业,食品,2.0,-3.03,436364.271
396,000918.SZ,嘉凯城,全国地产,2.0,-3.03,1342318.476
1758,300374.SZ,恒通科技,其他建材,2.0,-3.01,172978.8056
399,000921.SZ,海信家电,家用电器,7.0,-3.01,852423.1364
680,002218.SZ,拓日新能,半导体,2.0,-2.98,429148.2171
1929,300547.SZ,川环科技,橡胶,3.0,-2.97,168528.4624
935,002474.SZ,榕基软件,软件服务,7.0,-2.95,366108.0189
3527,603882.SH,金域医学,医疗保健,6.0,-2.95,682320.0579
2941,600998.SH,九州通,医药商业,2.0,-2.93,2578041.5966
3352,603507.SH,振江股份,钢加工,7.0,-2.92,216937.6849
3251,603218.SH,日月股份,工程机械,2.0,-2.91,199554.1034
1357,002913.SZ,奥士康,元器件,4.0,-2.9,169801.295
2547,600512.SH,腾达建设,建筑施工,9.0,-2.89,438158.8333
2923,600977.SH,中国电影,影视音像,3.0,-2.89,912475.0
1516,300129.SZ,泰胜风能,电气设备,3.0,-2.86,214755.9109
2502,600456.SH,宝钛股份,小金属,2.0,-2.85,859240.6029
1619,300233.SZ,金城医药,化学制药,2.0,-2.85,538237.1487
2888,600891.SH,秋林集团,百货,1.0,-2.85,210948.886
1970,300590.SZ,移为通信,通信设备,4.0,-2.84,332225.0
1505,300118.SZ,东方日升,半导体,9.0,-2.82,712572.3812
38,000048.SZ,*ST康达,饲料,9.0,-2.82,739953.1526
2170,600055.SH,万东医疗,医疗保健,8.0,-2.81,641408.012
2039,300662.SZ,科锐国际,综合类,2.0,-2.79,279162.4007
1346,002901.SZ,大博医疗,医疗保健,2.0,-2.78,133680.7308
2726,600715.SH,文投控股,影视音像,10.0,-2.78,639531.4008
3067,601688.SH,华泰证券,证券,7.0,-2.77,13119372.7192
3394,603605.SH,珀莱雅,日用化工,2.0,-2.77,310148.541
931,002470.SZ,金正大,农药化肥,10.0,-2.76,2180622.4168
1767,300383.SZ,光环新网,电信运营,7.0,-2.76,2372228.7128
2404,600321.SH,*ST正源,其他建材,7.0,-2.73,335342.1
2341,600247.SH,*ST成城,商贸代理,2.0,-2.73,197491.2192
2124,300752.SZ,隆利科技,元器件,2.0,-2.71,128428.671
678,002216.SZ,三全食品,食品,2.0,-2.68,419267.6788
969,002508.SZ,老板电器,家用电器,2.0,-2.68,2374647.9837
3451,603709.SH,中源家居,家居用品,7.0,-2.68,59220.0
509,002047.SZ,宝鹰股份,装修装饰,1.0,-2.67,872776.609
1690,300304.SZ,云意电气,汽车配件,7.0,-2.66,368842.804
2076,300699.SZ,光威复材,化工原料,2.0,-2.65,1034182.1042
774,002313.SZ,日海智能,通信设备,4.0,-2.64,791232.0
1397,300009.SZ,安科生物,生物制药,3.0,-2.64,1034146.8916
3046,601595.SH,上海电影,影视音像,8.0,-2.63,151750.8629
1854,300470.SZ,日机密封,机械基件,4.0,-2.61,432970.4016
1,000002.SZ,万科A,全国地产,2.0,-2.6,26998457.5495
1574,300188.SZ,美亚柏科,软件服务,7.0,-2.59,913391.5064
458,001696.SZ,宗申动力,摩托车,7.0,-2.58,519563.0413
2562,600529.SH,山东药玻,医疗保健,7.0,-2.56,762823.1721
72,000338.SZ,潍柴动力,汽车配件,7.0,-2.56,4074085.5571
2108,300735.SZ,光弘科技,通信设备,4.0,-2.55,225518.362
3308,603345.SH,安井食品,食品,1.0,-2.54,420882.0444
3214,603129.SH,春风动力,摩托车,7.0,-2.49,126117.9865
1634,300248.SZ,新开普,软件服务,7.0,-2.47,278639.0675
409,000932.SZ,华菱钢铁,普钢,7.0,-2.47,2321796.1351
3005,601218.SH,吉鑫科技,机械基件,2.0,-2.45,289593.92
2685,600671.SH,天目药业,中成药,2.0,-2.41,220314.1647
3302,603333.SH,尚纬股份,电气设备,10.0,-2.41,339459.225
1827,300443.SZ,金雷股份,专用机械,2.0,-2.41,224028.9121
205,000633.SZ,合金投资,综合类,7.0,-2.38,207187.2287
582,002120.SZ,韵达股份,仓储物流,2.0,-2.38,1083301.9552
3301,603332.SH,苏州龙杰,化纤,9.0,-2.37,118702.12
542,002080.SZ,中材科技,化纤,9.0,-2.36,710400.0
1402,300014.SZ,亿纬锂能,电气设备,6.0,-2.36,1687674.9882
2389,600305.SH,恒顺醋业,食品,2.0,-2.36,897175.513
2391,600307.SH,酒钢宏兴,普钢,7.0,-2.35,1503205.7818
664,002202.SZ,金风科技,电气设备,2.0,-2.35,4048116.3586
1563,300176.SZ,鸿特科技,汽车配件,2.0,-2.34,1460657.7834
3268,603268.SH,松发股份,陶瓷,2.0,-2.34,227228.904
3094,601877.SH,正泰电器,电气设备,2.0,-2.34,4499306.301
1081,002621.SZ,三垒股份,专用机械,4.0,-2.34,604136.8194
2887,600890.SH,中房股份,区域地产,7.0,-2.33,458722.3806
3356,603517.SH,绝味食品,食品,7.0,-2.32,620104.6912
74,000401.SZ,冀东水泥,水泥,2.0,-2.31,1960200.4818
130,000538.SZ,云南白药,中成药,2.0,-2.3,9011168.6968
2968,601088.SH,中国神华,煤炭开采,2.0,-2.3,34317849.9844
2447,600373.SH,中文传媒,出版业,4.0,-2.28,1944273.3753
1479,300092.SZ,科新机电,专用机械,2.0,-2.28,118167.4193
2743,600732.SH,ST新梅,区域地产,9.0,-2.27,265597.9326
3155,603027.SH,千禾味业,食品,2.0,-2.23,249954.3392
2584,600557.SH,康缘药业,中成药,7.0,-2.22,734397.8253
685,002223.SZ,鱼跃医疗,医疗保健,4.0,-2.21,1992397.679
3458,603721.SH,中广天择,影视音像,7.0,-2.21,89436.7791
450,000989.SZ,九芝堂,中成药,8.0,-2.21,1012402.3085
779,002318.SZ,久立特材,特种钢,2.0,-2.2,625428.2991
2028,300651.SZ,金陵体育,文教休闲,2.0,-2.19,120472.2176
1778,300394.SZ,天孚通信,通信设备,8.0,-2.17,546254.1867
2156,600030.SH,中信证券,证券,7.0,-2.17,24045921.165
1510,300123.SZ,亚光科技,船舶,7.0,-2.17,386110.6222
669,002207.SZ,ST准油,石油开采,9.0,-2.16,136280.189
70,000301.SZ,东方盛虹,综合类,2.0,-2.15,652974.7345
1035,002575.SZ,群兴玩具,文教休闲,7.0,-2.15,582832.8
3274,603288.SH,海天味业,食品,2.0,-2.15,20649724.343
2203,600090.SH,同济堂,医药商业,2.0,-2.13,406158.8539
2148,600021.SH,上海电力,火力发电,2.0,-2.13,765127.0079
3271,603278.SH,大业股份,钢加工,7.0,-2.12,146933.3736
3234,603180.SH,金牌厨柜,家居用品,2.0,-2.12,130407.0312
1230,002776.SZ,柏堡龙,服饰,9.0,-2.11,440615.9524
3501,603823.SH,百合花,染料涂料,8.0,-2.1,126266.0135
843,002382.SZ,蓝帆医疗,医疗保健,7.0,-2.1,779647.8318
391,000911.SZ,南宁糖业,食品,7.0,-2.1,199957.9381
2590,600563.SH,法拉电子,元器件,7.0,-2.09,1091250.0
1951,300570.SZ,太辰光,元器件,7.0,-2.09,215650.9504
2546,600511.SH,国药股份,医药商业,2.0,-2.08,688000.4096
1950,300569.SZ,天能重工,专用机械,10.0,-2.08,154044.3083
2977,601113.SH,华鼎股份,化纤,7.0,-2.07,643947.65
1188,002731.SZ,萃华珠宝,服饰,4.0,-2.06,242153.4855
2606,600581.SH,八一钢铁,普钢,7.0,-2.04,692869.8372
1228,002774.SZ,快意电梯,运输设备,7.0,-2.04,84185.5004
1775,300391.SZ,康跃科技,机械基件,6.0,-2.03,174893.8912
3106,601908.SH,京运通,电气设备,9.0,-2.03,831088.3813
469,002007.SZ,华兰生物,生物制药,2.0,-2.02,3078128.9675
2418,600337.SH,美克家居,家居用品,4.0,-2.02,788109.9063
2806,600801.SH,华新水泥,水泥,2.0,-2.01,1841456.1182
2565,600532.SH,宏达矿业,普钢,7.0,-2.0,283320.0803
867,002406.SZ,远东传动,汽车配件,7.0,-2.0,259813.6113
876,002415.SZ,海康威视,电器仪表,7.0,-2.0,28552155.0908
2195,600081.SH,东风科技,汽车配件,2.0,-1.99,273424.32
3299,603330.SH,上海天洋,塑料,5.0,-1.98,73544.3372
3190,603086.SH,先达股份,农药化肥,2.0,-1.98,190566.1166
3063,601668.SH,中国建筑,建筑施工,2.0,-1.97,25918877.2777
341,000830.SZ,鲁西化工,农药化肥,7.0,-1.97,1942698.5764
2687,600674.SH,川投能源,水力发电,2.0,-1.97,4116001.3488
1838,300454.SZ,深信服,软件服务,7.0,-1.97,383535.86
3117,601966.SH,玲珑轮胎,汽车配件,4.0,-1.96,633018.2948
1832,300448.SZ,浩云科技,软件服务,7.0,-1.96,282268.9621
865,002404.SZ,嘉欣丝绸,纺织,2.0,-1.95,251685.8916
1359,002916.SZ,深南电路,元器件,7.0,-1.95,940421.1606
3164,603037.SH,凯众股份,汽车配件,2.0,-1.92,123808.6576
2289,600188.SH,兖州煤业,煤炭开采,7.0,-1.91,3084194.439
3457,603718.SH,海利生物,生物制药,2.0,-1.89,850080.0
2933,600987.SH,航民股份,纺织,2.0,-1.89,580038.03
1816,300432.SZ,富临精工,汽车配件,9.0,-1.89,243465.375
1017,002557.SZ,洽洽食品,食品,2.0,-1.89,1039857.0
2329,600233.SH,圆通速递,仓储物流,7.0,-1.89,1042662.6416
1023,002563.SZ,森马服饰,服饰,7.0,-1.86,1849877.4624
3306,603338.SH,浙江鼎力,专用机械,7.0,-1.86,1710593.5483
1083,002623.SZ,亚玛顿,玻璃,7.0,-1.86,281807.0218
2956,601016.SH,节能风电,新型电力,9.0,-1.85,1188490.16
2958,601019.SH,山东出版,出版业,3.0,-1.85,381221.7
616,002154.SZ,报喜鸟,服饰,4.0,-1.83,382059.5126
356,000860.SZ,顺鑫农业,白酒,7.0,-1.83,2386777.9365
52,000069.SZ,华侨城A,旅游景点,7.0,-1.83,4849295.5596
2227,600116.SH,三峡水利,水力发电,2.0,-1.82,885760.9078
2456,600383.SH,金地集团,全国地产,2.0,-1.82,5078906.5185
2401,600318.SH,新力金融,多元金融,8.0,-1.81,441892.0
587,002125.SZ,湘潭电化,化工原料,7.0,-1.81,278207.9879
2062,300685.SZ,艾德生物,生物制药,7.0,-1.81,451135.1232
1428,300040.SZ,九洲电气,电气设备,7.0,-1.8,151427.1763
343,000833.SZ,粤桂股份,造纸,8.0,-1.78,201141.9898
2324,600228.SH,ST昌九,化工原料,6.0,-1.78,191608.08
2790,600782.SH,新钢股份,普钢,7.0,-1.77,1916422.3403
236,000682.SZ,东方电子,电气设备,7.0,-1.76,410767.1904
608,002146.SZ,荣盛发展,全国地产,2.0,-1.76,3718346.9856
363,000876.SZ,新希望,饲料,8.0,-1.75,4668124.8157
1932,300550.SZ,和仁科技,软件服务,7.0,-1.75,156682.31
3520,603871.SH,嘉友国际,仓储物流,7.0,-1.75,110880.0
1036,002576.SZ,通达动力,电气设备,2.0,-1.75,170334.6911
653,002191.SZ,劲嘉股份,广告包装,7.0,-1.75,1286379.9648
3064,601669.SH,中国电建,建筑施工,2.0,-1.73,6552908.1055
3212,603127.SH,昭衍新药,医疗保健,9.0,-1.72,355952.7359
227,000671.SZ,阳光城,区域地产,7.0,-1.72,2545980.2836
2583,600556.SH,ST慧球,软件服务,2.0,-1.72,268064.9277
401,000923.SZ,河北宣工,铜,10.0,-1.71,287298.0
3112,601939.SH,建设银行,银行,2.0,-1.71,6897839.8187
14,000018.SZ,神州长城,装修装饰,9.0,-1.71,276772.5502
2572,600540.SH,新赛股份,种植业,10.0,-1.7,219450.2639
578,002116.SZ,中国海诚,建筑施工,7.0,-1.7,408987.7157
0,000001.SZ,平安银行,银行,7.0,-1.69,20947701.0631
2991,601166.SH,兴业银行,银行,7.0,-1.69,33093908.9365
1556,300169.SZ,天晟新材,塑料,9.0,-1.69,155803.7297
3472,603766.SH,隆鑫通用,摩托车,7.0,-1.69,1035385.4804
891,002430.SZ,杭氧股份,化工机械,6.0,-1.68,1059985.5204
3253,603222.SH,济民制药,化学制药,4.0,-1.68,513920.0
3318,603365.SH,水星家纺,纺织,7.0,-1.67,143063.16
3007,601225.SH,陕西煤业,煤炭开采,6.0,-1.67,8870000.0
2267,600163.SH,中闽能源,新型电力,9.0,-1.66,384794.1136
576,002114.SZ,罗平锌电,铅锌,8.0,-1.66,265169.5434
215,000656.SZ,金科股份,区域地产,2.0,-1.66,3205941.6017
3317,603363.SH,傲农生物,饲料,9.0,-1.65,227415.2788
1190,002733.SZ,雄韬股份,电气设备,9.0,-1.65,819077.4599
2157,600031.SH,三一重工,工程机械,7.0,-1.64,8385640.5956
2894,600897.SH,厦门空港,机场,3.0,-1.64,681687.09
1202,002746.SZ,仙坛股份,农业综合,9.0,-1.64,579146.9295
2948,601006.SH,大秦铁路,铁路,6.0,-1.62,13157110.4695
632,002170.SZ,芭田股份,农药化肥,9.0,-1.61,283454.9052
115,000520.SZ,长航凤凰,水运,8.0,-1.6,348156.7085
180,000603.SZ,盛达矿业,铅锌,7.0,-1.6,452627.1554
3287,603313.SH,梦百合,家居用品,6.0,-1.6,197221.1656
2896,600900.SH,长江电力,水力发电,2.0,-1.59,18731672.7294
1638,300252.SZ,金信诺,电气设备,7.0,-1.59,553434.5227
241,000688.SZ,国城矿业,铅锌,7.0,-1.58,1396598.2526
3538,603898.SH,好莱客,家居用品,7.0,-1.58,558829.2382
364,000877.SZ,天山股份,水泥,2.0,-1.56,785044.2039
840,002379.SZ,宏创控股,铝,7.0,-1.55,325954.1835
506,002044.SZ,美年健康,医疗保健,7.0,-1.55,4091265.1328
3564,603959.SH,百利科技,建筑施工,9.0,-1.55,300154.4
948,002487.SZ,大金重工,钢加工,9.0,-1.55,251100.0
3395,603606.SH,东方电缆,电气设备,4.0,-1.54,519429.0311
2676,600660.SH,福耀玻璃,汽车配件,2.0,-1.54,4959394.158
1280,002830.SZ,名雕股份,装修装饰,10.0,-1.53,62668.32
1483,300096.SZ,易联众,软件服务,9.0,-1.52,473288.2533
702,002240.SZ,威华股份,家居用品,7.0,-1.52,457288.9455
2595,600569.SH,安阳钢铁,普钢,7.0,-1.52,866513.785
1182,002725.SZ,跃岭股份,汽车配件,8.0,-1.51,180636.0716
985,002524.SZ,光正集团,供气供热,7.0,-1.51,247015.2811
1255,002803.SZ,吉宏股份,广告包装,7.0,-1.5,142023.9584
3079,601799.SH,星宇股份,汽车配件,7.0,-1.49,1574084.8224
1134,002674.SZ,兴业科技,纺织,7.0,-1.49,251001.6903
306,000786.SZ,北新建材,其他建材,2.0,-1.48,2454672.0437
1104,002644.SZ,佛慈制药,中成药,4.0,-1.47,438654.363
3069,601699.SH,潞安环能,煤炭开采,7.0,-1.47,2443981.3164
3058,601619.SH,嘉泽新能,新型电力,2.0,-1.45,298726.53
1056,002596.SZ,海南瑞泽,其他建材,9.0,-1.44,724448.3047
3503,603826.SH,坤彩科技,染料涂料,7.0,-1.44,313741.7392
419,000951.SZ,中国重汽,汽车整车,7.0,-1.44,945972.3276
3323,603377.SH,东方时尚,汽车服务,2.0,-1.43,847308.0
3093,601872.SH,招商轮船,水运,7.0,-1.43,2199949.563
2450,600377.SH,宁沪高速,路桥,2.0,-1.43,3703031.8211
3305,603337.SH,杰克股份,纺织机械,2.0,-1.43,312808.9964
1389,300001.SZ,特锐德,电气设备,4.0,-1.42,2081547.1893
2971,601100.SH,恒立液压,工程机械,7.0,-1.42,2537514.0
1235,002781.SZ,奇信股份,装修装饰,2.0,-1.42,380835.6585
3220,603156.SH,养元饮品,软饮料,10.0,-1.41,2104231.8672
377,000893.SZ,*ST东凌,食品,9.0,-1.4,193558.3619
2596,600570.SH,恒生电子,软件服务,7.0,-1.39,5374905.066
3375,603577.SH,汇金通,钢加工,9.0,-1.39,84104.2426
1880,300496.SZ,中科创达,软件服务,8.0,-1.37,809897.0571
3047,601598.SH,中国外运,仓储物流,7.0,-1.36,702851.3601
2428,600352.SH,浙江龙盛,染料涂料,7.0,-1.36,3484318.4221
919,002458.SZ,益生股份,农业综合,9.0,-1.36,726461.4324
3176,603059.SH,倍加洁,家居用品,4.0,-1.36,69800.0
1351,002907.SZ,华森制药,化学制药,9.0,-1.34,190753.68
140,000550.SZ,江铃汽车,汽车整车,5.0,-1.33,957534.9645
2879,600882.SH,广泽股份,乳制品,7.0,-1.32,332675.2051
1286,002837.SZ,英维克,专用机械,7.0,-1.32,139329.8973
1063,002603.SZ,以岭药业,中成药,7.0,-1.32,1208066.5294
2498,600448.SH,华纺股份,纺织,8.0,-1.29,299553.9066
1388,002948.SZ,青岛银行,银行,7.0,-1.29,319291.5397
3118,601968.SH,宝钢包装,广告包装,7.0,-1.29,409166.6503
476,002014.SZ,永新股份,塑料,7.0,-1.28,349566.7598
695,002233.SZ,塔牌集团,水泥,7.0,-1.27,1363225.1519
1471,300084.SZ,海默科技,石油开采,9.0,-1.27,182081.3736
999,002539.SZ,云图控股,农药化肥,7.0,-1.26,312463.6261
2751,600740.SH,山西焦化,焦炭加工,7.0,-1.26,632529.946
