,asc,ts_code,symbol,name,industry,COL_FITNESS
2683,64.0,600662.SH,600662,强生控股,公共交通,96.64
1017,65.0,002557.SZ,002557,洽洽食品,食品,95.33
2935,66.0,600983.SH,600983,惠而浦,家用电器,95.01
1282,67.0,002832.SZ,002832,比音勒芬,服饰,94.1
3358,68.0,603507.SH,603507,振江股份,钢加工,94.07
1023,69.0,002563.SZ,002563,森马服饰,服饰,93.74
2303,70.0,600198.SH,600198,*ST大唐,通信设备,93.69
711,71.0,002249.SZ,002249,大洋电机,电气设备,93.15
704,72.0,002242.SZ,002242,九阳股份,家用电器,93.08
228,73.0,000672.SZ,000672,上峰水泥,水泥,92.7
2356,74.0,600259.SH,600259,广晟有色,小金属,92.28
352,75.0,000852.SZ,000852,石化机械,化工机械,92.07
1164,76.0,002705.SZ,002705,新宝股份,家用电器,91.9
2533,77.0,600490.SH,600490,鹏欣资源,铜,91.42
208,78.0,000637.SZ,000637,茂化实华,石油加工,90.61
2704,79.0,600686.SH,600686,金龙汽车,汽车整车,90.33
301,80.0,000779.SZ,000779,三毛派神,纺织,89.38
1099,81.0,002639.SZ,002639,雪人股份,专用机械,89.07
2865,82.0,600862.SH,600862,中航高科,航空,88.9
732,83.0,002271.SZ,002271,东方雨虹,其他建材,88.71
178,84.0,000600.SZ,000600,建投能源,火力发电,86.71
1121,85.0,002661.SZ,002661,克明面业,食品,86.01
49,86.0,000065.SZ,000065,北方国际,建筑施工,85.26
1250,87.0,002798.SZ,002798,帝欧家居,家居用品,84.42
3308,88.0,603333.SH,603333,尚纬股份,电气设备,83.66
3072,89.0,601678.SH,601678,滨化股份,化工原料,82.3
3031,90.0,601339.SH,601339,百隆东方,纺织,79.89
1158,91.0,002698.SZ,002698,博实股份,化工机械,79.66
2611,92.0,600581.SH,600581,八一钢铁,普钢,79.63
5,93.0,000007.SZ,000007,全新好,酒店餐饮,77.44
3545,94.0,603899.SH,603899,晨光文具,文教休闲,77.18
2491,95.0,600423.SH,600423,*ST柳化,农药化肥,76.88
2816,96.0,600807.SH,600807,*ST天业,区域地产,76.78
3251,97.0,603198.SH,603198,迎驾贡酒,白酒,76.74
2429,98.0,600346.SH,600346,恒力股份,化纤,76.16
2924,99.0,600970.SH,600970,中材国际,建筑施工,75.89
643,100.0,002181.SZ,002181,粤传媒,出版业,75.65
2858,101.0,600855.SH,600855,航天长峰,专用机械,75.27
1049,102.0,002589.SZ,002589,瑞康医药,医药商业,74.87
2186,103.0,600067.SH,600067,冠城大通,全国地产,74.64
542,104.0,002080.SZ,002080,中材科技,化纤,73.74
3322,105.0,603360.SH,603360,百傲化学,化工原料,73.32
1255,106.0,002803.SZ,002803,吉宏股份,广告包装,72.96
3390,107.0,603589.SH,603589,口子窖,白酒,72.81
3192,108.0,603080.SH,603080,新疆火炬,供气供热,72.39
936,109.0,002475.SZ,002475,立讯精密,元器件,71.78
2425,110.0,600339.SH,600339,中油工程,石油加工,71.53
1349,111.0,002905.SZ,002905,金逸影视,影视音像,70.85
888,112.0,002427.SZ,002427,*ST尤夫,化纤,69.91
968,113.0,002507.SZ,002507,涪陵榨菜,食品,69.79
1615,114.0,300226.SZ,300226,上海钢联,互联网,69.56
733,115.0,002272.SZ,002272,川润股份,机械基件,69.31
1171,116.0,002713.SZ,002713,东易日盛,装修装饰,69.3
2874,117.0,600871.SH,600871,*ST油服,石油开采,69.08
2231,118.0,600115.SH,600115,东方航空,空运,68.39
2298,119.0,600192.SH,600192,长城电工,电气设备,67.92
3287,120.0,603303.SH,603303,得邦照明,家用电器,67.84
1627,121.0,300238.SZ,300238,冠昊生物,医疗保健,67.82
2703,122.0,600685.SH,600685,中船防务,船舶,67.46
3556,123.0,603919.SH,603919,金徽酒,白酒,67.23
3126,124.0,601975.SH,601975,ST长油,水运,67.17
2847,125.0,600841.SH,600841,上柴股份,机械基件,67.16
2349,126.0,600250.SH,600250,南纺股份,商贸代理,67.15
879,127.0,002418.SZ,002418,康盛股份,机械基件,66.7
3558,128.0,603922.SH,603922,金鸿顺,汽车配件,66.53
2786,129.0,600773.SH,600773,西藏城投,区域地产,66.22
2880,130.0,600877.SH,600877,ST嘉陵,摩托车,65.96
2591,131.0,600559.SH,600559,老白干酒,白酒,65.69
2869,132.0,600866.SH,600866,星湖科技,食品,64.71
3255,133.0,603208.SH,603208,江山欧派,家居用品,64.42
2426,134.0,600340.SH,600340,华夏幸福,区域地产,64.17
985,135.0,002524.SZ,002524,光正集团,供气供热,63.32
2208,136.0,600090.SH,600090,同济堂,医药商业,63.31
2609,137.0,600579.SH,600579,天华院,化工机械,62.67
2412,138.0,600325.SH,600325,华发股份,区域地产,62.56
3432,139.0,603666.SH,603666,亿嘉和,专用机械,62.22
2649,140.0,600621.SH,600621,华鑫股份,证券,61.63
2625,141.0,600596.SH,600596,新安股份,农药化肥,61.61
2929,142.0,600977.SH,600977,中国电影,影视音像,61.17
213,143.0,000652.SZ,000652,泰达股份,批发业,61.12
255,144.0,000708.SZ,000708,大冶特钢,特种钢,60.99
2464,145.0,600387.SH,600387,海越能源,石油贸易,60.75
74,146.0,000401.SZ,000401,冀东水泥,水泥,60.11
1330,147.0,002884.SZ,002884,凌霄泵业,专用机械,59.79
2604,148.0,600573.SH,600573,惠泉啤酒,啤酒,58.66
727,149.0,002266.SZ,002266,浙富控股,电气设备,58.04
457,150.0,000999.SZ,000999,华润三九,中成药,57.81
2746,151.0,600730.SH,600730,中国高科,综合类,57.75
1227,152.0,002773.SZ,002773,康弘药业,中成药,57.65
3515,153.0,603843.SH,603843,正平股份,建筑施工,56.46
422,154.0,000955.SZ,000955,欣龙控股,纺织,56.38
2855,155.0,600851.SH,600851,海欣股份,纺织,56.21
3461,156.0,603716.SH,603716,塞力斯,医药商业,56.2
1822,157.0,300435.SZ,300435,中泰股份,机械基件,56.09
3296,158.0,603318.SH,603318,派思股份,专用机械,55.88
904,159.0,002443.SZ,002443,金洲管道,钢加工,55.51
922,160.0,002461.SZ,002461,珠江啤酒,啤酒,55.46
2307,161.0,600202.SH,600202,*ST哈空,电气设备,55.31
310,162.0,000791.SZ,000791,甘肃电投,水力发电,55.18
3575,163.0,603969.SH,603969,银龙股份,其他建材,54.96
1796,164.0,300409.SZ,300409,道氏技术,陶瓷,54.91
2660,165.0,600636.SH,600636,三爱富,化工原料,54.3
3267,166.0,603233.SH,603233,大参林,医药商业,54.15
3400,167.0,603605.SH,603605,珀莱雅,日用化工,54.05
3386,168.0,603585.SH,603585,苏利股份,化工原料,53.85
3443,169.0,603686.SH,603686,龙马环卫,专用机械,53.53
2707,170.0,600689.SH,600689,上海三毛,纺织,53.25
1674,171.0,300285.SZ,300285,国瓷材料,陶瓷,52.87
1131,172.0,002671.SZ,002671,龙泉股份,其他建材,52.65
2543,173.0,600502.SH,600502,安徽水利,建筑施工,52.43
3265,174.0,603229.SH,603229,奥翔药业,化学制药,52.24
2884,175.0,600882.SH,600882,妙可蓝多,乳制品,52.07
93,176.0,000425.SZ,000425,徐工机械,工程机械,52.04
667,177.0,002205.SZ,002205,国统股份,其他建材,52.04
3345,178.0,603444.SH,603444,吉比特,互联网,51.89
918,179.0,002457.SZ,002457,青龙管业,塑料,51.85
232,180.0,000678.SZ,000678,襄阳轴承,机械基件,51.82
89,181.0,000420.SZ,000420,吉林化纤,化纤,51.82
3024,182.0,601318.SH,601318,中国平安,保险,51.37
2475,183.0,600399.SH,600399,*ST抚钢,特种钢,51.31
2800,184.0,600789.SH,600789,鲁抗医药,化学制药,50.36
1041,185.0,002581.SZ,002581,未名医药,生物制药,50.35
1609,186.0,300220.SZ,300220,金运激光,元器件,49.99
1300,187.0,002852.SZ,002852,道道全,食品,49.72
1869,188.0,300482.SZ,300482,万孚生物,生物制药,49.31
1333,189.0,002887.SZ,002887,绿茵生态,环境保护,49.27
3312,190.0,603338.SH,603338,浙江鼎力,专用机械,49.08
2169,191.0,600048.SH,600048,保利地产,全国地产,48.99
393,192.0,000913.SZ,000913,钱江摩托,摩托车,48.9
1260,193.0,002809.SZ,002809,红墙股份,化工原料,48.88
2212,194.0,600095.SH,600095,哈高科,区域地产,48.84
2203,195.0,600084.SH,600084,中葡股份,红黄药酒,48.41
162,196.0,000581.SZ,000581,威孚高科,汽车配件,48.36
2631,197.0,600602.SH,600602,云赛智联,软件服务,48.15
2070,198.0,300690.SZ,300690,双一科技,电气设备,48.14
2774,199.0,600759.SH,600759,洲际油气,石油开采,47.97
3160,200.0,603026.SH,603026,石大胜华,化工原料,47.94
1888,201.0,300501.SZ,300501,海顺新材,广告包装,47.85
2053,202.0,300673.SZ,300673,佩蒂股份,饲料,47.78
2267,203.0,600158.SH,600158,中体产业,文教休闲,47.76
833,204.0,002372.SZ,002372,伟星新材,其他建材,47.69
172,205.0,000593.SZ,000593,大通燃气,供气供热,47.46
2560,206.0,600521.SH,600521,华海药业,化学制药,47.28
2661,207.0,600637.SH,600637,东方明珠,影视音像,47.21
1896,208.0,300509.SZ,300509,新美星,专用机械,47.0
2214,209.0,600097.SH,600097,开创国际,渔业,46.98
2732,210.0,600716.SH,600716,凤凰股份,区域地产,46.84
1793,211.0,300406.SZ,300406,九强生物,生物制药,46.75
1278,212.0,002828.SZ,002828,贝肯能源,石油开采,46.69
2189,213.0,600070.SH,600070,浙江富润,纺织,46.56
608,214.0,002146.SZ,002146,荣盛发展,全国地产,46.51
1261,215.0,002810.SZ,002810,山东赫达,化工原料,46.48
2261,216.0,600151.SH,600151,航天机电,半导体,46.39
2686,217.0,600665.SH,600665,天地源,全国地产,46.19
2377,218.0,600284.SH,600284,浦东建设,建筑施工,46.18
1213,219.0,002758.SZ,002758,华通医药,医药商业,45.71
3335,220.0,603387.SH,603387,基蛋生物,生物制药,45.35
129,221.0,000537.SZ,000537,广宇发展,区域地产,45.2
1274,222.0,002824.SZ,002824,和胜股份,铝,45.19
322,223.0,000806.SZ,000806,银河生物,生物制药,44.98
628,224.0,002166.SZ,002166,莱茵生物,中成药,44.66
3105,225.0,601886.SH,601886,江河集团,装修装饰,44.66
1593,226.0,300204.SZ,300204,舒泰神,生物制药,44.52
1160,227.0,002700.SZ,002700,新疆浩源,供气供热,44.42
1571,228.0,300181.SZ,300181,佐力药业,中成药,44.24
131,229.0,000539.SZ,000539,粤电力A,火力发电,44.23
57,230.0,000090.SZ,000090,天健集团,建筑施工,43.82
2545,231.0,600505.SH,600505,西昌电力,水力发电,43.74
364,232.0,000877.SZ,000877,天山股份,水泥,43.71
341,233.0,000830.SZ,000830,鲁西化工,农药化肥,43.5
1424,234.0,300033.SZ,300033,同花顺,软件服务,43.49
2770,235.0,600755.SH,600755,厦门国贸,商贸代理,43.46
1237,236.0,002783.SZ,002783,凯龙股份,化工原料,43.39
2977,237.0,601100.SH,601100,恒立液压,工程机械,43.34
261,238.0,000715.SZ,000715,中兴商业,百货,42.86
2394,239.0,600305.SH,600305,恒顺醋业,食品,42.83
3536,240.0,603886.SH,603886,元祖股份,食品,42.81
242,241.0,000690.SZ,000690,宝新能源,火力发电,42.72
3364,242.0,603519.SH,603519,立霸股份,家用电器,42.6
1246,243.0,002793.SZ,002793,东音股份,专用机械,42.59
516,244.0,002054.SZ,002054,德美化工,化工原料,42.46
175,245.0,000597.SZ,000597,东北制药,化学制药,42.38
370,246.0,000885.SZ,000885,城发环境,公路,42.25
702,247.0,002240.SZ,002240,威华股份,家居用品,42.16
1862,248.0,300475.SZ,300475,聚隆科技,专用机械,42.05
2648,249.0,600620.SH,600620,天宸股份,综合类,41.89
1795,250.0,300408.SZ,300408,三环集团,元器件,41.87
2493,251.0,600426.SH,600426,华鲁恒升,农药化肥,41.84
1746,252.0,300357.SZ,300357,我武生物,生物制药,41.7
2723,253.0,600706.SH,600706,曲江文旅,旅游服务,41.5
2673,254.0,600650.SH,600650,锦江投资,公共交通,41.48
3167,255.0,603033.SH,603033,三维股份,橡胶,41.48
192,256.0,000617.SZ,000617,中油资本,多元金融,41.44
2585,257.0,600551.SH,600551,时代出版,出版业,41.41
2777,258.0,600763.SH,600763,通策医疗,医疗保健,41.4
717,259.0,002255.SZ,002255,海陆重工,专用机械,41.3
3282,260.0,603297.SH,603297,永新光学,电器仪表,41.3
991,261.0,002531.SZ,002531,天顺风能,电气设备,41.15
101,262.0,000502.SZ,000502,绿景控股,医疗保健,41.03
3454,263.0,603706.SH,603706,东方环宇,供气供热,41.01
4,264.0,000006.SZ,000006,深振业A,区域地产,40.94
2680,265.0,600658.SH,600658,电子城,园区开发,40.85
110,266.0,000514.SZ,000514,渝开发,区域地产,40.65
42,267.0,000056.SZ,000056,皇庭国际,房产服务,40.64
1574,268.0,300184.SZ,300184,力源信息,元器件,40.6
163,269.0,000582.SZ,000582,北部湾港,港口,40.58
146,270.0,000557.SZ,000557,西部创业,铁路,40.53
99,271.0,000498.SZ,000498,山东路桥,建筑施工,40.47
184,272.0,000608.SZ,000608,阳光股份,区域地产,40.3
3436,273.0,603676.SH,603676,卫信康,化学制药,40.12
1280,274.0,002830.SZ,002830,名雕股份,装修装饰,40.11
3169,275.0,603036.SH,603036,如通股份,专用机械,39.72
288,276.0,000756.SZ,000756,新华制药,化学制药,39.68
1251,277.0,002799.SZ,002799,环球印务,广告包装,39.67
2233,278.0,600117.SH,600117,西宁特钢,特种钢,39.58
697,279.0,002235.SZ,002235,安妮股份,互联网,39.56
1055,280.0,002595.SZ,002595,豪迈科技,专用机械,39.55
30,281.0,000037.SZ,000037,深南电A,火力发电,39.55
408,282.0,000931.SZ,000931,中关村,生物制药,39.33
2188,283.0,600069.SH,600069,银鸽投资,造纸,39.32
481,284.0,002019.SZ,002019,亿帆医药,化学制药,39.09
268,285.0,000722.SZ,000722,湖南发展,水力发电,39.03
2490,286.0,600422.SH,600422,昆药集团,中成药,39.0
91,287.0,000422.SZ,000422,*ST宜化,农药化肥,38.44
3427,288.0,603659.SH,603659,璞泰来,化工原料,38.3
3388,289.0,603587.SH,603587,地素时尚,服饰,38.29
2643,290.0,600615.SH,600615,丰华股份,小金属,38.27
3417,291.0,603636.SH,603636,南威软件,软件服务,38.17
464,292.0,002002.SZ,002002,鸿达兴业,化工原料,38.12
3350,293.0,603486.SH,603486,科沃斯,家用电器,38.04
2668,294.0,600644.SH,600644,乐山电力,水力发电,37.96
880,295.0,002419.SZ,002419,天虹股份,百货,37.93
3234,296.0,603167.SH,603167,渤海轮渡,水运,37.89
2650,297.0,600622.SH,600622,光大嘉宝,区域地产,37.87
2751,298.0,600735.SH,600735,新华锦,商贸代理,37.8
154,299.0,000566.SZ,000566,海南海药,化学制药,37.71
285,300.0,000752.SZ,000752,西藏发展,啤酒,37.59
266,301.0,000720.SZ,000720,*ST新能,火力发电,37.52
2370,302.0,600277.SH,600277,亿利洁能,综合类,37.48
2088,303.0,300709.SZ,300709,精研科技,元器件,37.32
1293,304.0,002845.SZ,002845,同兴达,元器件,37.18
221,305.0,000665.SZ,000665,湖北广电,影视音像,37.16
2456,306.0,600378.SH,600378,天科股份,化工原料,37.12
2251,307.0,600137.SH,600137,浪莎股份,服饰,37.09
1277,308.0,002827.SZ,002827,高争民爆,化工原料,37.07
227,309.0,000671.SZ,000671,阳光城,区域地产,37.05
1044,310.0,002584.SZ,002584,西陇科学,化工原料,37.02
1379,311.0,002938.SZ,002938,鹏鼎控股,元器件,36.91
9,312.0,000011.SZ,000011,深物业A,区域地产,36.85
1031,313.0,002571.SZ,002571,德力股份,玻璃,36.84
781,314.0,002320.SZ,002320,海峡股份,水运,36.79
321,315.0,000803.SZ,000803,金宇车城,纺织,36.78
1283,316.0,002833.SZ,002833,弘亚数控,专用机械,36.68
419,317.0,000951.SZ,000951,中国重汽,汽车整车,36.59
462,318.0,001979.SZ,001979,招商蛇口,全国地产,36.35
3010,319.0,601216.SH,601216,君正集团,化工原料,36.33
1915,320.0,300529.SZ,300529,健帆生物,医疗保健,36.19
1512,321.0,300122.SZ,300122,智飞生物,生物制药,36.09
2719,322.0,600702.SH,600702,舍得酒业,白酒,36.07
3326,323.0,603367.SH,603367,辰欣药业,化学制药,36.04
1139,324.0,002679.SZ,002679,福建金森,林业,35.96
2447,325.0,600368.SH,600368,五洲交通,路桥,35.93
719,326.0,002258.SZ,002258,利尔化学,农药化肥,35.87
3511,327.0,603829.SH,603829,洛凯股份,电气设备,35.84
267,328.0,000721.SZ,000721,西安饮食,酒店餐饮,35.82
1077,329.0,002617.SZ,002617,露笑科技,电气设备,35.74
592,330.0,002130.SZ,002130,沃尔核材,电气设备,35.66
2853,331.0,600848.SH,600848,上海临港,园区开发,35.64
2469,332.0,600392.SH,600392,盛和资源,小金属,35.6
2778,333.0,600764.SH,600764,中国海防,通信设备,35.57
3148,334.0,603012.SH,603012,创力集团,专用机械,35.52
496,335.0,002034.SZ,002034,旺能环境,环境保护,35.49
2818,336.0,600809.SH,600809,山西汾酒,白酒,35.43
651,337.0,002189.SZ,002189,利达光电,元器件,35.39
1176,338.0,002718.SZ,002718,友邦吊顶,家居用品,35.32
2701,339.0,600683.SH,600683,京投发展,区域地产,35.3
2644,340.0,600616.SH,600616,金枫酒业,红黄药酒,35.27
2523,341.0,600479.SH,600479,千金药业,中成药,35.21
1800,342.0,300413.SZ,300413,芒果超媒,影视音像,35.18
72,343.0,000338.SZ,000338,潍柴动力,汽车配件,35.15
378,344.0,000895.SZ,000895,双汇发展,食品,35.12
3172,345.0,603039.SH,603039,泛微网络,软件服务,35.06
117,346.0,000523.SZ,000523,广州浪奇,日用化工,35.01
121,347.0,000528.SZ,000528,柳工,工程机械,34.96
174,348.0,000596.SZ,000596,古井贡酒,白酒,34.86
2248,349.0,600133.SH,600133,东湖高新,园区开发,34.84
312,350.0,000793.SZ,000793,华闻传媒,出版业,34.8
1,351.0,000002.SZ,000002,万科A,全国地产,34.8
2556,352.0,600517.SH,600517,置信电气,电气设备,34.7
3000,353.0,601177.SH,601177,杭齿前进,机械基件,34.66
317,354.0,000799.SZ,000799,酒鬼酒,白酒,34.63
294,355.0,000762.SZ,000762,西藏矿业,小金属,34.58
1830,356.0,300443.SZ,300443,金雷股份,专用机械,34.56
2221,357.0,600105.SH,600105,永鼎股份,通信设备,34.53
1956,358.0,300572.SZ,300572,安车检测,电器仪表,34.47
1911,359.0,300525.SZ,300525,博思软件,软件服务,34.44
954,360.0,002493.SZ,002493,荣盛石化,化纤,34.4
3142,361.0,603006.SH,603006,联明股份,汽车配件,34.35
3030,362.0,601336.SH,601336,新华保险,保险,34.31
165,363.0,000585.SZ,000585,*ST东电,电气设备,34.26
783,364.0,002322.SZ,002322,理工环科,软件服务,34.22
95,365.0,000428.SZ,000428,华天酒店,酒店餐饮,34.11
2505,366.0,600452.SH,600452,涪陵电力,水力发电,34.1
1133,367.0,002673.SZ,002673,西部证券,证券,34.08
3174,368.0,603041.SH,603041,美思德,化工原料,34.06
234,369.0,000680.SZ,000680,山推股份,工程机械,33.72
2194,370.0,600075.SH,600075,新疆天业,化工原料,33.71
429,371.0,000963.SZ,000963,华东医药,化学制药,33.67
3533,372.0,603882.SH,603882,金域医学,医疗保健,33.65
2522,373.0,600478.SH,600478,科力远,元器件,33.43
2796,374.0,600783.SH,600783,鲁信创投,矿物制品,33.38
2573,375.0,600536.SH,600536,中国软件,软件服务,33.33
2529,376.0,600486.SH,600486,扬农化工,农药化肥,33.31
3104,377.0,601882.SH,601882,海天精工,机床制造,33.23
2062,378.0,300682.SZ,300682,朗新科技,软件服务,33.18
3259,379.0,603222.SH,603222,济民制药,化学制药,33.14
868,380.0,002407.SZ,002407,多氟多,化工原料,33.1
472,381.0,002010.SZ,002010,传化智联,仓储物流,32.96
2831,382.0,600823.SH,600823,世茂股份,全国地产,32.96
469,383.0,002007.SZ,002007,华兰生物,生物制药,32.87
424,384.0,000958.SZ,000958,东方能源,火力发电,32.82
3263,385.0,603227.SH,603227,雪峰科技,化工原料,32.75
1003,386.0,002543.SZ,002543,万和电气,家用电器,32.74
1838,387.0,300451.SZ,300451,创业慧康,软件服务,32.69
2374,388.0,600281.SH,600281,太化股份,化工原料,32.63
1582,389.0,300193.SZ,300193,佳士科技,专用机械,32.52
2222,390.0,600106.SH,600106,重庆路桥,路桥,32.5
2250,391.0,600136.SH,600136,当代明诚,影视音像,32.48
2636,392.0,600608.SH,600608,ST沪科,钢加工,32.36
181,393.0,000605.SZ,000605,渤海股份,水务,32.31
2038,394.0,300658.SZ,300658,延江股份,纺织,32.29
1481,395.0,300091.SZ,300091,金通灵,机械基件,32.28
1926,396.0,300540.SZ,300540,深冷股份,专用机械,32.28
989,397.0,002529.SZ,002529,海源复材,专用机械,32.26
108,398.0,000510.SZ,000510,金路集团,化工原料,32.18
280,399.0,000737.SZ,000737,*ST南风,日用化工,32.11
2313,400.0,600210.SH,600210,紫江企业,广告包装,32.07
381,401.0,000899.SZ,000899,赣能股份,火力发电,31.99
225,402.0,000669.SZ,000669,金鸿控股,供气供热,31.79
2201,403.0,600082.SH,600082,海泰发展,园区开发,31.75
1984,404.0,300602.SZ,300602,飞荣达,元器件,31.73
712,405.0,002250.SZ,002250,联化科技,化工原料,31.7
1509,406.0,300119.SZ,300119,瑞普生物,生物制药,31.7
3346,407.0,603456.SH,603456,九洲药业,化学制药,31.53
1167,408.0,002708.SZ,002708,光洋股份,汽车配件,31.52
589,409.0,002127.SZ,002127,南极电商,互联网,31.47
3542,410.0,603896.SH,603896,寿仙谷,中成药,31.46
3374,411.0,603557.SH,603557,起步股份,服饰,31.21
2939,412.0,600987.SH,600987,航民股份,纺织,31.14
2635,413.0,600606.SH,600606,绿地控股,全国地产,31.06
1774,414.0,300387.SZ,300387,富邦股份,化工原料,31.03
611,415.0,002149.SZ,002149,西部材料,小金属,30.99
2232,416.0,600116.SH,600116,三峡水利,水力发电,30.94
2234,417.0,600118.SH,600118,中国卫星,航空,30.88
700,418.0,002238.SZ,002238,天威视讯,影视音像,30.79
663,419.0,002201.SZ,002201,九鼎新材,玻璃,30.77
2293,420.0,600187.SH,600187,国中水务,水务,30.73
3411,421.0,603619.SH,603619,中曼石油,石油开采,30.62
282,422.0,000739.SZ,000739,普洛药业,化学制药,30.6
1969,423.0,300586.SZ,300586,美联新材,化工原料,30.59
2694,424.0,600676.SH,600676,交运股份,公共交通,30.45
2762,425.0,600746.SH,600746,江苏索普,化工原料,30.42
440,426.0,000976.SZ,000976,华铁股份,运输设备,30.41
560,427.0,002098.SZ,002098,浔兴股份,服饰,30.39
3408,428.0,603616.SH,603616,韩建河山,其他建材,30.38
2825,429.0,600817.SH,600817,ST宏盛,多元金融,30.38
2121,430.0,300746.SZ,300746,汉嘉设计,建筑施工,30.36
338,431.0,000826.SZ,000826,启迪桑德,环境保护,30.18
189,432.0,000613.SZ,000613,大东海A,旅游服务,30.09
1706,433.0,300317.SZ,300317,珈伟新能,半导体,30.0
1054,434.0,002594.SZ,002594,比亚迪,汽车整车,29.86
2439,435.0,600359.SH,600359,新农开发,农业综合,29.8
2082,436.0,300702.SZ,300702,天宇股份,化学制药,29.67
418,437.0,000950.SZ,000950,重药控股,农药化肥,29.66
359,438.0,000863.SZ,000863,三湘印象,区域地产,29.66
2398,439.0,600309.SH,600309,万华化学,化工原料,29.6
585,440.0,002123.SZ,002123,梦网集团,互联网,29.45
1370,441.0,002928.SZ,002928,华夏航空,空运,29.43
779,442.0,002318.SZ,002318,久立特材,特种钢,29.34
3418,443.0,603637.SH,603637,镇海股份,建筑施工,29.29
7,444.0,000009.SZ,000009,中国宝安,综合类,29.27
519,445.0,002057.SZ,002057,中钢天源,元器件,29.26
2359,446.0,600262.SH,600262,北方股份,汽车整车,29.2
770,447.0,002309.SZ,002309,中利集团,电气设备,29.17
3052,448.0,601595.SH,601595,上海电影,影视音像,29.15
