,ts_code,symbol,name,industry,COL_CHG,COL_PROBABILITY,COL_SEPARATION_DEGREE,COL_CIRC_MV
177,002108.SZ,002108,沧州明珠,塑料,26.65,2.34,-0.54,92.31
178,603038.SH,603038,华立股份,装修装饰,16.4,1.1,-0.55,25.23
179,601238.SH,601238,广汽集团,汽车整车,16.63,1.51,-0.55,1068.58
180,603800.SH,603800,道森股份,专用机械,20.61,1.38,-0.55,22.88
181,002232.SZ,002232,启明信息,软件服务,9.41,1.42,-0.56,50.82
182,002529.SZ,002529,海源复材,专用机械,44.95,3.32,-0.56,28.34
183,600193.SH,600193,创兴资源,装修装饰,15.58,1.83,-0.56,41.35
184,300218.SZ,300218,安利股份,塑料,41.35,5.33,-0.57,45.25
185,603055.SH,603055,台华新材,纺织,19.3,1.68,-0.57,58.38
186,002442.SZ,002442,龙星化工,化工原料,28.62,2.28,-0.57,36.15
187,600884.SH,600884,杉杉股份,综合类,29.51,2.66,-0.57,447.21
188,002627.SZ,002627,宜昌交运,公共交通,12.56,1.52,-0.57,36.77
189,603613.SH,603613,国联股份,互联网,16.24,1.51,-0.57,244.79
190,002049.SZ,002049,紫光国微,元器件,16.51,1.56,-0.57,1038.75
191,002466.SZ,002466,天齐锂业,小金属,11.53,1.02,-0.58,1018.52
192,600309.SH,600309,万华化学,化工原料,15.34,1.39,-0.58,1707.08
193,002185.SZ,002185,华天科技,半导体,9.2,1.53,-0.58,438.82
194,002274.SZ,002274,华昌化工,农药化肥,19.53,2.06,-0.58,105.06
195,603505.SH,603505,金石资源,矿物制品,15.83,1.08,-0.59,69.5
196,603733.SH,603733,仙鹤股份,造纸,20.77,2.28,-0.59,287.33
197,601100.SH,601100,恒立液压,工程机械,5.93,1.59,-0.6,1127.05
198,300718.SZ,300718,长盛轴承,机械基件,11.19,1.96,-0.6,26.69
199,002886.SZ,002886,沃特股份,塑料,11.91,1.1,-0.6,28.31
200,002208.SZ,002208,合肥城建,区域地产,8.95,1.03,-0.6,50.78
201,002409.SZ,002409,雅克科技,化工原料,20.86,1.91,-0.61,272.91
202,300458.SZ,300458,全志科技,元器件,14.41,1.6,-0.61,231.03
203,600161.SH,600161,天坛生物,生物制药,9.28,1.34,-0.61,469.54
204,600711.SH,600711,盛屯矿业,小金属,13.6,1.17,-0.61,193.82
205,300138.SZ,300138,晨光生物,食品,10.3,1.03,-0.61,67.28
206,002472.SZ,002472,双环传动,机械基件,26.57,3.18,-0.63,111.78
207,002518.SZ,002518,科士达,电气设备,15.11,1.25,-0.63,89.16
208,600481.SH,600481,双良节能,环境保护,12.2,1.01,-0.63,112.28
209,002957.SZ,002957,科瑞技术,专用机械,20.0,1.82,-0.63,44.41
210,603518.SH,603518,锦泓集团,服饰,27.09,2.14,-0.64,71.83
211,600582.SH,600582,天地科技,工程机械,25.64,1.65,-0.64,202.79
212,300037.SZ,300037,新宙邦,化工原料,28.72,2.68,-0.65,346.59
213,000829.SZ,000829,天音控股,其他商业,9.51,1.26,-0.65,88.45
214,603568.SH,603568,伟明环保,环境保护,16.0,1.48,-0.65,316.02
215,601233.SH,601233,桐昆股份,化纤,3.78,1.38,-0.66,550.84
216,603678.SH,603678,火炬电子,元器件,21.23,1.76,-0.66,352.58
217,000683.SZ,000683,远兴能源,化工原料,24.83,2.48,-0.66,187.38
218,000938.SZ,000938,紫光股份,软件服务,12.83,1.13,-0.66,669.26
219,300680.SZ,300680,隆盛科技,汽车配件,15.4,1.01,-0.67,39.96
220,003026.SZ,003026,中晶科技,半导体,8.03,1.04,-0.67,24.21
221,002340.SZ,002340,格林美,小金属,14.55,1.16,-0.67,494.77
222,300275.SZ,300275,梅安森,软件服务,22.19,1.86,-0.68,13.94
223,002091.SZ,002091,江苏国泰,商贸代理,26.03,2.33,-0.68,156.84
224,300506.SZ,300506,名家汇,建筑工程,30.22,2.95,-0.68,34.73
225,300332.SZ,300332,天壕环境,环境保护,11.82,1.05,-0.68,48.51
226,002036.SZ,002036,联创电子,元器件,12.56,1.38,-0.68,150.96
227,300464.SZ,300464,星徽股份,机械基件,21.37,1.49,-0.68,39.75
228,300637.SZ,300637,扬帆新材,化工原料,11.67,1.02,-0.69,23.54
229,601677.SH,601677,明泰铝业,铝,15.75,1.18,-0.69,149.29
230,300014.SZ,300014,亿纬锂能,电气设备,21.75,1.53,-0.69,2165.66
231,300068.SZ,300068,南都电源,电气设备,19.88,1.45,-0.7,100.64
232,300616.SZ,300616,尚品宅配,家居用品,3.38,1.39,-0.7,108.59
233,003016.SZ,003016,欣贺股份,服饰,20.76,2.12,-0.7,18.52
234,600340.SH,600340,华夏幸福,区域地产,13.44,1.07,-0.7,223.48
235,603076.SH,603076,乐惠国际,专用机械,9.86,1.16,-0.71,52.62
236,600851.SH,600851,海欣股份,化学制药,11.96,1.03,-0.71,71.16
237,000017.SZ,000017,深中华A,文教休闲,17.46,1.16,-0.71,12.03
238,002418.SZ,002418,康盛股份,机械基件,35.04,4.32,-0.72,42.02
239,002349.SZ,002349,精华制药,中成药,13.57,1.34,-0.72,41.68
240,002245.SZ,002245,蔚蓝锂芯,仓储物流,18.78,1.72,-0.72,216.37
241,300655.SZ,300655,晶瑞股份,化工原料,28.93,2.79,-0.72,107.07
242,300181.SZ,300181,佐力药业,中成药,15.91,1.57,-0.72,40.21
243,300748.SZ,300748,金力永磁,元器件,33.16,3.19,-0.72,150.24
244,300382.SZ,300382,斯莱克,专用机械,19.23,1.85,-0.72,92.02
245,002145.SZ,002145,中核钛白,化工原料,15.21,1.28,-0.73,226.56
246,002158.SZ,002158,汉钟精机,工程机械,11.75,1.04,-0.73,145.9
247,002538.SZ,002538,司尔特,农药化肥,16.57,1.52,-0.73,53.69
248,600328.SH,600328,中盐化工,化工原料,9.27,1.55,-0.74,79.8
249,002713.SZ,002713,东易日盛,装修装饰,12.12,1.06,-0.76,27.87
250,002261.SZ,002261,拓维信息,互联网,16.92,1.33,-0.77,92.58
251,300205.SZ,300205,天喻信息,元器件,21.44,2.26,-0.77,58.15
252,002506.SZ,002506,协鑫集成,电气设备,28.31,2.04,-0.77,211.63
253,002805.SZ,002805,丰元股份,化工原料,21.83,2.08,-0.77,25.06
254,002875.SZ,002875,安奈儿,服饰,11.12,1.2,-0.77,9.35
255,300543.SZ,300543,朗科智能,电气设备,18.57,1.99,-0.78,34.15
256,600230.SH,600230,沧州大化,农药化肥,10.83,1.27,-0.79,53.95
257,300207.SZ,300207,欣旺达,元器件,26.95,2.22,-0.79,548.46
258,600259.SH,600259,广晟有色,小金属,16.36,1.08,-0.79,115.5
259,603659.SH,603659,璞泰来,化工原料,36.51,3.04,-0.8,1187.19
260,002534.SZ,002534,杭锅股份,专用机械,14.0,1.32,-0.81,108.02
261,002371.SZ,002371,北方华创,半导体,24.81,2.54,-0.82,1513.84
262,002386.SZ,002386,天原股份,化工原料,5.04,1.28,-0.82,81.34
263,300189.SZ,300189,神农科技,种植业,15.42,1.22,-0.82,50.46
264,300053.SZ,300053,欧比特,半导体,20.54,1.44,-0.83,67.15
265,300040.SZ,300040,九洲集团,电气设备,27.54,1.73,-0.83,32.31
266,605098.SH,605098,行动教育,文教休闲,17.7,1.52,-0.83,12.41
267,000989.SZ,000989,九芝堂,中成药,16.98,1.69,-0.83,59.31
268,300650.SZ,300650,太龙照明,电气设备,18.49,1.62,-0.83,13.41
269,000155.SZ,000155,川能动力,新型电力,15.16,1.52,-0.84,192.91
270,600152.SH,600152,维科技术,电气设备,11.33,1.07,-0.84,34.11
271,300514.SZ,300514,友讯达,通信设备,10.91,1.07,-0.85,16.16
272,300508.SZ,300508,维宏股份,软件服务,21.23,1.85,-0.85,12.45
273,300896.SZ,300896,爱美客,医疗保健,0.99,1.06,-0.85,375.28
274,603806.SH,603806,福斯特,塑料,16.74,1.45,-0.85,1074.19
275,000422.SZ,000422,湖北宜化,农药化肥,10.06,1.57,-0.85,76.58
276,002765.SZ,002765,蓝黛科技,汽车配件,14.09,1.61,-0.86,33.19
277,300672.SZ,300672,国科微,半导体,17.34,3.27,-0.86,204.92
278,600771.SH,600771,广誉远,中成药,25.99,2.39,-0.86,187.45
279,002411.SZ,002411,延安必康,化学制药,15.09,1.41,-0.87,91.17
280,002223.SZ,002223,鱼跃医疗,医疗保健,11.92,1.13,-0.87,345.14
281,002201.SZ,002201,九鼎新材,玻璃,18.01,1.3,-0.87,84.27
282,300409.SZ,300409,道氏技术,陶瓷,32.22,3.65,-0.87,82.07
283,603229.SH,603229,奥翔药业,化学制药,13.11,1.3,-0.88,89.07
284,603993.SH,603993,洛阳钼业,小金属,24.97,2.13,-0.88,1111.18
285,002436.SZ,002436,兴森科技,元器件,18.83,1.09,-0.89,154.96
286,300457.SZ,300457,赢合科技,专用机械,23.4,1.2,-0.89,100.65
287,300057.SZ,300057,万顺新材,广告包装,15.85,1.87,-0.9,35.23
288,300118.SZ,300118,东方日升,电气设备,20.5,1.65,-0.9,185.65
289,002645.SZ,002645,华宏科技,专用机械,21.88,2.55,-0.9,83.19
290,300890.SZ,300890,翔丰华,矿物制品,32.11,3.04,-0.9,17.05
291,300340.SZ,300340,科恒股份,元器件,34.76,3.05,-0.91,34.0
292,000733.SZ,000733,振华科技,元器件,14.77,1.17,-0.91,337.66
293,301005.SZ,301005,超捷股份,汽车配件,13.71,1.41,-0.92,7.87
294,600338.SH,600338,西藏珠峰,铅锌,17.65,1.56,-0.92,145.63
295,300751.SZ,300751,迈为股份,专用机械,15.35,1.44,-0.92,233.7
296,300305.SZ,300305,裕兴股份,塑料,12.31,1.28,-0.92,37.35
297,600439.SH,600439,瑞贝卡,服饰,10.53,1.08,-0.92,38.03
298,600375.SH,600375,汉马科技,汽车整车,9.28,1.56,-0.93,68.08
299,600470.SH,600470,六国化工,农药化肥,13.72,1.12,-0.93,26.81
300,300447.SZ,300447,全信股份,电气设备,25.96,1.93,-0.93,33.16
301,002962.SZ,002962,五方光电,元器件,10.37,1.03,-0.93,23.21
302,300099.SZ,300099,精准信息,电器仪表,14.76,1.31,-0.93,43.83
303,600715.SH,600715,文投控股,影视音像,25.94,1.96,-0.93,68.44
304,002154.SZ,002154,报喜鸟,服饰,13.14,1.6,-0.95,73.59
305,000893.SZ,000893,亚钾国际,农药化肥,8.14,1.37,-0.95,72.84
306,300591.SZ,300591,万里马,服饰,36.44,3.47,-0.95,19.27
307,002756.SZ,002756,永兴材料,特种钢,25.29,1.7,-0.95,196.98
308,600172.SH,600172,黄河旋风,矿物制品,34.92,3.17,-0.95,97.45
309,300537.SZ,300537,广信材料,染料涂料,17.76,1.18,-0.96,24.69
310,600422.SH,600422,昆药集团,中成药,11.96,1.29,-0.96,74.97
311,300477.SZ,300477,合纵科技,电气设备,20.12,1.5,-0.97,46.43
312,300095.SZ,300095,华伍股份,机械基件,23.41,1.95,-0.97,31.74
313,603185.SH,603185,上机数控,电气设备,18.38,1.58,-0.97,154.96
314,603906.SH,603906,龙蟠科技,化工原料,7.97,1.4,-0.98,171.77
315,600980.SH,600980,北矿科技,元器件,15.63,1.01,-0.98,25.22
316,600392.SH,600392,盛和资源,小金属,25.69,2.03,-0.99,370.16
317,600769.SH,600769,祥龙电业,建筑工程,20.04,1.96,-0.99,23.59
318,603303.SH,603303,得邦照明,家用电器,10.42,1.3,-1.01,81.84
319,601566.SH,601566,九牧王,服饰,17.99,1.63,-1.01,96.48
320,300126.SZ,300126,锐奇股份,轻工机械,12.29,1.1,-1.03,16.56
321,300077.SZ,300077,国民技术,半导体,26.81,2.61,-1.04,98.22
322,300019.SZ,300019,硅宝科技,化工原料,8.96,1.05,-1.04,48.59
323,601865.SH,601865,福莱特,玻璃,14.27,1.27,-1.05,194.44
324,300631.SZ,300631,久吾高科,环境保护,95.67,7.05,-1.05,46.1
325,300410.SZ,300410,正业科技,电器仪表,21.46,1.72,-1.06,39.39
326,601919.SH,601919,中远海控,水运,7.18,1.59,-1.06,2703.88
327,603001.SH,603001,奥康国际,服饰,18.6,1.73,-1.06,40.9
328,300723.SZ,300723,一品红,化学制药,12.1,1.37,-1.07,39.08
329,600779.SH,600779,水井坊,白酒,15.46,1.8,-1.08,704.48
330,300475.SZ,300475,聚隆科技,专用机械,4.18,1.74,-1.08,75.98
331,300169.SZ,300169,天晟新材,塑料,21.16,1.71,-1.08,23.07
332,300986.SZ,300986,志特新材,铝,14.53,1.07,-1.08,12.43
333,300769.SZ,300769,德方纳米,化工原料,13.89,1.09,-1.08,122.2
334,300448.SZ,300448,浩云科技,软件服务,10.55,1.06,-1.08,38.53
335,300790.SZ,300790,宇瞳光学,电器仪表,26.36,2.24,-1.09,45.04
336,000803.SZ,000803,北清环能,环境保护,19.94,1.17,-1.09,22.12
337,600976.SH,600976,健民集团,中成药,5.63,1.63,-1.1,77.98
338,300182.SZ,300182,捷成股份,影视音像,11.58,1.33,-1.1,104.21
339,002662.SZ,002662,京威股份,汽车配件,9.44,1.4,-1.1,55.65
340,603628.SH,603628,清源股份,电气设备,8.22,1.55,-1.1,27.41
341,002416.SZ,002416,爱施德,电器连锁,15.02,1.34,-1.1,137.68
342,300460.SZ,300460,惠伦晶体,元器件,24.67,2.25,-1.11,62.74
343,002136.SZ,002136,安纳达,化工原料,21.42,2.03,-1.11,34.86
344,601828.SH,601828,美凯龙,其他商业,14.52,1.41,-1.12,396.73
345,603267.SH,603267,鸿远电子,元器件,15.75,1.51,-1.13,207.44
346,300491.SZ,300491,通合科技,电气设备,25.98,2.04,-1.13,21.07
347,300576.SZ,300576,容大感光,染料涂料,11.48,1.23,-1.14,40.21
348,300582.SZ,300582,英飞特,半导体,34.81,2.96,-1.14,55.11
349,600428.SH,600428,中远海特,水运,23.33,2.42,-1.15,135.02
350,300763.SZ,300763,锦浪科技,电气设备,27.84,2.7,-1.16,211.07
351,002920.SZ,002920,德赛西威,汽车配件,15.53,1.13,-1.16,660.59
352,300438.SZ,300438,鹏辉能源,电气设备,16.28,1.16,-1.16,78.62
