,ts_code,symbol,name,industry,COL_LASTPRICE,COL_PCT_CHG,COL_RECENT_LIMIT_COUNT,COL_CIRC_MV,COL_FLOAT_HOLDERS,COL_HOLDERS_COUNT
32,300464.SZ,300464,星徽精密,机械基件,25.86,9.9957,2.0,66.67,"深圳市前海九派明家移动互联网产业基金合伙企业(有限合伙)
深圳狄道投资基金管理有限公司-狄道三号私募证券投资基金
深圳宝丰股权投资基金管理有限公司-深圳宝丰一号股权投资基金合伙企业(有限合伙)",3.0
33,002459.SZ,002459,晶澳科技,电气设备,22.92,9.9808,2.0,88.7,"基本养老保险基金一五零二一组合
国泰基金管理有限公司-社保基金四二一组合
香港中央结算有限公司(陆股通)
广发基金管理有限公司-社保基金四二零组合
全国社保基金五零三组合
广州农村商业银行股份有限公司-金鹰信息产业股票型证券投资基金",6.0
34,002084.SZ,002084,海鸥住工,家居用品,14.19,10.0,2.0,76.66,"泰达宏利基金-民生银行-天津信托-天津信托·优选定增3号集合资金信托计划
中国光大银行股份有限公司-兴全商业模式优选混合型证券投资基金(LOF)
金元顺安基金-民生银行-天津信托-天津信托·美克优选定增10号集合资金信托计划
上海齐泓股权投资基金合伙企业(有限合伙)
上海高毅资产管理合伙企业(有限合伙)-高毅邻山1号远望基金",5.0
35,300254.SZ,300254,仟源医药,化学制药,9.1,10.0363,2.0,14.67,中央汇金资产管理有限责任公司,1.0
36,300116.SZ,300116,坚瑞沃能,电气设备,2.09,10.0,2.0,78.95,"兴业财富资产-兴业银行-兴业财富-兴利190号特定多客户资产管理计划
上海国泰君安君彤投资管理有限公司-君彤二期投资基金",2.0
37,002066.SZ,002066,瑞泰科技,其他建材,12.23,9.982,1.0,28.25,中央汇金资产管理有限责任公司,1.0
38,600983.SH,600983,惠而浦,家用电器,6.33,10.087,1.0,33.73,"浙江耀康资产管理有限公司-耀康必升1号私募证券投资基金
中央汇金资产管理有限责任公司",2.0
39,002430.SZ,002430,杭氧股份,化工机械,19.56,10.0112,1.0,188.51,"全国社保基金一一四组合
中央汇金资产管理有限责任公司
中国农业银行股份有限公司-博时裕隆灵活配置混合型证券投资基金
中国华融资产管理股份有限公司
基本养老保险基金一二零一组合
香港中央结算有限公司(陆股通)
中国工商银行股份有限公司-富国天惠精选成长混合型证券投资基金(LOF)
招商银行股份有限公司-中欧恒利三年定期开放混合型证券投资基金",8.0
40,002141.SZ,002141,贤丰控股,元器件,3.82,10.0865,1.0,24.32,"深圳市前海建泓时代资产管理有限公司-建泓盈富二号投资基金
中国对外经济贸易信托有限公司-外贸信托-广荣2号结构化证券投资集合资金信托计划",2.0
41,300642.SZ,300642,透景生命,医疗保健,56.52,10.0039,1.0,41.84,"中国银行股份有限公司-国投瑞银医疗保健行业灵活配置混合型证券投资基金
中国国际金融香港资产管理有限公司-客户资金",2.0
42,600962.SH,600962,国投中鲁,软饮料,10.89,10.0,1.0,27.66,"中国工商银行股份有限公司-南方大数据100指数证券投资基金
西藏神州牧基金管理有限公司-天路二号证券投资私募基金",2.0
43,605008.SH,605008,N长鸿,塑料,15.18,44.0228,1.0,6.98,,0.0
44,605178.SH,605178,N时空,装修装饰,92.61,44.0056,1.0,16.42,,0.0
45,002026.SZ,002026,山东威达,机械基件,9.85,10.0559,1.0,41.38,中央汇金资产管理有限责任公司,1.0
46,000959.SZ,000959,首钢股份,普钢,4.81,10.0686,1.0,243.25,"北京纳木纳尼资产管理有限公司
香港中央结算有限公司(陆股通)",2.0
47,000913.SZ,000913,钱江摩托,摩托车,19.27,9.9886,1.0,87.4,"华融国际信托有限责任公司-华融.汇盈32号证券投资单一资金信托
宝城期货-宝城精选三号结构化资产管理计划
广发期货有限公司-广发期慧1期资产管理计划",3.0
48,002507.SZ,002507,涪陵榨菜,食品,45.56,9.9952,1.0,354.36,"中国农业银行股份有限公司-中证500交易型开放式指数证券投资基金
中央汇金资产管理有限责任公司
中国建设银行股份有限公司-交银施罗德内核驱动混合型证券投资基金
基本养老保险基金一二零六组合
全国社保基金一一七组合
中信银行股份有限公司-交银施罗德新生活力灵活配置混合型证券投资基金
香港中央结算有限公司(陆股通)
招商银行股份有限公司-鹏华价值成长混合型证券投资基金
上海浦东发展银行股份有限公司-广发小盘成长混合型证券投资基金(LOF)",9.0
49,002582.SZ,002582,好想你,食品,16.83,10.0,1.0,69.38,"北京中文安赐股权投资基金管理中心(有限合伙)
全国社保基金五零四组合
全国社保基金六零三组合
全国社保基金一零五组合
上海高毅资产管理合伙企业(有限合伙)-高毅邻山1号远望基金",5.0
50,600823.SH,600823,世茂股份,全国地产,5.05,10.0218,1.0,189.43,"工银瑞信基金-农业银行-工银瑞信中证金融资产管理计划
中国农业银行股份有限公司-中证500交易型开放式指数证券投资基金
中央汇金资产管理有限责任公司
博时基金-农业银行-博时中证金融资产管理计划
易方达基金-农业银行-易方达中证金融资产管理计划
大成基金-农业银行-大成中证金融资产管理计划
银华基金-农业银行-银华中证金融资产管理计划
广发基金-农业银行-广发中证金融资产管理计划
香港中央结算有限公司(陆股通)
中欧基金-农业银行-中欧中证金融资产管理计划
南方基金-农业银行-南方中证金融资产管理计划
嘉实基金-农业银行-嘉实中证金融资产管理计划
华夏基金-农业银行-华夏中证金融资产管理计划",13.0
51,300592.SZ,300592,华凯创意,软件服务,23.51,10.014,1.0,22.37,湖南文化旅游创业投资基金企业(有限合伙),1.0
52,600556.SH,600556,天下秀,互联网,23.57,9.986,1.0,82.2,"中国银行股份有限公司-海富通股票混合型证券投资基金
中国光大银行股份有限公司-兴全商业模式优选混合型证券投资基金(LOF)
中国农业银行股份有限公司-上投摩根新兴动力混合型证券投资基金
鹏华基金-民生银行-鹏华基金-汇利1号资产管理计划
中国建设银行股份有限公司-南方现代教育股票型证券投资基金
招商银行股份有限公司-鹏华新兴产业混合型证券投资基金
建信基金-建设银行-中国人寿-中国人寿委托建信基金股票型组合
中国建设银行-上投摩根中国优势证券投资基金",8.0
53,002852.SZ,002852,道道全,食品,23.38,10.0235,1.0,48.24,,0.0
54,600419.SH,600419,天润乳业,乳制品,16.82,10.0065,1.0,45.18,"招商银行股份有限公司-光大保德信优势配置混合型证券投资基金
全国社保基金六零四组合
中国工商银行股份有限公司-泰康策略优选灵活配置混合型证券投资基金
全国社保基金四零四组合
中国工商银行-华安中小盘成长混合型证券投资基金
广东潮金投资基金管理有限公司-潮金产融1号
十二师国资公司-中信建投-20国资EB担保及信托财产专户",7.0
55,600366.SH,600366,宁波韵升,电器仪表,6.7,10.0164,1.0,66.27,"招商证券股份有限公司-平安中证新能源汽车产业交易型开放式指数证券投资基金
香港中央结算有限公司(陆股通)",2.0
56,300065.SZ,300065,海兰信,软件服务,15.84,10.0,1.0,52.43,"中国工商银行-浦银安盛价值成长混合型证券投资基金
交通银行股份有限公司-浦银安盛增长动力灵活配置混合型证券投资基金
杭州东方嘉富资产管理有限公司-杭州宣富投资管理合伙企业(有限合伙)",3.0
57,300185.SZ,300185,通裕重工,工程机械,2.77,9.9206,1.0,83.17,中央汇金资产管理有限责任公司,1.0
58,300245.SZ,300245,天玑科技,软件服务,11.41,10.0289,1.0,35.14,新华基金-浦发银行-粤财信托-粤财信托·弘盛6号单一资金信托计划,1.0
59,300801.SZ,300801,泰和科技,化工原料,27.56,10.02,1.0,14.88,"深圳齐兴资产管理有限公司-齐兴汇盈全兴债券私募投资基金
深圳齐兴资产管理有限公司
深圳齐兴资产管理有限公司-齐兴汇泽长盈债券投资私募基金",3.0
60,300789.SZ,300789,唐源电气,软件服务,63.71,9.9965,1.0,7.33,,0.0
61,300449.SZ,300449,汉邦高科,IT设备,14.65,9.985,1.0,35.28,"泰达宏利基金-平安银行-泰达宏利中兵投资2号定增
北京青旅中兵资产管理有限公司-青旅中兵军工精选私募投资基金",2.0
62,300459.SZ,300459,金科文化,互联网,3.32,9.9338,1.0,75.36,"中国工商银行股份有限公司-汇添富移动互联股票型证券投资基金
中国建设银行股份有限公司-华宝事件驱动混合型证券投资基金
中国工商银行股份有限公司-易方达创业板交易型开放式指数证券投资基金",3.0
63,300551.SZ,300551,古鳌科技,IT设备,30.69,10.0,1.0,44.22,"深圳德威资本投资管理有限公司——德威资本优盛私募基金
中国工商银行股份有限公司-金鹰核心资源混合型证券投资基金
中国工商银行股份有限公司——金鹰核心资源混合型证券投资基金
深圳德威资本投资管理有限公司-德威资本优盛私募基金",4.0
64,000722.SZ,000722,湖南发展,水力发电,8.33,10.0396,1.0,38.66,"湖南发展资产管理集团有限公司
苏州市芝麻财富投资管理有限公司-芝麻财富3号私募证券投资基金",2.0
