,ts_code,symbol,name,industry,COL_IS_MEDICAL,COL_LASTPRICE,COL_DAILY_PIT,COL_FLOAT_HOLDERS
17,300404.SZ,300404,博济医药,医疗保健,True,15.32,True,富兴投资基金(广州)有限公司-富兴璀璨6号私募证券投资基金
18,300009.SZ,300009,安科生物,生物制药,True,16.48,True,"中国工商银行股份有限公司-博时精选混合型证券投资基金
上海固信资产管理有限公司-长三角(上海)产业创新股权投资基金合伙企业(有限合伙)
香港中央结算有限公司(陆股通)
中信银行股份有限公司-九泰锐益定增灵活配置混合型证券投资基金
招商银行股份有限公司-兴全合宜灵活配置混合型证券投资基金(LOF)"
19,600389.SH,600389,江山股份,农药化肥,True,18.79,True,中央汇金资产管理有限责任公司
20,603351.SH,603351,威尔药业,化学制药,True,23.43,True,"江苏人才创新创业投资二期基金(有限合伙)
招商银行股份有限公司-国泰聚优价值灵活配置混合型证券投资基金
中国工商银行股份有限公司-国泰鑫睿混合型证券投资基金"
21,002950.SZ,002950,奥美医疗,医疗保健,True,25.18,True,"长江经济带(湖北)产业并购基金合伙企业(有限合伙)
宁波星邻星投资管理有限公司-常州五星钛信绿色股权投资基金合伙企业(有限合伙)"
22,300003.SZ,300003,乐普医疗,医疗保健,True,36.66,True,"中国工商银行股份有限公司-易方达创业板交易型开放式指数证券投资基金
招商银行股份有限公司-汇添富医疗服务灵活配置混合型证券投资基金
鼎晖投资咨询新加坡有限公司-鼎晖稳健成长A股基金
全国社保基金一零四组合
中国工商银行股份有限公司-汇添富民营活力混合型证券投资基金
中国建设银行股份有限公司-华安创业板50交易型开放式指数证券投资基金
香港中央结算有限公司(陆股通)
中国银行股份有限公司-工银瑞信医疗保健行业股票型证券投资基金
全国社保基金五零三组合
中国信达资产管理股份有限公司
挪威中央银行-自有资金
中央汇金资产管理有限责任公司
全国社保基金一一七组合
中国工商银行股份有限公司-汇添富价值精选混合型证券投资基金
海通证券资管-工商银行-海通投融宝1号集合资产管理计划"
23,300633.SZ,300633,开立医疗,医疗保健,True,38.49,True,"招商银行股份有限公司-睿远均衡价值三年持有期混合型证券投资基金
中金佳泰(天津)股权投资基金合伙企业(有限合伙)
招商银行股份有限公司-兴全合宜灵活配置混合型证券投资基金(LOF)
香港中央结算有限公司(陆股通)
中国建设银行股份有限公司-华商盛世成长混合型证券投资基金"
24,002932.SZ,002932,明德生物,医疗保健,True,52.44,True,"武汉光谷生物城华岭基金合伙企业(有限合伙)
上海明汯投资管理有限公司-明汯价值成长1期私募投资基金
科华(宜都)科技创业投资基金(有限合伙)"
25,603259.SH,603259,药明康德,化学制药,True,89.18,True,香港中央结算有限公司(陆股通)
26,300482.SZ,300482,万孚生物,医疗保健,True,93.75,True,"广州汇垠天粤股权投资基金管理有限公司
香港中央结算有限公司(陆股通)
北京磐沣投资管理合伙企业(有限合伙)-磐沣价值私募证券投资基金
中国银行股份有限公司-工银瑞信医疗保健行业股票型证券投资基金
招商银行股份有限公司-汇添富医疗服务灵活配置混合型证券投资基金"
27,300601.SZ,300601,康泰生物,生物制药,True,150.77,True,"香港中央结算有限公司(陆股通)
中国工商银行股份有限公司-广发双擎升级混合型证券投资基金
上海浦东发展银行股份有限公司-广发小盘成长混合型证券投资基金(LOF)
中国工商银行股份有限公司-广发创新升级灵活配置混合型证券投资基金
中国建设银行股份有限公司-广发科技先锋混合型证券投资基金
中国建设银行股份有限公司-广发多元新兴股票型证券投资基金"
28,000661.SZ,000661,长春高新,生物制药,True,388.2,True,"招商银行股份有限公司-鹏华价值成长混合型证券投资基金
香港中央结算有限公司(陆股通)
中央汇金资产管理有限责任公司
全国社保基金一一八组合
全国社保基金一零一组合
全国社保基金一零四组合
全国社保基金一一六组合
交通银行-易方达50指数证券投资基金
中国建设银行股份有限公司-广发科技先锋混合型证券投资基金"
