,ts_code,name,industry,average_turnover_rate,continuously_up,average_p_change,accumulate_p_change,pre_accumulate_p_change,circ_mv
2448,600385.SH,山东金泰,黄金,0.32,3.0,0.128,0.383,-4.22,149626.9571
1095,002634.SZ,棒杰股份,服饰,1.559,3.0,1.962,5.974,-3.83,129418.9398
453,000990.SZ,诚志股份,化工原料,0.863,3.0,0.916,2.77,-0.915,560976.9306
2560,600537.SH,亿晶光电,半导体,0.384,3.0,0.222,0.66,-2.572,358789.5767
859,002397.SZ,梦洁股份,纺织,0.377,3.0,0.23,0.667,-2.174,193709.0423
993,002532.SZ,新界泵业,农用机械,0.7,3.0,1.214,3.675,-3.183,202540.1767
3493,603860.SH,中公高科,公路,2.238,3.0,3.839,11.945,-2.586,65261.82
44,000058.SZ,深赛格,元器件,4.633,3.0,2.489,7.505,-6.818,308279.848
80,000408.SZ,藏格控股,农药化肥,0.898,3.0,1.366,4.137,-0.088,528366.6036
3446,603737.SH,三棵树,染料涂料,0.563,3.0,0.938,2.839,-3.647,178547.2927
3508,603886.SH,元祖股份,食品,0.954,3.0,0.703,2.114,-1.018,216600.483
86,000416.SZ,民生控股,多元金融,1.19,3.0,0.523,1.549,-5.042,244023.264
2879,600891.SH,秋林集团,百货,0.705,3.0,0.729,2.167,-0.662,235425.7463
2752,600750.SH,江中药业,中成药,0.375,3.0,0.18,0.538,-1.356,706440.0
59,000096.SZ,广聚能源,石油贸易,0.105,3.0,0.96,2.891,-1.164,490924.928
2252,600158.SH,中体产业,文教休闲,1.058,3.0,0.281,0.828,-2.199,560186.074
52,000068.SZ,华控赛格,元器件,2.32,3.0,2.02,6.177,-16.049,363408.3985
793,002331.SZ,皖通科技,软件服务,1.778,3.0,1.258,3.624,-1.12,277476.7338
2320,600234.SH,ST山水,文教休闲,0.294,3.0,1.898,5.722,-0.774,164588.5004
903,002441.SZ,众业达,批发业,1.381,3.0,0.051,0.135,-7.125,292225.6438
2709,600706.SH,曲江文旅,旅游服务,0.67,3.0,-0.206,-0.626,-2.526,197834.4466
1347,002901.SZ,大博医疗,医疗保健,3.024,3.0,0.866,2.601,-8.202,134442.5586
3450,603766.SH,隆鑫通用,摩托车,0.391,3.0,0.634,1.831,-2.018,905199.4868
2141,600025.SH,华能水电,水力发电,1.211,3.0,0.455,1.361,-2.0,536400.0
3393,603638.SH,艾迪精密,专用机械,0.379,3.0,0.245,0.734,-1.089,209904.5891
692,002229.SZ,鸿博股份,广告包装,4.124,3.0,0.657,1.752,-0.291,286956.2403
2655,600645.SH,中源协和,生物制药,1.909,3.0,-0.037,-0.229,-1.636,667767.7849
1327,002880.SZ,卫光生物,生物制药,0.883,3.0,-0.169,-0.506,-3.892,116748.0
694,002231.SZ,奥维通信,通信设备,3.123,3.0,1.285,3.886,1.827,212586.044
2929,600995.SH,文山电力,水力发电,0.233,3.0,0.051,0.146,-2.279,328747.6368
2773,600774.SH,汉商集团,百货,0.564,3.0,0.115,0.34,-3.67,334467.6532
31,000037.SZ,深南电A,火力发电,1.054,3.0,0.473,1.359,1.179,176902.6743
706,002243.SZ,通产丽星,塑料,0.173,3.0,9.994,33.079,-5.882,318600.4386
3544,603966.SH,法兰泰克,机械基件,3.842,3.0,2.803,8.495,3.104,93826.0059
917,002455.SZ,百川股份,化工原料,0.443,3.0,0.065,0.188,-1.301,185536.1348
2578,600560.SH,金自天正,电气设备,1.149,2.0,0.574,1.151,-1.138,176903.5905
2572,600552.SH,凯盛科技,玻璃,1.062,2.0,0.911,1.828,-1.034,297914.7612
2734,600732.SH,ST新梅,区域地产,0.567,2.0,1.625,3.275,0.659,211139.1968
2733,600731.SH,湖南海利,农药化肥,0.381,2.0,0.876,1.747,-2.137,152220.3525
2577,600559.SH,老白干酒,白酒,0.874,2.0,1.773,3.548,-3.359,876996.4661
2732,600730.SH,中国高科,综合类,0.644,2.0,0.311,0.624,-2.037,283941.505
2724,600722.SH,金牛化工,化工原料,0.73,2.0,0.823,1.653,-1.626,334717.2806
2738,600736.SH,苏州高新,园区开发,0.709,2.0,0.817,1.639,-2.487,642421.4421
2646,600636.SH,三爱富,化工原料,0.31,2.0,0.608,1.214,-0.689,521581.2031
2754,600753.SH,东方银星,批发业,0.876,2.0,0.646,1.281,-3.344,202368.0
2571,600551.SH,时代出版,出版业,0.358,2.0,0.66,1.311,-3.452,429951.5016
2744,600742.SH,一汽富维,汽车配件,0.55,2.0,-0.044,-0.09,-3.122,566544.2746
2772,600773.SH,西藏城投,区域地产,0.596,2.0,1.047,2.105,-1.335,495136.0772
2770,600770.SH,综艺股份,综合类,0.597,2.0,0.384,0.768,-1.326,682500.0
2551,600527.SH,江南高纤,化纤,0.458,2.0,0.238,0.476,-2.326,253861.2919
2768,600768.SH,宁波富邦,铝,0.233,2.0,0.754,1.503,-2.157,135485.9136
2767,600767.SH,ST运盛,医疗保健,0.227,2.0,1.281,2.575,-0.851,162955.067
2561,600538.SH,国发股份,医药商业,1.902,2.0,2.176,4.39,-2.844,198763.7072
2762,600761.SH,安徽合力,工程机械,0.513,2.0,0.734,1.459,-3.152,669123.445
2563,600540.SH,新赛股份,种植业,0.752,2.0,0.653,1.306,-0.0,182718.2454
2760,600759.SH,洲际油气,石油开采,0.582,2.0,0.001,-0.0,-1.444,616484.2369
2564,600543.SH,莫高股份,红黄药酒,0.155,2.0,0.0,0.0,-0.423,227031.84
2565,600545.SH,卓郎智能,纺织机械,0.249,2.0,-0.202,-0.403,-0.931,501433.0473
2570,600550.SH,保变电气,电气设备,0.474,2.0,1.125,2.25,-0.99,627654.2904
2758,600757.SH,长江传媒,出版业,0.625,2.0,0.858,1.669,1.385,813043.059
2748,600746.SH,江苏索普,化工原料,0.335,2.0,1.131,2.273,0.0,178226.6353
2745,600743.SH,华远地产,区域地产,0.214,2.0,0.596,1.195,-0.397,595909.622
2579,600561.SH,江西长运,公共交通,0.48,2.0,1.473,2.962,-2.712,140104.824
2711,600708.SH,光明地产,全国地产,0.269,2.0,1.197,2.406,-1.319,852281.3863
2580,600562.SH,国睿科技,通信设备,0.423,2.0,0.993,1.957,-1.639,846344.3595
2662,600653.SH,申华控股,汽车服务,0.355,2.0,0.253,0.505,-1.492,347529.6831
2682,600678.SH,四川金顶,水泥,4.938,2.0,2.241,4.531,-3.438,225447.54
2680,600676.SH,交运股份,公共交通,0.147,2.0,0.108,0.216,-0.645,445426.9901
2672,600665.SH,天地源,全国地产,0.198,2.0,0.279,0.559,-1.377,311084.1076
2671,600664.SH,哈药股份,化学制药,0.292,2.0,0.837,1.681,-4.545,910024.6926
2616,600601.SH,方正科技,电脑设备,0.346,2.0,0.188,0.376,-7.317,586035.9515
2669,600662.SH,强生控股,公共交通,0.335,2.0,0.234,0.469,-1.16,450839.0177
2620,600605.SH,汇通能源,商贸代理,0.474,2.0,0.377,0.755,-1.173,137619.8489
2665,600657.SH,信达地产,全国地产,0.387,2.0,1.218,2.445,-3.31,638665.1252
2661,600652.SH,游久游戏,互联网,0.616,2.0,0.488,0.973,-2.143,345571.9517
2611,600596.SH,新安股份,农药化肥,1.098,2.0,0.337,0.673,-2.14,812984.0057
2659,600650.SH,锦江投资,公共交通,0.199,2.0,0.682,1.367,-0.195,405401.3579
2656,600647.SH,同达创业,综合类,0.429,2.0,1.931,3.9,-1.704,166833.1165
2628,600614.SH,鹏起科技,综合类,1.08,2.0,0.434,0.829,-2.688,544384.398
2629,600615.SH,丰华股份,小金属,0.292,2.0,0.993,1.994,-1.141,182371.0218
2630,600616.SH,金枫酒业,红黄药酒,0.33,2.0,0.599,1.2,-2.344,260397.3112
2632,600618.SH,氯碱化工,化工原料,0.199,2.0,-0.143,-0.292,-0.436,512140.7036
2654,600644.SH,乐山电力,水力发电,0.124,2.0,0.319,0.637,-2.484,255201.9124
2636,600622.SH,光大嘉宝,区域地产,0.934,2.0,3.961,8.02,-0.34,550186.7787
2612,600597.SH,光明乳业,乳制品,0.226,2.0,0.505,1.011,-1.372,978217.3052
2683,600679.SH,上海凤凰,文教休闲,0.334,2.0,0.541,1.084,-1.337,258040.2217
2722,600720.SH,祁连山,水泥,0.555,2.0,0.151,0.301,-1.627,517700.5122
2695,600691.SH,阳煤化工,农药化肥,0.162,2.0,0.001,-0.0,-1.538,449636.0719
2716,600714.SH,金瑞矿业,煤炭开采,0.28,2.0,0.425,0.792,-3.221,183280.1096
2713,600711.SH,盛屯矿业,小金属,1.869,2.0,0.679,1.351,-3.896,785952.4601
2582,600565.SH,迪马股份,全国地产,0.29,2.0,1.098,2.206,-1.449,658519.807
2651,600641.SH,万业企业,区域地产,0.35,2.0,0.436,0.872,-2.03,745696.8419
2585,600568.SH,中珠医疗,区域地产,1.912,2.0,0.576,1.128,-0.374,420971.0895
2586,600569.SH,安阳钢铁,普钢,0.439,2.0,0.307,0.615,-1.515,782734.8279
2590,600573.SH,惠泉啤酒,啤酒,0.678,2.0,2.117,4.277,0.148,176750.0
2702,600698.SH,湖南天雁,汽车配件,0.659,2.0,0.0,0.0,-4.852,332438.3504
2688,600684.SH,珠江实业,全国地产,0.514,2.0,0.128,0.253,-2.228,337970.4463
2610,600595.SH,中孚实业,铝,0.154,2.0,0.238,0.476,-1.869,367465.025
2592,600576.SH,祥源文化,影视音像,0.328,2.0,0.675,1.342,-4.283,238222.7181
2593,600577.SH,精达股份,电气设备,0.421,2.0,0.502,1.0,-2.28,592463.2465
2687,600683.SH,京投发展,区域地产,0.511,2.0,1.933,3.874,-2.594,317793.5891
2597,600581.SH,八一钢铁,普钢,0.717,2.0,0.513,1.028,-1.519,602428.8629
2606,600590.SH,泰豪科技,电气设备,0.246,2.0,0.263,0.526,-2.23,464282.1762
2686,600682.SH,南京新百,百货,1.021,2.0,0.561,1.12,-3.441,966268.5333
2608,600593.SH,大连圣亚,旅游服务,1.186,2.0,3.891,7.932,2.693,418857.6
2609,600594.SH,益佰制药,中成药,0.475,2.0,0.346,0.692,-4.778,460901.7468
2549,600525.SH,长园集团,电气设备,1.813,2.0,0.604,1.211,-7.962,763878.4639
2,000004.SZ,国农科技,生物制药,0.576,2.0,1.783,3.498,-4.532,137552.8459
2548,600523.SH,贵航股份,汽车配件,0.405,2.0,1.477,2.975,-2.673,363640.158
2316,600230.SH,沧州大化,农药化肥,0.933,2.0,0.986,1.978,-2.985,764418.6597
2283,600192.SH,长城电工,电气设备,0.543,2.0,1.07,2.151,-1.064,209830.3
2285,600195.SH,中牧股份,饲料,0.436,2.0,1.363,2.736,-3.285,655273.08
2287,600197.SH,伊力特,白酒,1.581,2.0,1.905,3.835,-1.916,632835.0
2289,600199.SH,金种子酒,白酒,0.491,2.0,0.608,1.217,-2.376,277331.726
2293,600203.SH,福日电子,元器件,2.425,2.0,1.691,3.297,-2.778,169274.9617
2295,600207.SH,安彩高科,元器件,0.452,2.0,0.734,1.467,-5.169,333960.0
2300,600212.SH,江泉实业,综合类,2.353,2.0,2.069,4.178,-3.283,204167.188
2305,600218.SH,全柴动力,农用机械,0.367,2.0,0.922,1.829,-2.381,184746.255
2309,600222.SH,太龙药业,中成药,0.3,2.0,0.136,0.267,-2.857,212579.6186
2312,600226.SH,瀚叶股份,农药化肥,2.089,2.0,0.821,1.592,-2.484,635725.2129
2313,600227.SH,圣济堂,农药化肥,0.45,2.0,0.497,0.993,-4.732,379847.2577
2314,600228.SH,ST昌九,化工原料,1.14,2.0,1.254,2.381,-4.906,186781.68
2318,600232.SH,金鹰股份,纺织,0.527,2.0,1.615,3.244,-1.873,197312.7323
2276,600185.SH,格力地产,区域地产,0.339,2.0,1.582,3.183,-1.05,801386.7866
2319,600233.SH,圆通速递,仓储物流,0.199,2.0,0.54,1.079,-0.488,806868.9113
2323,600237.SH,铜峰电子,元器件,0.579,2.0,0.705,1.405,-1.111,203737.413
2326,600240.SH,华业资本,全国地产,3.962,2.0,0.551,1.079,-4.467,400215.2616
2328,600242.SH,中昌数据,软件服务,2.304,2.0,3.531,7.116,0.0,425245.4864
2329,600243.SH,青海华鼎,机床制造,2.754,2.0,-0.075,-0.23,-10.678,102792.9
2332,600248.SH,延长化建,建筑施工,0.212,2.0,0.723,1.449,-1.896,255194.5032
2336,600252.SH,中恒集团,中成药,0.134,2.0,0.19,0.38,-5.054,917428.2868
2337,600255.SH,梦舟股份,铜,0.476,2.0,0.504,1.01,-1.492,353918.711
2339,600257.SH,大湖股份,渔业,0.569,2.0,0.785,1.566,-0.667,193880.7
2357,600278.SH,东方创业,商贸代理,0.631,2.0,0.906,1.82,-2.658,467406.3564
2358,600279.SH,重庆港九,港口,0.235,2.0,0.494,0.99,-2.651,282727.0974
2359,600280.SH,中央商场,百货,0.439,2.0,0.556,1.114,-3.234,416845.5585
2281,600190.SH,锦州港,港口,0.063,2.0,0.345,0.692,0.347,517829.9982
2270,600178.SH,东安动力,汽车配件,0.613,2.0,1.091,2.165,-1.071,218101.76
2363,600284.SH,浦东建设,建筑施工,0.21,2.0,0.387,0.775,-0.193,504533.12
2225,600125.SH,铁龙物流,铁路,0.37,2.0,0.207,0.414,-0.0,949114.4024
2193,600090.SH,同济堂,医药商业,0.541,2.0,0.687,1.379,-1.192,413185.8237
2196,600094.SH,大名城,区域地产,0.166,2.0,0.0,0.0,-1.772,883322.7253
2197,600095.SH,哈高科,区域地产,0.729,2.0,0.979,1.966,-2.163,149924.3795
2198,600096.SH,云天化,农药化肥,0.526,2.0,2.413,4.883,-3.214,602583.8369
2201,600099.SH,林海股份,摩托车,0.451,2.0,-0.079,-0.157,-1.089,139141.2
2204,600103.SH,青山纸业,造纸,0.229,2.0,0.364,0.73,-1.083,293068.2816
2206,600105.SH,永鼎股份,通信设备,2.273,2.0,1.771,3.291,1.023,505216.1266
2208,600107.SH,美尔雅,服饰,1.992,2.0,0.0,0.0,-2.344,225000.0
2213,600112.SH,天成控股,电气设备,2.329,2.0,2.286,4.534,-3.406,211320.0111
2215,600114.SH,东睦股份,机械基件,0.458,2.0,0.754,1.513,-3.785,425681.4076
2218,600117.SH,西宁特钢,特种钢,0.346,2.0,0.267,0.535,-1.319,278698.4388
2220,600119.SH,长江投资,仓储物流,1.896,2.0,1.971,3.979,-2.625,248994.0
2226,600126.SH,杭钢股份,普钢,0.108,2.0,0.11,0.221,-1.307,547107.1259
2266,600173.SH,卧龙地产,全国地产,0.279,2.0,1.139,2.29,-0.506,291473.0989
2231,600131.SH,岷江水电,水力发电,1.301,2.0,0.304,0.592,-4.923,277208.0731
2233,600133.SH,东湖高新,园区开发,1.507,2.0,1.035,2.08,-1.704,351551.6921
2234,600135.SH,乐凯胶片,化工原料,0.512,2.0,0.654,1.311,-0.651,230508.8922
2235,600136.SH,当代明诚,影视音像,0.563,2.0,0.423,0.827,-2.126,335702.5776
2236,600137.SH,浪莎股份,服饰,0.407,2.0,0.435,0.869,-1.075,135424.1001
2238,600139.SH,西部资源,汽车整车,0.643,2.0,0.296,0.592,-2.312,225042.7727
2239,600141.SH,兴发集团,化工原料,0.948,2.0,0.364,0.727,-0.362,665758.4632
2243,600148.SH,长春一东,汽车配件,0.35,2.0,0.398,0.797,-3.026,214821.9711
2244,600149.SH,ST坊展,综合类,1.059,2.0,1.528,3.002,0.377,208707.84
2249,600155.SH,华创阳安,证券,0.879,2.0,-0.182,-0.364,-3.851,926286.8405
2256,600162.SH,香江控股,全国地产,0.292,2.0,1.367,2.752,-0.457,666131.5492
2257,600163.SH,中闽能源,新型电力,0.096,2.0,0.32,0.625,-0.929,321827.8041
2360,600281.SH,太化股份,化工原料,0.469,2.0,1.318,2.653,-5.75,199073.5837
2364,600285.SH,羚锐制药,中成药,0.356,2.0,1.411,2.831,-5.244,423120.7683
2540,600515.SH,海航基础,全国地产,0.266,2.0,0.288,0.576,-3.697,868946.7718
2499,600463.SH,空港股份,园区开发,0.912,2.0,2.238,4.526,-2.975,180432.0
2475,600421.SH,ST仰帆,机械基件,0.901,2.0,3.382,6.849,-1.484,152568.0
2478,600425.SH,青松建化,水泥,0.563,2.0,0.483,0.968,-0.641,431561.2969
2481,600429.SH,三元股份,乳制品,0.09,2.0,0.812,1.629,-0.808,441615.0
2482,600433.SH,冠豪高新,造纸,0.129,2.0,0.0,0.0,-0.262,484371.1838
2486,600439.SH,瑞贝卡,服饰,0.556,2.0,-0.352,-0.704,-2.74,319219.8941
2784,600785.SH,新华百货,百货,0.379,2.0,0.94,1.854,-0.891,409069.5106
2488,600446.SH,金证股份,软件服务,0.872,2.0,0.496,0.99,-0.98,851709.69
2489,600448.SH,华纺股份,纺织,1.037,2.0,-0.709,-1.415,-2.304,215143.5274
2491,600452.SH,涪陵电力,水力发电,0.423,2.0,1.725,3.45,-2.229,376096.0
2492,600455.SH,博通股份,软件服务,0.492,2.0,0.893,1.792,-3.26,149024.788
2494,600458.SH,时代新材,塑料,0.476,2.0,1.965,3.949,-1.801,487468.0818
2497,600461.SH,洪城水业,水务,0.172,2.0,0.528,1.058,-1.047,340362.0
2501,600467.SH,好当家,渔业,0.379,2.0,1.353,2.724,-2.281,385702.4963
2473,600419.SH,天润乳业,乳制品,0.639,2.0,0.537,1.078,-1.625,291409.9861
2506,600476.SH,湘邮科技,软件服务,0.646,2.0,-0.038,-0.079,-2.014,203592.48
2508,600478.SH,科力远,元器件,0.404,2.0,0.854,1.707,-0.243,612859.3456
2509,600479.SH,千金药业,中成药,0.465,2.0,0.187,0.373,-7.692,337735.2434
2510,600480.SH,凌云股份,汽车配件,0.914,2.0,1.308,2.632,-5.0,369315.082
2517,600488.SH,天药股份,化学制药,0.122,2.0,0.647,1.299,-3.75,377799.5766
2519,600490.SH,鹏欣资源,铜,0.773,2.0,0.308,0.601,-2.157,748667.5914
2521,600493.SH,凤竹纺织,纺织,3.034,2.0,4.735,9.649,-2.397,170000.0
2528,600501.SH,航天晨光,汽车配件,0.594,2.0,0.698,1.402,-4.464,274255.6236
2530,600503.SH,华丽家族,区域地产,1.604,2.0,1.805,3.641,-0.0,592847.3
2531,600505.SH,西昌电力,水力发电,0.443,2.0,0.825,1.646,-4.892,180096.345
2534,600508.SH,上海能源,煤炭开采,0.129,2.0,0.148,0.297,-0.099,732836.052
2538,600512.SH,腾达建设,建筑施工,2.505,2.0,1.535,3.017,-0.429,367438.4602
2474,600420.SH,现代制药,化学制药,0.463,2.0,-0.747,-1.489,-8.738,532882.2605
2472,600418.SH,江淮汽车,汽车整车,0.652,2.0,0.392,0.786,-5.214,971269.116
2365,600287.SH,江苏舜天,商贸代理,0.189,2.0,0.096,0.192,-0.763,227570.7546
2413,600343.SH,航天动力,航空,0.63,2.0,-0.184,-0.367,-4.108,519499.9673
2366,600288.SH,大恒科技,软件服务,0.763,2.0,0.002,0.0,-0.967,313185.6
2370,600292.SH,远达环保,环境保护,0.614,2.0,1.076,2.079,-2.936,421641.1206
2371,600293.SH,三峡新材,玻璃,0.714,2.0,0.239,0.477,-3.009,217553.3919
