,ts_code,symbol,name,industry,COL_EIGEN_SLOPE,COL_LASTPRICE,concept
2494,600418.SH,600418,江淮汽车,汽车整车,9.96,6.91,"新能源整车, 汽车整车, 安徽国企改革, 蔚来汽车概念股, 破净股, 百度概念股, 无人驾驶, 新能源汽车, 工业互联网, 富勒烯, "
1786,300397.SZ,300397,天和防务,通信设备,9.88,25.0,"5G, 军工, 军民融合, 太赫兹, 智慧安防, "
849,002388.SZ,002388,新亚制程,元器件,9.75,6.55,"华为产业链, 回购, 供应链金融, 高质押率, "
1566,300174.SZ,300174,元力股份,化工原料,9.7,31.05,"业绩预增, 游戏, 手游, "
1237,002783.SZ,002783,凯龙股份,化工原料,9.57,23.1,"军工, 军民融合, 化肥, 燃料电池, 民爆, "
2759,600736.SH,600736,苏州高新,园区开发,9.53,8.61,"特色小镇, 房地产, 独角兽, 创投, "
1582,300191.SZ,300191,潜能恒信,石油开采,9.27,20.34,"油服, 海工装备, 油气改革, 可燃冰, 页岩气, 天然气, "
68,000159.SZ,000159,国际实业,石油贸易,9.06,14.5,"油气改革, 一带一路, 回购, 石油化工, 新疆, 壳公司, 强势人气股, "
279,000736.SZ,000736,中交地产,全国地产,9.03,11.18,"央企改革, 债转股-AMC, 房地产, "
1216,002761.SZ,002761,多喜爱,纺织,8.97,21.16,"纺织服装, 高质押率, 举牌股, 高送转, 人工智能, 股权转让, 年报季报, "
1822,300433.SZ,300433,蓝思科技,元器件,8.76,9.1,"MSCI, 华为产业链, 小米概念股, 创业板人气股, 指纹识别, 3D玻璃, 苹果产业链, 虹膜识别, "
2092,300711.SZ,300711,广哈通信,通信设备,8.74,23.06,"5G, 军工, 军民融合, "
1089,002629.SZ,002629,仁智股份,石油开采,8.73,5.52,"油服, 油气改革, 可燃冰, 页岩气, 天然气, 复牌股, 壳公司, "
3603,603998.SH,603998,方盛制药,中成药,8.68,12.47,"医药, 中药, 创新药, 工业大麻, "
128,000536.SZ,000536,华映科技,元器件,8.62,3.51,"OLED, 破净股, 债转股-AMC, 3D玻璃, 强势人气股, "
1729,300338.SZ,300338,开元股份,文教休闲,8.57,11.18,"教育, 社保重仓, 智能仪表, "
3313,603329.SH,603329,上海雅仕,仓储物流,8.55,23.2,"快递物流, 自贸区, 自由贸易港, 上海自由贸易港, "
2733,600710.SH,600710,苏美达,工程机械,8.53,7.08,"央企改革, 智能制造, 机器人, "
816,002355.SZ,002355,兴民智通,汽车配件,8.48,11.62,"北汽新能源, 回购, 汽车零部件, 物联网, 无人驾驶, 3D打印, 智能制造, 大数据, 股权转让, "
2574,600528.SH,600528,中铁工业,建筑施工,8.44,13.38,"MSCI, 中字头, 一带一路, 央企改革, 大基建, 高铁轨交, "
2636,600599.SH,600599,熊猫金控,多元金融,8.38,15.74,"光伏, 互联网金融, 资产重组, "
424,000958.SZ,000958,东方能源,火力发电,8.33,8.69,"火电, 电改, 央企改革, 风电, 光伏, 雄安-公共服务, 雄安新区, 京津冀, 复牌股, "
1631,300240.SZ,300240,飞力达,仓储物流,8.29,8.99,"智慧物流, 智能制造, 快递物流, 跨境电商, 创投, "
2622,600584.SH,600584,长电科技,半导体,8.28,14.64,"MSCI, 移动支付, 半导体, 苹果产业链, "
3088,601777.SH,601777,力帆股份,摩托车,8.27,9.36,"阿里巴巴概念股, 新能源整车, 汽车整车, 破净股, 无人驾驶, 锂电池, 新能源汽车, 共享经济, 独角兽, "
677,002215.SZ,002215,诺普信,农药化肥,8.22,11.14,"农药, 回购, 供应链金融, "
744,002283.SZ,002283,天润曲轴,汽车配件,8.18,4.75,"重卡, 汽车零部件, 工业自动化, 智能制造, "
1611,300220.SZ,300220,金运激光,元器件,8.15,26.65,"3D打印, 智能制造, "
2121,300743.SZ,300743,天地数码,电脑设备,8.09,53.46,"高送转-预期, "
526,002064.SZ,002064,华峰氨纶,化纤,8.09,5.69,"国家队重仓, 石油化工, "
1814,300425.SZ,300425,环能科技,环境保护,7.96,6.31,"环保, 污水处理, 股权转让, 国资入股, "
1053,002593.SZ,002593,日上集团,汽车配件,7.91,4.35,"回购, 汽车零部件, 物联网, 装配式建筑, "
2812,600794.SH,600794,保税科技,仓储物流,7.9,5.45,"军工, 军民融合, 快递物流, "
1708,300317.SZ,300317,珈伟新能,半导体,7.88,7.53,"光伏, 高质押率, 锂电池, 新能源汽车, 石墨烯, 共享经济, LED, "
31,000038.SZ,000038,深大通,广告包装,7.88,16.56,"高质押率, 国资入股, "
345,000836.SZ,000836,富通鑫茂,通信设备,7.87,5.97,"5G, 光通信, 无人驾驶, 股权转让, 智慧安防, 独角兽, "
2714,600689.SH,600689,上海三毛,纺织,7.78,12.43,"纺织服装, 上海国企改革, 人民币贬值受益, 独角兽, 创投, "
2080,300698.SZ,300698,万马科技,通信设备,7.75,23.21,"5G, 光通信, 物联网, 量子通信, 医疗器械, 互联网医疗, "
891,002430.SZ,002430,杭氧股份,化工机械,7.73,14.02,"业绩预增, 浙江国企改革, 债转股-AMC, "
2205,600078.SH,600078,澄星股份,化工原料,7.71,5.07,"水电, 磷化工, "
534,002072.SZ,002072,凯瑞德,互联网,7.66,6.48,"跨境电商, 股权争夺, 壳公司, "
404,000927.SZ,000927,一汽夏利,汽车整车,7.45,5.84,"汽车整车, 混改, 央企改革, 铁总混改, 复牌股, 资产重组, "
3126,601949.SH,601949,中国出版,出版业,7.39,7.25,"中字头, 央企改革, "
220,000663.SZ,000663,永安林业,林业,7.38,7.79,"土地流转, 林业, 家具家居, "
1677,300286.SZ,300286,安科瑞,电器仪表,7.36,11.33,"回购, 新能源汽车, 充电桩, "
2695,600666.SH,600666,奥瑞德,元器件,7.34,4.49,"OLED, 3D玻璃, "
1544,300152.SZ,300152,科融环境,环境保护,7.28,3.89,"固废处理, 雄安-园林环保, 大气治理, 环保, 雄安新区, 污水处理, "
1248,002796.SZ,002796,世嘉科技,专用机械,7.27,40.5,"5G, 业绩预增, 高送转-填权, "
1886,300497.SZ,300497,富祥股份,化学制药,7.24,22.45,"医药, 化学药, "
1656,300265.SZ,300265,通光线缆,电气设备,7.23,12.46,"5G, 特高压, 光通信, 军工, 军民融合, "
386,000905.SZ,000905,厦门港务,港口,7.21,9.2,"一带一路, 港口, 福建自贸区, 自贸区, "
1520,300128.SZ,300128,锦富技术,元器件,7.2,6.07,"OLED, 新零售, 石油化工, 物联网, 光伏, 大数据, 云计算, 石墨烯, 股权转让, VR&AR, 苹果产业链, "
318,000800.SZ,000800,一汽轿车,汽车整车,7.16,12.65,"新能源整车, 汽车整车, 混改, 央企改革, 百度概念股, 无人驾驶, 铁总混改, 新能源汽车, 共享经济, "
851,002390.SZ,002390,信邦制药,中成药,7.14,6.49,"民营医院, 回购, 医药, 中药, 互联网医疗, 工业大麻, "
130,000538.SZ,000538,云南白药,中成药,7.12,91.82,"白马股, MSCI, 健康中国, 大消费, 医药, 中药, 资产重组, "
1031,002571.SZ,002571,德力股份,玻璃,7.08,6.29,"ST摘帽, 创投, "
959,002498.SZ,002498,汉缆股份,电气设备,6.94,3.89,"特高压, "
2656,600620.SH,600620,天宸股份,综合类,6.89,10.1,
502,002040.SZ,002040,南京港,港口,6.88,13.19,"一带一路, 港口, "
1122,002662.SZ,002662,京威股份,汽车配件,6.7,6.39,"高股息, 新能源整车, 汽车零部件, 无人驾驶, 燃料电池, 新能源汽车, "
1128,002668.SZ,002668,奥马电器,家用电器,6.69,7.9,"供应链金融, 白色家电, 家电, 互联网金融, 区块链, 股权转让, 国资入股, "
2517,600459.SH,600459,贵研铂业,小金属,6.69,22.71,"特斯拉, 燃料电池, "
1091,002631.SZ,002631,德尔未来,家居用品,6.69,11.01,"石墨烯, 家具家居, "
3541,603879.SH,603879,永悦科技,化工原料,6.66,12.75,"回购, "
2810,600792.SH,600792,云煤能源,焦炭加工,6.62,4.69,"煤炭, 石墨电极, 甲醇, "
1948,300561.SZ,300561,汇金科技,软件服务,6.59,19.63,"物联网, 互联网金融, 人工智能, 区块链, 国产软件, 资产重组, 无人银行, "
3073,601633.SH,601633,长城汽车,汽车整车,6.58,10.17,"新能源整车, 汽车整车, 百度概念股, 无人驾驶, 燃料电池, 新能源汽车, 共享经济, "
1690,300299.SZ,300299,富春股份,通信设备,6.57,7.59,"5G, 数字中国, 大数据, 资产重组, 游戏, 手游, 影视, 动漫, "
2552,600503.SH,600503,华丽家族,区域地产,6.54,5.74,"华为产业链, 恒大概念股, 房地产, 智能制造, 石墨烯, 期货概念, 机器人, "
1109,002649.SZ,002649,博彦科技,软件服务,6.53,9.92,"大数据, 人工智能, 区块链, "
2631,600594.SH,600594,益佰制药,中成药,6.53,7.06,"民营医院, 医药, 中药, "
1410,300017.SZ,300017,网宿科技,电信运营,6.52,13.1,"MSCI, 混改, 国家队重仓, 回购, 创业板人气股, 大数据, 云计算, 人工智能, 独角兽, 强势人气股, "
3266,603220.SH,603220,贝通信,通信设备,6.49,33.86,"5G, 强势人气股, "
340,000829.SZ,000829,天音控股,其他商业,6.47,6.94,"华为产业链, 定增破发, 电竞, 彩票, 苹果产业链, 独角兽, 深圳本地股/深汕合作, "
1112,002652.SZ,002652,扬子新材,其他建材,6.47,5.2,"养老产业, 高质押率, 股权争夺, "
521,002059.SZ,002059,云南旅游,旅游景点,6.43,7.83,"央企改革, 旅游, 业绩预增, 资产重组, "
753,002292.SZ,002292,奥飞娱乐,影视音像,6.41,8.16,"二胎, 定增破发, 人工智能, VR&AR, 独角兽, 游戏, 手游, 影视, 动漫, "
1963,300578.SZ,300578,会畅通讯,通信设备,6.41,25.83,"业绩预增, 大数据, 资产重组, "
85,000416.SZ,000416,民生控股,多元金融,6.4,6.83,"期货概念, 壳公司, "
204,000632.SZ,000632,三木集团,综合类,6.32,5.73,"福建自贸区, 房地产, 举牌股, 自贸区, "
1881,300492.SZ,300492,山鼎设计,建筑施工,6.32,38.34,"新零售, 跨境电商, 复牌股, 年报季报, 装修装饰, 体育产业, "
3332,603363.SH,603363,傲农生物,饲料,6.32,28.74,"饲料, 养猪, 动物保健, "
2491,600410.SH,600410,华胜天成,软件服务,6.3,9.01,"阿里巴巴概念股, 国家队重仓, 回购, 军工, 军民融合, 物联网, 智慧物流, 网络安全, 智能制造, 大数据, 云计算, 人工智能, 工业互联网, 智慧城市, 国产软件, 国产芯片, 科创板概念股, 透明工厂, "
2913,600917.SH,600917,重庆燃气,供气供热,6.29,8.59,"油气改革, 重庆国企改革, 天然气, 股权转让, "
1466,300074.SZ,300074,华平股份,通信设备,6.28,5.22,"教育, 互联网医疗, 智慧城市, 国产软件, 医疗信息化, 智慧安防, 手势识别, 无人银行, 创投, "
1591,300200.SZ,300200,高盟新材,化工原料,6.27,9.9,"业绩预增, 汽车零部件, 定增破发, 高铁轨交, "
693,002231.SZ,002231,奥维通信,通信设备,6.26,8.83,"5G, 养老产业, 壳公司, "
580,002118.SZ,002118,紫鑫药业,中成药,6.25,13.68,"保健品, 食品, 高质押率, 医药, 中药, 基因测序, 区块链, 股权转让, 国资入股, 工业大麻, "
846,002385.SZ,002385,大北农,饲料,6.24,7.55,"MSCI, 新进指数成份股, 转基因, 回购, 饲料, 养猪, 互联网金融, 农业种植, 国资入股, "
358,000862.SZ,000862,银星能源,新型电力,6.24,7.26,"央企改革, 风电, 光伏, 宁夏, 强势人气股, "
3355,603444.SH,603444,吉比特,互联网,6.16,226.2,"高价股, 教育, 游戏, 手游, "
2148,600006.SH,600006,东风汽车,汽车整车,6.15,6.68,"新能源整车, 汽车整车, 国家队重仓, 央企改革, 华为产业链, 业绩预增, 无人驾驶, 燃料电池, 新能源汽车, "
2781,600759.SH,600759,洲际油气,石油开采,6.12,4.99,"油服, 油气改革, 海南自由贸易港, 互联网金融, 自贸区, 自由贸易港, 资产重组, 海南, "
705,002243.SZ,002243,通产丽星,塑料,6.12,20.61,"业绩预增, 包装印刷, 资产重组, 深圳本地股/深汕合作, 富勒烯, 创投, "
454,000996.SZ,000996,中国中期,汽车服务,6.11,19.0,"汽车销售, 期货概念, "
1537,300145.SZ,300145,中金环境,专用机械,6.11,5.72,"固废处理, 回购, 环保, 污水处理, 股权转让, 国资入股, "
1190,002733.SZ,002733,雄韬股份,电气设备,6.09,31.63,"回购, 业绩预增, 储能, 锂电池, 燃料电池, 新能源汽车, 强势人气股, "
234,000680.SZ,000680,山推股份,工程机械,6.09,5.27,"一带一路, 机械, 山东国企改革, "
1187,002730.SZ,002730,电光科技,电气设备,6.08,9.01,"教育, 3D打印, 智能制造, "
2224,600099.SH,600099,林海股份,摩托车,6.07,8.27,"央企改革, 乡村振兴, "
663,002201.SZ,002201,九鼎新材,玻璃,6.05,8.27,"玻纤, 壳公司, "
2926,600963.SH,600963,岳阳林纸,造纸,6.01,7.62,"人民币升值受益, 央企改革, 回购, 破净股, 雄安-园林环保, 特色小镇, 定增破发, 雄安新区, 造纸, "
182,000606.SZ,000606,顺利办,互联网,5.87,7.61,"业绩预增, 大数据, 区块链, 创投, "
1430,300037.SZ,300037,新宙邦,化工原料,5.85,26.2,"OLED, 特斯拉, 社保重仓, 锂电池, 新能源汽车, 年报季报, 科创板概念股, "
1077,002617.SZ,002617,露笑科技,电气设备,5.84,6.87,"回购, 光伏, 股权转让, 资产重组, "
389,000909.SZ,000909,数源科技,综合类,5.84,9.27,"浙江国企改革, 物联网, 无人驾驶, 智慧停车, 新能源汽车, 充电桩, "
1230,002776.SZ,002776,柏堡龙,服饰,5.83,25.88,"社保重仓, 纺织服装, 特色小镇, "
2885,600875.SH,600875,东方电气,电气设备,5.82,14.26,"高股息, MSCI, 一带一路, 央企改革, 核电, 风电, 燃料电池, "
3581,603959.SH,603959,百利科技,建筑施工,5.8,23.06,"宁德时代概念股, 煤化工, 高质押率, 锂电池, 新能源汽车, "
83,000413.SZ,000413,东旭光电,元器件,5.79,7.24,"OLED, MSCI, 新能源整车, 汽车整车, 华为产业链, 定增破发, 燃料电池, 智能制造, 新能源汽车, 石墨烯, 智慧城市, 3D玻璃, 机器人, "
1136,002676.SZ,002676,顺威股份,塑料,5.76,4.74,"白色家电, 家电, 壳公司, "
696,002234.SZ,002234,民和股份,农业综合,5.75,30.94,"养鸡, "
1173,002715.SZ,002715,登云股份,汽车配件,5.75,19.28,"汽车零部件, 举牌股, 股权转让, 壳公司, "
662,002200.SZ,002200,云投生态,环境保护,5.66,7.98,"园林, 中科院系, PPP, 林业, "
1629,300238.SZ,300238,冠昊生物,医疗保健,5.65,19.86,"健康中国, 脑科学, 医药, 创新药, 医疗器械, 创投, "
699,002237.SZ,002237,恒邦股份,黄金,5.62,10.68,"股权转让, 黄金, "
2866,600856.SH,600856,中天能源,供气供热,5.59,5.08,"油气改革, 天然气, 定增破发, 互联网金融, "
1716,300325.SZ,300325,德威新材,塑料,5.59,7.01,"特高压, 供应链金融, 锦纶（尼龙）, 燃料电池, 举牌股, 资产重组, "
3143,601999.SH,601999,出版传媒,出版业,5.58,7.21,"教育, "
1416,300023.SZ,300023,宝德股份,专用机械,5.51,8.69,"油服, 页岩气, 工业自动化, 智能制造, 强势人气股, "
474,002012.SZ,002012,凯恩股份,造纸,5.5,6.93,"造纸, 区块链, 资产重组, 壳公司, "
211,000650.SZ,000650,仁和药业,中成药,5.5,8.84,"医药, 中药, 互联网金融, 互联网医疗, 眼科, "
2738,600715.SH,600715,文投控股,影视音像,5.49,5.48,"定增破发, 游戏, 手游, 影视, "
400,000922.SZ,000922,佳电股份,电气设备,5.49,11.47,"电改, 央企改革, 核电, 业绩预增, 工业自动化, 智能制造, ST摘帽, "
1585,300194.SZ,300194,福安药业,化学制药,5.49,9.92,"医药, 化学药, 工业大麻, "
656,002194.SZ,002194,*ST凡谷,通信设备,5.48,20.61,"5G, 教育, 华为产业链, 回购, 股权转让, ST股, 壳公司, "
208,000637.SZ,000637,茂化实华,石油加工,5.46,6.38,"油气改革, 石油化工, 燃料电池, "
1833,300444.SZ,300444,双杰电气,电气设备,5.46,10.47,"业绩预增, 锂电池, 新能源汽车, "
2141,300766.SZ,300766,每日互动,互联网,5.41,69.56,
1783,300394.SZ,300394,天孚通信,通信设备,5.41,33.82,"5G, 光通信, "
2966,601011.SH,601011,宝泰隆,焦炭加工,5.41,8.11,"煤炭, 石墨电极, 甲醇, 业绩预增, 锂电池, 新能源汽车, 石墨烯, "
1657,300266.SZ,300266,兴源环境,环境保护,5.35,6.68,"固废处理, 定增破发, 环保, 污水处理, 股权转让, 国资入股, 资产重组, "
452,000993.SZ,000993,闽东电力,水力发电,5.34,8.02,"水电, 电改, 风电, 宁德时代概念股, 债转股-AMC, 锂电池, 新能源汽车, 强势人气股, "
2983,601099.SH,601099,太平洋,证券,5.33,4.14,"MSCI, 券商, "
3221,603117.SH,603117,万林物流,仓储物流,5.32,5.51,"快递物流, "
1937,300550.SZ,300550,和仁科技,软件服务,5.31,66.5,"互联网医疗, 国产软件, 医疗信息化, "
1908,300519.SZ,300519,新光药业,中成药,5.29,16.38,"保健品, 食品, 医药, 中药, "
3293,603300.SH,603300,华铁科技,钢加工,5.29,10.69,"雄安新区, 雄安-工程基建, 举牌股, 国资入股, "
1571,300179.SZ,300179,四方达,矿物制品,5.27,5.39,"富勒烯, "
1530,300138.SZ,300138,晨光生物,食品,5.27,8.75,"海底捞概念股, 回购, 独角兽, "
3365,603501.SH,603501,韦尔股份,半导体,5.25,55.55,"回购, 小米概念股, 半导体, 国产芯片, 资产重组, "
3026,601238.SH,601238,广汽集团,汽车整车,5.23,13.88,"MSCI, 新能源整车, 汽车整车, 华为产业链, 蔚来汽车概念股, 汽车零部件, 宁德时代概念股, 无人驾驶, 新能源汽车, 腾讯概念股, 独角兽, "
879,002418.SZ,002418,康盛股份,机械基件,5.22,6.78,"新能源整车, 汽车整车, 白色家电, 家电, 燃料电池, 新能源汽车, 石墨烯, 资产重组, "
3598,603990.SH,603990,麦迪科技,软件服务,5.2,53.73,"民营医院, 人工智能, 互联网医疗, 国产软件, 医疗信息化, "
1025,002565.SZ,002565,顺灏股份,造纸,5.2,18.87,"包装印刷, 强势人气股, 工业大麻, "
453,000995.SZ,000995,*ST皇台,白酒,5.19,8.15,"教育, 白酒, 资产重组, ST股, 壳公司, "
1229,002775.SZ,002775,文科园林,建筑施工,5.17,8.64,"回购, 园林, 雄安-园林环保, PPP, 雄安新区, "
3241,603166.SH,603166,福达股份,汽车配件,5.16,7.08,"汽车零部件, 工业自动化, 智能制造, 广西, "
1605,300214.SZ,300214,日科化学,化工原料,5.16,7.77,"回购, 举牌股, 股权转让, "
3243,603168.SH,603168,莎普爱思,化学制药,5.16,10.4,"医药, 化学药, 眼科, 股权转让, "
941,002480.SZ,002480,新筑股份,机械基件,5.15,6.3,"储能, 股权转让, 高铁轨交, "
683,002221.SZ,002221,东华能源,石油贸易,5.11,12.34,"MSCI, 油气改革, 回购, 石油化工, 燃料电池, "
1798,300409.SZ,300409,道氏技术,陶瓷,5.09,19.53,"有色金属, 供应链金融, 有色-钴, 定增破发, 锂电池, 燃料电池, 新能源汽车, 石墨烯, 资产重组, "
1589,300198.SZ,300198,纳川股份,塑料,5.09,4.93,"核电, 地下管廊, 海绵城市, 锂电池, PPP, 新能源汽车, 共享经济, "
2478,600393.SH,600393,粤泰股份,全国地产,5.08,3.53,"粤港澳大湾区, 高质押率, 房地产, 低价股, "
2507,600438.SH,600438,通威股份,饲料,5.08,14.88,"MSCI, 乡村振兴, 饲料, 业绩预增, 光伏, 举牌股, "
62,000151.SZ,000151,中成股份,商贸代理,5.08,14.4,"央企改革, "
1120,002660.SZ,002660,茂硕电源,电气设备,5.06,8.03,"光伏, 新能源汽车, LED, 充电桩, "
930,002469.SZ,002469,三维工程,建筑施工,5.05,5.4,"一带一路, 国家队重仓, 环保, 污水处理, "
1916,300528.SZ,300528,幸福蓝海,影视音像,5.05,10.5,"影视, "
1154,002694.SZ,002694,顾地科技,塑料,5.04,6.06,"旅游, 地下管廊, 海绵城市, PPP, "
3437,603659.SH,603659,璞泰来,化工原料,5.02,50.31,"筹码集中, 宁德时代概念股, 锂电池, 新能源汽车, "
2236,600112.SH,600112,天成控股,电气设备,5.02,5.23,"有色金属, 有色-钼, 壳公司, ST摘帽, "
1152,002692.SZ,002692,远程股份,电气设备,5.02,5.41,"特高压, 军工, 军民融合, "
1234,002780.SZ,002780,三夫户外,其他商业,5.02,26.67,"主题公园, 纺织服装, 体育产业, "
3490,603767.SH,603767,中马传动,汽车配件,5.01,8.59,"汽车零部件, "
1310,002863.SZ,002863,今飞凯达,汽车配件,5.0,7.29,"汽车零部件, "
3566,603918.SH,603918,金桥信息,软件服务,4.99,15.0,
2998,601138.SH,601138,工业富联,通信设备,4.97,17.08,"MSCI, 新进指数成份股, 华为产业链, 工业自动化, 智能制造, 大数据, 云计算, 工业互联网, 苹果产业链, "
1626,300235.SZ,300235,方直科技,软件服务,4.95,11.08,"教育, 云计算, 国产软件, "
1108,002648.SZ,002648,卫星石化,化工原料,4.94,19.99,"二胎, 业绩预增, 石油化工, "
628,002166.SZ,002166,莱茵生物,中成药,4.94,12.74,"广西, "
2452,600365.SH,600365,通葡股份,红黄药酒,4.92,6.38,"资产重组, "
3331,603360.SH,603360,百傲化学,化工原料,4.91,30.32,"农药, 石油化工, "
1801,300412.SZ,300412,迦南科技,医疗保健,4.91,8.13,"智慧物流, 工业自动化, 智能制造, "
2795,600775.SH,600775,南京熊猫,通信设备,4.9,17.28,"5G, 央企改革, 军工研究所, 业绩预增, 军工, 工业自动化, 北斗导航, 智能制造, 机器人, "
1683,300292.SZ,300292,吴通控股,软件服务,4.88,6.42,"5G, 光通信, 华为产业链, 物联网, 滴滴出行概念股, 独角兽, "
1860,300471.SZ,300471,厚普股份,专用机械,4.85,17.08,"油服, 油气改革, 页岩气, 天然气, 燃料电池, 股权转让, 强势人气股, "
2346,600237.SH,600237,铜峰电子,元器件,4.84,4.91,"被动元件, 新能源汽车, 壳公司, "
2942,600983.SH,600983,惠而浦,家用电器,4.84,7.33,"白色家电, 家电, "
1096,002636.SZ,002636,金安国纪,元器件,4.84,9.47,"玻纤, "
1752,300362.SZ,300362,天翔环境,环境保护,4.8,6.13,"固废处理, 环保, 污水处理, 股权转让, 资产重组, "
431,000966.SZ,000966,长源电力,火力发电,4.79,5.99,"火电, 电改, 央企改革, 创投, "
1125,002665.SZ,002665,首航节能,电气设备,4.77,6.1,"回购, 储能, 定增破发, 雄安-公共服务, 雄安新区, 股权转让, 资产重组, "
2572,600526.SH,600526,菲达环保,环境保护,4.76,5.51,"浙江国企改革, 大气治理, 环保, "
1508,300116.SZ,300116,坚瑞沃能,电气设备,4.76,2.3,"锂电池, 新能源汽车, 低价股, "
2870,600860.SH,600860,京城股份,专用机械,4.76,10.07,"天然气, 燃料电池, "
1407,300014.SZ,300014,亿纬锂能,电气设备,4.76,28.06,"华为产业链, 业绩预增, 物联网, 储能, 锂电池, 新能源汽车, 共享经济, 智慧安防, "
3079,601678.SH,601678,滨化股份,化工原料,4.76,8.29,"烧碱, 环氧丙烷, 制冷剂, 军工, 军民融合, 煤化工, 燃料电池, "
269,000723.SZ,000723,美锦能源,焦炭加工,4.74,18.6,"煤炭, 油服, 新能源整车, 新进指数成份股, 石墨电极, 业绩预增, 高质押率, 燃料电池, 智能制造, 新能源汽车, 资产重组, 机器人, "
2526,600470.SH,600470,六国化工,农药化肥,4.74,5.3,"安徽国企改革, 煤化工, 化肥, 磷化工, "
1940,300553.SZ,300553,集智股份,电器仪表,4.73,38.64,
672,002210.SZ,002210,飞马国际,仓储物流,4.73,7.57,"粤港澳大湾区, 高质押率, 快递物流, 国资入股, 资产重组, "
3305,603318.SH,603318,派思股份,专用机械,4.72,23.93,"天然气, 物联网, 股权转让, 国资入股, 资产重组, "
919,002458.SZ,002458,益生股份,农业综合,4.72,25.4,"养猪, 业绩预增, 养鸡, 高送转-填权, 强势人气股, "
2858,600846.SH,600846,同济科技,综合类,4.7,11.62,"大基建, 雄安新区, 高校系, 雄安-设计, "
1975,300590.SZ,300590,移为通信,通信设备,4.68,41.21,"高送转-预期, 业绩预增, 物联网, 智慧物流, 北斗导航, 智能制造, "
2509,600444.SH,600444,国机通用,塑料,4.68,13.21,"央企改革, 年报季报, "
2262,600141.SH,600141,兴发集团,化工原料,4.68,12.9,"烧碱, 草甘膦, 农药, 有机硅, 化肥, 磷化工, "
1961,300576.SZ,300576,容大感光,染料涂料,4.66,16.53,"PCB板, 国资入股, "
2711,600686.SH,600686,金龙汽车,汽车整车,4.66,10.65,"新能源整车, 汽车整车, 百度概念股, 无人驾驶, 燃料电池, 数字中国, 新能源汽车, "
1213,002758.SZ,002758,华通医药,医药商业,4.65,13.93,"医药商业, 医药, 中药, "
718,002256.SZ,002256,兆新股份,染料涂料,4.64,4.05,"光伏, 锂电池, 新能源汽车, 举牌股, 共享经济, 充电桩, "
818,002357.SZ,002357,富临运业,公路,4.63,7.05,"新能源汽车, 股权转让, 充电桩, "
2585,600540.SH,600540,新赛股份,种植业,4.62,5.7,"棉花, 新疆, 农垦, 新疆国企改革, 农业种植, 股权转让, "
2280,600163.SH,600163,中闽能源,新型电力,4.62,4.9,"风电, 债转股-AMC, 复牌股, "
1580,300189.SZ,300189,神农基因,种植业,4.62,4.19,"海南自由贸易港, 举牌股, 自贸区, 农业种植, 自由贸易港, 海南, "
1245,002792.SZ,002792,通宇通讯,通信设备,4.6,34.72,"5G, 光通信, 华为产业链, "
