,ts_code,symbol,name,industry,COL_LASTPRICE,COL_FITNESS,COL_MAXGAP,concept
67,600928.SH,600928,西安银行,银行,10.51,200.33,109.87,"银行, 次新股, "
68,002191.SZ,002191,劲嘉股份,广告包装,14.56,199.23,68.51,"回购, 基因测序, 药品信息化追溯, 包装印刷, "
69,300710.SZ,300710,万隆光电,通信设备,33.6,192.53,76.3,"5G, 光通信, 阿里巴巴概念股, 高送转-预期, 物联网, 广电, 强势人气股, "
70,600620.SH,600620,天宸股份,综合类,10.3,180.89,74.44,
71,603309.SH,603309,维力医疗,医疗保健,20.19,178.15,90.65,"医疗器械, "
72,300139.SZ,300139,晓程科技,元器件,13.9,172.75,87.21,"智能仪表, 半导体, 黄金, "
73,300686.SZ,300686,智动力,元器件,17.5,165.66,71.59,"OLED, 小米概念股, "
74,600375.SH,600375,华菱星马,汽车整车,6.39,164.9,81.49,"汽车整车, 安徽国企改革, 重卡, 机械, 强势人气股, "
75,000670.SZ,000670,ST盈方,元器件,4.1,164.17,75.46,"军工, 军民融合, 北斗导航, 半导体, VR&AR, 国产芯片, ST股, "
76,002370.SZ,002370,亚太药业,化学制药,17.8,162.38,87.11,"医药, 创新药, 化学药, "
77,002674.SZ,002674,兴业科技,纺织,17.22,156.2,75.24,"业绩预增, 纺织服装, 恒大概念股, 壳公司, "
78,002532.SZ,002532,新界泵业,农用机械,7.78,155.85,70.89,"有色-铝, 乡村振兴, 有色金属, 农机, 水利, 环保, 污水处理, "
79,002824.SZ,002824,和胜股份,铝,13.91,154.95,80.06,"有色-铝, 有色金属, 锂电池, 新能源汽车, "
80,603729.SH,603729,龙韵股份,广告包装,21.51,154.47,74.97,"主题公园, 赛马, 强势人气股, "
81,300378.SZ,300378,鼎捷软件,软件服务,19.19,154.13,105.35,"工业自动化, 智能制造, 人工智能, 工业互联网, 无人商店, 国产软件, 透明工厂, "
82,603128.SH,603128,华贸物流,仓储物流,10.58,151.71,79.57,"央企改革, 回购, 快递物流, 自贸区, 自由贸易港, 上海自由贸易港, "
83,603318.SH,603318,派思股份,专用机械,24.9,151.22,94.55,"天然气, 物联网, 股权转让, 国资入股, 资产重组, "
84,300414.SZ,300414,中光防雷,元器件,25.03,149.01,74.08,"5G, 军工, 军民融合, 高送转, 资产重组, "
85,000550.SZ,000550,江铃汽车,汽车整车,28.3,144.91,76.74,"高股息, 新能源整车, 汽车整车, 军工研究所, 重卡, 军工, 新能源汽车, "
86,300663.SZ,300663,科蓝软件,软件服务,48.62,144.45,201.3,"互联网金融, 移动支付, 举牌股, 区块链, 国产软件, 京东金融概念股, 独角兽, 蚂蚁金服概念股, 强势人气股, 无人银行, "
87,300174.SZ,300174,元力股份,化工原料,30.96,137.0,160.92,"业绩预增, 游戏, 手游, "
88,002496.SZ,002496,辉丰股份,农药化肥,3.69,126.98,76.21,"农药, 草铵膦, ST摘帽, "
89,603360.SH,603360,百傲化学,化工原料,28.54,125.17,90.42,"农药, 石油化工, "
90,002798.SZ,002798,帝欧家居,家居用品,22.98,117.16,67.79,"业绩预增, 家具家居, "
91,600218.SH,600218,全柴动力,农用机械,21.35,116.06,107.23,"燃料电池, 强势人气股, "
92,300767.SZ,300767,震安科技,橡胶,45.17,114.65,117.92,
93,000995.SZ,000995,*ST皇台,白酒,7.35,111.91,95.15,"教育, 白酒, 资产重组, ST股, 壳公司, "
94,600975.SH,600975,新五丰,农业综合,15.53,110.84,136.16,"养猪, 湖南国企改革, "
95,600093.SH,600093,易见股份,仓储物流,14.9,110.73,80.7,"供应链金融, 区块链, 股权转让, "
96,600352.SH,600352,浙江龙盛,染料涂料,20.6,107.06,134.23,"MSCI, 业绩预增, 染料, 滴滴出行概念股, 独角兽, "
97,600198.SH,600198,*ST大唐,通信设备,14.88,104.52,103.44,"5G, 阿里巴巴概念股, 国家队重仓, 央企改革, 物联网, 无人驾驶, 移动支付, 半导体, 智慧城市, 电竞, 国产芯片, 资产重组, ST股, 人脸识别, "
98,600775.SH,600775,南京熊猫,通信设备,16.46,104.42,77.69,"5G, 央企改革, 军工研究所, 业绩预增, 军工, 工业自动化, 北斗导航, 智能制造, 机器人, "
99,002683.SZ,002683,宏大爆破,化工原料,14.44,100.16,67.72,"军工, 军民融合, 民爆, "
100,002235.SZ,002235,安妮股份,互联网,9.95,94.58,89.74,"教育, 大数据, 造纸, 区块链, 彩票, 体育产业, 知识产权, 动漫, "
101,600146.SH,600146,商赢环球,服饰,13.51,94.1,129.26,"纺织服装, 高质押率, 互联网金融, 区块链, 跨境电商, 宁夏, 强势人气股, "
102,603079.SH,603079,圣达生物,食品,28.22,93.45,76.78,"维生素, "
103,601678.SH,601678,滨化股份,化工原料,8.09,91.92,67.72,"烧碱, 环氧丙烷, 制冷剂, 军工, 军民融合, 煤化工, 燃料电池, "
104,000723.SZ,000723,美锦能源,焦炭加工,18.29,90.28,292.76,"煤炭, 油服, 新能源整车, 新进指数成份股, 石墨电极, 业绩预增, 高质押率, 燃料电池, 智能制造, 新能源汽车, 资产重组, 机器人, "
105,002548.SZ,002548,金新农,饲料,15.28,89.85,86.02,"回购, 饲料, 养猪, 股权转让, 动物保健, "
106,002869.SZ,002869,金溢科技,通信设备,28.24,89.4,81.19,"粤港澳大湾区, 物联网, 智慧停车, 人工智能, 区块链, 智慧城市, 国产软件, 电子车牌, "
107,601311.SH,601311,骆驼股份,电气设备,13.58,88.52,69.45,"回购, 汽车零部件, 锂电池, 燃料电池, 新能源汽车, "
108,600421.SH,600421,ST仰帆,机械基件,15.88,88.49,104.98,"股权争夺, ST股, 壳公司, "
109,000590.SZ,000590,启迪古汉,中成药,15.81,87.05,136.67,"保健品, 食品, 医药, 中药, 雄安新区, 高校系, 资产重组, "
110,601865.SH,601865,福莱特,玻璃,13.24,83.55,210.87,"次新股, 光伏, "
111,002783.SZ,002783,凯龙股份,化工原料,19.2,79.77,181.14,"军工, 军民融合, 化肥, 燃料电池, 民爆, "
112,601008.SH,601008,连云港,港口,5.83,79.33,102.76,"一带一路, 港口, 回购, 中韩自贸区, 自贸区, "
113,002951.SZ,002951,金时科技,广告包装,29.5,76.04,177.97,"次新股, 包装印刷, "
114,600794.SH,600794,保税科技,仓储物流,5.25,74.09,86.93,"军工, 军民融合, 快递物流, "
115,300540.SZ,300540,深冷股份,专用机械,23.72,73.78,116.89,"天然气, "
116,000813.SZ,000813,德展健康,化学制药,11.62,69.31,76.46,"新疆, 医药, 化学药, 工业大麻, "
117,603823.SH,603823,百合花,染料涂料,23.19,66.56,87.17,"染料, "
118,300079.SZ,300079,数码科技,通信设备,6.77,65.09,106.7,"5G, 业绩预增, 谷歌概念股, 网络安全, 互联网金融, 移动支付, 区块链, 彩票, VR&AR, 广电, 影视, 知识产权, "
119,300267.SZ,300267,尔康制药,化学制药,7.89,64.19,113.95,"高质押率, 医药, 化学药, 工业大麻, "
120,300435.SZ,300435,中泰股份,机械基件,20.1,63.72,99.24,"天然气, 煤化工, 燃料电池, 资产重组, "
121,300579.SZ,300579,数字认证,软件服务,48.33,62.15,73.94,"雄安-智慧城市, 网络安全, 雄安新区, 高送转, 区块链, 国产软件, 彩票, 知识产权, "
122,601777.SH,601777,力帆股份,摩托车,7.86,60.96,99.56,"阿里巴巴概念股, 新能源整车, 汽车整车, 破净股, 无人驾驶, 锂电池, 新能源汽车, 共享经济, 独角兽, "
123,300471.SZ,300471,厚普股份,专用机械,15.6,59.23,178.91,"油服, 油气改革, 页岩气, 天然气, 燃料电池, 股权转让, 强势人气股, "
124,600136.SH,600136,当代明诚,影视音像,14.68,58.32,70.5,"社保重仓, 高质押率, 足球, 体育产业, 影视, "
125,000993.SZ,000993,闽东电力,水力发电,8.08,57.22,91.56,"水电, 电改, 风电, 宁德时代概念股, 债转股-AMC, 锂电池, 新能源汽车, 强势人气股, "
126,600517.SH,600517,置信电气,电气设备,9.58,56.16,184.47,"特高压, 券商, 国家队重仓, 央企改革, 信托, 碳交易, "
127,000982.SZ,000982,*ST中绒,纺织,2.38,54.39,86.92,"纺织服装, 低价股, ST股, 宁夏, "
128,603679.SH,603679,华体科技,电气设备,49.51,53.11,97.28,"华为产业链, 新能源汽车, 智慧城市, 共享经济, LED, 充电桩, "
129,002177.SZ,002177,御银股份,电脑设备,6.24,52.99,97.52,"业绩预增, 互联网金融, 区块链, 腾讯概念股, 国产操作系统, 虹膜识别, 人脸识别, 无人银行, "
130,002099.SZ,002099,海翔药业,化学制药,9.21,50.92,96.09,"回购, 业绩预增, 染料, 医药, 化学药, "
131,600150.SH,600150,中国船舶,船舶,25.46,49.51,112.01,"南北船合并, 中字头, 海工装备, 混改, 军工混改, 央企改革, 军工研究所, 航母, 风电, 军工, 债转股-AMC, 复牌股, ST摘帽, "
132,000610.SZ,000610,西安旅游,旅游服务,15.36,47.77,111.45,"旅游, 特色小镇, 强势人气股, 创投, "
133,600273.SH,600273,嘉化能源,化工原料,14.9,43.06,74.92,"烧碱, 煤化工, "
134,300110.SZ,300110,华仁药业,化学制药,6.74,42.6,126.04,"医药, 化学药, 工业大麻, "
135,300006.SZ,300006,莱美药业,化学制药,8.16,41.87,97.29,"业绩预增, 医药, 化学药, "
136,300194.SZ,300194,福安药业,化学制药,9.16,41.84,202.54,"医药, 化学药, 工业大麻, "
137,002122.SZ,002122,*ST天马,机械基件,3.47,40.93,85.57,"破净股, 智慧停车, 大数据, ST股, 创投, "
138,600748.SH,600748,上实发展,全国地产,12.14,39.95,81.06,"养老产业, 房地产, 土地流转, 上海国企改革, "
139,600422.SH,600422,昆药集团,中成药,13.45,39.8,103.45,"国家队重仓, 回购, 医药, 中药, 创新药, 化学药, 独角兽, "
140,600759.SH,600759,洲际油气,石油开采,4.98,39.47,67.43,"油服, 油气改革, 海南自由贸易港, 互联网金融, 自贸区, 自由贸易港, 资产重组, 海南, "
141,300536.SZ,300536,农尚环境,建筑施工,19.8,39.46,169.04,"园林, PPP, 高送转, "
142,002210.SZ,002210,飞马国际,仓储物流,6.96,39.04,135.1,"粤港澳大湾区, 高质押率, 快递物流, 国资入股, 资产重组, "
143,000927.SZ,000927,一汽夏利,汽车整车,5.76,38.48,84.37,"汽车整车, 混改, 央企改革, 铁总混改, 复牌股, 资产重组, "
144,600710.SH,600710,苏美达,工程机械,6.78,37.89,86.53,"央企改革, 智能制造, 机器人, "
145,600963.SH,600963,岳阳林纸,造纸,6.6,35.76,74.83,"人民币升值受益, 央企改革, 回购, 破净股, 雄安-园林环保, 特色小镇, 定增破发, 雄安新区, 造纸, "
146,002665.SZ,002665,首航节能,电气设备,5.9,34.46,100.0,"回购, 储能, 定增破发, 雄安-公共服务, 雄安新区, 股权转让, 资产重组, "
147,600868.SH,600868,梅雁吉祥,水力发电,5.5,34.14,71.34,"有色-锑, 有色金属, 粤港澳大湾区, 恒大概念股, 举牌股, 股权争夺, "
148,002617.SZ,002617,露笑科技,电气设备,6.44,33.23,75.89,"回购, 光伏, 股权转让, 资产重组, "
149,002750.SZ,002750,龙津药业,中成药,17.24,32.83,219.17,"医药, 中药, 强势人气股, 工业大麻, "
150,000514.SZ,000514,渝开发,区域地产,6.04,30.98,75.06,"重庆国企改革, 债转股-AMC, 房地产, "
151,002157.SZ,002157,正邦科技,饲料,23.05,30.81,91.2,"阿里巴巴概念股, 饲料, 养猪, 土地流转, "
152,603232.SH,603232,格尔软件,软件服务,42.39,29.6,70.12,"网络安全, 国产软件, "
153,600072.SH,600072,中船科技,船舶,14.7,29.38,110.12,"南北船合并, 海工装备, 混改, 军工混改, 央企改革, 军工研究所, 航母, 业绩预增, 军工, 军民融合, 机械, PPP, "
154,002567.SZ,002567,唐人神,饲料,17.82,29.34,111.02,"回购, 饲料, 养猪, 股权转让, 国资入股, "
155,300638.SZ,300638,广和通,通信设备,58.73,27.28,75.72,"5G, 阿里巴巴概念股, 业绩预增, 物联网, 移动支付, "
156,300552.SZ,300552,万集科技,软件服务,25.9,26.23,87.57,"无人驾驶, 国产软件, 国资入股, 电子车牌, "
157,601890.SH,601890,亚星锚链,船舶,7.08,24.89,90.85,"海工装备, 航母, 强势人气股, "
158,300099.SZ,300099,精准信息,电器仪表,9.26,24.41,133.33,"特高压, 空铁WiFi, 军工, 军民融合, 燃料电池, 区块链, 高铁轨交, "
159,002265.SZ,002265,西仪股份,汽车配件,12.66,23.64,91.28,"混改, 军工混改, 央企改革, 军工研究所, 军工, 军民融合, 汽车零部件, "
160,000958.SZ,000958,东方能源,火力发电,8.0,23.43,136.36,"火电, 电改, 央企改革, 风电, 光伏, 雄安-公共服务, 雄安新区, 京津冀, 复牌股, "
161,002118.SZ,002118,紫鑫药业,中成药,13.45,22.71,147.96,"保健品, 食品, 高质押率, 医药, 中药, 基因测序, 区块链, 股权转让, 国资入股, 工业大麻, "
162,000990.SZ,000990,诚志股份,化工原料,24.93,22.62,161.69,"OLED, 民营医院, 甲醇, 回购, 雄安-智慧城市, 雄安新区, 半导体, 高校系, 强势人气股, 工业大麻, "
163,600081.SH,600081,东风科技,汽车配件,15.95,21.65,111.4,"央企改革, 汽车零部件, 无人驾驶, "
164,002057.SZ,002057,中钢天源,元器件,11.06,21.33,84.68,"硅锰, 央企改革, 债转股-AMC, 稀土磁材, 锂电池, 新能源汽车, "
165,300397.SZ,300397,天和防务,通信设备,23.29,20.73,71.0,"5G, 军工, 军民融合, 太赫兹, 智慧安防, "
166,603681.SH,603681,永冠新材,化工原料,32.32,20.22,189.47,"次新股, "
167,600006.SH,600006,东风汽车,汽车整车,6.47,19.55,75.06,"新能源整车, 汽车整车, 国家队重仓, 央企改革, 华为产业链, 业绩预增, 无人驾驶, 燃料电池, 新能源汽车, "
168,002198.SZ,002198,嘉应制药,中成药,11.15,19.03,123.68,"医药, 中药, "
169,300527.SZ,300527,中国应急,专用机械,13.81,18.33,115.8,"南北船合并, 中字头, 央企改革, 军工研究所, 核电, 回购, 军工, 军民融合, "
170,002418.SZ,002418,康盛股份,机械基件,6.59,17.96,72.43,"新能源整车, 汽车整车, 白色家电, 家电, 燃料电池, 新能源汽车, 石墨烯, 资产重组, "
171,002600.SZ,002600,领益智造,元器件,7.63,17.84,76.12,"OLED, 华为产业链, 稀土磁材, 小米概念股, 苹果产业链, 强势人气股, "
172,300145.SZ,300145,中金环境,专用机械,6.4,17.26,67.55,"固废处理, 回购, 环保, 污水处理, 股权转让, 国资入股, "
173,002592.SZ,002592,八菱科技,汽车配件,23.75,17.19,68.34,"回购, 汽车零部件, 燃料电池, 广西, 股权转让, "
174,300598.SZ,300598,诚迈科技,软件服务,32.27,17.09,93.47,"阿里巴巴概念股, 高送转-预期, 华为产业链, 蔚来汽车概念股, 无人驾驶, 国产软件, 国产操作系统, 强势人气股, "
175,002629.SZ,002629,仁智股份,石油开采,4.47,16.24,70.13,"油服, 油气改革, 可燃冰, 页岩气, 天然气, 复牌股, 壳公司, "
176,600604.SH,600604,市北高新,园区开发,16.18,14.35,69.89,"阿里巴巴概念股, 房地产, 上海国企改革, 住房租赁, 强势人气股, 创投, "
177,603363.SH,603363,傲农生物,饲料,26.75,14.19,142.09,"饲料, 养猪, 动物保健, "
178,603998.SH,603998,方盛制药,中成药,11.71,14.05,149.39,"医药, 中药, 创新药, 工业大麻, "
179,002194.SZ,002194,*ST凡谷,通信设备,18.6,13.48,132.29,"5G, 教育, 华为产业链, 回购, 股权转让, ST股, 壳公司, "
180,002274.SZ,002274,华昌化工,农药化肥,16.47,13.13,127.71,"甲醇, 纯碱, 业绩预增, 化肥, 燃料电池, 科创板概念股, "
181,002100.SZ,002100,天康生物,饲料,12.49,13.08,73.69,"转基因, 饲料, 养猪, 新疆, 新疆国企改革, 动物保健, "
182,002565.SZ,002565,顺灏股份,造纸,18.42,12.88,161.03,"包装印刷, 强势人气股, 工业大麻, "
183,300325.SZ,300325,德威新材,塑料,7.18,11.63,82.16,"特高压, 供应链金融, 锦纶（尼龙）, 燃料电池, 举牌股, 资产重组, "
184,002215.SZ,002215,诺普信,农药化肥,11.11,9.59,79.1,"农药, 回购, 供应链金融, "
185,000159.SZ,000159,国际实业,石油贸易,12.0,9.17,205.23,"油气改革, 一带一路, 回购, 石油化工, 新疆, 壳公司, 强势人气股, "
186,300266.SZ,300266,兴源环境,环境保护,6.73,9.14,82.03,"固废处理, 定增破发, 环保, 污水处理, 股权转让, 国资入股, 资产重组, "
187,600758.SH,600758,红阳能源,煤炭开采,7.21,8.84,105.38,"煤炭, 电改, 风电, 股权转让, "
188,603519.SH,603519,立霸股份,家用电器,15.53,8.72,70.15,"白色家电, 家电, "
189,002385.SZ,002385,大北农,饲料,8.1,8.49,102.3,"MSCI, 新进指数成份股, 转基因, 回购, 饲料, 养猪, 互联网金融, 农业种植, 国资入股, "
190,002547.SZ,002547,春兴精工,通信设备,13.97,8.09,84.36,"5G, 特斯拉, 华为产业链, 3D玻璃, "
191,300152.SZ,300152,科融环境,环境保护,4.71,7.21,89.92,"固废处理, 雄安-园林环保, 大气治理, 环保, 雄安新区, 污水处理, "
192,300743.SZ,300743,天地数码,电脑设备,46.31,5.36,78.97,"高送转-预期, "
193,300238.SZ,300238,冠昊生物,医疗保健,21.89,5.35,78.75,"健康中国, 脑科学, 医药, 创新药, 医疗器械, 创投, "
194,600213.SH,600213,亚星客车,汽车整车,13.04,4.17,78.41,"新能源整车, 汽车整车, 山东国企改革, 新能源汽车, "
195,603317.SH,603317,天味食品,食品,34.34,2.96,87.0,
196,300769.SZ,300769,德方纳米,化工原料,117.25,2.82,108.74,
197,603068.SH,603068,博通集成,半导体,52.28,2.64,94.86,
198,300573.SZ,300573,兴齐眼药,化学制药,53.6,2.64,204.14,"医药, 化学药, 眼科, "
199,300768.SZ,300768,迪普科技,软件服务,34.68,2.63,133.85,
