,ts_code,name,industry,continuous_fall,average_p_change,accumulate_p_change,circ_mv
2152,600027.SH,华电国际,火力发电,1.0,-1.333,-2.673,3057139.7142
2423,600346.SH,恒力股份,化纤,1.0,-0.911,-1.813,1294457.6719
2446,600373.SH,中文传媒,出版业,1.0,-1.286,-2.558,1836794.0533
2468,600398.SH,海澜之家,服饰,1.0,-1.052,-2.096,4196235.901
2474,600406.SH,国电南瑞,软件服务,1.0,-2.186,-4.328,4909813.8573
2502,600458.SH,时代新材,塑料,1.0,-1.252,-2.494,659097.2828
2552,600519.SH,贵州茅台,白酒,1.0,-1.224,-2.432,90697481.16
2114,300741.SZ,华宝股份,食品,1.0,-1.184,-2.355,201707.25
2367,600280.SH,中央商场,百货,1.0,-1.943,-3.864,485745.6509
2846,600847.SH,万里股份,电气设备,1.0,-1.792,-3.552,191455.9626
2713,600702.SH,舍得酒业,白酒,1.0,-1.561,-3.1,885749.8
3320,603368.SH,柳药股份,医药商业,1.0,-1.204,-2.439,725405.6348
3391,603602.SH,纵横通信,通信设备,1.0,0.021,0.0,189819.0694
3385,603595.SH,东尼电子,元器件,1.0,-1.725,-3.425,186671.1
3381,603587.SH,地素时尚,服饰,1.0,-1.115,-2.219,142496.0
3351,603507.SH,振江股份,钢加工,1.0,-1.008,-2.012,207453.1919
3350,603506.SH,南都物业,房产服务,1.0,0.013,-0.042,62188.4926
3343,603486.SH,科沃斯,家用电器,1.0,-2.47,-4.904,218504.9
3304,603337.SH,杰克股份,纺织机械,1.0,-1.276,-2.576,312727.9368
2715,600704.SH,物产中大,商贸代理,1.0,-0.385,-0.772,2213634.7623
3302,603335.SH,迪生力,汽车配件,1.0,-0.672,-1.34,92144.338
3299,603331.SH,百达精工,专用机械,1.0,-0.059,-0.13,48897.0421
3296,603328.SH,依顿电子,元器件,1.0,-1.032,-2.07,1079695.2503
3295,603326.SH,我乐家居,家居用品,1.0,-1.928,-3.82,72927.1312
3280,603303.SH,得邦照明,家用电器,1.0,-1.448,-2.877,130866.0
3275,603297.SH,永新光学,电器仪表,1.0,-1.078,-2.148,96600.0
3392,603603.SH,博天环境,环境保护,1.0,-1.701,-3.377,436783.8279
3394,603606.SH,东方电缆,电气设备,1.0,-0.605,-1.246,506160.7398
3396,603608.SH,天创时尚,服饰,1.0,-1.692,-3.355,133318.0681
3413,603639.SH,海利尔,农药化肥,1.0,-0.886,-1.766,157102.7594
3415,603650.SH,彤程新材,化工原料,1.0,-1.563,-3.107,124714.8
3424,603665.SH,康隆达,纺织,1.0,-1.102,-2.193,89748.1683
3425,603666.SH,亿嘉和,专用机械,1.0,-1.027,-2.043,113056.4004
3438,603689.SH,皖天然气,供气供热,1.0,-0.133,-0.27,185269.2912
3451,603711.SH,香飘飘,软饮料,1.0,-2.063,-4.084,96762.3184
3458,603722.SH,阿科力,化工原料,1.0,-0.655,-1.33,90624.25
3474,603773.SH,沃格光电,元器件,1.0,-1.367,-2.718,108335.5605
3487,603801.SH,志邦家居,家居用品,1.0,-1.786,-3.561,214138.6017
3495,603816.SH,顾家家居,家居用品,1.0,-1.759,-3.488,451113.3
3516,603866.SH,桃李面包,食品,1.0,-1.569,-3.116,2429371.412
3545,603912.SH,佳力图,专用机械,1.0,-2.164,-4.287,170863.0
3558,603938.SH,三孚股份,化工原料,1.0,-1.791,-3.552,96545.3266
3565,603966.SH,法兰泰克,机械基件,1.0,-0.587,-1.17,86386.8776
3271,603283.SH,赛腾股份,专用机械,1.0,-3.037,-5.983,72280.0
3262,603239.SH,浙江仙通,汽车配件,1.0,-0.792,-1.578,96163.2
3252,603222.SH,济民制药,化学制药,1.0,-1.198,-2.382,485120.0
2957,601019.SH,山东出版,出版业,1.0,-1.098,-2.184,363291.9
2748,600738.SH,兰州民百,百货,1.0,-0.714,-1.434,347538.1412
2782,600775.SH,南京熊猫,通信设备,1.0,-1.802,-3.575,579796.6505
2788,600781.SH,辅仁药业,中成药,1.0,-0.906,-1.804,488787.7679
2808,600804.SH,鹏博士,电信运营,1.0,-1.076,-2.142,1243286.6216
2822,600820.SH,隧道股份,建筑施工,1.0,-0.64,-1.28,2182002.6892
2837,600836.SH,界龙实业,广告包装,1.0,-0.247,-0.499,264438.4757
2840,600839.SH,四川长虹,家用电器,1.0,-0.562,-1.124,1218172.7052
1947,300566.SZ,激智科技,元器件,1.0,-2.673,-5.276,144334.0654
2868,600871.SH,*ST油服,石油开采,1.0,0.001,0.0,2324233.572
2872,600875.SH,东方电气,电气设备,1.0,-1.917,-3.799,1871095.6448
2916,600969.SH,郴电国际,水力发电,1.0,-0.755,-1.506,242013.0165
2926,600981.SH,汇鸿集团,商贸代理,1.0,-1.059,-2.113,304765.3595
2939,600997.SH,开滦股份,煤炭开采,1.0,-0.932,-1.863,780292.48
2940,600998.SH,九州通,医药商业,1.0,-1.14,-2.271,2500019.7325
2994,601179.SH,中国西电,电气设备,1.0,-0.765,-1.527,1983716.4702
3243,603197.SH,保隆科技,汽车配件,1.0,-0.883,-1.759,203297.8667
3000,601208.SH,东材科技,化工原料,1.0,-4.185,-8.226,356535.969
3051,601607.SH,上海医药,医药商业,1.0,-1.162,-2.312,3413209.657
3062,601668.SH,中国建筑,建筑施工,1.0,-0.325,-0.653,25054914.7018
3073,601766.SH,中国中车,运输设备,1.0,-0.831,-1.657,20396746.1408
3093,601877.SH,正泰电器,电气设备,1.0,-1.95,-3.866,4492357.5654
3116,601966.SH,玲珑轮胎,汽车配件,1.0,-1.472,-2.922,589633.8634
3132,603002.SH,宏昌电子,化工原料,1.0,-0.489,-0.985,245309.7224
3136,603007.SH,花王股份,建筑施工,1.0,-2.11,-4.192,182117.194
3146,603018.SH,中设集团,建筑施工,1.0,-1.608,-3.19,534364.495
3169,603043.SH,广州酒家,食品,1.0,-0.351,-0.733,373760.5131
3175,603059.SH,倍加洁,家居用品,1.0,-0.839,-1.676,66880.0
3176,603060.SH,国检集团,建筑施工,1.0,-0.654,-1.331,146739.4225
3196,603100.SH,川仪股份,电器仪表,1.0,-0.92,-1.844,247762.8899
3222,603159.SH,上海亚虹,专用机械,1.0,-1.322,-2.633,47150.0
1948,300567.SZ,精测电子,电器仪表,1.0,-1.903,-3.769,517001.2965
53,000070.SZ,特发信息,通信设备,1.0,-1.177,-2.342,650732.3858
1942,300560.SZ,中富通,通信设备,1.0,-0.226,-0.465,128982.294
685,002223.SZ,鱼跃医疗,医疗保健,1.0,-1.809,-3.594,1811970.2497
787,002326.SZ,永太科技,化工原料,1.0,-0.784,-1.569,472758.9464
751,002290.SZ,中科新材,家用电器,1.0,-1.253,-2.494,180874.4475
724,002263.SZ,*ST东南,塑料,1.0,-0.274,-0.568,328713.0175
723,002262.SZ,恩华药业,化学制药,1.0,-2.112,-4.182,891483.7912
704,002242.SZ,九阳股份,家用电器,1.0,-0.589,-1.19,1265613.1349
690,002228.SZ,合兴包装,广告包装,1.0,-0.865,-1.737,593210.3536
684,002222.SZ,福晶科技,元器件,1.0,-0.951,-1.896,503280.7488
502,002040.SZ,南京港,港口,1.0,-0.932,-1.859,307668.9922
667,002205.SZ,国统股份,其他建材,1.0,-0.992,-2.003,170511.1624
664,002202.SZ,金风科技,电气设备,1.0,-0.912,-1.929,3919650.0426
651,002189.SZ,利达光电,元器件,1.0,-1.281,-2.555,307634.2331
577,002115.SZ,三维通信,通信设备,1.0,-1.118,-2.231,435014.7569
568,002106.SZ,莱宝高科,元器件,1.0,-1.999,-3.962,563083.5216
551,002089.SZ,新海宜,通信设备,1.0,-0.189,-0.412,452277.0293
791,002330.SZ,得利斯,食品,1.0,-1.094,-2.204,244948.6232
793,002332.SZ,仙琚制药,生物制药,1.0,-1.61,-3.212,599341.1871
802,002341.SZ,新纶科技,化工原料,1.0,-3.756,-7.396,767140.9719
830,002369.SZ,卓翼科技,通信设备,1.0,-0.529,-1.063,351648.6076
832,002371.SZ,北方华创,专用机械,1.0,-2.279,-4.513,1695348.3379
870,002409.SZ,雅克科技,化工原料,1.0,-1.071,-2.132,294313.9282
880,002419.SZ,天虹股份,百货,1.0,-1.393,-2.767,1475872.0603
883,002422.SZ,科伦药业,化学制药,1.0,-2.795,-5.519,2343918.5663
903,002442.SZ,龙星化工,化工原料,1.0,-1.986,-3.934,363021.0533
925,002464.SZ,众应互联,互联网,1.0,-1.22,-2.453,247791.8984
933,002472.SZ,双环传动,机械基件,1.0,-0.982,-1.955,358731.2509
938,002477.SZ,雏鹰农牧,农业综合,1.0,-1.274,-2.538,378369.9076
952,002491.SZ,通鼎互联,通信设备,1.0,-1.565,-3.108,1062918.4612
968,002507.SZ,涪陵榨菜,食品,1.0,-1.497,-2.979,1904983.8046
971,002510.SZ,天汽模,汽车配件,1.0,0.007,0.0,331263.0825
991,002531.SZ,天顺风能,电气设备,1.0,-2.128,-4.236,919871.4528
996,002536.SZ,西泵股份,汽车配件,1.0,-0.629,-1.27,341756.1963
509,002047.SZ,宝鹰股份,装修装饰,1.0,-0.773,-1.541,887933.3663
501,002039.SZ,黔源电力,水力发电,1.0,-0.431,-0.86,422327.4541
1929,300547.SZ,川环科技,橡胶,1.0,-2.379,-4.732,142369.9414
198,000626.SZ,远大控股,商贸代理,1.0,-0.592,-1.2,299804.895
274,000729.SZ,燕京啤酒,啤酒,1.0,-0.955,-1.902,1553345.5395
271,000726.SZ,鲁泰A,纺织,1.0,-0.446,-0.891,561524.6697
257,000710.SZ,贝瑞基因,医疗保健,1.0,-1.175,-2.344,233242.5
246,000695.SZ,滨海能源,供气供热,1.0,0.099,0.193,230811.9139
215,000656.SZ,金科股份,区域地产,1.0,-0.98,-1.964,3153298.8825
214,000655.SZ,*ST金岭,普钢,1.0,-0.606,-1.219,241112.7932
183,000607.SZ,华媒控股,广告包装,1.0,-0.977,-1.944,401726.4259
499,002037.SZ,久联发展,化工原料,1.0,-1.051,-2.128,210825.1392
175,000597.SZ,东北制药,化学制药,1.0,-0.46,-0.917,562373.4465
149,000560.SZ,我爱我家,房产服务,1.0,-0.697,-1.42,830090.6628
103,000504.SZ,南华生物,环境保护,1.0,-2.778,-5.48,412574.0109
91,000422.SZ,*ST宜化,农药化肥,1.0,-0.691,-1.401,316030.1704
68,000159.SZ,国际实业,石油贸易,1.0,-0.662,-1.322,215347.3249
63,000153.SZ,丰原药业,化学制药,1.0,-1.412,-2.824,182506.6796
288,000756.SZ,新华制药,化学制药,1.0,-0.599,-1.194,264465.7403
295,000766.SZ,通化金马,中成药,1.0,-0.723,-1.441,392266.3727
317,000799.SZ,酒鬼酒,白酒,1.0,-1.071,-2.143,593645.2465
325,000810.SZ,创维数字,家用电器,1.0,-2.108,-4.195,687069.7918
326,000811.SZ,冰轮环境,工程机械,1.0,-0.941,-1.874,376150.6495
328,000813.SZ,德展健康,化学制药,1.0,-1.501,-2.98,949821.3711
329,000815.SZ,美利云,造纸,1.0,-1.25,-2.506,246470.4
364,000877.SZ,天山股份,水泥,1.0,-0.703,-1.422,732238.54
372,000887.SZ,中鼎股份,橡胶,1.0,-1.102,-2.192,1305029.6421
396,000918.SZ,嘉凯城,全国地产,1.0,-1.379,-2.742,1216025.071
427,000961.SZ,中南建设,建筑施工,1.0,-0.315,-0.707,2597286.4515
429,000963.SZ,华东医药,化学制药,1.0,-3.378,-6.643,4282658.8707
431,000966.SZ,长源电力,火力发电,1.0,-1.29,-2.564,421147.9504
469,002007.SZ,华兰生物,生物制药,1.0,-1.587,-3.202,2863021.1283
472,002010.SZ,传化智联,仓储物流,1.0,-1.408,-2.806,2425180.7227
486,002024.SZ,苏宁易购,电器连锁,1.0,-1.0,-1.993,6612672.6202
491,002029.SZ,七匹狼,服饰,1.0,-0.968,-1.929,499400.153
1007,002547.SZ,春兴精工,通信设备,1.0,-0.752,-1.534,563160.9631
1028,002568.SZ,百润股份,红黄药酒,1.0,-0.47,-0.976,559420.4952
1037,002577.SZ,雷柏科技,电脑设备,1.0,-1.534,-3.046,322362.2822
1672,300286.SZ,安科瑞,电器仪表,1.0,-0.537,-1.078,161080.2547
1713,300327.SZ,中颖电子,半导体,1.0,-2.141,-4.237,523498.4796
1712,300326.SZ,凯利泰,医疗保健,1.0,-2.071,-4.111,601518.3113
1705,300319.SZ,麦捷科技,元器件,1.0,0.171,0.268,478143.6315
1698,300312.SZ,邦讯技术,通信设备,1.0,0.134,0.236,162464.9804
1694,300308.SZ,中际旭创,电气设备,1.0,-1.549,-3.075,982965.8111
1691,300305.SZ,裕兴股份,塑料,1.0,-0.692,-1.382,180233.1693
1663,300277.SZ,海联讯,软件服务,1.0,-1.383,-2.748,213006.8281
1042,002582.SZ,好想你,食品,1.0,-1.53,-3.04,233398.2842
1636,300250.SZ,初灵信息,软件服务,1.0,-2.75,-5.459,211827.365
1635,300249.SZ,依米康,软件服务,1.0,-1.182,-2.351,189691.663
1625,300239.SZ,东宝生物,生物制药,1.0,-1.527,-3.03,185089.3574
1611,300225.SZ,金力泰,染料涂料,1.0,-0.894,-1.795,256327.8545
1599,300213.SZ,佳讯飞鸿,通信设备,1.0,-0.82,-1.633,278945.0533
1548,300161.SZ,华中数控,机床制造,1.0,-1.23,-2.455,200172.5493
1732,300346.SZ,南大光电,元器件,1.0,-2.172,-4.303,263489.2451
1758,300374.SZ,恒通科技,其他建材,1.0,-1.603,-3.181,160305.7627
1768,300384.SZ,三联虹普,纺织机械,1.0,-2.178,-4.309,254436.7763
1779,300395.SZ,菲利华,玻璃,1.0,-0.667,-1.357,489217.8388
1798,300414.SZ,中光防雷,元器件,1.0,-1.197,-2.38,252015.9408
1804,300420.SZ,五洋停车,机械基件,1.0,-1.894,-3.754,264626.3979
1805,300421.SZ,力星股份,机械基件,1.0,-0.712,-1.419,160359.1268
1813,300429.SZ,强力新材,化工原料,1.0,-1.472,-2.929,442418.324
1820,300436.SZ,广生堂,化学制药,1.0,-1.989,-3.939,276821.2497
60,000100.SZ,TCL集团,家用电器,1.0,-0.903,-1.813,4156028.5156
1836,300452.SZ,山河药辅,化学制药,1.0,-1.283,-2.551,164343.1889
1854,300470.SZ,日机密封,机械基件,1.0,-1.884,-3.734,421122.9528
1861,300477.SZ,合纵科技,电气设备,1.0,-0.784,-1.589,294499.9099
1867,300483.SZ,沃施股份,专用机械,1.0,-0.674,-1.343,189789.0
1881,300497.SZ,富祥股份,化学制药,1.0,-0.748,-1.499,363454.673
1896,300512.SZ,中亚股份,专用机械,1.0,-5.016,-9.79,120472.9777
1911,300528.SZ,幸福蓝海,影视音像,1.0,-0.818,-1.63,140112.4362
1466,300079.SZ,数码科技,通信设备,1.0,-0.746,-1.492,478799.3295
1397,300009.SZ,安科生物,生物制药,1.0,-1.597,-3.169,937344.7435
1391,300003.SZ,乐普医疗,医疗保健,1.0,-3.449,-6.779,3271496.1827
1232,002778.SZ,高科石化,石油加工,1.0,-3.038,-5.991,171981.335
1045,002585.SZ,双星新材,塑料,1.0,-1.479,-2.936,507054.3661
1053,002593.SZ,日上集团,汽车配件,1.0,-0.835,-1.676,164237.3498
1075,002615.SZ,哈尔斯,家居用品,1.0,-1.948,-3.859,131669.7004
1078,002618.SZ,丹邦科技,元器件,1.0,-3.283,-6.457,865165.68
1103,002643.SZ,万润股份,化工原料,1.0,-2.024,-4.013,1024164.1609
1104,002644.SZ,佛慈制药,中成药,1.0,-1.1,-2.19,410568.228
1121,002661.SZ,克明面业,食品,1.0,-1.142,-2.278,435382.2059
1183,002726.SZ,龙大肉食,食品,1.0,-2.666,-5.275,619644.1312
1188,002731.SZ,萃华珠宝,服饰,1.0,-1.332,-2.646,236623.6927
1205,002749.SZ,国光股份,农药化肥,1.0,-0.468,-0.933,267141.3578
1208,002752.SZ,昇兴股份,广告包装,1.0,-1.161,-2.316,122061.7323
1212,002757.SZ,南兴装备,家居用品,1.0,-1.556,-3.09,286245.8663
1228,002774.SZ,快意电梯,运输设备,1.0,-0.447,-0.896,83264.983
1230,002776.SZ,柏堡龙,服饰,1.0,-0.616,-1.23,379933.55
1239,002786.SZ,银宝山新,专用机械,1.0,-2.414,-4.783,326341.44
1382,002941.SZ,新疆交建,建筑施工,1.0,-1.075,-2.141,210925.0
1245,002792.SZ,通宇通讯,通信设备,1.0,-0.815,-1.637,242196.4672
1251,002799.SZ,环球印务,广告包装,1.0,-1.642,-3.26,98092.5
1252,002800.SZ,天顺股份,仓储物流,1.0,-0.521,-1.047,62933.4564
1299,002851.SZ,麦格米特,电气设备,1.0,-0.772,-1.541,291538.9863
1306,002859.SZ,洁美科技,元器件,1.0,-1.888,-3.785,374954.0086
1307,002860.SZ,星帅尔,电气设备,1.0,-1.153,-2.298,94491.6598
1313,002866.SZ,传艺科技,电脑设备,1.0,-1.164,-2.316,98604.852
1326,002880.SZ,卫光生物,生物制药,1.0,-0.788,-1.569,116883.0
1331,002885.SZ,京泉华,元器件,1.0,-2.051,-4.067,97927.7817
1337,002891.SZ,中宠股份,饲料,1.0,-1.498,-2.996,198784.4006
1346,002901.SZ,大博医疗,医疗保健,1.0,-1.581,-3.137,128748.8982
1348,002903.SZ,宇环数控,机床制造,1.0,-1.7,-3.373,117216.0
1357,002913.SZ,奥士康,元器件,1.0,-1.622,-3.246,159933.733
1381,002940.SZ,昂利康,化学制药,1.0,-1.545,-3.069,88830.0
1821,300437.SZ,清水源,化工原料,1.0,-1.516,-3.045,185806.8755
