,ts_code,symbol,name,industry,COL_MA_5,COL_MA_10,COL_MA_20,COL_MA_5_SLOPE,COL_MA_10_SLOPE,COL_MA_20_SLOPE,COL_LASTPRICE,COL_MA_CLOSE_GAP,concept
15,603388.SH,603388,元成股份,建筑施工,13.15,13.01,12.94,1.0,0.62,0.47,13.65,5.49,"园林, PPP, "
16,002911.SZ,002911,佛燃股份,供气供热,18.53,18.36,18.1,0.6,0.55,0.5,19.11,5.58,"天然气, 新能源汽车, 充电桩, "
17,600800.SH,600800,天津磁卡,综合类,9.15,8.99,8.76,0.88,0.22,0.11,9.25,5.59,"石油化工, 天津国企改革, 资产重组, 工业大麻, "
18,002886.SZ,002886,沃特股份,塑料,23.83,23.13,22.92,0.97,0.87,0.79,24.21,5.63,"5G, 国资入股, "
19,000038.SZ,000038,深大通,广告包装,15.48,14.44,14.17,2.11,0.77,0.57,15.0,5.86,"高质押率, 国资入股, "
20,000035.SZ,000035,中国天楹,环境保护,5.42,5.31,5.29,1.31,0.57,0.38,5.6,5.86,"固废处理, 环保, 资产重组, "
21,603806.SH,603806,福斯特,塑料,36.15,34.9,34.39,1.2,0.95,0.38,36.6,6.43,"光伏, "
22,600301.SH,600301,ST南化,化工原料,7.49,7.32,7.21,0.81,0.69,0.56,7.68,6.52,"烧碱, 广西, ST股, "
23,000059.SZ,000059,华锦股份,石油加工,7.65,7.56,7.46,1.06,0.67,0.54,7.95,6.57,"油气改革, 石墨电极, 混改, 军工混改, 央企改革, 军工研究所, 破净股, 军工, 石油化工, 煤化工, 化肥, 油品升级, "
24,300288.SZ,300288,朗玛信息,软件服务,17.17,16.66,16.49,1.24,0.85,0.61,17.6,6.73,"民营医院, 大数据, 互联网医疗, "
25,002122.SZ,002122,*ST天马,机械基件,3.4,3.28,3.25,1.49,1.23,0.0,3.47,6.77,"破净股, 智慧停车, 大数据, ST股, 创投, "
26,002866.SZ,002866,传艺科技,电脑设备,13.75,13.41,13.19,1.03,0.68,0.61,14.11,6.97,"PCB板, "
27,000688.SZ,000688,国城矿业,铅锌,12.83,12.61,12.57,1.58,0.8,0.64,13.45,7.0,"有色-锌, 回购, 有色金属, 高质押率, "
28,002255.SZ,002255,海陆重工,专用机械,5.11,5.1,4.99,0.99,0.59,0.4,5.34,7.01,"核电, 业绩预增, 光伏, "
29,300565.SZ,300565,科信技术,通信设备,16.35,15.81,15.71,1.24,1.15,0.71,16.83,7.13,"5G, 光通信, "
30,300128.SZ,300128,锦富技术,元器件,5.62,5.28,5.15,1.81,0.96,0.39,5.52,7.18,"OLED, 新零售, 石油化工, 物联网, 光伏, 大数据, 云计算, 石墨烯, 股权转让, VR&AR, 苹果产业链, "
31,002773.SZ,002773,康弘药业,中成药,55.38,52.6,52.08,2.08,0.98,0.7,55.85,7.24,"MSCI, 新进指数成份股, 医药, 中药, 创新药, 化学药, "
32,002135.SZ,002135,东南网架,建筑施工,6.78,6.68,6.45,1.04,0.75,0.62,6.92,7.29,"业绩预增, 大基建, 装配式建筑, 雄安-建材, PPP, 雄安新区, "
33,000836.SZ,000836,富通鑫茂,通信设备,5.51,5.08,4.94,2.04,1.2,0.61,5.3,7.29,"5G, 光通信, 无人驾驶, 股权转让, 智慧安防, 独角兽, "
34,300710.SZ,300710,万隆光电,通信设备,32.22,31.7,31.24,1.74,0.67,0.48,33.6,7.55,"5G, 光通信, 阿里巴巴概念股, 高送转-预期, 物联网, 广电, 强势人气股, "
35,300303.SZ,300303,聚飞光电,半导体,3.93,3.82,3.8,1.29,0.79,0.53,4.09,7.63,"社保重仓, 业绩预增, LED, "
36,600861.SH,600861,北京城乡,百货,8.96,8.77,8.51,1.01,0.8,0.71,9.16,7.64,"北京城市规划, 新零售, "
37,600503.SH,600503,华丽家族,区域地产,5.26,4.92,4.78,1.94,1.03,0.84,5.16,7.95,"华为产业链, 恒大概念股, 房地产, 智能制造, 石墨烯, 期货概念, 机器人, "
38,002810.SZ,002810,山东赫达,化工原料,26.17,25.42,25.37,1.2,0.99,0.59,27.4,8.0,"业绩预增, 高送转, "
39,002678.SZ,002678,珠江钢琴,文教休闲,7.66,7.56,7.55,2.0,0.8,0.67,8.16,8.08,"二胎, 教育, "
40,600604.SH,600604,市北高新,园区开发,15.72,15.08,14.95,1.81,1.21,0.54,16.18,8.23,"阿里巴巴概念股, 房地产, 上海国企改革, 住房租赁, 强势人气股, 创投, "
41,002778.SZ,002778,高科石化,石油加工,22.82,21.87,21.42,1.51,0.97,0.8,23.19,8.26,"石油化工, 工业自动化, 智能制造, 股权转让, 资产重组, "
42,002634.SZ,002634,棒杰股份,服饰,6.61,6.45,6.31,1.69,0.94,0.64,6.84,8.4,"回购, 纺织服装, 股权转让, 科创板概念股, "
43,002515.SZ,002515,金字火腿,食品,6.47,6.29,6.26,1.73,0.8,0.48,6.8,8.63,"回购, 业绩预增, 食品, 高质押率, 医药, 创新药, 互联网金融, 股权转让, 国资入股, 资产重组, "
44,300134.SZ,300134,大富科技,通信设备,16.82,15.93,15.64,1.45,1.27,0.58,16.99,8.63,"5G, OLED, 特斯拉, 华为产业链, 无人驾驶, 高质押率, 石墨烯, 股权转让, VR&AR, 国资入股, 虹膜识别, "
45,300097.SZ,300097,智云股份,电器仪表,14.12,13.75,13.64,1.58,1.18,0.66,14.84,8.8,"OLED, 华为产业链, 回购, 定增破发, 工业自动化, 智能制造, "
46,002828.SZ,002828,贝肯能源,石油开采,14.44,13.76,13.49,1.76,1.03,0.82,14.68,8.82,"油服, 油气改革, 可燃冰, 页岩气, 天然气, 新疆, "
47,000683.SZ,000683,远兴能源,化工原料,3.35,3.24,3.16,1.52,0.93,0.64,3.44,8.86,"内蒙古, 石墨电极, 甲醇, 纯碱, 回购, 业绩预增, 化肥, "
48,002147.SZ,002147,ST新光,区域地产,3.6,3.45,3.36,1.69,0.88,0.3,3.66,8.93,"破净股, 债转股-AMC, 高质押率, 房地产, 共享经济, 资产重组, ST股, "
49,300375.SZ,300375,鹏翎股份,汽车配件,8.74,8.41,8.13,1.27,1.08,0.87,8.86,8.98,"社保重仓, 汽车零部件, 资产重组, "
50,300032.SZ,300032,金龙机电,元器件,4.06,3.9,3.78,1.0,0.78,0.53,4.12,8.99,"小米概念股, 智能制造, 共享经济, 机器人, "
51,002446.SZ,002446,盛路通信,通信设备,11.69,11.28,10.98,1.12,1.08,0.83,11.98,9.11,"5G, 华为产业链, 军工, 军民融合, 物联网, 无人驾驶, 北斗导航, "
52,601001.SH,601001,大同煤业,煤炭开采,5.59,5.39,5.25,1.64,1.13,0.96,5.73,9.14,"煤炭, 山西国企改革, "
53,000680.SZ,000680,山推股份,工程机械,4.98,4.63,4.42,2.05,1.09,0.91,4.83,9.28,"一带一路, 机械, 山东国企改革, "
54,000534.SZ,000534,万泽股份,生物制药,11.44,11.08,10.86,1.69,0.91,0.74,11.87,9.3,"社保重仓, 大飞机, 军工, 军民融合, 互联网金融, 股权转让, 资产重组, "
55,002045.SZ,002045,国光电器,元器件,6.5,6.24,6.19,1.88,1.3,0.81,6.77,9.37,"定增破发, 家电, 锂电池, 新能源汽车, 智能音箱, 苹果产业链, 黑色家电, "
56,000755.SZ,000755,山西路桥,公路,5.48,5.3,5.17,1.67,0.95,0.78,5.66,9.48,"高速公路, 山西国企改革, ST摘帽, "
57,603505.SH,603505,金石资源,矿物制品,19.81,18.98,18.43,1.64,1.06,0.82,20.18,9.5,"业绩预增, "
58,300492.SZ,300492,山鼎设计,建筑施工,34.09,30.78,28.35,1.34,1.12,0.89,31.06,9.56,"新零售, 跨境电商, 复牌股, 年报季报, 装修装饰, 体育产业, "
59,603399.SH,603399,吉翔股份,小金属,12.46,12.27,12.06,1.47,1.15,0.75,13.22,9.62,"有色金属, 有色-钼, 百度概念股, 游戏, 手游, 影视, "
60,300427.SZ,300427,红相股份,电气设备,17.66,16.39,15.48,1.61,1.17,1.04,16.98,9.69,"电改, 业绩预增, 军工, 军民融合, 股权转让, "
61,600246.SH,600246,万通地产,区域地产,4.92,4.75,4.64,2.07,1.06,0.87,5.09,9.7,"高质押率, 房地产, 锂电池, 新能源汽车, 京津冀, "
62,002498.SZ,002498,汉缆股份,电气设备,3.64,3.4,3.27,2.25,1.19,0.93,3.59,9.79,"特高压, "
63,000977.SZ,000977,浪潮信息,电脑设备,27.14,26.51,26.06,1.23,1.18,0.7,28.62,9.82,"MSCI, 美团概念股, 山东国企改革, 数字中国, 云计算, 国产操作系统, 智慧安防, "
64,300158.SZ,300158,振东制药,中成药,5.68,5.52,5.28,1.61,1.47,0.96,5.8,9.85,"破净股, 保健品, 食品, 医药, 中药, 创新药, 化学药, "
65,002739.SZ,002739,万达电影,影视音像,25.61,24.12,23.06,1.99,1.26,0.87,25.42,10.23,"阿里巴巴概念股, 大消费, 资产重组, 影视, "
66,002569.SZ,002569,步森股份,服饰,13.62,13.2,12.58,1.34,1.15,0.32,13.92,10.65,"新零售, 供应链金融, 纺织服装, 股权争夺, 壳公司, "
67,000566.SZ,000566,海南海药,化学制药,8.11,7.93,7.88,2.14,0.63,0.38,8.73,10.79,"业绩预增, 医药, 创新药, 化学药, 海南自由贸易港, 医疗器械, 自贸区, 互联网医疗, 自由贸易港, 国资入股, 资产重组, 独角兽, 海南, 科创板概念股, "
68,002837.SZ,002837,英维克,专用机械,21.19,20.4,20.24,2.37,1.24,0.9,22.43,10.82,"5G, 军工, 军民融合, 新能源汽车, 腾讯概念股, 充电桩, "
69,600863.SH,600863,内蒙华电,火力发电,3.29,3.12,3.02,2.49,1.63,1.0,3.35,10.93,"火电, MSCI, 内蒙古, 电改, 央企改革, 业绩预增, 风电, 低价股, "
70,300551.SZ,300551,古鳌科技,专用机械,17.35,16.52,15.79,1.34,1.23,1.02,17.54,11.08,"互联网金融, 无人银行, "
71,300283.SZ,300283,温州宏丰,电气设备,5.86,5.7,5.67,2.27,1.24,0.89,6.3,11.11,"股权转让, "
72,002203.SZ,002203,海亮股份,铜,9.96,9.69,9.4,1.74,1.25,1.08,10.45,11.17,"有色金属, 有色-钴, 工业自动化, 智能制造, 有色-铜, "
73,000413.SZ,000413,东旭光电,元器件,6.88,6.49,6.33,2.08,1.09,0.96,7.04,11.22,"OLED, MSCI, 新能源整车, 汽车整车, 华为产业链, 定增破发, 燃料电池, 智能制造, 新能源汽车, 石墨烯, 智慧城市, 3D玻璃, 机器人, "
74,603589.SH,603589,口子窖,白酒,61.25,57.62,56.4,2.44,1.27,1.11,62.79,11.33,"MSCI, 白酒, "
75,000715.SZ,000715,中兴商业,百货,9.68,9.45,9.33,2.22,1.07,0.76,10.39,11.36,"新零售, 股权转让, "
76,002093.SZ,002093,国脉科技,电信运营,10.51,10.2,9.98,1.35,1.19,1.01,11.12,11.42,"5G, 教育, 物联网, 数字中国, 云计算, "
77,300116.SZ,300116,坚瑞沃能,电气设备,2.17,2.06,2.01,2.36,0.98,0.5,2.24,11.44,"锂电池, 新能源汽车, 低价股, "
78,603617.SH,603617,君禾股份,专用机械,21.2,20.52,20.18,2.61,1.18,0.8,22.6,11.99,
79,603488.SH,603488,展鹏科技,电气设备,10.02,9.73,9.53,2.35,1.25,0.95,10.71,12.38,
80,002840.SZ,002840,华统股份,食品,19.93,19.2,19.14,2.84,1.48,0.79,21.51,12.38,"养猪, "
81,300212.SZ,300212,易华录,软件服务,33.79,33.14,31.92,1.75,1.25,1.2,35.96,12.66,"阿里巴巴概念股, 央企改革, 业绩预增, 物联网, 百度概念股, 无人驾驶, 雄安-智慧城市, 养老产业, 智慧停车, PPP, 小米概念股, 数字中国, 雄安新区, 京津冀, 大数据, 云计算, 智慧城市, 智慧安防, 独角兽, 电子车牌, "
82,600617.SH,600617,国新能源,供气供热,6.22,6.02,5.86,2.13,1.35,0.86,6.61,12.8,"油气改革, 天然气, 山西国企改革, 雄安-公共服务, 雄安新区, "
83,300138.SZ,300138,晨光生物,食品,8.36,7.89,7.75,2.7,1.28,1.04,8.75,12.9,"海底捞概念股, 回购, 独角兽, "
84,300130.SZ,300130,新国都,电脑设备,18.49,17.65,17.52,3.07,1.79,0.63,19.82,13.13,"业绩预增, 物联网, 网络安全, 互联网金融, 移动支付, 大数据, 区块链, 腾讯概念股, "
85,002564.SZ,002564,天沃科技,化工机械,6.42,6.31,6.21,2.56,1.12,0.81,7.04,13.37,"回购, 风电, 军工, 军民融合, 煤化工, 股权转让, 国资入股, "
86,600110.SH,600110,诺德股份,电气设备,5.52,5.35,5.17,1.85,1.33,0.78,5.87,13.54,"中科院系, 宁德时代概念股, "
87,603908.SH,603908,牧高笛,纺织,29.43,28.4,28.08,2.87,1.43,1.01,31.89,13.57,"纺织服装, 体育产业, "
88,000713.SZ,000713,丰乐种业,种植业,6.96,6.71,6.4,1.75,1.51,1.11,7.27,13.59,"农药, 安徽国企改革, 转基因, 乡村振兴, 业绩预增, 农业种植, "
89,600261.SH,600261,阳光照明,家用电器,4.21,4.11,4.05,2.93,1.23,1.0,4.62,14.07,"LED, "
90,600303.SH,600303,曙光股份,汽车整车,5.64,5.42,5.06,1.62,1.5,1.2,5.78,14.23,"新能源整车, 振兴东北, 汽车整车, 汽车零部件, 新能源汽车, 股权转让, "
91,002669.SZ,002669,康达新材,化工原料,15.87,15.3,14.58,2.45,1.53,1.25,16.74,14.81,"业绩预增, 军工, 军民融合, 股权转让, 国资入股, "
92,002560.SZ,002560,通达股份,电气设备,6.66,6.47,6.31,2.46,1.41,1.12,7.26,15.06,"特高压, 大飞机, 有色金属, 军工, 军民融合, 有色-钛, "
93,002303.SZ,002303,美盈森,造纸,7.05,6.63,6.45,3.37,2.16,1.42,7.46,15.66,"军工, 军民融合, 工业自动化, 智能制造, 包装印刷, "
94,002746.SZ,002746,仙坛股份,农业综合,25.89,25.52,24.47,2.74,1.79,0.82,28.31,15.69,"业绩预增, 养鸡, 高送转, "
95,002360.SZ,002360,同德化工,化工原料,6.81,6.56,6.39,3.18,1.39,0.95,7.42,16.12,"回购, 民爆, "
96,002791.SZ,002791,坚朗五金,其他建材,15.76,15.2,14.96,3.34,1.95,1.49,17.47,16.78,"社保重仓, 回购, "
97,600378.SH,600378,天科股份,化工原料,14.48,13.89,13.25,2.26,1.76,1.22,15.48,16.83,"油服, 可燃冰, 央企改革, 业绩预增, 页岩气, 石油化工, 燃料电池, 资产重组, 碳交易, "
98,300508.SZ,300508,维宏股份,软件服务,32.79,30.99,30.67,4.06,1.41,0.76,35.89,17.02,"工业自动化, 智能制造, 工业互联网, "
99,002729.SZ,002729,好利来,元器件,34.57,33.37,31.65,2.8,2.11,1.67,37.28,17.79,
100,002505.SZ,002505,大康农业,农业综合,2.43,2.33,2.27,3.4,1.75,0.89,2.68,18.06,"阿里巴巴概念股, 养猪, 业绩预增, 食品, 乳业（奶粉）, 高质押率, 低价股, "
101,002418.SZ,002418,康盛股份,机械基件,6.46,5.93,5.53,2.87,1.89,1.47,6.59,19.17,"新能源整车, 汽车整车, 白色家电, 家电, 燃料电池, 新能源汽车, 石墨烯, 资产重组, "
102,002211.SZ,002211,宏达新材,橡胶,6.88,6.52,6.26,3.93,2.03,1.29,7.47,19.33,"有机硅, 雄安-园林环保, 雄安新区, 股权转让, "
103,000070.SZ,000070,特发信息,通信设备,17.97,16.44,15.66,3.1,2.62,1.29,18.76,19.8,"5G, 光通信, 军工, 军民融合, 深圳本地股/深汕合作, 创投, "
104,300021.SZ,300021,大禹节水,农业综合,8.34,8.08,7.47,2.46,2.28,1.77,9.03,20.88,"乡村振兴, 农机, 水利, 海绵城市, 土地流转, PPP, "
105,603226.SH,603226,菲林格尔,家居用品,22.97,21.84,21.0,3.84,2.44,1.11,25.39,20.9,"家具家居, "
106,002140.SZ,002140,东华科技,建筑施工,10.04,9.45,9.06,4.04,2.05,1.57,10.96,20.97,"高股息, 固废处理, 国家队重仓, 央企改革, 供应链金融, 雄安-公共服务, 环保, 雄安新区, "
107,002157.SZ,002157,正邦科技,饲料,20.56,19.74,18.84,3.94,2.23,2.06,23.05,22.35,"阿里巴巴概念股, 饲料, 养猪, 土地流转, "
108,002611.SZ,002611,东方精工,轻工机械,5.27,5.06,4.75,3.54,2.02,1.93,5.85,23.16,"北汽新能源, 社保重仓, 宁德时代概念股, 定增破发, 锂电池, 燃料电池, 新能源汽车, 包装印刷, "
109,600853.SH,600853,龙建股份,建筑施工,5.24,4.96,4.75,4.59,2.27,1.71,5.86,23.37,"振兴东北, 大基建, PPP, "
110,603609.SH,603609,禾丰牧业,饲料,12.73,11.96,11.33,4.17,3.01,1.52,14.02,23.74,"饲料, 养猪, "
111,300404.SZ,300404,博济医药,医疗保健,19.41,17.93,16.59,3.8,2.81,1.9,20.54,23.81,"医药, 创新药, "
112,002330.SZ,002330,得利斯,食品,7.14,6.74,6.4,4.54,2.9,1.75,8.01,25.16,"养猪, 食品, "
113,300238.SZ,300238,冠昊生物,医疗保健,19.22,17.85,17.48,5.49,2.59,1.51,21.89,25.23,"健康中国, 脑科学, 医药, 创新药, 医疗器械, 创投, "
114,002666.SZ,002666,德联集团,化工原料,5.82,5.48,5.3,4.86,2.62,1.73,6.66,25.66,"蔚来汽车概念股, "
115,002631.SZ,002631,德尔未来,家居用品,10.44,9.58,9.19,5.56,3.12,2.11,11.57,25.9,"石墨烯, 家具家居, "
116,000637.SZ,000637,茂化实华,石油加工,6.34,5.86,5.53,4.28,2.81,2.03,6.97,26.04,"油气改革, 石油化工, 燃料电池, "
117,300430.SZ,300430,诚益通,电器仪表,12.32,11.43,10.63,4.05,2.7,2.02,13.4,26.06,"社保重仓, 定增破发, 工业自动化, 智能制造, 医疗器械, "
118,001896.SZ,001896,豫能控股,火力发电,4.54,4.35,4.16,4.85,2.59,1.46,5.25,26.2,"火电, 电改, 破净股, 风电, 定增破发, "
119,600073.SH,600073,上海梅林,食品,9.96,9.41,9.2,5.17,2.84,1.77,11.62,26.3,"食品, 休闲食品, 万达系, 上海国企改革, 进口博览会, "
120,002100.SZ,002100,天康生物,饲料,11.15,10.31,9.88,5.19,3.0,1.75,12.49,26.42,"转基因, 饲料, 养猪, 新疆, 新疆国企改革, 动物保健, "
121,002054.SZ,002054,德美化工,化工原料,8.16,7.74,7.61,5.56,2.65,1.6,9.63,26.54,"半导体, 国资入股, 壳公司, 创投, "
122,603519.SH,603519,立霸股份,家用电器,14.45,13.21,12.25,5.09,2.32,2.0,15.53,26.78,"白色家电, 家电, "
123,000702.SZ,000702,正虹科技,饲料,7.76,7.32,7.11,6.3,3.1,1.86,9.17,28.97,"饲料, 业绩预增, 湖南国企改革, 农垦, "
124,002600.SZ,002600,领益智造,元器件,6.47,6.1,5.9,5.89,3.04,1.37,7.63,29.32,"OLED, 华为产业链, 稀土磁材, 小米概念股, 苹果产业链, 强势人气股, "
125,300325.SZ,300325,德威新材,塑料,6.82,6.1,5.52,4.28,3.39,2.79,7.18,30.07,"特高压, 供应链金融, 锦纶（尼龙）, 燃料电池, 举牌股, 资产重组, "
126,002385.SZ,002385,大北农,饲料,7.42,6.71,6.16,5.55,3.39,2.33,8.1,31.49,"MSCI, 新进指数成份股, 转基因, 回购, 饲料, 养猪, 互联网金融, 农业种植, 国资入股, "
127,300145.SZ,300145,中金环境,专用机械,5.82,5.06,4.68,5.82,4.33,2.41,6.4,36.75,"固废处理, 回购, 环保, 污水处理, 股权转让, 国资入股, "
128,002274.SZ,002274,华昌化工,农药化肥,13.93,13.09,11.99,5.37,3.89,3.63,16.47,37.36,"甲醇, 纯碱, 业绩预增, 化肥, 燃料电池, 科创板概念股, "
129,300022.SZ,300022,吉峰科技,农用机械,5.86,5.3,5.0,7.72,4.33,2.46,6.95,39.0,"乡村振兴, 农机, "
130,002215.SZ,002215,诺普信,农药化肥,10.34,8.97,7.9,5.62,4.55,3.0,11.11,40.63,"农药, 回购, 供应链金融, "
131,300152.SZ,300152,科融环境,环境保护,3.99,3.56,3.23,7.55,3.49,2.87,4.71,45.82,"固废处理, 雄安-园林环保, 大气治理, 环保, 雄安新区, 污水处理, "
132,600213.SH,600213,亚星客车,汽车整车,10.87,9.78,8.89,7.41,5.16,2.42,13.04,46.68,"新能源整车, 汽车整车, 山东国企改革, 新能源汽车, "
133,002547.SZ,002547,春兴精工,通信设备,13.05,11.03,9.51,5.5,5.15,3.48,13.97,46.9,"5G, 特斯拉, 华为产业链, 3D玻璃, "
134,600175.SH,600175,美都能源,综合类,3.81,3.28,3.0,10.12,6.15,3.45,4.57,52.33,"油气改革, 破净股, 天然气, 石油化工, 高质押率, 锂电池, 互联网金融, 新能源汽车, 低价股, 石墨烯, 充电桩, "
135,300573.SZ,300573,兴齐眼药,化学制药,44.7,36.35,27.96,9.99,9.59,6.72,53.6,91.7,"医药, 化学药, 眼科, "
