code,name,p_change_01,past_average_turnover,normalizing_std,stop_mark
600096,云天化,7.984,2.703,0.021,
300202,聚龙股份,7.949,0.783,0.024,
000538,云南白药,7.929,0.313,0.027,
300596,利安隆,7.913,1.787,0.024,
300683,海特生物,7.902,5.613,0.029,
002419,天虹股份,7.849,1.36,0.027,
000869,张 裕Ａ,7.838,0.967,0.024,
000929,兰州黄河,7.808,1.727,0.028,
000701,厦门信达,7.769,2.63,0.026,
300270,中威电子,7.717,1.43,0.017,
000920,南方汇通,7.708,1.737,0.024,
601607,上海医药,7.667,0.763,0.029,
600712,南宁百货,7.593,0.417,0.022,
002557,洽洽食品,7.514,0.577,0.023,
600435,北方导航,7.513,3.81,0.024,
300327,中颖电子,7.398,2.97,0.029,
600167,联美控股,7.383,0.937,0.017,
002262,恩华药业,7.33,0.75,0.024,
002414,高德红外,7.323,0.7,0.029,
600549,厦门钨业,7.297,2.847,0.02,
600101,明星电力,7.276,2.19,0.022,
300095,华伍股份,7.248,1.613,0.026,
600488,天药股份,7.242,0.597,0.019,
600692,亚通股份,7.189,4.78,0.017,
000301,东方市场,7.169,2.0,0.028,
002327,富安娜,7.153,1.41,0.026,
600873,梅花生物,7.133,1.583,0.019,
300070,碧水源,7.124,2.043,0.023,
600995,文山电力,7.101,2.147,0.029,
600843,上工申贝,7.082,1.08,0.024,
002420,毅昌股份,7.081,1.017,0.023,
300061,康旗股份,7.078,1.453,0.029,
300402,宝色股份,7.004,2.897,0.029,
002376,新北洋,6.995,2.73,0.026,
300460,惠伦晶体,6.973,1.273,0.027,
600235,民丰特纸,6.952,1.053,0.019,
300478,杭州高新,6.901,2.607,0.023,
300311,任子行,6.9,2.73,0.026,
300406,九强生物,6.895,1.03,0.022,
000403,ST生化,6.863,0.303,0.023,
000430,张家界,6.821,2.71,0.024,
600518,康美药业,6.807,0.433,0.029,
002490,*ST墨龙,6.776,1.253,0.017,
300549,优德精密,6.724,2.767,0.027,
000078,海王生物,6.713,1.38,0.029,
300165,天瑞仪器,6.694,1.463,0.025,
600329,中新药业,6.689,0.807,0.021,
300577,开润股份,6.625,1.08,0.02,
300512,中亚股份,6.613,2.737,0.02,
600587,新华医疗,6.608,0.707,0.02,
600744,华银电力,6.54,0.633,0.029,
300497,富祥股份,6.46,2.333,0.027,
600438,通威股份,6.423,1.19,0.024,
600118,中国卫星,6.4,1.397,0.02,
600513,联环药业,6.399,1.467,0.015,
600425,*ST青松,6.39,0.94,0.02,
002329,皇氏集团,6.339,3.203,0.024,
002871,伟隆股份,6.293,3.787,0.028,
300203,聚光科技,6.283,1.617,0.022,
300289,利德曼,6.247,1.02,0.026,
601311,骆驼股份,6.245,0.45,0.027,
300472,新元科技,6.205,1.163,0.028,
002529,海源机械,6.191,1.533,0.025,
000659,*ST中富,6.191,1.027,0.026,
000999,华润三九,6.185,0.69,0.023,
002686,亿利达,6.153,0.443,0.026,
000752,西藏发展,6.135,0.75,0.027,
300179,四方达,6.101,1.213,0.023,
600651,飞乐音响,6.09,1.13,0.029,
300326,凯利泰,6.066,1.193,0.022,
300206,理邦仪器,6.05,1.127,0.02,
002223,鱼跃医疗,6.043,3.207,0.022,
002483,润邦股份,6.017,0.643,0.023,
300243,瑞丰高材,6.001,0.583,0.028,
600936,广西广电,5.984,0.513,0.023,
002275,桂林三金,5.944,0.357,0.017,
600815,*ST厦工,5.909,0.493,0.014,
002488,金固股份,5.895,2.527,0.021,
600375,华菱星马,5.886,1.307,0.017,
600116,三峡水利,5.876,0.913,0.014,
300506,名家汇,5.841,3.72,0.027,
600091,ST明科,5.798,0.747,0.016,
000551,创元科技,5.79,0.987,0.018,
300470,日机密封,5.78,1.457,0.021,
000601,韶能股份,5.735,0.36,0.02,
600861,北京城乡,5.725,0.993,0.018,
601808,中海油服,5.722,0.54,0.025,
002300,太阳电缆,5.693,2.17,0.022,
601888,中国国旅,5.668,0.7,0.026,
002546,新联电子,5.655,1.223,0.021,
601258,庞大集团,5.643,2.073,0.02,
600898,国美通讯,5.63,2.017,0.026,
600284,浦东建设,5.507,0.727,0.028,
300354,东华测试,5.456,2.873,0.029,
300636,同和药业,5.456,6.32,0.027,
000428,华天酒店,5.451,0.703,0.014,
002470,金正大,5.443,0.627,0.019,
002247,帝龙文化,5.428,0.85,0.022,
000887,中鼎股份,5.422,0.65,0.027,
000026,飞亚达Ａ,5.39,2.07,0.017,
002310,东方园林,5.367,1.22,0.021,
300233,金城医药,5.365,0.907,0.016,
300204,舒泰神,5.364,0.54,0.027,
300297,蓝盾股份,5.353,1.22,0.027,
000906,浙商中拓,5.35,0.863,0.025,
600616,金枫酒业,5.349,0.513,0.029,
600879,航天电子,5.326,1.94,0.019,
002564,天沃科技,5.29,0.907,0.022,
002495,佳隆股份,5.247,0.99,0.026,
600281,太化股份,5.236,1.37,0.026,
300258,精锻科技,5.233,0.91,0.022,
000705,浙江震元,5.215,1.44,0.016,
600653,申华控股,5.196,1.647,0.024,
000652,泰达股份,5.166,1.333,0.023,
300126,锐奇股份,5.164,1.887,0.024,
002433,太安堂,5.162,0.87,0.022,
300239,东宝生物,5.149,1.083,0.019,
600094,大名城,5.129,0.37,0.016,
600678,四川金顶,5.124,0.577,0.024,
000753,漳州发展,5.079,1.723,0.023,
300397,天和防务,5.061,3.267,0.023,
600993,马应龙,5.034,1.507,0.022,
000513,丽珠集团,4.997,2.073,0.028,
300442,普丽盛,4.997,1.993,0.021,
600420,现代制药,4.968,0.98,0.024,
600085,同仁堂,4.915,0.717,0.021,
300408,三环集团,4.871,0.763,0.026,
000798,中水渔业,4.829,1.26,0.016,
300144,宋城演艺,4.82,0.963,0.022,
002286,保龄宝,4.817,0.993,0.029,
600831,广电网络,4.779,0.577,0.029,
002293,罗莱生活,4.739,0.68,0.026,
300553,集智股份,4.734,1.79,0.028,
300214,日科化学,4.697,1.53,0.023,
002270,华明装备,4.692,1.503,0.026,
300091,金通灵,4.686,0.843,0.024,
300439,美康生物,4.671,1.657,0.024,
600824,益民集团,4.65,1.093,0.016,
002758,华通医药,4.646,1.71,0.029,
300041,回天新材,4.637,2.523,0.026,
002778,高科石化,4.616,1.737,0.028,
002148,北纬科技,4.608,4.093,0.025,
002238,天威视讯,4.608,0.56,0.023,
002872,天圣制药,4.545,2.57,0.019,
000733,振华科技,4.519,1.527,0.024,
002397,梦洁股份,4.513,1.223,0.018,
600676,交运股份,4.486,0.887,0.018,
600893,航发动力,4.475,1.097,0.022,
600027,华电国际,4.471,0.357,0.028,
000014,沙河股份,4.467,3.693,0.028,
300024,机器人,4.407,1.72,0.028,
600573,惠泉啤酒,4.4,0.98,0.022,
000698,沈阳化工,4.394,3.297,0.016,
000973,佛塑科技,4.385,2.507,0.022,
002172,澳洋科技,4.378,1.117,0.029,
000620,新华联,4.375,0.937,0.019,
600566,济川药业,4.352,0.553,0.023,
600242,中昌数据,4.311,1.213,0.015,
002724,海洋王,4.311,0.743,0.025,
002589,瑞康医药,4.303,0.923,0.022,
000919,金陵药业,4.302,1.083,0.018,
300132,青松股份,4.232,0.567,0.015,
600232,金鹰股份,4.231,1.437,0.026,
300318,博晖创新,4.223,0.593,0.024,
300094,国联水产,4.177,1.5,0.017,
300026,红日药业,4.167,0.71,0.022,
600479,千金药业,4.153,1.697,0.02,
000637,茂化实华,4.153,1.933,0.025,
600312,平高电气,4.122,0.943,0.021,
002240,威华股份,4.118,1.253,0.028,
600683,京投发展,4.083,0.43,0.023,
300210,森远股份,4.08,0.78,0.029,
001696,宗申动力,4.063,0.96,0.02,
002411,必康股份,4.058,3.53,0.011,
600351,亚宝药业,4.015,1.233,0.025,
002353,杰瑞股份,3.988,1.123,0.019,
002214,大立科技,3.971,2.837,0.027,
002191,劲嘉股份,3.97,0.793,0.027,
601177,杭齿前进,3.901,0.403,0.014,
600611,大众交通,3.893,0.923,0.026,
002322,理工环科,3.891,1.6,0.02,
601611,中国核建,3.875,1.733,0.013,
600624,复旦复华,3.806,1.51,0.015,
600655,豫园股份,3.779,0.92,0.014,
600841,上柴股份,3.754,0.54,0.023,
002677,浙江美大,3.748,1.937,0.028,
000048,康达尔,3.741,0.18,0.021,
300281,金明精机,3.717,1.19,0.025,
002228,合兴包装,3.714,0.537,0.028,
000688,建新矿业,3.704,1.25,0.014,
300199,翰宇药业,3.66,1.59,0.028,
600008,首创股份,3.637,1.48,0.018,
000633,合金投资,3.637,1.113,0.026,
000908,景峰医药,3.587,0.88,0.026,
300489,中飞股份,3.587,2.74,0.026,
601811,新华文轩,3.562,1.587,0.021,
300021,大禹节水,3.551,2.493,0.021,
600781,辅仁药业,3.546,0.873,0.029,
002459,天业通联,3.533,0.583,0.014,
600650,锦江投资,3.489,1.31,0.024,
300416,苏试试验,3.473,0.85,0.025,
000557,西部创业,3.471,1.403,0.028,
002415,海康威视,3.47,0.493,0.016,
600792,云煤能源,3.426,0.383,0.015,
002541,鸿路钢构,3.396,0.903,0.017,
002412,汉森制药,3.362,0.29,0.017,
600190,锦州港,3.354,0.48,0.022,
002528,英飞拓,3.341,0.743,0.027,
600608,*ST沪科,3.324,0.497,0.02,
000650,仁和药业,3.269,0.783,0.019,
000070,特发信息,3.266,1.337,0.024,
300092,科新机电,3.251,1.737,0.029,
000785,武汉中商,3.251,1.257,0.02,
600730,中国高科,3.248,1.293,0.023,
300315,掌趣科技,3.232,2.667,0.023,
000529,广弘控股,3.231,1.47,0.024,
600725,ST云维,3.207,0.413,0.027,
600668,尖峰集团,3.201,1.573,0.025,
601599,鹿港文化,3.195,1.483,0.027,
600248,延长化建,3.186,0.55,0.022,
000622,恒立实业,3.118,0.683,0.027,
002803,吉宏股份,3.098,0.853,0.012,
002138,顺络电子,3.086,0.99,0.029,
300129,泰胜风能,3.037,1.053,0.023,
600336,澳柯玛,3.023,0.697,0.018,
000767,漳泽电力,3.007,0.313,0.026,
000043,中航地产,2.974,0.55,0.011,
002406,远东传动,2.968,1.197,0.023,
600739,辽宁成大,2.964,0.573,0.012,
002022,科华生物,2.962,1.263,0.025,
002838,道恩股份,2.936,1.893,0.019,
002328,新朋股份,2.904,1.367,0.025,
600064,南京高科,2.887,0.67,0.014,
002011,盾安环境,2.868,1.357,0.028,
002015,霞客环保,2.864,0.973,0.026,
002425,凯撒文化,2.845,1.257,0.027,
300169,天晟新材,2.84,0.813,0.018,
600667,太极实业,2.828,2.11,0.029,
600056,中国医药,2.816,0.723,0.025,
000570,苏常柴Ａ,2.794,0.733,0.024,
300194,福安药业,2.784,0.917,0.023,
002780,三夫户外,2.75,2.12,0.025,
600368,五洲交通,2.747,0.89,0.018,
600706,曲江文旅,2.74,1.453,0.014,
600201,生物股份,2.722,0.673,0.022,
600406,国电南瑞,2.72,1.083,0.014,
600551,时代出版,2.709,0.697,0.014,
002250,联化科技,2.704,0.907,0.028,
002220,天宝食品,2.699,1.303,0.016,
000656,金科股份,2.655,0.513,0.014,
002693,双成药业,2.559,0.743,0.029,
600890,中房股份,2.559,0.4,0.019,
600750,江中药业,2.556,1.943,0.025,
600774,汉商集团,2.544,0.263,0.015,
600327,大东方,2.522,0.563,0.016,
002234,民和股份,2.52,3.447,0.025,
300417,南华仪器,2.504,2.527,0.029,
002221,东华能源,2.495,0.693,0.028,
000875,吉电股份,2.482,1.29,0.019,
600138,中青旅,2.481,0.87,0.021,
600189,吉林森工,2.477,0.83,0.014,
600081,东风科技,2.471,0.543,0.026,
600461,洪城水业,2.468,0.583,0.009,
002751,易尚展示,2.464,2.283,0.013,
002255,海陆重工,2.459,1.337,0.017,
002849,威星智能,2.448,1.537,0.029,
000880,潍柴重机,2.443,0.903,0.02,
000685,中山公用,2.44,0.493,0.013,
300396,迪瑞医疗,2.415,1.56,0.021,
300164,通源石油,2.381,2.107,0.022,
600481,双良节能,2.368,0.38,0.027,
002254,泰和新材,2.338,1.953,0.01,
300652,雷迪克,2.276,4.27,0.027,
600052,浙江广厦,2.234,0.52,0.017,
000009,中国宝安,2.213,1.067,0.029,
002859,洁美科技,2.203,4.483,0.027,
000400,许继电气,2.199,1.853,0.026,
002779,中坚科技,2.196,1.467,0.028,
300448,浩云科技,2.191,0.837,0.024,
300218,安利股份,2.183,0.56,0.024,
000419,通程控股,2.173,1.087,0.013,
000722,湖南发展,2.168,1.083,0.021,
600713,南京医药,2.152,0.75,0.021,
600301,ST南化,2.134,0.46,0.02,
600455,博通股份,2.1,0.243,0.02,
600090,同济堂,2.096,1.417,0.017,
600531,豫光金铅,2.096,3.737,0.02,
002140,东华科技,2.082,0.953,0.021,
000918,嘉凯城,2.064,0.347,0.017,
300050,世纪鼎利,2.059,3.313,0.029,
000915,山大华特,2.042,2.297,0.028,
000899,赣能股份,2.038,0.68,0.021,
601789,宁波建工,2.027,0.833,0.017,
002502,骅威文化,2.022,2.257,0.019,
601188,龙江交通,2.015,0.303,0.017,
601106,*ST一重,2.005,0.22,0.025,
300106,西部牧业,2.004,4.127,0.025,
002623,亚玛顿,1.997,0.763,0.025,
000903,云内动力,1.947,0.747,0.026,
000099,中信海直,1.936,1.81,0.015,
600389,江山股份,1.915,0.613,0.026,
000058,深 赛 格,1.909,0.907,0.024,
002701,奥瑞金,1.902,1.267,0.019,
002431,棕榈股份,1.867,1.68,0.016,
600415,小商品城,1.856,0.413,0.02,
300583,赛托生物,1.828,1.577,0.023,
600491,龙元建设,1.826,0.657,0.013,
600973,宝胜股份,1.825,0.683,0.014,
300030,阳普医疗,1.767,1.39,0.028,
601007,金陵饭店,1.751,0.583,0.016,
002485,希努尔,1.748,0.523,0.014,
600151,航天机电,1.741,0.7,0.021,
002882,金龙羽,1.736,4.637,0.02,
601799,星宇股份,1.735,0.28,0.014,
000731,四川美丰,1.717,1.507,0.018,
002170,芭田股份,1.69,0.497,0.026,
600615,丰华股份,1.658,0.98,0.018,
601677,明泰铝业,1.658,0.82,0.012,
600723,首商股份,1.649,0.547,0.016,
300193,佳士科技,1.641,1.177,0.029,
300147,香雪制药,1.636,1.177,0.024,
601208,东材科技,1.601,0.62,0.02,
300255,常山药业,1.593,1.297,0.021,
000715,中兴商业,1.56,0.44,0.019,
600243,青海华鼎,1.554,1.017,0.015,
601886,江河集团,1.531,0.317,0.015,
600859,王府井,1.524,0.69,0.027,
600429,三元股份,1.516,0.263,0.013,
300658,延江股份,1.508,2.987,0.024,
002020,京新药业,1.503,1.213,0.02,
600886,国投电力,1.475,0.35,0.018,
002641,永高股份,1.473,0.273,0.014,
000969,安泰科技,1.44,0.923,0.024,
000587,金洲慈航,1.44,1.86,0.01,
300405,科隆股份,1.428,1.247,0.029,
600853,龙建股份,1.427,1.333,0.027,
002740,爱迪尔,1.416,2.227,0.021,
000700,模塑科技,1.409,0.923,0.025,
300336,新文化,1.408,3.447,0.025,
002468,申通快递,1.404,0.957,0.024,
300189,神农基因,1.402,2.213,0.019,
601010,文峰股份,1.37,0.57,0.017,
002906,华阳集团,1.356,7.44,0.028,
600028,中国石化,1.335,0.267,0.027,
002144,宏达高科,1.321,0.923,0.018,
600572,康恩贝,1.309,0.52,0.015,
300530,达志科技,1.299,1.783,0.027,
000548,湖南投资,1.288,1.26,0.017,
002443,金洲管道,1.279,1.347,0.013,
000150,宜华健康,1.267,0.093,0.025,
002827,高争民爆,1.262,2.493,0.023,
600641,万业企业,1.259,0.79,0.026,
000692,惠天热电,1.252,0.613,0.024,
000423,东阿阿胶,1.233,1.017,0.015,
300434,金石东方,1.227,1.167,0.02,
600073,上海梅林,1.227,2.41,0.013,
000027,深圳能源,1.226,0.16,0.02,
002206,海 利 得,1.213,0.643,0.022,
600629,华建集团,1.196,0.313,0.022,
600511,国药股份,1.194,2.353,0.017,
002403,爱仕达,1.192,0.657,0.027,
000158,常山北明,1.187,1.2,0.028,
300673,佩蒂股份,1.165,3.123,0.029,
601038,一拖股份,1.145,2.16,0.019,
000421,南京公用,1.141,0.567,0.019,
300177,中海达,1.133,1.607,0.028,
600812,华北制药,1.127,0.217,0.019,
300211,亿通科技,1.12,1.033,0.028,
600811,东方集团,1.115,0.703,0.008,
002719,麦趣尔,1.1,3.02,0.017,
601608,中信重工,1.093,0.33,0.027,
000859,国风塑业,1.072,1.06,0.021,
002791,坚朗五金,1.07,1.273,0.024,
002169,智光电气,1.069,0.993,0.022,
601929,吉视传媒,1.068,0.553,0.02,
600965,福成股份,1.063,0.577,0.013,
600592,龙溪股份,1.05,1.38,0.024,
002216,三全食品,1.034,0.617,0.015,
002277,友阿股份,1.031,1.003,0.019,
600778,友好集团,1.026,1.03,0.018,
300284,苏交科,1.025,0.96,0.023,
002465,海格通信,1.015,1.697,0.025,
600252,中恒集团,1.007,0.677,0.013,
002089,新 海 宜,0.999,1.433,0.023,
300338,开元股份,0.995,0.893,0.024,
002436,兴森科技,0.962,1.063,0.017,
600732,ST新梅,0.96,0.813,0.018,
000595,*ST宝实,0.945,0.633,0.017,
601158,重庆水务,0.937,0.143,0.01,
601518,吉林高速,0.919,0.483,0.017,
600961,株冶集团,0.911,0.52,0.015,
300475,聚隆科技,0.904,1.587,0.023,
002199,东晶电子,0.873,0.413,0.013,
002559,亚威股份,0.871,0.657,0.022,
600561,江西长运,0.869,1.363,0.025,
002518,科士达,0.858,0.39,0.025,
600529,山东药玻,0.839,0.72,0.015,
002324,普利特,0.813,0.587,0.028,
601880,大连港,0.808,0.367,0.014,
600891,秋林集团,0.807,2.813,0.016,
600108,亚盛集团,0.806,3.98,0.014,
002505,大康农业,0.784,3.72,0.022,
000828,东莞控股,0.778,0.31,0.024,
601558,*ST锐电,0.778,0.763,0.017,
600565,迪马股份,0.77,1.143,0.025,
300108,吉药控股,0.731,0.413,0.02,
600030,中信证券,0.712,1.493,0.022,
002003,伟星股份,0.706,0.59,0.025,
600403,*ST大有,0.694,0.117,0.014,
600127,金健米业,0.693,3.09,0.015,
002731,萃华珠宝,0.679,2.633,0.021,
002723,金莱特,0.67,0.763,0.015,
002498,汉缆股份,0.666,0.267,0.012,
300084,海默科技,0.657,1.903,0.028,
600854,春兰股份,0.648,0.897,0.026,
002609,捷顺科技,0.634,1.543,0.019,
300005,探路者,0.621,2.057,0.026,
300135,宝利国际,0.611,1.01,0.016,
002660,茂硕电源,0.609,1.283,0.02,
600020,中原高速,0.605,0.89,0.015,
600370,三房巷,0.603,0.577,0.022,
300305,裕兴股份,0.598,1.197,0.023,
601881,中国银河,0.592,2.773,0.014,
600818,中路股份,0.579,0.723,0.02,
600223,鲁商置业,0.555,0.52,0.016,
000965,天保基建,0.554,0.99,0.017,
600731,湖南海利,0.534,1.42,0.013,
002173,创新医疗,0.495,0.477,0.026,
600688,上海石化,0.494,0.397,0.014,
000576,广东甘化,0.475,0.877,0.014,
002561,徐家汇,0.452,2.343,0.018,
002690,美亚光电,0.446,0.74,0.023,
600210,紫江企业,0.441,1.2,0.023,
000159,国际实业,0.439,0.95,0.021,
002288,超华科技,0.405,1.68,0.024,
000011,深物业A,0.395,2.893,0.028,
002691,冀凯股份,0.373,0.18,0.007,
300154,瑞凌股份,0.372,0.633,0.025,
000429,粤高速Ａ,0.372,0.897,0.015,
000726,鲁 泰Ａ,0.37,0.55,0.011,
600396,金山股份,0.366,0.49,0.024,
300435,中泰股份,0.365,1.097,0.029,
000609,中迪投资,0.348,1.097,0.024,
000976,华铁股份,0.339,0.803,0.006,
002269,美邦服饰,0.339,0.32,0.017,
601727,上海电气,0.328,0.217,0.016,
600578,京能电力,0.326,0.113,0.016,
002628,成都路桥,0.325,0.537,0.025,
600380,健康元,0.325,2.263,0.029,
000809,*ST新城,0.315,0.647,0.016,
300131,英唐智控,0.311,1.36,0.021,
002274,华昌化工,0.3,0.623,0.027,
600802,福建水泥,0.284,1.64,0.029,
600982,宁波热电,0.281,0.567,0.017,
002021,中捷资源,0.28,0.82,0.027,
600697,欧亚集团,0.216,0.75,0.02,
002337,赛象科技,0.204,0.517,0.027,
600538,国发股份,0.197,0.797,0.02,
002211,宏达新材,0.194,1.493,0.029,
002697,红旗连锁,0.182,2.917,0.021,
000833,贵糖股份,0.179,1.347,0.02,
601890,亚星锚链,0.176,1.167,0.022,
600680,*ST上普,0.148,0.73,0.022,
002118,紫鑫药业,0.134,1.853,0.023,
002551,尚荣医疗,0.129,1.68,0.028,
600963,岳阳林纸,0.128,1.447,0.024,
300200,高盟新材,0.107,0.733,0.028,
002372,伟星新材,0.099,0.36,0.022,
600661,新南洋,0.062,0.61,0.021,
600220,江苏阳光,0.052,0.753,0.02,
601218,吉鑫科技,0.025,0.68,0.02,
600361,华联综超,0.015,1.087,0.016,
002567,唐人神,0.013,3.29,0.02,
000860,顺鑫农业,0.009,0.88,0.018,
000607,华媒控股,0.008,0.43,0.027,
002489,浙江永强,0.007,0.777,0.022,
000975,银泰资源,0.007,1.247,0.018,
600300,维维股份,0.004,1.673,0.016,
002652,扬子新材,0.003,1.873,0.017,
600681,百川能源,0.001,0.787,0.026,
000521,美菱电器,0.001,0.84,0.027,
